generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
26,-0.9752371100142974,0.16753648985471062,-0.9749954710497837,0.22173412705157958,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategyMutateNonTerminalR,StrategyReplaceBranchR,25,24,1517.3910298563871,1517.3910298563871,(((((5)-((4)+(5)))*((x)+(6)))/(x))/(x)),((((x)*(x))*((3)+(3)))*(x)),5*x*x*x,5
27,-0.9751307846355418,0.18625393972270607,-0.9733202338646203,0.23407713498622593,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategyReplaceBranchR,StrategyReplaceBranchR,26,26,3437.5,3437.5,(((((5)*(x))*(((3)+(3))*((x)*(5))))*(6))/(x)),((((((3)*(7))*(((x)-(8))-(4)))*((x)/((5)-(9))))-(x))*(x)),5*x*x*x,5
28,-0.9752954575677443,0.17150073937832228,-0.9743784570379116,0.2280220385674931,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategySkipD,StrategyReplaceBranchR,27,27,2111,2111,((((5)-((x)*((5)+(8))))*((x)*(9)))/(x)),((((x)+(8))*((5)/((0)*(3))))*(x)),5*x*x*x,5
29,-0.975128849939696,0.1866946499519699,-0.9749350029260861,0.26330686737504927,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,28,28,1572.5,1572.5,((((((2)+(8))*(x))*((x)-((x)*(7))))/(x))/(x)),(((((2)+(x))*(((5)-(5))*((7)/((0)*(9)))))*(x))-(x)),5*x*x*x,5
30,-0.9750828630764555,0.1818547974952533,-0.974790442115965,0.2199247105135938,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategyReplaceBranchXR,StrategySkipD,StrategyReplaceBranchR,29,28,2051.5,2051.5,(((((5)+(3))*(9))*(((x)*(9))*(x)))/(x)),(((((0)+((x)+(9)))*((x)+(x)))-((4)*(0)))*(x)),5*x*x*x,5
31,-0.9750555194929349,0.18302782525700967,-0.9747058113603566,0.24173002754820935,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyMutateNonTerminalR,StrategyReplaceBranchR,30,30,1952.5,1952.5,(((((5)*((2)*((x)-(9))))*((x)*(x)))*(x))/(x)),(((((2)*(x))*((4)*(4)))*(x))-(x)),5*x*x*x,5
32,-0.9751620491674012,0.1848298114869123,-0.9749474485106943,0.2221380307403035,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyMutateNonTerminalR,31,31,1606.1392913832199,1606.1392913832199,((((((5)*(4))*((9)*(6)))+((x)+(x)))/(x))/(x)),(((((((5)*(6))+((x)+(0)))+((8)/((x)-(x))))/(x))*(x))-(x)),5*x*x*x,5
33,-0.9750204593904576,0.16750927434232535,-0.9732472653810836,0.2204352617079889,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategySkipD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyMutateNonTerminalR,StrategyReplaceBranchR,31,32,3779.5,3779.5,(((((8)*(((x)*(9))-(6)))*((x)+(8)))*(x))/(x)),(((((((3)*(x))*((4)+(8)))*((9)-(0)))/(x))*(x))-(x)),5*x*x*x,5
34,-0.9751603151903099,0.19394702973585207,-0.9746204958677686,0.24309969894806116,StrategySkipD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategySubXD,StrategyMutateNonTerminalR|StrategyAddToLeafR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyReplaceBranchR|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyMutateNonTerminalR,StrategyReplaceBranchR,31,33,2185,2185,((((9)+(x))*(((x)+(9))*((4)-(x))))-(x)),((((((x)+((x)+((7)*(4))))+((7)+((x)-(x))))*((9)+((x)/((0)*(2)))))*(x))-(x)),5*x*x*x,5
35,-0.9751552507996373,0.17431853029151131,-0.9749235425354217,0.2325426997245179,StrategyAddXD|StrategyMutateNonTerminalR|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddTreeWithAdd|StrategyMutateTerminalR|StrategyReplaceBranchXR|StrategyDivXD|StrategyDivXD,StrategyMutateNonTerminalR|StrategyAddXD|StrategySubXD|StrategyReplaceBranchXR|StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyDivXD|StrategyMultXD|StrategyReplaceBranchR|StrategySubXD,StrategyDivXD,StrategyReplaceBranchR,34,34,1650.2542939027467,1650.2542939027467,(((((((5)+(3))*((8)*(5)))*((x)+(4)))+(x))/(x))/(x)),(((((((((x)*(7))+((1)-(9)))+((5)/((4)-(4))))+(x))-(x))/(x))*(x))-(x)),5*x*x*x,5
