gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1647736244305007,0.23862736829975514,0.39991033319902036,0.4,122041798.04331775,224.35748535408823,2145382067.3405163,0,0.9999978007292606,1,0.6223528443746252,0.16103267094191973,1582202284.1664042,81.3759523809524,30790256923.266666,0,(((((x)*(x))*((x)+(2)))+(((8)*(x))*((3)-((7)-(6)))))+(((4)+((7)*(8)))*(((7)+(x))*((x)*((x)*(x)))))),((((0)-((1)*(4)))/((8)-((0)+(8))))/(((8)*(0))/((x)+((4)+(9))))),SubXD|MultXD|ReplaceBranchXR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|MultXD|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,MultXD,10,11,12,12,9
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.12382503392089898,0.25574330635235887,0.399877090238794,0.4,85028138.11383021,139897.82302992366,1210372967.8206894,0,0.9999953739796936,1,0.6427064810285558,0.11042025131647089,741609458.7539852,71.14454654485809,14638092058.955555,0,(((((x)*(3))+((6)+(2)))*(((x)+(5))*((7)*((x)*(5)))))-(((2)+((7)*(0)))*(((x)+(x))*((x)*((x)*(x)))))),((((2)-((4)*(8)))+((3)/((0)/(2))))*(((7)+(x))*((x)*((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,AddTreeWithMult,11,12,13,13,9
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.16521457750420615,0.3210348710521608,0.3996543462462349,0.4,388536752.0149439,2149.5378892806266,7479795855.337927,0,0.9999995056182572,1,0.47376869410216094,0.11722044254726019,6924315399.385931,78.06478889859594,136971302255.7111,0,(((((9)*(x))*((x)*((x)-(4))))*(((x)+(7))+((5)*((x)+(5)))))+((((x)-(x))*((5)+(3)))-(((x)+(x))*((x)*((x)*(x)))))),((((0)*((1)-(0)))/((0)/((7)*(8))))+(((x)*(x))*((2)-((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|MultXD|AddTreeWithSub|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,AddXD,12,13,14,14,9
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.15615275015868155,0.33176616123211417,0.3997667754125304,0.4,284311511.69102305,271.83241165559554,4348618244.771334,0,0.9999996441735844,1,0.7126959231999932,0.14255047530722523,12132948625.32449,98.70016067969127,190306588169.47775,0,(((((x)*(x))*((x)+(2)))*(((x)*(9))*((x)+((7)-(2)))))+((((x)+(5))*((x)-(x)))+(((x)*(x))*((8)+((1)*(x)))))),((((4)*((7)-(0)))*((1)/((5)/(0))))+(((x)*(6))+((2)*((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithAdd|MutateNonTerminalR|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|FellTreeD|AddTreeWithAdd,MultXD,AddTreeWithMult,14,14,15,15,9
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.17830099772912722,0.34133593159520276,0.3998640467607642,0.4,79407352.08351259,86.26783332577538,1240548391.7014582,0,0.9999963259424286,1,0.5364339235548286,0.08554204847819813,1103056916.1140268,60.549895833333345,18430879155.933334,0,(((((x)*(x))*((1)-(1)))+(((9)+(2))*((x)*((1)*(x)))))+((((2)-(x))*((x)-(4)))+(((6)+(1))*((x)*((x)*(x)))))),((((x)-(2))/((0)*((8)/(x))))+(((3)+(6))*((x)*((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|DivXD|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,DivXD,15,15,16,16,9
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.17802066268737204,0.3392456954037905,0.37061664663768445,0.4,122874414.10501373,85.56977589731649,1955714118.2113676,0,0.9999973480069871,1,0.6709107070548144,0.028113413208670637,1282171894.4500175,35.097315975958914,25534045822.655556,0,(((((8)-(1))+((x)*(x)))*(((x)+(7))+((5)+((5)*(x)))))*((((4)-(x))*((x)+(9)))-(((x)+(x))*((x)*((x)*(x)))))),((((0)-((3)*(7)))/((0)*((1)/(x))))+(((x)*(x))*((4)-((5)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithSub,MultXD,DivXD,15,16,17,17,9
17,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1444672965091841,0.3476731155868058,0.3998369902690969,0.4,118170549.84017973,72.06047536129844,2129062562.5403888,0,0.9999987100094936,1,0.7300023517898766,0.0409530519475812,2833381783.296074,31.417863425925937,52493495711.844444,0,(((((x)*(x))*((x)+(2)))*(((5)+(8))+((7)*((3)*(8)))))+((((1)-(x))*((x)-(4)))-(((1)+(x))*((x)*((x)*(x)))))),((((x)*((7)-(2)))+((7)+((0)/(0))))/(((x)+(x))*((x)*((x)+(x))))),SubXD|MultXD|ReplaceBranchR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|DivXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,DivXD,17,17,18,18,9
18,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.17855235195292846,0.3461318172621893,0.3999281064982169,0.4,87659863.80104554,73.6402892482004,1142009936.2078114,0,0.9999936672562694,1,0.7674858989085585,0.09255297504566802,1104394463.6533864,53.844595704367805,10693013011.522223,0,(((((x)*(x))*((x)+(2)))*(((x)*(1))+((9)+((9)-(8)))))-((((x)*(x))-((0)*(2)))+(((x)*(x))*((9)+((1)*(x)))))),((((9)+(4))/((x)/((0)*(4))))+(((6)+(3))*((x)*((x)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,AddTreeWithMult,18,18,19,19,9
19,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.20177246074237798,0.33961498812872537,0.39990165836251745,0.4,263755002.69166896,52541995731.871056,4961127661.539852,0,0.9999995308878273,1,0.8064498136785189,0.13014659026933106,7253990979.614836,76.90138416698399,144349507575.05557,0,(((((x)*(9))+((3)*(x)))+(((0)*(x))*((4)+((4)+(0)))))*((((x)-(6))-((9)*(x)))-(((x)+(x))*((x)*((x)*(x)))))),((((0)-(0))/((0)/((2)*(4))))+(((x)*(x))*((x)+((8)+(x))))),SubXD|MultXD|ReplaceBranchXR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,DivXD,19,19,20,20,9
20,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.22101762371490458,0.3369334349319982,0.39984852290908024,0.4,349022658.4933684,113.84802559898125,6526307305.649982,0,0.9999997116119916,1,0.6895676291078322,0.02567419873582402,11787267483.385147,23.952398989898995,234809039037.5778,0,(((((x)*(x))*((x)+(7)))*(((8)+(7))*((8)*((5)+(6)))))+((((5)-(x))*((x)-(2)))-(((1)+(x))*((x)*((x)*(x)))))),((((9)-((0)/(7)))*((9)*((0)/(x))))+(((x)*(x))*((x)+((0)+(7))))),SubXD|MultXD|ReplaceBranchXR|SubXD|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithMult|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddRandomSubTreeR|DeleteTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddTreeWithAdd,MultXD,MultXD,20,20,21,21,9
