gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.282671508237883,0.26448940469066373,0.3028591553358033,0.4,745111.4265612495,183.81328972517036,14232218.71130342,0,0.999843590373682,1,0.6041267281608456,0.3069548227266528,21811530.052759003,139.9126217859394,432940815.1222222,0,(((((0)*(6))-((4)-(1)))*(((6)+(1))*((x)+(2))))*(((x)*((1)+(x)))*(((8)*(7))+((0)*((x)*(x)))))),(((((6)/(8))-((x)-(0)))*(((4)-(0))*((0)/(0))))*(((2)*((8)+(0)))/(((0)-(5))/((x)/((x)/(x)))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|SubXD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,AddTreeWithMult,DivXD,9,11,12,12,0
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.25835867368513027,0.27742672481703073,0.36954566459876254,0.4,2058661.0259841874,166.25431811622693,37568330.18513053,0,0.9999261952590068,1,0.8317685965525199,0,46315254.63343106,0,917503539.7444444,0,((((x)*((9)-(5)))*(((x)+(7))*((1)*(x))))-(((1)-((9)*(9)))*((x)*((x)*((x)*(8)))))),((((0)+((x)*(3)))-((7)+((0)+(0))))/(((0)/(x))/((4)/((x)/(x))))),AddTreeWithSub|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DivXD|MutateTerminalR,MultXD,DivXD,12,11,13,13,0
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.23059281208459603,0.2755119366305087,0.33493870279404847,0.4,51796668.38238723,168.83651308518,1028852252.0489563,0,0.999998630299423,1,0.9205793860061374,0.36624942300743346,2483481115.980477,203.0939201369147,49438623489.2,0,(((((x)*(5))*((7)*(x)))+(((2)*(x))*((5)+((3)*(6)))))*((((x)+(9))-((x)*(0)))-(((4)-(9))+((2)*((x)*(x)))))),((((1)/((3)-(0)))-(((7)*(x))*((7)-(9))))-(((8)/(x))-((x)/((x)/((0)/(x)))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|SubXD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,12,12,14,14,0
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.18957504418166896,0.28400146349362015,0.3549352101152079,0.4,104015892.10069706,157.100936867759,2074871282.8839114,0,0.9999993170865075,1,0.8342378989667772,0.307709600421364,4958128866.650409,135.395302635816,99157670559.7,0,(((((x)*(x))*((0)+((5)*(x))))-(((6)+(6))*((9)*((4)+(x)))))+((((1)*(4))*((7)*(x)))+(((9)-(0))*((x)*((x)*(x)))))),(((0)-((x)/(x)))/((6)/((0)/(x)))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddXD,DivXD|SubXD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,14,14,15,15,0
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.19987975257199012,0.2499222059439148,0.3533593809847558,0.4,9507765.985731054,203.2551847271512,158266084.32375455,0,0.9999837349067637,1,0.7202563444047894,0.4087692549761294,273739796.6601475,275.44489324778755,4163278385.6555552,0,(((((x)*(8))*((2)-(6)))*(((2)*(4))*((x)+((4)*(7)))))+((((4)*(3))+((7)*(6)))-(((0)+(0))*((x)*((x)*(x)))))),(((((6)*(8))*((0)-(4)))*(((9)-(0))+((0)*((5)-(0)))))*(((x)/((0)-(x)))/(((6)-(x))/((x)/((x)/(x)))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|SubXD|MutateTerminalR|SubXD|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|DeleteNonTerminalR,MultXD,DivXD,15,15,16,16,0
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.17701925795509116,0.2528222449950421,0.39583884680077014,0.4,7902023.454239297,199.38514089076583,147147405.63305962,0,0.9999865404372652,1,0.8428144255067049,0.3662428881032238,258095197.46923465,203.09029567866665,5031078085.166667,0,(((((3)*(7))*((x)*(2)))*(((x)*(x))+((1)*((x)+(x)))))*(((5)*((2)-(6)))+(((0)*(x))*((6)-((8)*(x)))))),((((0)/(x))/((0)/(x)))/((0)/((x)/(3)))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,16,16,17,17,0
17,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1571846626040054,0.25394718374527725,0.3812454731786689,0.38,2799917.9409270072,197.8034970576877,47546133.361777775,27.086444444444442,0.9999485643000305,1,0.7704580419010378,0.3638952770864333,66598143.88037238,201.77837035903175,1316519677.022222,0,(((((6)+(8))*((2)+(2)))*(((x)*(x))+((7)+((6)+(1)))))*((((0)+(3))*((x)+(9)))-(((x)*(x))*((5)+((8)*(x)))))),(((((x)*(x))*((1)-((0)+(1))))-(((4)*((0)*(0)))*((0)/((0)-(8)))))+((((0)*(x))*((2)/(0)))+(((8)/(0))/((4)*((0)/((x)/(x))))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|FellTreeD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,17,17,18,18,0
18,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.18308504964467434,0.276009085701218,0.39105176462760555,0.4,168786869.8372541,167.9257334803341,3320594716.080551,0,0.9999994745177097,1,0.8924592512023412,0.36624550011438456,6450490324.848888,203.09174430696294,128864687454.4,0,(((((x)*(x))*((9)+(4)))*(((x)*(9))+((6)+(0))))*(((4)*((9)-(0)))-(((3)*(x))*((x)*((x)*(x)))))),((3)/((0)/(3))),AddTreeWithSub|DeleteNonTerminalR|SubXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,18,17,19,19,0
19,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1365852347823272,0.28919138142881573,0.3949226047035965,0.4,18812902.593377024,153.86757651580632,353367183.29640496,0,0.9999945048417287,1,0.8897194084758299,0.30765654237709,653692538.2144186,135.37195416110032,12322868199.1,0,(((((0)+(9))*((1)+(6)))*(((2)*(x))+((x)*((8)-(1)))))*(((5)*((6)*(6)))+(((0)*(x))*((x)*((x)*(x)))))),((((0)*(1))/((9)/(9)))/((x)/((0)/(x)))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,19,19,20,20,0
20,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.13653589352563308,0.2849900987913563,0.3965853292027825,0.4,12910469.351076955,155.76184426855787,237244147.0891654,0,0.9999883645443621,1,0.66924118458041,0.30772532535782815,291365672.45394576,135.4022222222222,5819807424.644444,0,(((((x)*(x))*((x)*(3)))+(((2)*(x))+((2)*((x)-(1)))))*(((0)-((0)*(3)))-(((7)*(x))+((2)*((x)*(x)))))),(((((2)*(x))*((1)-((3)+(x))))+(((4)*((5)+(2)))+((0)*((8)*(5)))))/((((1)-(0))*((0)*((7)/(0))))*(((2)+(8))/((0)/((x)/((x)/(x))))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|MultXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|MutateTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,MultXD,DivXD,20,20,21,21,0
