A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0,6
MultXD,SubXD,MultXD,SubXD,0,0,1,6
AddXD,FellTreeD,AddXD,FellTreeD,0,0,2,6
AddTreeWithSub,AddTreeWithDiv,AddTreeWithSub,AddTreeWithDiv,0,0,3,6
AddTreeWithMult,AddTreeWithDiv,AddTreeWithMult,AddTreeWithDiv,0,0,4,6
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,5,6
SkipD,AddTreeWithAdd,SkipD,AddTreeWithAdd,0,0,6,6
MutateTerminalR,DivXD,MutateTerminalR,DivXD,0,0,7,6
MultXD,DivXD,MultXD,DivXD,0,0,8,6
MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,0,0,9,6
AddTreeWithSub,DeleteTerminalR,AddTreeWithSub,DeleteTerminalR,0,0,10,6
AddToLeafR,DeleteTerminalR,AddToLeafR,DeleteTerminalR,0,0,11,6
MutateNonTerminalR,DeleteMaliciousR,MutateNonTerminalR,DeleteMaliciousR,0,0,12,6
MutateNonTerminalR,SkipD,MutateNonTerminalR,SkipD,0,0,13,6
MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv,0,0,14,6
