A,P,AFinal,PFinal,AGen,PGen,count,run
MutateNonTerminalR,AddXD,MutateNonTerminalR,AddXD,0,0,0,7
MutateNonTerminalR,FellTreeD,MutateNonTerminalR,FellTreeD,0,0,1,7
SubXD,DeleteNonTerminalR,SubXD,DeleteNonTerminalR,0,0,2,7
MultXD,FellTreeD,MultXD,FellTreeD,0,0,3,7
MultXD,AddTreeWithSub,MultXD,AddTreeWithSub,0,0,4,7
AddTreeWithMult,DeleteNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,0,0,5,7
MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,MutateNonTerminalR,0,0,6,7
AddXD,AddTreeWithDiv,AddXD,AddTreeWithDiv,0,0,7,7
SubXD,DeleteMaliciousR,SubXD,DeleteMaliciousR,0,0,8,7
AddToLeafR,DeleteMaliciousR,AddToLeafR,DeleteMaliciousR,0,0,9,7
MultXD,AddXD,MultXD,AddXD,0,0,10,7
MultXD,DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,11,7
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,12,7
SkipD,DeleteTerminalR,SkipD,DeleteTerminalR,0,0,13,7
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,14,7
