gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.21201833224875258,0.18373170825018037,0.3999691285717066,0.4,935654123.0649039,1887853.291869209,16579412252.469328,0,0.9999996444228244,1,0.9126368614388494,0.44445135169085764,9698427270.083897,381.8331011077563,190439982561.5,0,(((((x)*(x))*((0)-((x)+(8))))+(((2)*(x))*((3)*((x)+(6)))))+((((8)+(x))+((x)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((2)*((3)*(0)))/(((0)+(9))/((x)+(1))))+(((7)+((4)*(0)))+(((x)+(1))*((8)*(9)))))*((((9)-((x)*(5)))/((0)+((x)-(x))))*(((x)-((0)*(x)))/((x)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddToLeafR|MultXD|SubXD|DeleteMaliciousR,MultXD,AddToLeafR,11,11,12,12,1
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.19184032703033035,0.1731191463507969,0.36633595250823137,0.4,10954168146.967592,29428.582733171545,211522119218.86914,0,0.9999999929198283,1,0.8529380237506935,0.4744877907626023,487530042354.1128,410.11238590171433,9564190649677.656,0,(((((9)+(x))*((x)*((x)+(2))))*(((x)*(8))*((9)*((x)+(0)))))*((((0)+(3))+((x)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((x)*((5)-(0)))*(((x)+(2))*((6)+(6))))/((((0)*(0))+((5)/(8)))-(((9)+(0))+((6)*(0)))))*((((5)+((7)+(x)))*((x)*((0)-(6))))/(((5)*((5)-(x)))*(((x)/(x))/((x)*((x)+(x))))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddToLeafR|MultXD|AddXD|DeleteTerminalR,MultXD,AddToLeafR,11,12,13,13,1
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.21185331782090233,0.1725166807450361,0.39998254682452855,0.4,12666285741.176838,125500.53417355567,240358101491.02383,0,0.9999999924880518,1,0.9004731447890988,0.4884997746308945,464718531487.90314,376.20105488291034,9014453987474.5,0,(((((x)*(x))*((x)+((5)+(x))))*(((8)*(9))*((4)*((6)*(x)))))+((((9)+(x))+((x)*(x)))*(((x)+(x))-((x)*((x)-((0)*(x))))))),(((((x)*((x)+(7)))/((0)+((0)*(2))))-(((6)/((3)*(x)))+(((9)+(2))*((8)-(5)))))+((((0)*((0)*(4)))/((7)+((x)-(x))))*(((0)-((x)*(x)))/((x)/((0)*((x)-(x))))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,13,13,14,14,1
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2484616720804752,0.21477060181483018,0.39999241655364487,0.4,3506964319.6758857,16715.36101367319,66130412777.05369,0,0.9999999702754075,1,0.4921422243259491,0.4686742355283187,114893867605.43835,330.8461111111111,2278117404560.6226,0,(((((x)*(x))*((2)+((0)+(4))))+(((x)*((x)*(x)))+((4)*((x)+(5)))))*((((7)+(x))+((x)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((0)*((8)*(x)))-((3)+((9)/(6))))+(((7)-((x)+(0)))+(((0)-(7))+((0)*(x)))))*((((0)+(x))-((x)*((7)-(6))))-(((0)/((3)/(0)))/((1)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|MutateTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,14,13,15,15,1
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2836308395707683,0.22065275664113485,0.3999970041253064,0.4,61626613212.810974,8417.854042429566,1185169678077.286,0,0.9999999971051821,1,0.44684290120592013,0.4186810744086145,1224890500889.5034,276.0439031214815,23392182843048.773,0,(((((x)*(x))*((x)+((2)*(4))))+(((5)+((x)*(3)))*((x)+((3)*(x)))))*((((3)+(x))+((x)*((x)*(x))))+(((x)-(x))*((x)-((x)*((x)*(x))))))),(((((x)-((0)*(x)))+((9)/((8)+(0))))*(((7)+((0)+(6)))+((0)*((0)*(x)))))+((((x)-(x))*((x)-((x)*(6))))*(((9)/(9))/((0)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|MutateTerminalR|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|MultXD|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,15,15,16,16,1
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2880285173167964,0.21307611596783851,0.36304566127725457,0.4,29487541478.809486,33588.522473506084,381991929153.78455,0,0.9999999927194095,1,0.4426926509990914,0,899177473235.516,0,9300909339557.277,0,(((((2)*(3))*((x)*((x)+(2))))*(((x)*((3)*(5)))*((1)+((4)-(9)))))+((((x)+(x))+((x)*((x)*(x))))+(((x)-(x))*((x)*((x)*((x)*(x))))))),((((9)*((8)+(3)))/(((3)/(8))+((1)+(0))))-(((0)*(0))/((x)/((0)*((x)-(x)))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,16,15,17,17,1
17,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.3314482257211753,0.1953638693000754,0.3999989099691902,0.4,29188537891.555893,3513.0684423602906,468619406388.6775,0,0.9999999941519498,1,0.4426234965608394,0.4759215974932406,657098763594.7141,381.82537535284325,11579263067821.688,0,(((((x)*(x))*((x)+((2)*(4))))+(((0)-((0)+(7)))+((8)*((x)+(9)))))+((((8)-(3))*((x)*(x)))+(((x)-(x))*((x)*((x)*((x)*(x))))))),((((5)+(8))/((2)/((0)-(0))))/((4)*((x)*((x)-(x))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchXR|AddToLeafR|AddXD|SubXD|MultXD|MultXD|MultXD|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,17,17,18,18,1
18,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.3055551578962737,0.22663870145798787,0.39998575559398647,0.4,16896447616.281939,10407.408814235985,244060885096.48187,0,0.9999999920442678,1,0.43752706109848355,0.4455108560163925,503448066544.41583,299.6791666666666,8511612738011.434,0,(((((x)*(4))*((x)+((2)*(5))))+(((0)*(8))-((x)*((x)*(x)))))+((((9)+(x))*((x)*(x)))+(((x)-(x))*((x)-((x)*((x)*(x))))))),(((((9)-((x)*(2)))-(((x)*(x))+((2)*(0))))+(((6)/((0)*(1)))*(((2)+(9))+((9)-(x)))))+((((x)*((0)*(x)))+((x)-((x)*(x))))-(((x)*((0)/(9)))/((7)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|SkipD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|MultXD|DeleteNonTerminalR,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,18,18,19,19,1
19,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.3572158427495145,0.21789957712736008,0.3999979877480765,0.4,40971062094.240555,6266.371428054713,701664361915.6664,0,0.9999999925847842,1,0.002942405764029049,0.43292380583259066,636182114895.8744,375.6478315584951,9132048723994.268,0,(((((x)*(x))*((x)+((9)*(7))))-(((6)+((2)*(x)))*((3)*((x)+(9)))))+((((0)+(x))+((x)*((x)*(x))))+(((x)-(x))*((x)-((x)*((x)*(x))))))),(((((3)-((0)-(x)))/((0)*((1)*(x))))+(((6)+((x)+(1)))+((6)+((x)*(7)))))/((((7)*(x))+((1)/((x)-(x))))*(((0)-((0)*(7)))/((x)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithSub|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|AddTreeWithMult|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,19,19,20,20,1
20,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.34355828453297943,0.2216277307988155,0.3974014842994636,0.4,79881654814.44191,1682.0964861288771,1257973842274.713,0,0.9999999981245362,1,0.43800566579541506,0.4088419519693872,2493304442058.63,269.8233221547128,36106326892737.055,0,(((((x)*(x))*((5)*((6)+(1))))+(((2)*((x)+(9)))*((8)*((x)*(9)))))+((((x)+(x))*((x)*(x)))+(((x)-(x))*((x)-((x)*((x)*(x))))))),(((((0)*(7))+((9)*(x)))+(((x)-(3))/((8)*((x)-(x)))))*((((7)*(x))*((x)/(0)))*(((4)/(0))/((x)*((x)-(x)))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|MultXD|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,20,20,21,21,1
