gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11519899939538275,0.32287572810758874,0.3985009988630395,0.4,20070499.732793625,104.45111529774353,300888966.49735886,0,0.9999885981975931,1,0.8613914570716402,0.2209265761425105,308878906.50277823,66.90444444444444,5939070744.632685,0,(((((x)*(0))+((x)*((x)+(2))))*(((5)*(9))/((1)-((4)*(x)))))+((((3)-(0))*((9)*(x)))*(((9)-(6))-((2)*((x)*((x)*(x))))))),((((3)*(8))*((0)/((x)/(0))))/(((x)*(x))/((x)+((x)+(x))))),MultXD|AddTreeWithSub|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|DeleteTerminalR|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,21,20,22,22,4
22,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11293008595907227,0.3257178649830139,0.3600750276610984,0.4,15326721.592375109,100.60194616761576,232482429.46996853,0,0.9999858512249562,1,0.7496037634124068,0.22224142102322755,244246757.7391513,67.30262635542583,4786005212.53341,0,(((((x)*(6))*((5)*((8)*(9))))+(((0)-(6))*((x)/((3)*(x)))))+((((2)+(1))*((x)+(x)))*(((x)*(x))*((7)*((4)-((x)*(x))))))),((((0)-((8)/(6)))/((x)/((x)/(0))))*(((0)/(x))+((8)*((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,22,22,23,23,4
23,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1285254129407328,0.3056993970810156,0.39980649638417937,0.4,22843519.712935325,127.71356670733023,293941184.1088307,0,0.999982032176157,1,0.7209561835649297,0.3045553135281209,196526603.72398663,134.0072222222222,3768743043.277778,0,(((((2)-(x))*((x)*((x)*(4))))*(((8)*(7))+((2)*((x)/(x)))))-((((2)*(9))+((1)+(5)))*(((7)*(7))+((x)*((x)*((x)*(x))))))),((((x)*((x)/(7)))/((3)*((7)/(0))))/(((x)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,23,23,24,24,4
24,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1411960007072312,0.294876497763959,0.3998515151532086,0.4,15556611.851879342,142.3773257287012,189258513.42600712,0,0.999965825453606,1,0.9167379212879958,0.3041041955834676,202542139.85065904,133.80888888888887,1981477978.6856177,0,(((((x)*(8))-((2)*((1)-(0))))+(((9)*(6))-((1)*((9)+(x)))))*((((x)/(3))*((x)+(9)))*(((x)+(x))*((x)*((x)*((9)*(x))))))),((((2)+((5)/(8)))/((x)/((0)/(x))))*(((5)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,24,24,25,25,4
25,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.17871631828432138,0.2948862751926502,0.3997310367014604,0.4,12249306.49397954,175.49338661985405,167801646.84836555,0,0.9999748374495171,1,0.7606911987930977,0.3051134062880287,158819991.5092088,134.25213867543113,2691146557.5420513,0,(((((x)*(x))*((x)+((3)-(1))))*(((x)-(5))-((8)/((3)*(5)))))-((((4)+(x))-((x)*(x)))+(((x)*(x))*((4)*((x)+((2)*(x))))))),((((0)*((3)/(1)))*((8)/((x)/(x))))/(((x)*(x))/((0)+((x)+(x))))),ReplaceBranchR|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|AddTreeWithMult|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,AddToLeafR,DivXD,25,25,26,26,4
26,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.12626080525369354,0.31089161561904727,0.39843077465394067,0.4,24447494.99269422,120.68148453702068,420060526.3782434,0,0.9999930593014706,1,0.6221573632995268,0.21444891529653448,528160037.5222291,64.94277777777776,9756382707.569445,0,(((((x)*(7))*((x)*((x)+(8))))*(((x)*(7))*((0)-((5)+(9)))))+((((5)/(3))*((7)-(8)))+(((9)*(x))+((0)*((x)*((6)*(x))))))),((((7)/((2)*(7)))/((0)/((x)/(0))))*(((x)/(x))+((6)*((5)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,26,26,27,27,4
27,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.14632069825921226,0.30203142890145107,0.3996251144204638,0.3805852866132301,14828161.055273822,132.68106017079606,214048136.16970038,26.293777777777777,0.9999891276401327,1,0.8278139347370164,0.305003032381819,364184025.3126566,134.2037400837608,6228280882.634441,0,(((((x)*(1))*((x)*((6)+(7))))+(((x)*(x))*((x)/((5)-(3)))))*((((x)+(9))+((4)-(1)))*(((x)+(x))*((x)*((8)*((x)*(x))))))),((((1)+((9)*(4)))/((x)/((4)/(x))))/(((x)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,26,27,28,28,4
28,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11816150348904547,0.3208466487954005,0.39884025712217563,0.4,16761741.385552239,107.19984025937427,259225942.44318902,0,0.9999842104328314,1,0.7462262578734389,0.22092657614251046,220453582.79840326,66.90444444444444,4288661645.2362323,0,(((((8)+(6))*((x)*((x)*(x))))*(((x)+(2))*((x)/((3)*(x)))))+((((8)-(7))*((x)+(2)))*(((8)*(x))*((x)*((2)+(8)))))),((((6)/((3)*(0)))/((0)/((6)*(8))))/(((x)*(0))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|MutateTerminalR|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,28,28,29,29,4
29,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.13086556172137676,0.3109707012060341,0.3998162669468499,0.4,19498146.44118347,120.57435778553007,219233613.82717374,0,0.9999821891957997,1,0.8925089542755906,0,411407550.9951539,0,3801968195.8161097,0,(((((x)*(6))+((6)*((x)+(2))))*(((x)*(8))/((7)-((9)*(x)))))+((((5)-(7))-((6)-(0)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),((((6)-((0)/(4)))/((x)/((5)*(8))))/(((x)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|DeleteTerminalR,MultXD,DivXD,29,28,30,30,4
30,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.08524522445243349,0.34052744749462915,0.3945482744144766,0.4,8450320.19182323,80.54504528514654,104726907.37383634,0,0.9999577819336808,1,0.8571295081969059,0,119428310.56399484,0,1603960508.2611113,0,(((((x)*(3))+((4)-((2)*(9))))*(((x)+(2))*((x)/((3)*(0)))))-((((1)*(0))+((2)*(6)))+(((3)*(x))+((x)*((x)*((x)*(x))))))),((((7)*((5)/(9)))/((7)/((x)/(7))))*(((0)*(0))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,30,30,31,31,4
31,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.14738390601427315,0.3157450170578445,0.39958368487438434,0.4,26909656.096234884,114.10841063958487,258034250.4264958,0,0.9999817891222089,1,0.7184506865531987,0.30413675489899106,461337448.761413,133.82321446154242,3718443003.5792217,0,(((((5)+(0))*((x)*((x)*(x))))+(((0)+(1))*((x)/((x)-(5)))))*((((2)-(9))+((9)*(3)))*(((4)+(x))*((x)*((x)*((x)*(x))))))),((((4)/((0)+(5)))/((x)/((0)/(0))))*(((1)*(0))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,30,31,32,32,4
32,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.08650416783542739,0.27514365507138927,0.3992375939937304,0.36208812936360135,31228396.0761279,169.09915492140786,538491987.7290741,51.34488888888888,0.9999896650567598,1,0.7585947652701118,0.22230061411847227,339160733.85838306,67.32055213520948,6552151234.586542,0,(((((x)*(x))*((x)+((2)*(x))))/(((3)*(x))+((9)*((9)*(6)))))-((((x)*(4))+((8)*(8)))+(((9)-(7))+((3)*((x)*((x)*(x))))))),((((5)*((2)/(4)))+((3)/((0)/(x))))/(((x)*(x))/((x)+((x)+(0))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,32,31,33,33,4
33,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11658995169689604,0.30897733438612734,0.3872580123044569,0.4,21774370.885871544,123.27401876677028,237258521.94708446,0,0.9999863423696501,1,0.720478063850667,0.22210798174933077,251701028.15507108,67.26221618548148,4958115674.237778,0,(((((x)*(x))*((3)*((7)*(7))))*(((8)-(x))+((2)*((8)+(4)))))/((((3)*(2))-((2)+(5)))*(((x)+(8))*((x)*((x)*(x)))))),((((x)*((8)/(0)))/((x)/((x)/(x))))*(((0)/(x))+((x)+((2)*(x))))),MultXD|AddTreeWithAdd|SkipD|AddToLeafR|MutateTerminalR|MutateNonTerminalR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|AddTreeWithMult,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,33,33,34,34,4
34,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.20619913934652306,0.31693207528267275,0.3999302671715671,0.4,85238577.58166271,112.50073639855893,984218009.4227426,0,0.9999925926427536,1,0.4395436747182542,0,846680953.9319714,0,9141736905.410913,0,(((((x)*(x))*((x)+((x)+(4))))*(((x)/(8))*((7)-((1)+(1)))))+((((9)*(4))-((7)+(x)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),((((6)*((3)/(0)))+((3)/((x)/(0))))/(((x)*(x))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|AddTreeWithMult|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,34,34,35,35,4
35,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2021043246989051,0.3195749593070538,0.39981017634666793,0.4,64674005.759425335,327.14650591632716,884845122.3888985,0,0.9999964077047552,1,0.5132883311320512,0.22092896791552555,1064389456.238039,66.9051687585926,18850374620.10278,0,(((((x)*(x))*((x)+((2)*(x))))/(((2)*(4))-((1)+((9)-(7)))))+((((6)+(9))*((x)+(6)))*(((8)-(3))*((x)*((9)*((x)*(x))))))),((((0)*((1)/(0)))+((3)/((x)/(0))))*(((x)/(9))*((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DivXD|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,35,35,36,36,4
36,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.23083941866680266,0.32381760289009565,0.39990768681315525,0.4,149398007.74777308,103.17551334810149,2227363464.8673143,0,0.9999990700000984,1,0.8733717747527633,0.2204184163990001,3779231965.7255044,66.75055555555556,72813030406.63445,0,(((((x)*(7))+((7)*((7)*(x))))+(((2)*(x))/((4)*((x)+(9)))))*((((x)-(4))*((7)*(1)))-(((7)+(8))*((x)*((x)*((x)*(x))))))),((((6)+((8)/(0)))/((0)/((0)/(x))))*(((x)/(x))+((3)*((5)+(x))))),MultXD|AddTreeWithAdd|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,36,36,37,37,4
37,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2617809587428407,0.32869003976170624,0.3999199586753038,0.4,108701774.35222751,96.57845105428359,1478181170.7809942,0,0.9999976870627325,1,0.4958553201497816,0.2182958863511966,1831206954.5918777,66.10777777777778,29277106673.723595,0,(((((x)*(x))+((7)*((x)+(x))))*(((7)*(8))*((1)-((x)/(3)))))*((((x)+(6))-((1)*(x)))+(((1)-(9))*((x)*((x)*((x)*(x))))))),((((9)*((5)-(1)))/((0)/((3)/(6))))/(((x)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|SubXD,MultXD,DivXD,37,37,38,38,4
38,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.28938272320444347,0.32869725676740286,0.39997397314217814,0.4,161566124.5566187,96.56688971412541,1927744273.7737234,0,0.9999968737186741,1,0.4664488590391873,0,1511518739.0040689,0,21660274316.32222,0,(((((x)*(x))*((x)*((2)-(6))))+(((6)+(2))*((x)/((9)-(5)))))*((((8)-(5))+((9)+(9)))*(((x)+(8))*((x)*((x)*((x)*(x))))))),((((4)*((5)*(x)))/((8)/((x)/(x))))/(((x)*(x))/((0)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|MultXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DeleteMaliciousR,38,38,39,39,4
39,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.25287990042053643,0.31278312164350813,0.3999448498155685,0.4,215101384.78489628,118.12065518686734,2471830691.7168303,0,0.9999980677508554,1,0.8117770831251895,0.30497735910502627,3185331119.8741813,134.19238283173118,35045227631.83055,0,(((((x)*(7))*((6)-((9)*(7))))-(((7)-(0))+((x)+((8)*(x)))))/((((3)*(6))+((6)+(0)))*(((x)*(x))*((x)*((x)*((x)*(x))))))),((((x)*((2)+(2)))/((x)/((0)/(5))))/(((x)*(x))/((x)+((x)+(x))))),MultXD|MultXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,39,39,40,40,4
40,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.28094555364317086,0.29447083183357736,0.3999897438399813,0.4,179021224.35634032,142.9210154791077,2508704003.8149157,0,0.9999956485508834,1,0.8319714601421223,0.3041041955834676,1080686078.9267955,133.80888888888887,15561738008.655558,0,(((((x)*(x))*((x)+((2)*(x))))-(((1)-(9))/((3)*((9)-(6)))))+((((0)*(x))+((6)-(3)))*(((x)*(3))*((x)+((5)*((x)*(x))))))),((((2)+((4)/(x)))*((x)/((x)/(0))))/(((x)*(0))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,40,40,41,41,4
41,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.26298077155470095,0.28642341953345335,0.3997581288232847,0.4,129839808.85797113,154.45896088985185,1737037268.567483,0,0.999994732166223,1,0.8103462867491433,0.3059147604706478,896212499.6951939,134.60555555555555,12854640821.535353,0,(((((x)*(7))+((7)*((x)*(x))))+(((7)+(9))*((4)-((8)-(6)))))/((((3)*(2))+((9)*(6)))*(((3)+(x))*((x)*((x)*((x)*(x))))))),((((0)-((1)/(0)))/((x)/((0)/(x))))*(((x)/(7))*((5)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,41,41,42,42,4
42,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2797996199913247,0.3059183326223634,0.39993816537721044,0.4,246977913.84584963,127.41689283325279,4127961947.105598,0,0.9999994764063871,1,0.43927148867400306,0.2209265761425104,6585493169.713781,66.90444444444444,129329520926.32889,0,(((((x)*(9))*((2)-((5)-(8))))*(((7)*(x))*((8)+((2)*(x)))))/((((3)*(3))+((7)+(5)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),((((1)*((0)/(3)))/((6)*((0)/(x))))/(((x)*(x))/((x)+((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,42,41,43,43,4
43,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.3037412829331585,0.2988846560924579,0.3999813861004874,0.4,134909586.60602912,136.9434491721551,1739035141.6415958,0,0.9999965053065927,1,0.479390501939523,0,1071781625.730992,0,19376838886.32222,0,(((((7)+(4))*((x)*((x)+(6))))-(((3)*((x)/(5)))-((4)*((2)-(5)))))+((((4)-(2))*((x)+(4)))-(((1)*(x))*((x)*((x)-((x)*(x))))))),((((0)*((0)/(4)))/((x)/((x)/(0))))*(((x)/(x))+((9)*((6)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|SubXD|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|DivXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,42,42,44,44,4
44,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.2174539540863876,0.3221808469753294,0.32127883205254804,0.4,213151659.59373763,106.44459974928127,3508384158.996611,0,0.9999991004521265,1,0.6006046401623271,0.2209265761425105,3880798368.4115615,66.90444444444444,75277940289.25555,0,(((((1)*(x))*((6)-((9)+(0))))+(((5)-(0))+((x)-((4)*(x)))))*((((3)*(x))+((0)+(8)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),((((2)+((0)/(x)))/((5)/((0)/(x))))*(((x)/(x))+((x)+((3)*(9))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,44,44,45,45,4
45,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.28335176025922465,0.32146169328646773,0.3999623481700814,0.4,26199804143.90147,107.65785374769038,522793669227.3092,0,0.9999999921861953,1,0.6915350058452304,0.3044002678511366,433542093314.28937,133.93909333030086,8666215023027.856,0,(((((x)*(4))*((8)-((x)*(x))))+(((7)-(8))*((x)*((2)+(1)))))*((((x)*(x))+((9)*(x)))+(((x)*(1))-((3)*((x)*((x)*(x))))))),((((1)-((6)/(2)))/((x)*((3)/(0))))/(((x)*(x))/((x)/((x)+(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|AddXD|AddXD|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,45,45,46,46,4
