gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1304841509286257,0.32512872551029426,0.39927675183518596,0.4,149193388.09708244,101.39983089482875,2870533417.589996,0,0.9999993948937516,1,0.8253261030311067,0.2235545324789503,5830090195.949263,67.70028332351322,111907803437.6111,0,(((((x)*(x))*((3)-(x)))+(((2)*(x))+((3)*((x)*(5)))))*((((x)/(5))-((3)*(x)))*(((x)*(x))*((x)*((x)-(x)))))),((((0)/(0))+((0)-(3)))*((7)/((x)/((x)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,21,20,22,22,6
22,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.12459859445317477,0.31307588206799114,0.3896655725609874,0.4,115914705.35811041,117.72326942058595,2100272151.0761395,0,0.9999989190475129,1,0.9163722006635149,0,3154295370.4014063,0,62644854352.82222,0,(((((x)*(5))-((4)*(5)))*(((x)*(x))+((8)*((x)*(3)))))*((((x)+(9))*((x)*(3)))/(((4)*(6))+((x)*((x)-(x)))))),((((2)/(6))-((0)/(0)))-((4)/((x)/((8)*(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,22,21,23,23,6
23,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.11497812615943304,0.3278681283422904,0.3986556367749278,0.4,36379130.98937065,97.78978605543244,480218120.83839446,0,0.9999915181966219,1,0.9926301739922214,0,949230984.9197433,0,7983692629,0,(((((x)*(x))*((7)+(8)))+(((3)+(x))*((x)+((3)*(x)))))+((((9)*(4))-((0)-(5)))-(((1)*(x))+((9)*((x)*(x)))))),((((0)-(0))/((0)+(5)))/((3)/((0)*((2)/(x))))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|DivXD|DivXD|DeleteNonTerminalR|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,23,22,24,24,6
24,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.07199411334731115,0.3370030570269394,0.3988611646492492,0.4,540121223.1071882,85.31820262687273,10282115984.384214,0,0.999999732396451,1,0.8068827742207543,0,12653778444.155218,0,253046386597.8889,0,(((((1)+(x))*((x)*(x)))*(((7)/(3))*((x)*((3)*(x)))))+((((9)*(0))-((x)*(6)))*(((3)-(3))*((x)*((x)-(x)))))),((((7)+(6))/((3)/(0)))*((0)/((x)*((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,24,24,25,25,6
25,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.05657600573605192,0.3410184926621353,0.3907935528136889,0.4,28258026747.9417,79.87999076173236,564995319814.1349,0,0.9999999975963463,1,0.973898448665749,0.2235490655692019,1408628594979.384,67.69862774831746,28172156464834.6,0,(((((x)*(x))*((x)+(1)))+(((3)*(6))*((x)*((5)-(7)))))/(((4)*((x)*(9)))*(((x)*(x))*((x)*((x)*(x)))))),((((0)+(5))/((2)-(0)))*((0)/((0)/((0)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,25,25,26,26,6
26,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.038942990384543706,0.3370018126589225,0.399915179347688,0.4,741530251.2244114,85.31993964283225,19237328498.70056,0,0.9999998123519721,1,0.9147097498138564,0.22354086520457916,18190824608.74151,67.69614438552381,360867693961.1555,0,(((((4)*(x))*((x)+(0)))-(((0)*(x))*((6)*((x)*(6)))))/(((6)+((9)*(x)))*(((x)+(0))-((9)*((x)*(x)))))),((((2)-(0))-((0)*(0)))/((x)/((0)/((x)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|DivXD|DivXD|AddTreeWithMult|MultXD|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithDiv,MultXD,AddTreeWithDiv,26,26,27,27,6
27,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.026918694288861015,0.3490826222685612,0.3889214798742814,0.4,503871565.43700683,68.95853731714122,9903038549.274153,0,0.9999996750779595,1,0.92168188653939,0,10475027601.737808,0,208407256759.1889,0,(((((9)*(3))*((x)*(x)))+(((5)+(4))-((6)*((x)*(3)))))*((((x)+(1))*((8)*(x)))*(((x)+(1))-((7)*((x)*(x)))))),((((9)*(1))+((4)+(0)))/((0)/((0)/((x)+(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|MultXD|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|DivXD,MultXD,DeleteTerminalR,27,26,28,28,6
28,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.0018064118368468073,0.3430745379133146,0.39985516206112437,0.4,157932904.1732521,77.09542386758211,2726001966.6536064,0,0.9999990486931822,1,0.9597131592325037,0,3708492780.2020507,0,71182198900.88889,0,(((((x)*(x))*((x)+(2)))*(((x)*(8))-((4)*((9)*(x)))))+((((9)+(3))/((1)+(5)))-(((8)-(7))*((x)*((x)*(x)))))),((((6)/(0))+((0)*(3)))*((x)/((7)/((x)/(x))))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,28,28,29,29,6
29,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.0036688297337595065,0.3421161549069899,0.39898490690602983,0.4,1319196591.3801928,78.39338034241057,24703240489.017143,0,0.9999999173087721,1,0.9491200588525828,0.2222419210381676,40952608569.03898,67.30277777777778,818903199860.2223,0,(((((x)*(x))*((x)+(2)))*(((2)*(4))*((9)+((7)-(3)))))*((((9)/(8))*((9)*(8)))*(((x)*(x))+((x)*((x)*(x)))))),((((1)/(2))+((7)*(0)))/((0)*((9)/((x)+(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddXD,MultXD,DeleteTerminalR,29,29,30,30,6
30,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.012192802408683492,0.34810489234959335,0.3999860315968583,0.4,8707718568.481573,70.28294768736357,167309377929.7584,0,0.9999999865050893,1,0.9388746470954067,0,251003565947.22144,0,5017899915823.4,0,(((((x)*(8))+((5)*(x)))+(((9)*(x))*((3)*((x)*(9)))))*((((x)*(4))/((8)-(5)))*(((6)*(4))+((x)*((x)*(x)))))),((((9)+(0))/((4)*(0)))/((0)/((2)/((8)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,30,29,31,31,6
31,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.012912002837200955,0.34973174875662394,0.3999643078221041,0.4,3368013113.021461,89.43535131330657,65707984374.36978,0,0.9999999272482536,1,0.9142505645877841,0,46645483526.661804,0,930783306502.1,0,(((((x)*(x))+((1)-(8)))+(((2)*(x))*((9)*(4))))*(((x)*((x)*(x)))*((x)+((x)*((x)*(x)))))),((((x)/(5))/((2)*(0)))/((0)+((0)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|FellTreeD|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,31,31,32,32,6
32,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.0077087923017046455,0.3400245378555825,0.3999358110370141,0.4,266713660.24292696,81.22616792488432,4675777829.938694,0,0.9999988237435775,1,0.7541998830004472,0,3071693564.7154474,0,57569174389.58888,0,(((((x)*(x))*((x)+(2)))*(((6)-(8))-((4)/((6)+(3)))))*((((x)-(9))-((x)*(4)))*(((2)*(x))*((x)*((x)*(x)))))),((((9)/(3))*((7)+(0)))/((3)/((0)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,31,32,33,33,6
33,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.016139760633552196,0.3740998134525683,0.39995139923325246,0.4,610805020.5650797,35.07719834955581,11661283724.978888,0,0.9999994397403259,1,0.9147895977638825,0,6082853425.653678,0,120865581173.6,0,((((x)*((x)*(9)))+(((x)*(9))-((x)*(7))))+(((3)*(x))*((x)*((x)*((x)*(x)))))),((((3)+(0))*((8)-(7)))/((0)/((x)/((0)+(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|ReplaceBranchXR|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,DeleteNonTerminalR|SubXD|FellTreeD|AddTreeWithSub|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddXD,MultXD,DeleteTerminalR,33,33,34,34,6
34,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.027543015712192948,0.37601802212477653,0.36386969267564795,0.4,2740801514.4019046,32.47951210349923,53464797894.8604,0,0.9999999718828703,1,0.8998302432792127,0,120552910288.08989,0,2408357890709.967,0,(((((x)*(x))*((6)-(3)))+(((x)*(x))*((x)-((3)*(7)))))*((((8)*(x))-((8)*(x)))*(((x)+(7))-((1)*((x)*(x)))))),((((5)/(4))/((0)/(3)))+((0)/((x)/((6)*(2))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,33,34,35,35,6
35,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.02300746760323805,0.3789673882566278,0.3999520559422321,0.4,5337086522.922833,28.48734261823949,105702277098.25977,0,0.9999999855928144,1,0.898257034321484,0,235038412833.72183,0,4700162367455.255,0,(((((x)*(x))*((x)*(4)))-(((x)-(6))*((5)*((x)*(4)))))/(((1)*((7)-(9)))*(((9)*(x))*((x)*((x)*(x)))))),((((x)/(0))+((6)/(2)))/((5)*((0)/((0)/(x))))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddTreeWithSub|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,35,35,36,36,6
36,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.0020169352020830995,0.3859226779994676,0.3999136949747242,0.4,1930145902.3207035,19.07122632505907,38266609491.60374,0,0.9999999585362558,1,0.9568478297180046,0,81668442127.58269,0,1633140286074.322,0,(((((x)*(9))+((1)*(7)))*(((x)+(2))*((x)*((3)*(1)))))+((((9)*(6))-((5)+(9)))*(((x)*(x))*((x)-((0)*(x)))))),((((1)*(7))/((0)/(x)))+((0)/((0)/((9)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,36,36,37,37,6
37,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.00279915807595259,0.38099274174197284,0.3603293658279027,0.4,1439578808.010636,25.742156872402834,27316274221.49686,0,0.999999920159951,1,0.9542215184488658,0,42564339882.33368,0,848147163495.1666,0,(((((x)*(x))*((x)+((2)*(x))))*(((3)*(x))*((7)-((x)*(1)))))+((((0)*(x))*((x)-(5)))*(((6)*(3))/((8)*((x)*(x)))))),((((5)/(7))+((0)/(0)))/((3)*((8)/((x)/(0))))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MultXD|AddRandomSubTreeR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|MutateTerminalR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,36,37,38,38,6
38,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.05116192269645426,0.37600787552070125,0.39991627424885534,0.4,257519991.88759434,32.49306734063602,4367664093.089072,0,0.9999986129485706,1,0.8878261571141319,0,3404406598.102591,0,48820187686.833336,0,(((((x)*(6))*((1)/(6)))-(((8)*(8))*((2)*((x)*(3)))))+((((3)*(1))+((0)-(1)))*(((x)*(x))*((x)*((x)*(x)))))),((((3)*(2))/((1)+(9)))/((0)/((0)/((x)/(0))))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|SkipD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,38,38,39,39,6
39,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.06642782752123817,0.3750094921906305,0.3998273845820976,0.4,27158373553.538994,33.84520007084713,535205560429.29736,0,0.9999999965792026,1,0.9657533543989381,0,991257043675.4847,0,19795416445624.08,0,(((((x)*(6))+((x)*((6)/(1))))*(((x)+(2))*((x)*((3)*(7)))))-((((6)-(2))*((9)+(9)))*(((x)*(x))*((x)*((x)*(x)))))),((((5)/(0))+((0)/(1)))/((x)/((0)*(6)))),MultXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MultXD|AddRandomSubTreeR|MultXD,DivXD|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|SkipD,MultXD,DeleteTerminalR,39,37,40,40,6
40,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.05128541120039902,0.376869224426356,0.39988444653533334,0.4,615111585.1582319,31.32656653246348,10215825976.214651,0,0.9999995373927295,1,0.9087786940369497,0,9784907628.814886,0,146379262578.93332,0,(((((5)*(x))*((x)+(2)))*(((x)-(3))-((5)*((0)*(x)))))+((((5)/(9))+((9)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((((0)/(0))+((6)/(8)))*((x)/((4)/((9)/(0))))),MultXD|MultXD|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithDiv,MultXD,AddTreeWithDiv,40,40,41,41,6
41,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.017390277507203636,0.3757204243091435,0.36660945759329744,0.4,1404952450.5021877,32.9851586611796,26719958442.72169,0,0.9999999425251851,1,0.8184249960721948,0,60311755995.667885,0,1178187546035.178,0,(((((x)*(x))*((x)+(2)))*(((x)*(x))+((9)*((x)+(9)))))*((((x)-(x))+((2)/(2)))-(((9)*(0))*((x)*((x)*(x)))))),((((0)/(8))/((7)+(1)))*((5)/((3)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,41,41,42,42,6
42,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.09096338729712157,0.38093893775955684,0.39999230017764326,0.4,19447977433.54974,25.81924085746805,373609269882.12244,0,0.9999999959733039,1,0.7881126039568173,0,857679613068.4636,0,16816792139879.7,0,(((((4)-(8))+((7)-(4)))*(((7)*(x))+((2)*((x)*(3)))))*((((x)+(9))*((x)*(x)))*(((7)*(3))*((x)*((x)*(x)))))),((((2)/(1))+((0)/(7)))/((3)/((1)*((4)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,42,42,43,43,6
43,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.13213286216264014,0.3640166442214109,0.3999919097890683,0.4,17625942405.86522,48.73305836107169,320075117387.3578,0,0.9999999934281365,1,0.8487857246967052,0,515625870858.29376,0,10303943625289.29,0,(((((9)*(9))*((2)+(4)))-(((3)*(x))+((7)/((9)*(x)))))*((((3)*(x))*((9)*(x)))*(((x)*(x))*((x)-((x)*(x)))))),((((1)/(0))+((0)/(7)))/((x)/((0)*(6)))),MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|SubXD|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|MultXD,DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|MutateNonTerminalR|SkipD,MultXD,DeleteTerminalR,42,43,44,44,6
44,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.14408469484468023,0.3910024517460461,0.3999785550602666,0.4,126236443770.48659,12.185579545846535,2281933868629.103,0,0.9999999988360935,1,0.8501944623047096,0,3441079359534.212,0,58180021831606.945,0,(((((x)*(x))*((9)*(9)))-(((5)+(2))*((4)*((6)*(3)))))*((((6)+(9))*((x)*(x)))*(((1)-(x))*((x)*((x)*(x)))))),((((7)+(0))/((3)/(0)))/((x)/((0)*(0)))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD,DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|SkipD,MultXD,DeleteTerminalR,44,44,45,45,6
45,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1588329184996975,0.3709994398562298,0.3999426839439294,0.4,560888905908.693,39.27699788039029,11174315854567.148,0,0.999999999878471,1,0.7835001538493946,0,27934310702816.145,0,557201113080209.2,0,(((((x)*(x))*((x)+(2)))*(((9)*(3))-((x)-((9)*(3)))))-((((0)*(5))*((9)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((((0)+(5))/((9)/(5)))/((0)*((x)/((x)/(0))))),MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD,AddTreeWithMult|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,45,45,46,46,6
