gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.13241792131360863,0.286028573957324,0.39595679243787274,0.4,325034650.09156543,154.35437368358578,6376946292.051596,0,0.9999997272181096,1,0.9099464196810592,0.22355735479104763,12416811750.80024,67.70113802024649,248242693129.2222,0,(((((x)*(6))*((9)*(6)))*(((2)*(x))*((5)-(3))))*(((5)*((x)*(9)))*(((x)*(x))-((3)*((x)-(x)))))),((((9)-(7))/((9)/((4)+(1))))*((0)/((0)/((x)/(0))))),MultXD|MultXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteTerminalR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,11,11,12,12,6
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.12229650540308952,0.3320297445713946,0.39733790472758385,0.4,77869629.30255884,92.05376725331847,1478822387.9759872,0,0.9999983844573027,1,0.9055468077729566,0,2173511374.0515146,0,41915395507.65278,0,(((((x)*(x))*((x)-(2)))*(((7)*(9))*((3)*((1)-(7)))))/((((4)+(x))*((7)*(x)))*(((9)-(2))*((x)+((x)-(x)))))),((((2)+(5))*((2)/((9)*(5))))/((1)/((x)/((0)/(0))))),MultXD|MultXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|AddXD|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,12,12,13,13,6
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1451448272718072,0.3220492219911323,0.396113677460854,0.4,89410603.4429454,105.57068042668216,1557685568.3040576,0,0.9999988281069353,1,0.8069162495920259,0.22355726593382466,3431345229.4550095,67.7011111111111,57783524072.31112,0,(((((x)*(x))*((x)-(2)))*(((x)*(3))*((x)-((8)+(9)))))*((((x)*(x))/((9)-(1)))*(((4)-(x))*((x)*((x)-(x)))))),((((1)/(9))*((0)+((5)/(0))))/((9)/((9)*((6)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|DeleteMaliciousR,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,13,13,14,14,6
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.10630563922088049,0.32203647975525207,0.3932578510426607,0.4,36345151.53464048,105.58978587703899,693560123.342144,0,0.9999951421580858,1,0.9080235546435689,0,717092469.2397377,0,13939546059.011112,0,(((((x)*(x))*((x)+(4)))*(((x)*(5))*((4)*((6)+(5)))))/(((7)+((9)*(x)))*(((9)-(2))*((x)+((x)-(x)))))),((((6)/(4))/((0)*((9)+(0))))/((6)*((4)/((6)/(x))))),MultXD|MultXD|SkipD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|AddXD|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithDiv|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,14,14,15,15,6
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.09840805724245845,0.3260807839066161,0.3992064972757134,0.4,37761654.16282539,100.11045048134078,688709632.7194304,0,0.9999948276240928,1,0.8812132749924259,0.22354323637137458,656663666.5803187,67.69686245937393,13091877374.122223,0,(((((x)*(x))*((7)-(4)))/(((x)*(2))*((x)+(3))))*(((x)+((9)*(x)))*(((2)*(x))*((x)*((x)-(x)))))),((((8)+(3))*((5)/((x)/(8))))/((0)*((5)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|SkipD|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,14,15,16,16,6
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1463337696850476,0.320042078693833,0.39098392729967285,0.4,16504220.59733348,108.28879672119882,290317917.90363824,0,0.9999913855543745,1,0.7528912387937747,0.22355726593382455,403644334.7137194,67.7011111111111,7860762497.6,0,(((((x)*(x))+((9)-(4)))+(((4)+(8))*((x)*((5)*(x)))))/((((1)*(8))+((9)*(x)))*(((x)+(6))-((8)*((x)-(x)))))),((((5)*(9))+((7)/((0)+(0))))/((x)/((6)/((6)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|SkipD|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DivXD,16,15,17,17,6
17,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1332992228281829,0.3160637048350304,0.3978681126175276,0.4,46973000.40476657,113.67683862988204,843383082.5885617,0,0.9999961871618358,1,0.9830203562755218,0.22355376582924533,1020338747.4224478,67.70005115464747,17760027621.055553,0,(((((x)*(9))+((6)*(x)))+(((2)*(x))-((x)-((0)-(8)))))*(((x)+((9)*(x)))*(((x)*(x))+((7)*((x)-(x)))))),((((5)/(0))-((8)+((6)/(7))))/((x)/((1)*((0)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,17,17,18,18,6
18,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1206703317327131,0.3150861586685823,0.3801310210502131,0.4,32660317.931042753,115.00070786718634,580013147.4678189,0,0.9999947082079507,1,0.8421969394617315,0.2235419321423344,643746667.8341621,67.696467492318,12796442203.1,0,(((((x)*(x))*((9)*(6)))+(((4)-(5))-((4)*((x)*(3)))))+(((3)/((1)*(9)))*(((x)*(3))+((x)*((8)*(x)))))),((((3)/(3))+((7)*((8)+(7))))/((4)/((0)/((0)/(x))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR,DeleteNonTerminalR|SubXD|FellTreeD|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DeleteTerminalR,18,18,19,19,6
19,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1464774862391803,0.3299570896556252,0.3967279197175616,0.4,85299279.64520599,118.72850900173887,1615145699.1697245,0,0.9999991030315772,1,0.872209921071196,0,3847801495.325219,0,75494420311.53334,0,(((((x)*(x))*((x)+(2)))*(((x)+(3))*((x)*((2)*(2)))))-((((x)*(x))*((5)*(4)))*(((x)/(1))+((x)*((x)-(x)))))),((((5)/(8))+((1)*((0)/(0))))*((0)/((x)/((x)/(x))))),MultXD|AddToLeafR|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv,DeleteNonTerminalR|SubXD|FellTreeD|AddRandomSubTreeR|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,DivXD,19,19,20,20,6
20,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.1378260099247389,0.3309512338863471,0.3986404726828167,0.4,83462638.26150984,93.51832716549012,1607796326.1118264,0,0.9999988626969615,1,0.6641525797287635,0,2977091260.956258,0,59540956826.666664,0,(((((x)*(x))*((x)*(0)))+(((7)*(x))*((9)-((3)*(x)))))-((((7)/(7))+((0)*(x)))*(((x)+(6))-((8)*((x)-(x)))))),((((0)*(0))/((3)/(4)))-((0)*((7)/((x)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|SubXD|FellTreeD|MultXD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|DivXD|DivXD|AddTreeWithMult|AddToLeafR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,20,19,21,21,6
