gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.11310212302751094,0.30108230307894057,0.39091190836696954,0.4,4683372422.911637,133.96768642030386,81846578127.38454,0,0.9999999820651825,1,0.5999463376698811,0.22486548553864982,210108063698.39728,68.09944444444444,3775678855165.4116,0,(((((3)*(6))*((x)*(6)))+(((1)+(2))*((x)-((2)*(x)))))+(((x)*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),(((7)*((3)/(0)))+((x)-(0))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,10,11,12,12,7
12,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1586329244243355,0.3076384644432449,0.3998626400488126,0.4,1399058495300.8687,133.2373890463106,27120696262784.1,0,0.9999999999452952,1,0.5643441034201515,0,63284333923388.2,0,1237843107206028,0,(((((x)*(1))+((9)*((x)+(2))))-(((8)*(x))*((3)*((x)+(9)))))*((((x)-(x))*((x)*(5)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),(((2)/((0)+(0)))-((5)*(5))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,AddXD,12,12,13,13,7
13,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.15229122855959745,0.3014813604087941,0.39781409672799223,0.4,264137362182.96957,133.4303075089637,5134557109352.156,0,0.99999999924229,1,0.8627563254481866,0,4500234193607.511,0,89369428573387.17,0,(((((x)*(x))-((1)*(0)))+(((3)*(8))*((9)*((x)-(1)))))*((((x)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),(((9)*((9)/(0)))/((0)+((x)-(x)))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|FellTreeD|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult,MultXD,DeleteTerminalR,12,13,14,14,7
14,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.20605162034957003,0.30696583484919343,0.39996408086205854,0.38023529604804374,301699699868.8449,126.00285068668705,4655080793957.322,26.767777777777777,0.9999999993642418,1,0.6063768847297336,0,6139218825814.178,0,106512357124594.02,0,(((((x)+(x))*((x)+(6)))*(((x)-(3))*((x)*((7)*(8)))))*((((9)-(x))*((x)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),(((0)/(0))+((x)-(x))),MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MultXD|AddRandomSubTreeR|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|AddToLeafR,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,13,14,15,15,7
15,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.15855536569286527,0.3540740327908184,0.3999977542543283,0.4,4380162339928.1846,62.19899044189019,85287427523082.14,0,0.9999999999798269,1,0.7120166946876657,0,172708568938535.2,0,3356747581036963.5,0,(((((x)*(1))*((3)*((x)+(2))))*(((x)*(3))*((x)*((5)*(8)))))+((((9)*(x))-((x)*(x)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),(((0)/(0))+((0)-(0))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,15,15,16,16,7
16,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.20888000035330317,0.34496952978712936,0.3999994353605642,0.4,12661952695033.145,74.52977651542518,252832703848206.9,0,0.999999999994529,1,0.6673700192579309,0,619218161061918,0,12377375502249484,0,(((((x)*(6))*((5)*((x)*(8))))*(((x)*(3))*((1)-((4)+(8)))))*((((5)*(x))-((x)*(x)))*(((x)+(0))*((x)*((x)*((x)*(x))))))),(((3)/((0)*(3)))/((3)+(x))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult|DeleteTerminalR,MultXD,DeleteTerminalR,16,16,17,17,7
17,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.21628684869182668,0.37004141347259645,0.3999970598636366,0.4,11948808124510.19,40.57370250454123,235964887507485.56,0,0.9999999999939271,1,0.8520938629317064,0,561264521458755.4,0,11150545473499236,0,(((((x)*(x))*((x)+((2)*(x))))*(((3)*(x))*((4)+((9)*(x)))))-((((4)-(x))*((x)*(x)))*(((5)+(x))*((x)*((x)*((x)*(x))))))),(((0)/((3)/(0)))+((0)-(x))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult|DeleteTerminalR,MultXD,DeleteTerminalR,17,17,18,18,7
18,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.20556857389703015,0.37395324993210244,0.39999979285497467,0.4,3923003007553.1035,35.27588099206349,78067209758200.95,0,0.9999999999777789,1,0.8472081344432668,0,152373000266612.06,0,3047376628751370.5,0,(((((x)*(x))*((3)*((7)+(2))))*(((x)*(x))*((x)*((x)-(x)))))*((((6)-(4))*((8)*(x)))+(((x)*(x))*((x)*((x)*(x)))))),(((0)/(0))+((0)-(0))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,18,18,19,19,7
19,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.22045763492006568,0.3879770830941658,0.3999993055436454,0.4,2324799635896.9463,16.283085185185186,44802969708789.984,0,0.9999999999558757,1,0.09530621107735408,0,76737793812018.22,0,1534664448584471.5,0,(((((x)*(x))*((x)+((2)*(x))))-(((3)*(0))+((x)*((8)*(7)))))-((((2)*(x))-((x)*(x)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),(((0)/(0))+((0)-(0))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|ReplaceBranchXR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,19,19,20,20,7
20,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1953889470941769,0.38801224222872155,0.3670718894876518,0.4,12929255904695.04,16.23533333333333,257509197913374.84,0,0.9999999999945792,1,0.8015074671866906,0,625728478300334.9,0,12491886235186460,0,(((((x)*(x))*((x)+((0)*(4))))*(((x)*((8)+(3)))*((2)*((x)+(9)))))*((((x)-(0))*((5)*(x)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),(((0)/(0))+((0)-(x))),AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|DeleteTerminalR|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|MultXD,AddXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|SkipD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|SubXD|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,20,20,21,21,7
