gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
41,x*x*x*x,25,-10,-0.03840236112926415,0.01150157775827623,-0.03839898313945889,0.011695203241406353,244.4707,244.2064,244.9876,242.5472,-0.959921578878578,0.29529753346901433,0.00006739600613924978,0.005128333527786864,6123.65,6102.26,6132.8,6038.68,((5)-((8)-(9))),(((9)*((7)+(8)))+((6)+((2)*(5)))),FellTreeD|SubXD|AddToLeafR|ReplaceBranchR|AddToLeafR,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,41,41,42,42,4
42,x*x*x*x,25,-10,-0.03840173506731146,0.011308080643053197,-0.03839895699908509,0.011500504135780574,244.56650000000002,245.86450000000002,244.99160000000003,244.21559999999997,-0.9599009279832702,0.2893926097428908,0.00005757631207379477,0.0018391620143025367,6127.66,6112.92,6135.96,6089.28,(((0)-(x))*((6)+(3))),(((9)+((7)*(1)))*((0)+((1)+(2)))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,42,42,43,43,4
43,x*x*x*x,25,-10,-0.03839832963011371,0.011424603693261388,-0.038393464906548165,0.011509419870418435,245.0876,244.86599999999999,245.832,244.13920000000002,-0.9597908770095414,0.2914931754952668,0.00011893630699216594,0.0027927253445966032,6132.6,6107.13,6152.8,6071.28,(((0)-(5))*((7)-(3))),((((8)+(9))+((2)+(7)))*((3)-((5)*(0)))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,43,43,44,44,4
44,x*x*x*x,25,-10,-0.038399172657169,0.011447546539201228,-0.038392419291595876,0.011517355341038522,244.95860000000002,244.66940000000002,245.99200000000002,244.07119999999998,-0.9594706574304014,0.2893926097428908,0.00027320288341134647,0.0017718302007395613,6141.52,6111.42,6201.8,6089.28,(((0)-(9))*((0)+(9))),((((8)*(0))*((0)+(8)))-((8)+((8)*(1)))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,44,44,45,45,4
45,x*x*x*x,25,-10,-0.04099917004313162,0.01145454842504248,-0.03839460201280878,0.011486080250947592,229.657,244.60940000000002,245.65800000000002,244.33919999999998,-0.9596340347666973,0.2871520062736898,0.00019998045156163587,0.0006276462996049456,6130.91,6113.08,6176.8,6108.48,(((0)-(4))*((7)+(7))),(((2)+(0))+((8)+(6))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|DeleteNonTerminalR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,45,45,46,46,4
46,x*x*x*x,25,-10,-0.038401076329891516,0.011387038575723063,-0.03839903280616913,0.011473710252628045,244.66729999999998,245.18789999999998,244.98,244.4452,-0.9599380473140766,0.2872220251321023,0.00005979821198982475,0.0005622798035222958,6118.49,6114.9,6130.28,6107.88,(((0)-(5))*((x)-(1))),((9)+(8)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,46,46,47,47,4
47,x*x*x*x,25,-10,-0.038400631290027444,0.011455785424874434,-0.03839945628022481,0.011473663573389102,244.7354,244.59880000000004,244.9152,244.44560000000004,-0.9599542543458373,0.28670855350374375,0.00004399899389113629,0.00025564431169680326,6122.98,6113.56,6127.8,6112.28,(((0)-(8))+((5)-(6))),((6)+(5)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,47,47,48,48,4
48,x*x*x*x,25,-10,-0.03840069860149,0.011462367197565215,-0.0383960789439289,0.01147721119554867,244.7251,244.5424,245.43200000000002,244.4152,-0.9597647366357339,0.2870633157197006,0.00011767705597551112,0.00038574443842277317,6130.05,6112.85,6156.8,6109.24,(((3)*(0))-((4)*(9))),((7)+(8)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,48,48,49,49,4
49,x*x*x*x,25,-10,-0.04359952192160792,0.011458644528259612,-0.038398104822898974,0.011475437384468885,214.30115555555557,244.5743,245.122,244.43040000000002,-0.959921578878578,0.2868859346117221,0.00003847662645209052,0.00021849258167206688,6124.57,6112.73,6132.8,6110.76,(((0)-(x))+((2)+(8))),((4)+(9)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,49,49,50,50,4
50,x*x*x*x,25,-10,-0.03839906221408966,0.011473605224340426,-0.038395948242059864,0.011500270739585865,244.97549999999998,244.4461,245.452,244.21759999999998,-0.9598170173833487,0.2886457419198238,0.00013233646533478892,0.0009640166997386848,6129.67,6105.79,6148.8,6095.68,(((0)-(7))*((4)-(0))),((4)*((6)+(x))),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|ReplaceBranchR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,50,50,51,51,4
51,x*x*x*x,25,-10,-0.03839915435890734,0.011458492820733053,-0.03839534178538753,0.011487480628115842,244.9614,244.57559999999998,245.5448,244.3272,-0.9596340347666973,0.2872220251321023,0.00018255033864430012,0.000437757361903665,6135.17,6113.08,6176.8,6107.88,(((9)*(0))-((7)*(8))),((9)+(8)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|AddTreeWithSub|DeleteTerminalR|AddTreeWithDiv,AddToLeafR,AddTreeWithAdd,51,51,52,52,4
52,x*x*x*x,25,-10,-0.03839946869690237,0.011446379558227684,-0.038394706574304015,0.01147221651698191,244.9133,244.6794,245.642,244.458,-0.9598692981309633,0.2871520062736898,0.00007102340846258098,0.0004159955721784633,6127.969999999999,6113.799999999999,6140.8,6108.48,(((0)-(4))*((5)-(0))),((8)+(8)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,52,52,53,53,4
53,x*x*x*x,25,-10,-0.03840041759247157,0.01145794433967549,-0.03839509867991113,0.011476884440876078,244.76810000000006,244.5803,245.582,244.418,-0.9597647366357339,0.2871520062736898,0.00014591152981114624,0.0002814303923057784,6123.96,6111.969999999999,6156.8,6108.48,(((0)-(1))*((6)*(6))),((9)+(7)),FellTreeD|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,53,53,54,54,4
54,x*x*x*x,25,-10,-0.03603834073977258,0.01145758257557369,-0.028945560057508826,0.01148710719420431,606.2131,244.58339999999995,1691.5503999999999,244.3304,-0.014935041171088655,0.2872920439905149,0.4726714121859543,0.0005303026573324807,42242.40000000001,6113.59,150734.64,6107.28,((((7)*(8))*((x)*(9)))*((8)*((6)-(0)))),((9)+(9)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,54,54,55,55,4
55,x*x*x*x,25,-10,-0.038388789047183375,0.011457885990626812,-0.03834569337341524,0.011471563007636725,246.54750000000004,244.5808,253.142,244.4636,-0.9547719252385309,0.28670855350374375,0.002818471173896584,0.00015146795668884608,6282.9400000000005,6113.610000000001,6920.8,6112.28,((((0)-(4))*((x)*(x)))-((8)*((8)*(9)))),((3)+(8)),AddRandomSubTreeR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,55,55,56,56,4
56,x*x*x*x,25,-10,-0.038428823683178674,0.011460978490206698,-0.0383813305450268,0.011478985006628455,240.4214,244.5543,247.6888,244.4,-0.9587212129133446,0.2869746251657114,0.0006359551821941363,0.00031607452210048124,6170.82,6112.35,6316.48,6110,((((x)*(4))+((7)+(9)))*((3)-((7)-(0)))),((7)+(7)),ReplaceBranchR|SubXD|AddToLeafR|AddRandomSubTreeR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,56,56,57,57,4
57,x*x*x*x,25,-10,-0.03847425826689322,0.011454431726945127,-0.03839085871127958,0.011468342140149747,233.46900000000002,244.6104,246.2308,244.4912,-0.9599869298130964,0.2867972440577329,0.00011288856446395932,0.00043965301556636474,6112.17,6114.82,6122.8,6111.52,((((9)-(2))-((0)*(2)))-((8)*((0)-(x)))),((7)+(5)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,57,57,58,58,4
58,x*x*x*x,25,-10,-0.03842551496536401,0.011461912074985535,-0.03835314599398772,0.01147809810108856,240.92770000000002,244.5463,252.0016,244.40760000000003,-0.9581173702783949,0.2871520062736898,0.0009462428740930828,0.00037278177774063235,6191.72,6111.9,6408.88,6108.48,((((9)-(5))*((5)*(x)))*((1)+((6)-(x)))),((9)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,58,58,59,59,4
59,x*x*x*x,25,-10,-0.03841048228989675,0.011456158858785967,-0.038049538622402304,0.01147721119554867,243.22800000000004,244.5956,298.45959999999997,244.4152,-0.9254570644360215,0.2870633157197006,0.020123197935376234,0.0002560275761012666,6976.52,6111.9,11406.56,6109.24,((((x)*(x))*((0)-(x)))*((7)+((6)-(x)))),((9)+(6)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,DivXD|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,DivXD,59,59,60,60,4
60,x*x*x*x,25,-10,-0.03844979349104692,0.011455260283436342,-0.03839783296301138,0.011472449913176619,237.2126,244.60330000000002,245.1636,244.456,-0.9599673245327409,0.2870633157197006,0.000039065649533812396,0.000374819561877983,6119.24,6112.67,6125.8,6109.24,((((0)*(x))*((x)+(1)))+((0)-((4)+(1)))),((8)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,60,60,61,61,4
61,x*x*x*x,25,-10,-0.03844979153051889,0.011459974886569453,-0.0383740975035943,0.011473336818716514,237.21290000000002,244.5629,248.7956,244.44839999999996,-0.9599325578355771,0.2871520062736898,0.00009487152218956788,0.0002930369547323569,6117.450000000001,6111.71,6131.12,6108.48,((((4)*(0))*((x)*(x)))-((4)*((x)+(x)))),((8)+(8)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,61,61,62,62,4
62,x*x*x*x,25,-10,-0.03833510194745785,0.011467455234609857,-0.03817387008234218,0.011478798289672689,254.7627,244.49879999999996,279.4344,244.4016,-0.9430594693504116,0.2872220251321023,0.007479467374184371,0.0002288869886675424,7071.41,6109.66,8713.04,6107.88,((((3)-(8))*((x)*(5)))*((3)*((9)-(0)))),((8)+(9)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,62,62,63,63,4
63,x*x*x*x,25,-10,-0.038430381649457585,0.01145312470825476,-0.03839127957129787,0.011479031685867397,240.18300000000002,244.6216,246.16639999999998,244.3996,-0.9596340347666973,0.2867645685904737,0.00017835245837215634,0.0002463960875065215,6135.88,6114.63,6176.8,6111.8,((((7)+(3))-((x)*(x)))*((0)-((8)*(7)))),((x)+(9)),AddTreeWithMult|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,63,63,64,64,4
64,x*x*x*x,25,-10,-0.0384210037903542,0.011459298037604797,-0.038397778068226376,0.011473476856433336,241.618,244.56869999999995,245.172,244.44719999999998,-0.9598627630375115,0.2872220251321023,0.0000655684091112088,0.00040482859838136077,6130.8,6111.44,6141.8,6107.88,(((0)-((5)+(8)))-((4)*(6))),((8)+(9)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,64,64,65,65,4
65,x*x*x*x,25,-10,-0.03844568357077506,0.011458737886737498,-0.03839830087570253,0.011480385383796707,237.84150000000002,244.5735,245.092,244.388,-0.9599869298130964,0.2872920439905149,0.0005743118603566918,0.0004551485118532263,6072.59,6112.879999999999,6122.8,6107.28,((((8)-(2))*((0)-(1)))*((0)*((2)-(x)))),((9)+(9)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,65,65,66,66,4
66,x*x*x*x,25,-10,-0.03822002810090184,0.011461141867542995,-0.03777740164684355,0.011478985006628455,272.3713,244.55290000000002,340.102,244.4,-0.8988707358515228,0.2871520062736898,0.028823988630118293,0.00040562396441522593,9099.8,6112.47,15474.8,6108.48,((((1)-(6))*((4)*(7)))*((x)*((x)-(x)))),((9)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,66,66,67,67,4
67,x*x*x*x,25,-10,-0.03844963142072932,0.011456380585170942,-0.03839202718598877,0.011468015385477157,237.23739999999998,244.5937,246.05200000000002,244.49400000000003,-0.9595164030845642,0.2867972440577329,0.0002264527974884409,0.00007241553409273705,6144.24,6112.28,6194.8,6111.52,((((x)*(6))-((6)-(8)))*((0)+((4)-(x)))),((6)+(6)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddRandomSubTreeR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,67,67,68,68,4
68,x*x*x*x,25,-10,-0.03841251012939485,0.011461865395746588,-0.03839871389360868,0.01147809810108856,242.91770000000005,244.54670000000002,245.02880000000002,244.40760000000003,-0.9598771402431054,0.2871520062736898,0.00006556806172803167,0.00039167933472915865,6125.320000000001,6112.92,6139.6,6108.48,((((0)+(7))-((5)*(x)))*((4)-((8)-(x)))),((9)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddToLeafR|FellTreeD|AddTreeWithMult|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,68,68,69,69,4
69,x*x*x*x,25,-10,-0.037983174094889556,0.01145964813189686,-0.03661218402823161,0.011475437384468887,308.6147,244.5657,518.4036000000001,244.43040000000002,-0.7821278264279179,0.2870633157197006,0.0883700070725684,0.00037955656255347887,13058.54,6112.73,33338.8,6109.24,((((0)-(x))*((9)*(x)))*((9)*((6)-(x)))),((8)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,69,69,70,70,4
70,x*x*x*x,25,-10,-0.03843843092406221,0.011454723472188512,-0.03833562148738727,0.011465354668857479,238.9513,244.6079,254.68320000000003,244.5168,-0.9548634165468567,0.2867972440577329,0.0025627485438480886,0.0001514679566888488,6318.58,6112.85,6906.8,6111.52,((((4)-(6))*((7)+(0)))*((x)*((x)-(x)))),((5)+(7)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,AddToLeafR,AddTreeWithAdd,70,70,71,71,4
71,x*x*x*x,25,-10,-0.03840058489086395,0.011451280878316563,-0.03839290811658607,0.011473663573389102,244.7425,244.6374,245.91719999999998,244.44559999999998,-0.9598332244151091,0.2869746251657114,0.00007035565589029883,0.0004352114170443083,6136.28,6113.719999999999,6146.32,6110,((((x)*(2))-((4)*(1)))+((7)-((2)-(0)))),((8)+(6)),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|DeleteTerminalR|FellTreeD,AddToLeafR,FellTreeD,71,71,72,72,4
72,x*x*x*x,25,-10,-0.038408015945628024,0.01145680069832142,-0.03838281270422167,0.011505032021957915,243.6054,244.5901,247.46200000000002,244.17680000000001,-0.958523068879885,0.28854304759415206,0.0006692730197453043,0.00038853982650427087,6195.55,6113.110000000001,6346.8,6096.56,((((x)*(x))*((0)+(1)))-((7)-((2)-(x)))),((6)+((7)*(x))),ReplaceBranchR|FellTreeD|AddToLeafR|DeleteMaliciousR|AddTreeWithSub,AddTreeWithAdd|ReplaceBranchR|FellTreeD|DeleteTerminalR|AddTreeWithAdd,DeleteMaliciousR,AddTreeWithAdd,72,72,73,73,4
73,x*x*x*x,25,-10,-0.038369160240491446,0.011469742517318,-0.0382459024964057,0.011529631980880188,249.55110000000002,244.47920000000002,268.41200000000003,243.96599999999998,-0.951216834400732,0.29159586982093855,0.00480500252019841,0.003141901172425162,6367.82,6108.38,7464.8,6070.4,((((x)*(x))*((1)-(4)))*((6)-((1)-(0)))),((7)*((4)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|ReplaceBranchXR,AddTreeWithAdd|DeleteTerminalR|FellTreeD|MultXD|AddRandomSubTreeR,ReplaceBranchR,AddTreeWithAdd,73,73,74,74,4
74,x*x*x*x,25,-10,-0.03846053522415371,0.011460126594096015,-0.03839160632597047,0.011578505144052134,235.56889999999999,244.5616,246.1164,243.5472,-0.9599281139720299,0.2923053942528522,0.00003910374798018155,0.003382364254182691,6123.21,6107.7,6131.8,6064.32,(((0)-((8)-(6)))-((5)-(x))),((4)*((8)*(x))),AddRandomSubTreeR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddRandomSubTreeR,AddToLeafR,MultXD,74,74,75,75,4
75,x*x*x*x,25,-10,-0.038396514181152794,0.011442061728625578,-0.038256390014377216,0.01152529081165861,245.36540000000002,244.7164,266.80719999999997,244.0032,-0.9496703698862894,0.2883376589428087,0.005508047508613173,0.0013116866142614814,6451.96,6115.18,7701.44,6098.32,((((3)*(x))*((7)+(0)))*((x)*((x)-(x)))),((5)+((7)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddRandomSubTreeR,AddToLeafR,ReplaceBranchR,75,75,76,76,4
76,x*x*x*x,25,-10,-0.03839800026140374,0.011462845659764364,-0.038384754933995555,0.011545362884403537,245.13800000000003,244.53830000000002,247.16479999999999,243.8312,-0.9588106129917658,0.29224937916612215,0.0005754713298774951,0.003110246949922633,6173.360000000001,6100.3,6302.8,6064.8,(((7)-((0)-(3)))*((7)*(9))),((1)*((x)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddRandomSubTreeR,AddToLeafR,ReplaceBranchR,76,76,77,77,4
77,x*x*x*x,25,-10,-0.038442526467128486,0.011464584461414944,-0.038394573258397596,0.011674290942360476,238.3246,244.5234,245.6624,242.72639999999998,-0.9596209645797935,0.29620777862837727,0.0006570663966851985,0.005246746457045759,6095.72,6098.32,6178.8,6030.88,((((x)*(x))*((5)-(6)))-((7)*((0)-(x)))),((9)*((6)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,77,77,78,78,4
78,x*x*x*x,25,-10,-0.03834936740295386,0.011437020370819877,-0.038037793752450665,0.011540975035943018,252.57980000000003,244.75959999999998,300.2568,243.86880000000002,-0.9268377989805254,0.2899807681535561,0.016458079051880854,0.002133241219635179,7418.5,6111.66,11195.28,6084.24,((((7)-(x))*((x)*(2)))*((7)*((8)-(x)))),((5)*((4)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,78,78,79,79,4
79,x*x*x*x,25,-10,-0.03827438112665012,0.005756913306428312,-0.03773939615736505,0.01163676083425136,264.0542,311.08221904761905,345.9176,243.048,-0.9119121683440072,0.2940792053326363,0.027643290991470917,0.0038473397621914427,7364.52,6098.04,13479.2,6049.12,((((x)*(5))*((7)*(x)))*((5)*((2)-(0)))),((7)*((6)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,79,79,80,80,4
80,x*x*x*x,25,-10,-0.0382832030671372,0.01165335530369513,-0.03791391452097766,0.012417237709356387,262.7042666666667,242.90580000000003,319.2128,236.36,-0.9197527120637825,0.32305767686763637,0.020330283932976367,0.017743124422281653,7614.360000000001,6023.639999999999,12279.44,5800.8,((((8)*(0))+((5)*(9)))*((7)*((x)-(x)))),((x)*((x)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|DivXD,AddToLeafR,AddTreeWithAdd,80,80,81,81,4
81,x*x*x*x,25,-10,-0.046270923708229855,0.011510423474055682,-0.03836075632814882,0.011759807308101652,188.07325416666666,244.1306,250.8370666666667,241.99360000000001,-0.9563210037903541,0.2978042086001831,0.0017616353089474899,0.006074561827547697,6281.540000000001,6060.74,6683.76,6017.2,((((8)+(4))*((8)*(x)))*((9)*((3)-(x)))),((7)*((9)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|AddTreeWithSub|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,81,81,82,82,4
82,x*x*x*x,25,-10,-0.038415802509475884,0.011559996825811754,-0.03824899751666449,0.011862501633773366,242.41389999999998,243.70579999999998,267.9384,241.11360000000002,-0.9583531564501373,0.29656254084433414,0.0008528626557358191,0.005169118214767524,6177.9400000000005,6080.360000000001,6372.8,6027.84,((((x)*(x))*((0)+(0)))-((4)*((9)*(7)))),((8)*((7)*(x))),ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,82,82,83,83,4
83,x*x*x*x,25,-10,-0.03840465886812181,0.011580045558937208,-0.03811176055417593,0.012042216703698866,244.11910000000003,243.53400000000002,288.9384,239.5736,-0.931234871258659,0.3311238493567601,0.014103053191793696,0.02270478182123717,7291.410000000001,6023.52,10522.44,5731.68,((((3)+(x))*((5)-(x)))*((x)*((x)-(x)))),((x)*((7)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithAdd,83,83,84,84,4
84,x*x*x*x,25,-10,-0.03838506992549994,0.011614973299475327,-0.03830302966932427,0.012454394383553972,247.1166,243.2347,259.67040000000003,236.04160000000005,-0.9504467389883674,0.3311238493567601,0.004599135990864592,0.020883243784326794,6533.200000000001,5996.78,7582.64,5731.68,((((x)*(1))*((8)*(0)))-((9)*((6)-(x)))),((x)*((7)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,MultXD,84,84,85,85,4
85,x*x*x*x,25,-10,-0.03829287152006274,0.011596406632186272,-0.03795239315122207,0.012320891760180745,261.2248,243.3938,313.3248,237.18560000000002,-0.9314547118023788,0.3182403794088542,0.014314941248599822,0.01582213742539902,7204.0199999999995,6044.620000000001,10488.8,5842.08,((((x)*(6))*((x)*(1)))-((7)*((2)-(0)))),((x)*((5)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,AddTreeWithMult,85,85,86,86,4
86,x*x*x*x,25,-10,-0.048833898183244025,0.011563847863024444,-0.04879908508691675,0.012262449353025751,178.43689999999998,243.6728,183.764,237.6864,-0.9599673245327409,0.32468211438280714,0.00036452626305211476,0.019172742453364977,6092.05,6033.02,6125.8,5786.88,(((0)-((4)*(1)))-((7)-(6))),((6)*((x)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,AddTreeWithAdd|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,FellTreeD,86,86,87,87,4
87,x*x*x*x,25,-10,-0.038374230819500726,0.011616852138842731,-0.0382888066919357,0.01259741957167131,248.77519999999996,243.2186,261.84680000000003,234.81599999999997,-0.9526806953339434,0.3375655843307132,0.0036742818916602185,0.02588698375375383,6397.52,6009.219999999999,7240.8,5676.48,((((x)*(x))*((2)-(3)))*((5)+((7)-(0)))),((8)*((x)*(x))),ReplaceBranchR|SubXD|AddToLeafR|DeleteMaliciousR|AddToLeafR,SkipD|ReplaceBranchR|FellTreeD|MultXD|AddTreeWithMult,AddToLeafR,SkipD,87,87,88,88,4
