gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.038402234348451185,0.011479947765931626,-0.03840017514050451,0.011556379184793774,244.4901,244.39175000000003,244.8052,243.73680000000002,-0.9599803947196446,0.28929925126500744,0.00004603149612537854,0.0018925092753804334,6115.93,6104.63,6123.8,6090.08,((2)-((7)+(x))),((5)*((x)+(6))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,MutateNonTerminalR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.03840129721605019,0.011433741154284223,-0.03839973859626193,0.011481692402487071,244.6335,244.78769999999997,244.872,244.3768,-0.9599803947196446,0.28734339115335067,0.00003463837908322865,0.0009331256534214095,6118.32,6118.5599999999995,6123.8,6106.84,((0)-((5)+(x))),(((8)+(x))+((5)+(x))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,12,12,13,13,4
13,x*x*x*x,25,-10,-0.03840263037511437,0.011476452657915867,-0.03839986929813097,0.011656739548518402,244.42950000000002,244.42170000000002,244.852,242.8768,-0.9600000000000001,0.2940792053326363,0.000023328971685973526,0.004014844228286486,6116,6100.34,6120.8,6049.12,((9)*(0)),((7)*((x)*(6))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,SkipD,MutateNonTerminalR,13,13,14,14,4
14,x*x*x*x,25,-10,-0.038402220624754936,0.01142997180573968,-0.038400041824598094,0.011521929906454809,244.49220000000003,244.82,244.8256,244.03199999999998,-0.9599542543458373,0.28995276061019115,0.000048147039520622884,0.0006521464462128117,6116.92,6111.02,6127.8,6084.48,((0)-(7)),((6)*((x)+(6))),FellTreeD|DeleteNonTerminalR|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,AddRandomSubTreeR,14,14,15,15,4
15,x*x*x*x,25,-10,-0.03840180237877402,0.01143665860671808,-0.0383999320350281,0.011531965942827273,244.55619999999996,244.76270000000005,244.84240000000003,243.94600000000003,-0.9599607894392891,0.2937244431166795,0.00005397591589946628,0.006047710957752185,6118.92,6115.1900000000005,6126.8,6052.16,((0)-(6)),((5)*((x)*(8))),FellTreeD|SkipD|DeleteNonTerminalR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,DeleteMaliciousR,AddRandomSubTreeR,15,15,16,16,4
16,x*x*x*x,25,-10,-0.0384003398248595,0.011459834848852627,-0.03839895438504771,0.011513621001923187,244.78,244.5641,244.99200000000002,244.1032,-0.9599542543458373,0.2881649457587244,0.000030738382456392344,0.0006807104485307915,6121.639999999999,6107.110000000001,6127.8,6099.8,((2)-(9)),((5)+((x)*(9))),FellTreeD|SkipD|AddToLeafR|ReplaceBranchXR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,SkipD,16,16,17,17,4
17,x*x*x*x,25,-10,-0.03840167951901712,0.011476312620199042,-0.038399636648804074,0.011675644640289784,244.57500000000005,244.4229,244.88760000000002,242.71480000000003,-0.9599738596261927,0.2946113486565715,0.00004429405158421471,0.004374053710849932,6117.53,6099.87,6124.8,6044.56,((0)-(4)),((5)*((x)*(9))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,DeleteMaliciousR,AddRandomSubTreeR,17,17,18,18,4
18,x*x*x*x,25,-10,-0.03840057770226115,0.011433262692085071,-0.038399701999738606,0.011591481972477924,244.74359999999996,244.7918,244.87759999999997,243.43600000000004,-0.960002875441119,0.29301491868476587,0.000007382438348029807,0.005652197945357594,6119.05,6118.18,6120.36,6058.24,((3)-(x)),((9)*((x)*(4))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,SkipD,AddRandomSubTreeR,18,18,19,19,4
19,x*x*x*x,25,-10,-0.038401799764736635,0.01145855116978173,-0.03839971768396288,0.011553438392740447,244.5566,244.57510000000002,244.8752,243.76200000000006,-0.9599738596261927,0.293047594152025,0.0000385588235537882,0.0035623719765986053,6119.870000000001,6103.49,6124.8,6057.96,((3)-(7)),((9)+((x)*(x))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithSub|SkipD|AddTreeWithDiv|DeleteTerminalR|ReplaceBranchXR,FellTreeD,AddTreeWithDiv,19,19,20,20,4
20,x*x*x*x,25,-10,-0.0384006306365181,0.011439436021435108,-0.03839915043785126,0.011460593386485432,244.73549999999994,244.7389,244.96200000000002,244.55759999999998,-0.9599411841589336,0.2865871874824954,0.0000331618056922438,0.00017023528697288502,6122.59,6115,6129.8,6113.32,((0)-(9)),((x)+(7)),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,AddRandomSubTreeR,20,20,21,21,4
21,x*x*x*x,25,-10,-0.03840037903542021,0.01148988460892134,-0.038399346490654816,0.011714248370894562,244.77399999999997,244.30660000000003,244.93200000000002,242.38400000000001,-0.9599673245327409,0.29379912989898616,0.000026767623649117957,0.003764653610451256,6122.0599999999995,6099.8099999999995,6125.8,6051.52,((0)-(5)),((x)*((x)+(7))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,DeleteMaliciousR,MutateNonTerminalR,21,21,22,22,4
22,x*x*x*x,25,-10,-0.038401471049536014,0.011454898519334542,-0.03839934649065482,0.01159530967007114,244.60690000000002,244.6064,244.93200000000002,243.4032,-0.9599673245327409,0.29224937916612215,0.00002228176186581507,0.003177786402169275,6120.9400000000005,6105.57,6125.8,6064.8,((0)-(5)),((x)*((x)-(0))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddRandomSubTreeR|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,DeleteMaliciousR,DeleteTerminalR,22,22,23,23,4
23,x*x*x*x,25,-10,-0.03840088877270945,0.011440229568497115,-0.03839973859626193,0.01148047874227459,244.696,244.7321,244.872,244.3872,-0.9599803947196446,0.28684392329667463,0.00002310282628658443,0.00046191223843206406,6120.18,6115.4400000000005,6123.8,6111.12,((5)-(8)),((x)*(5)),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,AddTreeWithAdd,23,23,24,24,4
24,x*x*x*x,25,-10,-0.03843490850869168,0.011463662546445845,-0.03839947719252386,0.011641335399667647,239.4903,244.53130000000002,244.912,243.0088,-0.9600000000000001,0.29301491868476587,0.000008458003305981525,0.003439356185953496,6119.6900000000005,6101.82,6120.8,6058.24,((0)*(5)),((4)*((x)*(9))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,SkipD,SkipD,24,24,25,25,4
25,x*x*x*x,25,-10,-0.03840128675990067,0.011445084209347055,-0.03839973859626193,0.011492148552010008,244.6351,244.6905,244.872,244.2872,-0.9599738596261927,0.28793154956401595,0.00003447384133098184,0.0009958261952967469,6119.67,6113.88,6124.8,6101.8,((0)-(4)),((7)*((x)+(1))),FellTreeD|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,AddTreeWithAdd,25,25,26,26,4
26,x*x*x*x,25,-10,-0.03840174748398902,0.011471306271822546,-0.038400000000000004,0.011669996452377842,244.56459999999998,244.46580000000003,244.832,242.76319999999998,-0.9600000000000001,0.29620777862837727,0.000016888886676621264,0.005115024442711744,6119.01,6095.46,6120.8,6030.88,((4)*(0)),((9)*((x)*(6))),MutateNonTerminalR|SkipD|AddToLeafR|DeleteMaliciousR|MutateTerminalR,AddTreeWithAdd|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,SkipD,MutateNonTerminalR,26,26,27,27,4
