gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.0384003051888642,0.011463464159680341,-0.03839830087570253,0.011501297682842582,244.78530000000003,244.53300000000002,245.092,244.20880000000005,-0.9599019735982225,0.2871193308064306,0.000061029189387252945,0.0002930369547323219,6123.610000000001,6112.37,6135.8,6108.76,(((0)*((x)*(0)))-((8)+(7))),((8)+((5)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,SkipD,FellTreeD,11,11,12,12,2
12,x*x*x*x,25,-10,-0.03839938766174356,0.011469030658924143,-0.038397451313553786,0.011505312097391567,244.9257,244.4853,245.222,244.1744,-0.959921578878578,0.2881556099109361,0.00005661729798155043,0.0006558211576516488,6124.42,6107.870000000001,6132.8,6099.88,((0)-((6)+(6))),((9)*((3)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,MutateTerminalR,12,12,13,13,2
13,x*x*x*x,25,-10,-0.038399792837537576,0.01146242554661389,-0.03839808391059993,0.011492335268965776,244.8637,244.54190000000003,245.1252,244.28560000000002,-0.9599150437851262,0.2873667307728215,0.00004767591421847665,0.0004456074736429017,6126.36,6112.030000000001,6133.8,6106.64,(((0)*((x)*(x)))-((8)+(5))),((8)*((2)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,AddXD,13,13,14,14,2
14,x*x*x*x,25,-10,-0.038413710626061956,0.01148638366600071,-0.03839810482289897,0.01155824635435144,242.73399999999998,244.3366,245.122,243.72080000000003,-0.959921578878578,0.2919086207218478,0.000030883646753737604,0.002559522106321408,6126.3,6099.65,6132.8,6067.72,(((0)*((x)*(0)))-((8)+(4))),((9)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,DeleteMaliciousR,14,14,15,15,2
15,x*x*x*x,25,-10,-0.03840391713501504,0.011472286535840323,-0.03839758201542283,0.011562027372705716,244.23260000000002,244.45739999999998,245.202,243.68840000000003,-0.9599019735982225,0.29067628881378726,0.000061029189387252945,0.0020775019067319008,6123.610000000001,6104.75,6135.8,6078.28,(((0)*((x)*(0)))-((6)+(9))),((7)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,SubXD,AddTreeWithMult,15,15,16,16,2
16,x*x*x*x,25,-10,-0.03840050973728925,0.011467700300614302,-0.038398366226637046,0.011510026700524678,244.75400000000002,244.49669999999998,245.082,244.13400000000001,-0.9599607894392891,0.2887857796366489,0.000012513751245008957,0.0012536975322308263,6124.3,6109.66,6126.8,6094.48,((0)-((0)+(6))),((4)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|AddToLeafR|AddXD,DeleteMaliciousR,MutateNonTerminalR,16,16,17,17,2
17,x*x*x*x,25,-10,-0.03840053391713502,0.011457372518998454,-0.03839888903411319,0.011528558358384528,244.75029999999998,244.58520000000001,245.002,243.97520000000003,-0.9599281139720299,0.2896260059375993,0.00006538961082676838,0.0017475681973234116,6123.16,6109.530000000001,6131.8,6087.28,((0)-((8)+(3))),((8)*((6)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,AddXD,17,17,18,18,2
18,x*x*x*x,25,-10,-0.03841267089269377,0.011467852008140862,-0.03839771271729186,0.011589241369008723,242.89309999999998,244.49540000000002,245.18200000000002,243.4552,-0.9599019735982225,0.2907463076721997,0.0000580328073346885,0.002104182872391316,6123.92,6103.5599999999995,6135.8,6077.68,((0)-((6)+(9))),((8)*((8)+(x))),AddRandomSubTreeR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MultXD|FellTreeD|AddToLeafR|AddXD,SubXD,AddTreeWithMult,18,18,19,19,2
19,x*x*x*x,25,-10,-0.03839914978434192,-0.005679755719762742,-0.03839823552476801,0.011553294465087042,244.9621,444.38260833333334,245.102,243.76323333333335,-0.9599019735982225,0.29018615680489956,0.00005441568433572926,0.00186009982853337,6131.3099999999995,6106.12,6135.8,6082.48,(((x)*((0)*(0)))-((8)+(7))),((7)*((8)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,AddTreeWithMult,19,19,20,20,2
20,x*x*x*x,25,-10,-0.03839910077114103,0.011468937300446257,-0.03839751666448831,0.011498543607745023,244.96959999999999,244.4861,245.21200000000002,244.23239999999998,-0.959921578878578,0.28751610433743496,0.000027917931464265623,0.0005278401706198881,6128.05,6111.52,6132.8,6105.36,((0)-((4)+(8))),((7)*((x)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,FellTreeD,20,20,21,21,2
21,x*x*x*x,25,-10,-0.03845626061952686,0.011469497451313555,-0.03839764736635734,0.01153303956532293,236.22299999999998,244.48129999999998,245.192,243.9368,-0.9599281139720299,0.28920589278712405,0.00003433879141393278,0.0011206736480526436,6124.25,6104.2699999999995,6131.8,6090.88,((0)-((8)+(3))),((6)*((7)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,SubXD,AddXD,21,21,22,22,2
22,x*x*x*x,25,-10,-0.038400026140373814,0.011469229045689642,-0.038398039471964455,0.011504938663480034,244.82799999999995,244.4836,245.132,244.1776,-0.959882368317867,0.2875254401852233,0.00006862665481090331,0.0003474887116899368,6124.48,6108.95,6138.8,6105.28,((0)-((9)+(9))),((2)*((9)+(x))),AddTreeWithAdd|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,AddTreeWithMult,22,22,23,23,2
23,x*x*x*x,25,-10,-0.03840903476669717,0.011468867281587842,-0.03839699385701216,0.011552598166439498,243.4495,244.48669999999998,245.292,243.76919999999998,-0.959921578878578,0.29018615680489956,0.0000330544828682562,0.0016498101079908951,6127.05,6101.68,6132.8,6082.48,(((x)*((x)*(0)))-((8)+(4))),((7)*((8)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithSub|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,AddToLeafR,23,23,24,24,2
24,x*x*x*x,25,-10,-0.038408144033459685,0.0114546534533301,-0.03839895438504771,0.01150129768284258,243.58579999999998,244.60850000000002,244.99200000000002,244.2088,-0.9599803947196446,0.28703064025244135,0.00003065230531838966,0.0006638798755764559,6120.8,6113.42,6123.8,6109.52,(((0)*((x)*(x)))-((2)+(1))),((6)+((6)+(x))),DeleteMaliciousR|SkipD|MultXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddTreeWithDiv|AddXD,DeleteMaliciousR,AddTreeWithMult,24,24,25,25,2
25,x*x*x*x,25,-10,-0.0383996614821592,0.01146169034860056,-0.038398366226637046,0.01153556024422578,244.88380000000004,244.5482,245.082,243.91520000000003,-0.9599542543458373,0.29004611908807443,0.00001633773362957891,0.001943491575508063,6124.05,6106.19,6127.8,6083.68,((0)-((0)+(7))),((6)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteNonTerminalR,AddXD,25,25,26,26,2
26,x*x*x*x,25,-10,-0.03839976669716377,0.011458527830162258,-0.03839764736635734,0.01147445712045111,244.86770000000004,244.5753,245.192,244.43880000000001,-0.9599085086916743,0.2871193308064306,0.00005820798602938562,0.0005463000118876037,6123.360000000001,6111.84,6134.8,6108.76,(((0)*((x)*(x)))-((6)+(8))),((4)+((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteNonTerminalR,AddTreeWithMult,26,26,27,27,2
27,x*x*x*x,25,-10,-0.03840015030714939,0.011462203820228915,-0.038399072016729846,0.011506199002931457,244.80900000000003,244.5438,244.974,244.1668,-0.9599607894392891,0.2885057042029987,0.00003222828230007246,0.0016405566673918142,6120.89,6109.16,6126.8,6096.88,(((x)*((x)*(0)))-((5)+(1))),((4)*((8)+(x))),ReplaceBranchR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,ReplaceBranchR,AddXD,27,27,28,28,2
28,x*x*x*x,25,-10,-0.038400348973990334,0.011455715406016023,-0.03839947719252386,0.011482859383460615,244.7786,244.59940000000003,244.912,244.36679999999996,-0.9599738596261927,0.2872920439905149,0.00003218160306426897,0.0008894600063374686,6121.05,6114.01,6124.8,6107.28,((0)-((4)+(0))),((x)*((6)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,AddTreeWithMult|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,SkipD,AddToLeafR,28,28,29,29,2
