gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
11,0.7378534069678018,0.03335901785903714,0.9651850861896563,0.2836845071247017,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,10,10,1661873869.3,1661873869.3,(((((((((5)*(x))*((x)*(x)))*(((7)+(7))*(((7)+(6))+(7))))+(x))*(6))*(x))*(x))*(x)),((((1)+(x))+(((7)+((1)-(3)))*((((5)/(0))-(2))*((x)*((x)*(((0)-(x))+(5)))))))+(x)),5*x*x*x+2*x+7,5
12,0.7962652372128467,-0.03228784991703545,0.9604498294230049,0.2999306527849079,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,9,11,18329355.7,18329355.7,(((((((((5)*(x))*((x)*(x)))+((2)*((x)+((7)+((9)-(0))))))*(2))*(x))*(x))*(x))*(x)),((((((6)-(5))*((8)*(6)))*((((4)-(0))*((8)-(8)))+((2)-((2)/(0)))))+(((x)+(x))*((3)+((x)*((x)*(x))))))/(x)),5*x*x*x+2*x+7,5
13,0.8128997871397148,0.08587118919196324,0.9686920304992064,0.2562757178115442,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,12,12,3060681355.2,3060681355.2,(((((((((4)*(x))*(((x)+(x))*(x)))*(((5)+(8))*((x)+(7))))+(x))*(x))*(x))*(x))*(x)),((((((1)-((2)*((2)/(0))))*(((2)-(2))+(8)))+((0)-(0)))*((2)-(1)))*(x)),5*x*x*x+2*x+7,5
14,0.8269849189387145,0.11339538111169525,0.9397806650375436,0.3266092849278083,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,12,12,5991233.2,5991233.2,(((((((((5)*(((0)*(5))+(6)))*((x)*(x)))+((2)*((x)+(7))))-(x))*(x))*(x))*(x))*(x)),(((((((6)/(0))-(0))*(((3)*(0))*(5)))+(((x)*(0))*((x)+((3)*(2)))))*((2)*(9)))/(x)),5*x*x*x+2*x+7,5
15,0.863940939297066,0.03183752769846627,0.9756188142435385,0.2985421128413614,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,14,14,90418327.6,90418327.6,(((((((((5)*(x))*((x)*(x)))*((1)*(((5)-(2))+(7))))+((6)+(1)))*(x))*(x))*(x))*(x)),(((((8)+((((4)-(x))+(5))*(x)))*(((x)*((0)/(0)))+((4)-(6))))*(((x)+((6)*(8)))*((x)*((9)*(8)))))/(x)),5*x*x*x+2*x+7,5
16,0.7050573941598999,0.027346553181744303,0.9571486065949737,0.21151901525247654,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,14,15,128701399.9,128701399.9,((((((((((2)*(6))*(x))*((x)*(x)))+((2)*((x)+(7))))*((8)+(1)))*(6))*(x))*(x))*(x)),((((((6)+(8))+(x))*(((x)*(2))*((6)*((1)-(0)))))+(((x)+((x)*(8)))+(((3)*(0))*((x)*((7)*(0))))))-((8)/(3))),5*x*x*x+2*x+7,5
17,0.7823699948426582,0.07798885470623948,0.9656727578184245,0.21012708925520593,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|SubXD|AddTreeWithDiv|ReplaceBranchR,16,16,633518180.5,633518180.5,(((((((((5)*((7)*(x)))*(((8)+(2))*(x)))+((2)*((x)+(7))))*(x))*(x))*(x))*(x))*(x)),((((((3)+((6)+(x)))*(((x)*(2))*((1)+(7))))+(((4)+((6)-(9)))*((1)-(((2)/(0))*((x)*(x))))))/(x))-(x)),5*x*x*x+2*x+7,5
18,0.7335826237455221,-0.03345743121702176,0.9589861468192001,0.28475800697986353,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,17,17,45610354.5,45610354.5,(((((((((5)*(x))*((x)*(x)))+((2)+((x)+((7)+(6)))))+(x))*((5)*(x)))*(x))*(x))*(x)),((((((4)-((3)-(7)))*((1)*(x)))*(((1)-(8))*((0)+((4)/(0)))))*((((8)-(x))*(8))-((6)*(9))))/(x)),5*x*x*x+2*x+7,5
19,0.7692947430319462,0.0981912226139775,0.9552025000484907,0.39667019285117944,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,18,18,623785930.9,623785930.9,(((((((((5)*(x))*(((x)+(8))*(x)))*((5)*((x)+(7))))+(x))*((5)-(x)))*(x))*(x))*(x)),(((((2)-((3)/(0)))*(((8)+(9))-(4)))+(((7)+((9)*(x)))-((6)-((2)-(x)))))-(x)),5*x*x*x+2*x+7,5
20,0.7778145662964185,0.06854319616741815,0.9607212818017311,0.30406662728852646,MultXD,ReplaceBranchR,AddXD|AddTreeWithAdd|MultXD|MutateTerminalR|MultXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SkipD,DivXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR,19,19,878075202,878075202,(((((((((5)*(x))*((5)*(x)))*(((1)+((1)+(9)))*((x)+(7))))+(x))*(x))*(x))*(x))*(x)),(((((5)*((7)-(7)))*(((x)+((3)-(7)))+((2)*(x))))+((((5)-(0))-((6)-(0)))*(((7)/(0))*((0)*(9)))))/(x)),5*x*x*x+2*x+7,5
