protagonist,antagonist,independent
0.00000000025756741924472713,0.9007415809274057,0
0.0000000037483825710005195,0.940352230135442,1
0.00000000029965923446321575,0.9675842663244361,2
0.00000000015896762424934726,0.9700416694984817,3
0.000000005139461600744966,0.9670037021044918,4
0.000000003399066291394822,0.9738716922622245,5
0.0000000034738439384322345,0.9567632162793599,6
0.0000000008076849226471931,0.9733266227619328,7
0.000000000057446987907402067,0.9759390948577039,8
0.00000000005025059997739353,0.988833993818797,9
0.00000000011636945851378755,0.920123510145784,10
0.00000000002677684740604036,0.9704853361499796,11
0.00000000018409794429648704,0.9632964595502377,12
0.00000000008731565100580004,0.9765264860254564,13
0.0000000001137471043281361,0.970219716687374,14
0.000000002041317877695311,0.973226506249875,15
0.00000000010048442818562839,0.9730297494902918,16
0.00000000007708444623351814,0.9764770675636888,17
0.0000000006057201000035188,0.976542837200439,18
0.0000000034312923909614785,0.9535294073805378,19
0.0000000034104346272971025,0.9656877142215137,20
0.00000000005877827854069058,0.9733638737568525,21
0.0000000034942258642089998,0.9535903003166859,22
0.000000003423653693879203,0.9596485966045016,23
0.00000000006364070011718089,0.9698879297845492,24
0.000000003567658468650592,0.940036813211859,25
0.00000000007373105829581543,0.9771575751213113,26
0.000000003457345236027957,0.9566094803714885,27
0.000000033594241451625113,0.9698267397817347,28
0.00000000012692594012856755,0.9734931426755895,29
0.00000000012083282522705,0.9790674926840759,30
0.0000000000737880608466431,0.9832269570887525,31
0.000000013453676831846433,0.946709719309192,32
0.000000003457174217273244,0.9698435334323586,33
0.00000000010719792091033279,0.9733200992492269,34
0.0000000036278649602946207,0.9686254941795159,35
0.00000000046553818577876884,0.9669064359388493,36
0.00000006313910270912733,0.966457441112281,37
0.00000000010037712513029836,0.9664993948911943,38
0.00000001678373732216798,0.966709389145244,39
0.000000006997972009277949,0.9732565027520006,40
0.000000000043553871620360954,0.9734865319452398,41
0.000000013427006958129557,0.963123190258909,42
0.00000000020723971057752996,0.9798564559756449,43
0.00000000008708092025244695,0.9731664228667622,44
0.00000008034413354988483,0.9667097391336658,45
0.0000000002107607791993852,0.9695790325971197,46
0.00000000012046730650065268,0.9724373582624756,47
0.000000013677911536724707,0.966139562571874,48
0.000003417506089779347,0.999966723302577,49
