protagonistCoordinates,antagonistCoordinates,independent
0,0.03871327384737159,0
0,0.03887681842741172,1
0,0.04208519319466998,2
0,0.03305442817897595,3
0,0.03399582503486633,4
0,0.01600037098824802,5
0,0.03013260504088696,6
0,0.033391148737166074,7
0,0.02420150964626024,8
0,0.012611538752538842,9
0,0.02998649656787402,10
0,0.026857081117193964,11
0,0.050113994730690205,12
0,0.023473497053474845,13
0,0.040304405587010914,14
0,0.026823499522012642,15
0,0.04689410876128821,16
0,0.023787284881022944,17
0,0.03678693065256423,18
0,0.033276907557914265,19
0,0.05319020320134381,20
0,0.019983500781407735,21
0,0.023776260274300867,22
0,0.036649349092188026,23
0,0.029912024576517086,24
0,0.03321980021921875,25
0,0.027065755000906584,26
0,0.04125679910949269,27
0,0.028190133587508933,28
0,0.032988880582021055,29
0,0.019986773620228333,30
0,0.01680303633470158,31
0,0.04032621762728012,32
0,0.02663400584117603,33
0,0.04001983753942078,34
0,0.03031101238786265,35
0,0.03310397127668315,36
0,0.05002343404268668,37
0,0.03327018050028903,38
0,0.026767748860281142,39
0,0.026903333680203548,40
0,0.036777185364178996,41
0,0.039953663713394434,42
0,0.020250153713229666,43
0,0.03059392852944939,44
0,0.029963517193962293,45
0,0.04306675359828814,46
0,0.029949622469438296,47
0,0.03662365733015148,48
0,0.03662365733015148,49
