AntagonistStrategy,ProtagonistStrategy
MutateTerminalR,MultXD
AddTreeWithMult,AddTreeWithMult
AddRandomSubTreeR,SubXD
MutateNonTerminalR,SkipD
AddTreeWithDiv,MutateNonTerminalR
AddRandomSubTreeR,DivXD
AddTreeWithMult,AddRandomSubTreeR
MultXD,DivXD
MultXD,SkipD
SubXD,MutateTerminalR
AddTreeWithDiv,AddToLeafR
SkipD,SubXD
SkipD,MutateNonTerminalR
AddToLeafR,AddTreeWithSub
ReplaceBranchR,DivXD
