gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
37,x*x*x*x,25,-10,-0.039509323331917395,0.0007068837338153681,-0.0395000261403738,0.002677819892824469,240.26670000000001,240.51999999999995,244.8192,228.4416,-0.9874897889164815,0.08161024702653255,0.000010442818752055484,0.03864876736108497,6119.43,5974.799999999999,6125.8,5621.28,((x)-(7)),((x)*((9)*(x))),DeleteTerminalR|MutateTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,ReplaceBranchXR,37,37,38,38,4
38,x*x*x*x,25,-10,-0.039500476449156975,0.00045348383342520756,-0.03949979414455627,0.0016473663573389125,244.59869999999998,242.08700000000002,244.93280000000001,234.74879999999996,-0.9874857044830742,0.05497320611684755,0.000018818558749160426,0.02139122334497894,6116.28,5952.4,6127.8,5784.32,((x)-(9)),(((x)*(x))+((9)*(x))),DeleteTerminalR|DivXD|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchXR|MultXD,ReplaceBranchR,MultXD,38,38,39,39,4
39,x*x*x*x,25,-10,-0.039500368620115016,0.0004528819762122606,-0.03949981620049667,0.001332374852960398,244.65150000000003,242.06,244.922,236.67680000000001,-0.9874918311331853,0.054554960135929954,0.000008372191854155191,0.023620244667599197,6119.84,5992.48,6124.8,5786.88,((x)-(6)),((x)*((6)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,39,39,40,40,4
40,x*x*x*x,25,-10,-0.039500487681348846,0.0029529708401141302,-0.03949975493399556,0.011070709711148872,244.5932,226.75760000000002,244.952,177.0704,-0.9874857044830742,1,0.000006349509767974573,0.4958222333424872,6123.3,4552.24,6127.8,0,((x)-(9)),(((x)*(x))*((x)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MultXD,40,40,41,41,4
41,x*x*x*x,25,-10,-0.03950029040321527,0.0018595791490503498,-0.03949959155665926,0.005640831263887075,244.6898,233.49360000000001,245.032,210.30559999999997,-0.9874877466997778,0.4186642268984447,0.0000190607281338287,0.1983054276452426,6118.68,5368.32,6126.8,3558.24,((x)-(8)),(((x)*(6))*((9)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteTerminalR,41,41,42,42,4
42,x*x*x*x,25,-10,-0.03950061613677951,0.0008907332374852972,-0.03949981620049667,0.0025162723826950752,244.5303,239.38,244.922,229.43040000000002,-0.9874897889164815,0.0725918180629984,0.000017946549865577188,0.030077733830251287,6117.9400000000005,5925.879999999999,6125.8,5676.48,((x)-(7)),((x)*((8)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchXR|FellTreeD,DeleteTerminalR,DeleteTerminalR,42,42,43,43,4
43,x*x*x*x,25,-10,-0.03950064452359169,0.00032970109946752147,-0.03949987093190433,0.000622925107829043,244.5164,242.81400000000002,244.89520000000002,241.01919999999998,-0.9874918311331853,0.019539929420990778,0.000010625887244945515,0.009060398824434409,6119.35,6056.82,6124.8,6001.2,((x)-(6)),(((x)+(x))+((4)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,43,43,44,44,4
44,x*x*x*x,25,-10,-0.03950041783753758,0.0008934820108969317,-0.039500020422167034,0.003683440073193049,244.62740000000002,239.3766,244.822,222.2864,-0.9874938733498889,0.10454842504247812,0.000006566798540457701,0.04415241896287284,6119.15,5770.299999999999,6123.8,5480.88,((x)-(5)),(((x)*(x))*((2)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MultXD,44,44,45,45,4
45,x*x*x*x,25,-10,-0.039503442768919095,0.0013869731706037008,-0.03949967324532741,0.004118415893347277,243.1462,236.40159999999997,244.99200000000002,219.62400000000002,-0.9874877466997778,0.18891648150568563,0.000008739414989996447,0.0785837735090637,6124.34,5627.959999999999,6126.8,4964.48,((x)-(8)),(((x)+((8)*(2)))+((8)+((9)*(x)))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,45,45,46,46,4
46,x*x*x*x,25,-10,-0.03950026732616651,0.0009360214351065231,-0.03949975330022219,0.002021435106522024,244.7011,239.1028,244.95280000000002,232.45919999999998,-0.9874857044830742,0.045536531172395804,0.00001696510606234505,0.01593040925862828,6120.9,5948.18,6127.8,5842.08,((x)-(9)),((x)*((5)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteTerminalR,46,46,47,47,4
47,x*x*x*x,25,-10,-0.03950053546921971,0.0031443772527905184,-0.03949989788916482,0.021255130048359692,244.5698,225.58599999999998,244.882,114.73360000000001,-0.9874979577832963,1,0.000011748480611227053,0.49445000745579615,6114.8099999999995,4539.4,6121.8,0,((x)-(3)),(((x)*(x))*((x)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,47,47,48,48,4
48,x*x*x*x,25,-10,-0.03950053934943145,0.0013410246892841737,-0.039499877466997776,0.008985753496275,244.5679,236.62399999999997,244.892,189.83199999999997,-0.9874938733498889,0.43272774800679653,0.00001046324700811409,0.20893533383125687,6119.05,5388.799999999999,6123.8,3472.16,((x)-(5)),(((x)*(x))*((9)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,48,48,49,49,4
49,x*x*x*x,25,-10,-0.03950047011828519,0.0005135929943798206,-0.03949985704483074,0.0014607240883544649,244.6018,241.6884,244.90200000000002,235.8912,-0.9874877466997778,0.0635733890994641,0.00001018116887617136,0.028630272505974413,6120.3099999999995,5990.280000000001,6126.8,5731.68,((x)-(8)),((x)*((7)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,49,49,50,50,4
50,x*x*x*x,25,-10,-0.0395001929894785,0.0021709660067972735,-0.039499714089661485,0.009384917004313164,244.73750000000004,231.544,244.972,187.38879999999997,-0.9874877466997778,0.43272774800679653,0.000012827722185344098,0.19905997348428364,6121.74,4982.0599999999995,6126.8,3472.16,((x)-(8)),(((x)*(x))*((9)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|MultXD,DeleteTerminalR,AddToLeafR,50,50,51,51,4
51,x*x*x*x,25,-10,-0.03950033349398772,0.001298523068879885,-0.039499853777284016,0.004544503986407006,244.66870000000003,236.88400000000001,244.9036,217.016,-0.9874897889164815,0.1849170043131617,0.00001459715014871857,0.08309904051109052,6118.42,5744.860000000001,6125.8,4988.96,((x)-(7)),(((x)*(7))*((3)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MultXD,51,51,52,52,4
52,x*x*x*x,25,-10,-0.03950023832668932,0.00029732803495646114,-0.03949985704483074,0.0010011763168213323,244.71529999999998,243.0122,244.90200000000002,238.704,-0.9874938733498889,0.031786694549732125,0.000007572668781102528,0.013399476740130254,6119.59,6040.4,6123.8,5926.24,((x)-(5)),(((x)+(5))*((3)*(x))),DeleteTerminalR|DivXD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MutateNonTerminalR,52,52,53,53,4
53,x*x*x*x,25,-10,-0.03950033512776108,0.0011436504419083645,-0.039499763919749055,0.00392693765520847,244.6679,237.8322,244.9476,220.79600000000002,-0.9874918311331853,0.21001176316821338,0.000011375055377759772,0.10092923917958546,6120.610000000001,5757.92,6124.8,4835.36,((x)-(6)),(((x)*(6))*((4)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteTerminalR,53,53,54,54,4
54,x*x*x*x,25,-10,-0.039500592651287414,0.0004919291595869831,-0.039499923212651944,0.0012615344399424925,244.5418,241.82100000000003,244.86960000000002,237.11039999999997,-0.9874857044830742,0.0635733890994641,0.000017526027233462055,0.02570752681392394,6118.21,5965.74,6127.8,5731.68,((x)-(9)),((x)*((7)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,MultXD,54,54,55,55,4
55,x*x*x*x,25,-10,-0.03950057222912037,0.0020712325186250163,-0.039499743497582014,0.004894523591687362,244.55180000000001,232.1544,244.95759999999999,214.8736,-0.9874877466997778,0.24151091360606453,0.000011234988740147712,0.10199797521953329,6119.540000000001,5527.46,6126.8,4642.56,((x)-(8)),(((x)*(4))*((7)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,55,55,56,56,4
56,x*x*x*x,25,-10,-0.039500619812769575,-0.019484577238939316,-0.03950008577310156,0.0019976473663573407,244.52849999999998,508.1396,244.79,232.60479999999998,-0.9874938733498889,0.08161024702653255,0.000010611669272615684,0.03518894359854649,6119.3,5900.96,6123.8,5621.28,((x)-(5)),((x)*((9)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteMaliciousR,56,56,57,57,4
57,x*x*x*x,25,-10,-0.03950048951934387,0.00051320088877271,-0.03949998366226637,0.0018193700169912435,244.59230000000002,241.69079999999997,244.84,233.696,-0.9874857044830742,0.0635733890994641,0.000008563522214838713,0.028235777593482937,6125.05,5984.92,6127.8,5731.68,((x)-(9)),((x)*((7)*(x))),DeleteTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteTerminalR,57,57,58,58,4
58,x*x*x*x,25,-10,-0.03950055772938178,0.0007656957518291365,-0.039499714089661485,0.00394458240752843,244.5589,240.14860000000002,244.972,220.68799999999996,-0.9874857044830742,0.1246373023134231,0.000013932887823915749,0.06250201565076899,6119.38,5926.76,6127.8,5357.92,((x)-(9)),(((x)*(x))+((8)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,ReplaceBranchXR,AddToLeafR,58,58,59,59,4
59,x*x*x*x,25,-10,-0.03950027835413671,0.0008284514087425061,-0.03949977372238923,0.0022938178015945642,244.6957,239.8202,244.94280000000003,230.79199999999997,-0.9874857044830742,0.08161024702653255,0.00001115090216288702,0.03482080543272658,6121.8099999999995,5775.639999999999,6127.8,5621.28,((x)-(9)),((x)*((9)*(x))),DeleteTerminalR|MultXD|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,MultXD,AddToLeafR,59,59,60,60,4
60,x*x*x*x,25,-10,-0.03950057447555875,0.0006508953078029026,-0.039499714089661485,0.0020237877401646847,244.5507,240.84799999999998,244.972,232.4448,-0.9874897889164815,0.05228074761469089,0.000011201851823876823,0.022446934918548773,6119.969999999999,5995.46,6125.8,5800.8,((x)-(7)),(((x)*(x))+((0)*(x))),DeleteTerminalR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,AddTreeWithAdd,AddToLeafR,60,60,61,61,4
61,x*x*x*x,25,-10,-0.03950067291040387,0.0006169035913684909,-0.039499959155665926,0.0016114233433538127,244.5025,241.10480000000004,244.852,234.9688,-0.9874857044830742,0.09776499803947206,0.000010822541113991708,0.04182765517843233,6121.0599999999995,5790.4400000000005,6127.8,5522.4,((x)-(9)),(((x)*(x))+((5)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,DeleteMaliciousR,61,61,62,62,4
62,x*x*x*x,25,-10,-0.03950038904228206,0.0011923982888741485,-0.03949973451182852,0.0032620572474186403,244.6415,237.53859999999997,244.96200000000002,224.86559999999997,-0.9874877466997778,0.0903934126258005,0.000011273134861802598,0.03761941951869839,6120.18,5881.58,6126.8,5567.52,((x)-(8)),(((x)+(x))*((9)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|ReplaceBranchXR,SubXD|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,SubXD,62,62,63,63,4
63,x*x*x*x,25,-10,-0.039500319811135796,0.0006998775455606801,-0.03949991831133185,0.0027487910077114127,244.6754,240.56300000000002,244.872,228.00719999999998,-0.9874897889164815,0.10454842504247812,0.000010206480686078752,0.04724227373223754,6118.889999999999,5914.54,6125.8,5480.88,((x)-(7)),(((x)*(x))+((x)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|MutateNonTerminalR|MultXD,DeleteTerminalR,DeleteTerminalR,63,63,64,64,4
64,x*x*x*x,25,-10,-0.039500465625408446,0.0009392911357681565,-0.039499795778329634,0.0024562802248072153,244.604,239.0842,244.93200000000002,229.7976,-0.9874959155665927,0.10454842504247812,0.000006832448538084051,0.04305385481922192,6119.34,5783.540000000001,6122.8,5480.88,((x)-(4)),(((x)*(x))*((2)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|FellTreeD|ReplaceBranchXR|MultXD,MultXD,AddToLeafR,64,64,65,65,4
65,x*x*x*x,25,-10,-0.039500316747810744,0.00035467766162381923,-0.03949986603058424,0.002108613253169524,244.67690000000002,242.70649999999998,244.8976,231.92559999999997,-0.9874897889164815,0.0725918180629984,0.000011663471307359962,0.011538339358015784,6121.68,6038.34,6125.8,5676.48,((x)-(7)),((x)*((8)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|ReplaceBranchXR,AddToLeafR|DeleteMaliciousR|SkipD|ReplaceBranchXR|MultXD,ReplaceBranchXR,DeleteMaliciousR,65,65,66,66,4
66,x*x*x*x,25,-10,-0.03950061715788786,0.001636452751274344,-0.03950015520846948,0.0037724480460070587,244.5298,234.8156,244.75600000000003,221.7416,-0.9875,0.1567115409750359,0.000006263404607485588,0.07043911160677199,6117.370000000001,5745.04,6120.8,5161.6,((0)+(0)),(((x)*(x))*((3)*(x))),DeleteNonTerminalR|AddTreeWithSub|SubXD|ReplaceBranchR|DeleteMaliciousR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,SubXD,DeleteTerminalR,66,66,67,67,4
67,x*x*x*x,25,-10,-0.03950005023853091,0.0007500980264017788,-0.0394996119788263,0.0018193700169912433,244.80739999999997,240.2408,245.02200000000002,233.696,-0.9874816200496668,0.0635733890994641,0.000012614045918338516,0.03222138987737613,6121.18,5928.12,6129.8,5731.68,((0)-(9)),((x)*((7)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|DeleteMaliciousR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddToLeafR,67,67,68,68,4
68,x*x*x*x,25,-10,-0.03950019217259182,0.0005946592363772105,-0.0395,0.00272330414324925,244.7379,241.19440000000003,244.832,228.1632,-0.9875,0.0635733890994641,0.0000017154620310932953,0.026815338359574708,6120.38,5977.72,6120.8,5731.68,((0)-(0)),((x)*((7)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|DeleteMaliciousR,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,DeleteMaliciousR,AddToLeafR,68,68,69,69,4
69,x*x*x*x,25,-10,-0.03950009598418507,0.0009077606150100415,-0.03949997957783296,0.0032500326754672615,244.78500000000003,239.3064,244.842,224.93919999999997,-0.9874979577832963,0.2594954907855183,0.000001021108351872968,0.13735871547062004,6121.05,5778.28,6121.8,4532.48,((0)-(1)),(((x)*(5))*((x)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|FellTreeD|SkipD,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,FellTreeD,MultXD,69,69,70,70,4
70,x*x*x*x,25,-10,-0.03949993791661221,0.0007055297840101146,-0.03949852960397334,0.0023638740033982515,244.8624,240.5154,245.55200000000002,230.3632,-0.9873692981309633,0.0725918180629984,0.00007904521568781493,0.03683867382671164,6127.82,5924.44,6184.8,5676.48,((1)-((9)*(8))),(((x)*((8)-(0)))*((0)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,70,70,71,71,4
71,x*x*x*x,25,-10,-0.03949996528231604,0.0007407565729687638,-0.03949944696771664,0.003062083387792448,244.84900000000002,240.30059999999997,245.10280000000003,226.0896,-0.9874693667494445,0.080512351326624,0.000013686915424262798,0.04028158007257053,6126.05,5862.299999999999,6135.8,5628,((1)-((8)-(8))),(((x)*((9)-(0)))+((3)*(x))),AddRandomSubTreeR|AddTreeWithSub|FellTreeD|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,71,71,72,72,4
72,x*x*x*x,25,-10,-0.03949996058521762,-0.00006351793244032142,-0.03949883593647889,0.000721082211475625,244.8513,245.3075,245.40200000000002,240.41840000000005,-0.9874019735982225,0.02187295778329632,0.00005208951442455938,0.011512475988248552,6130.74,6070.049999999999,6168.8,5986.92,((1)-((9)*(6))),(((2)+((3)+(x)))+((x)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|DeleteTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,72,72,73,73,4
73,x*x*x*x,25,-10,-0.03950000918997516,0.000056762047357104515,-0.03949856064566723,0.0032048098287805523,244.8275,244.62060000000002,245.5368,225.21599999999998,-0.9874264801986669,0.10795974382433672,0.000040099201033374074,0.04872857364116942,6128.31,5907.360000000001,6156.8,5460,((0)-((4)*(9))),(((6)*(x))*((2)*(x))),DeleteTerminalR|AddTreeWithSub|FellTreeD|ReplaceBranchR|AddToLeafR,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,MutateTerminalR,73,73,74,74,4
74,x*x*x*x,25,-10,-0.039500415386877534,0.00026437548721035937,-0.039499285224153705,0.0008257744085740433,244.6286,243.2579,245.18200000000002,239.77759999999998,-0.9874918311331853,0.034139328192393154,0.000005170318389205643,0.014297356094076587,6121.4,6036.53,6124.8,5911.84,((6)-((3)-(7))),(((3)*(x))+((8)*(x))),FellTreeD|AddTreeWithSub|FellTreeD|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,FellTreeD,AddToLeafR,74,74,75,75,4
75,x*x*x*x,25,-10,-0.03949881347209515,0.00033197162606957186,-0.039493509835315646,0.0016103777284015165,245.41299999999998,242.80419999999998,248.01,234.9752,-0.9868701803685792,0.04003398248594954,0.0003129209160486754,0.017613657813626133,6199.4,6031.46,6429.2,5875.76,((((5)-(7))-((x)*(x)))*((x)-((4)-(3)))),(((5)*(x))-((3)*(x))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,75,75,76,76,4
76,x*x*x*x,25,-10,-0.0392521986505032,-0.004149684665796433,-0.038510679976473665,0.002015945628022482,366.1714,561.2128,729.2664,232.4928,-0.8889976800418247,0.13010064043915837,0.049251473126945985,0.05952747380672975,18178.83,5770.4400000000005,54353.84,5324.48,((((x)*(8))+((5)-(0)))*((x)*((8)*(x)))),(((8)*((x)*(2)))-((4)*(x))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,76,76,77,77,4
77,x*x*x*x,25,-10,-0.03951441294438635,-0.0025377142868413805,-0.039487254933995554,0.0013130309763429624,237.77449999999996,820.5224000000001,251.0728,236.7952,-0.9868873349888904,0.05228074761469089,0.0003063325055548405,0.0064203404693657816,6195.8,6070,6420.8,5800.8,((((0)+(5))*((9)-(6)))+((7)*((3)-(9)))),((x)*((x)*(x))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,77,77,78,78,4
78,x*x*x*x,25,-10,-0.03945882564370671,-0.004207170155287778,-0.03936732126519409,0.011581492615344403,264.9936,580.2326,309.8,173.944,-0.9797052672853223,0.07847340216965112,0.0036410328026734687,0.04813489832163974,7584.960000000001,6058.2,9937.6,5640.48,((((x)*(x))-((0)*(x)))-((8)*((2)-(x)))),((((x)*(0))-((0)+(5)))*((x)-((3)*((2)*(x))))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,78,78,79,79,4
79,x*x*x*x,25,-10,-0.03948240487354594,-0.006635328571917669,-0.03935698356423997,0.0017913998170173855,253.44770000000005,620.4185000000001,314.86199999999997,233.86719999999997,-0.9736619396157365,0.053823029669324354,0.006871926710279509,0.02430575330226073,7850.53,5909.54,12896.8,5791.36,((((9)+(2))*((0)-(x)))*((x)*((9)+(2)))),(((x)*(x))+((5)*(x))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithSub,ReplaceBranchXR,79,79,80,80,4
80,x*x*x*x,25,-10,-0.03948274061397203,-0.0017969378598105589,-0.03944499575218926,0.020186642268984447,253.28330000000003,494.8754,271.76559999999995,121.2736,-0.9824679780420861,0.4652202326493269,0.003069380297446729,0.21376465931692276,7057.599999999999,5212.98,8584.8,3273.28,((((x)*(2))-((6)*(3)))*((4)-((1)*(x)))),((((7)-(2))*((4)*((x)*(8))))-((1)*((x)*((x)*(x))))),DeleteTerminalR|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,ReplaceBranchXR,80,80,81,81,4
81,x*x*x*x,25,-10,-0.04458595558496348,-0.011778392530397173,-0.03949167347405568,0.003711127085783994,NaN,NaN,248.90920000000003,222.11693333333332,-0.9871003790354203,0.14728793621748798,0.00020399678698910056,0.11240312871200477,6166.79,6119.42,6316.48,5219.28,(((5)*((8)*(x)))*((5)-((7)+(0)))),(((7)*((3)-(1)))*((x)+((9)*(x)))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,81,81,82,82,4
82,x*x*x*x,25,-10,-0.0445695467821926,-0.013802875914789686,-0.03949170823712223,0.0025221539668017256,NaN,NaN,248.8921777777778,229.3944,-0.9866994510521501,0.09590903149915044,0.00047973731437239356,0.04795451574957522,6188.860000000001,5974.040000000001,6512.8,5533.76,((((x)*(x))*((7)*(7)))-((8)*((7)-(6)))),((((x)+(2))*((5)*((7)-(6))))*((0)-((7)-((9)*(x))))),DeleteTerminalR|AddTreeWithSub|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,MultXD,82,82,83,83,4
83,x*x*x*x,25,-10,-0.03938917196281532,0.00256765167718504,-0.03908341148215919,0.01595686838321788,299.1005,327.79659999999996,448.82040000000006,147.1632,-0.9463839694157626,0.5968370147693113,0.019479637399520106,0.30997155527575926,12087.02,4409.04,26253.84,2467.68,(((x)*((x)*(8)))-((2)*((9)*(x)))),((((x)*(x))+((6)*(9)))-((0)+((8)*((4)*(x))))),DeleteTerminalR|SkipD|AddToLeafR|ReplaceBranchR|AddTreeWithSub,AddToLeafR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD,AddTreeWithSub,AddToLeafR,83,83,84,84,4
