gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.039500644115148344,-0.000015562869871659883,-0.039499996732453274,0.0002135668540060142,244.51660000000004,244.93300000000002,244.83360000000002,243.5248,-0.9875,0.008469481113579948,0.0000052158816985199645,0.0044277447250120365,6118.59,6109.38,6120.8,6068.96,((x)*(0)),(((x)-(2))+((0)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,DeleteMaliciousR,AddToLeafR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.03950025057998954,0.0000696922640262958,-0.03949983498889034,0.0003654424258266898,244.7093,244.4062,244.91280000000003,242.5952,-0.9874959155665927,0.008809305973075427,0.000002042216703690425,0.00398879891786911,6121.3,6102.96,6122.8,6066.88,((x)-(4)),(((6)+((0)+(x)))-((7)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|MultXD,DeleteNonTerminalR,ReplaceBranchR,12,12,13,13,4
13,x*x*x*x,25,-10,-0.039500889998039475,-0.0004922548099283473,-0.03949981620049667,0.00028388445954777194,244.3962,248.5979,244.922,243.09440000000004,-0.9875,0.00977649980394722,0.000010951436661093625,0.00460703758965496,6117.15,6100.66,6120.8,6060.96,((x)-(2)),(((x)+((2)-(6)))+((6)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|ReplaceBranchR|DeleteTerminalR|AddToLeafR|MultXD,FellTreeD,AddToLeafR,13,13,14,14,4
14,x*x*x*x,25,-10,-0.03950025956574304,-0.000009084112810692418,-0.03949987746699778,0.00019265455496013753,244.70489999999998,244.8902,244.892,243.65279999999998,-0.9875,0.009149130832570905,0.000005239337368211175,0.004940242171743991,6118.38,6109.88,6120.8,6064.8,((x)*(0)),(((x)-((0)-(0)))*((0)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD,MultXD,AddToLeafR,14,14,15,15,4
15,x*x*x*x,25,-10,-0.039500373317213434,0.00026392065449548565,-0.039499959155665926,0.001265716899751667,244.6492,243.21849999999998,244.852,237.08480000000003,-0.9874877466997778,0.05782250686184814,0.000006349509767992427,0.030232289711648132,6122.3,6042.92,6126.8,5766.88,((x)-(8)),(((x)+((x)-(7)))*((8)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD,DeleteNonTerminalR,AddToLeafR,15,15,16,16,4
16,x*x*x*x,25,-10,-0.03950035330348974,0.00011114149246935539,-0.03949987174879101,0.0014402038949156994,244.65900000000002,244.1618,244.89480000000003,236.0168,-0.9874877466997778,0.061037772840151674,0.000010616908309853863,0.030100380832157936,6121.5,6019.719999999999,6126.8,5747.2,((x)-(8)),(((x)-((1)-(5)))*((6)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MultXD,AddToLeafR,16,16,17,17,4
17,x*x*x*x,25,-10,-0.039500357387923145,0.0004939739231508369,-0.039499693667494444,0.0015867206901058698,244.657,241.8288,244.982,235.12,-0.9874857044830742,0.054554960135929954,0.000014658716068348235,0.03049125568140881,6120.63,5974.66,6127.8,5786.88,((x)-(9)),(((2)-((8)*(0)))-((x)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD,FellTreeD,MutateNonTerminalR,17,17,18,18,4
18,x*x*x*x,25,-10,-0.03950050892040256,-0.0004397428446740273,-0.03949959155665926,0.00042125212390537207,244.5828,248.171,245.032,242.2536,-0.9874857044830742,0.011318781858580537,0.000015558421247815614,0.004196391752715558,6118.9,6074.719999999999,6127.8,6051.52,((x)-(9)),(((x)-((0)-(7)))-((0)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD,MutateNonTerminalR,DeleteMaliciousR,18,18,19,19,4
19,x*x*x*x,25,-10,-0.039500643910926676,0.00017475125541256895,-0.03949976882106914,0.0004195529996078947,244.5167,243.7638,244.9452,242.26399999999998,-0.9874877466997778,0.013906678865507758,0.000018044183631725818,0.004454861889885569,6120.17,6065.82,6126.8,6035.68,((x)-(8)),(((x)-((0)-(4)))*((4)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,DeleteTerminalR,19,19,20,20,4
20,x*x*x*x,25,-10,-0.03950058305286891,0.000036865055718466116,-0.03950027447392498,0.0016680172526467127,244.5465,244.9562,244.69760000000002,234.62240000000003,-0.9875075153574696,0.0903934126258005,0.000002249406909695234,0.06232491113853263,6115.469999999999,5989.58,6117.12,5567.52,((x)+(2)),(((x)*((4)+(6)))-((0)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,AddTreeWithSub,20,20,21,21,4
