gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03937211067180761,0.0003658345314338007,-0.03905014703960266,0.0005110443079336053,307.4548,242.59279999999998,465.10880000000003,241.704,-0.958573879231473,0.015462031107044884,0.014659125531177772,0.0007746773761723775,9530.4,6056.68,20284.88,6026.16,((((2)-(x))-((x)-((8)-(0))))*((x)*((x)*((x)-(x))))),(((x)-(8))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,11,11,12,12,3
12,x*x*x*x,25,-10,-0.0394369686152137,0.00024479066291344646,-0.03918695186903673,0.0002934256959874532,275.6962,243.3337,398.1204,243.03599999999997,-0.9717260815579664,0.009149130832570905,0.008409815470669556,0,7734.08,6064.8,13844.72,6064.8,((((x)*(x))*((x)*((0)-(x))))-((2)-((6)-((9)-(x))))),((0)+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,12,12,13,13,3
13,x*x*x*x,25,-10,-0.03950098965821461,0.0004022023264932693,-0.039359206312900276,0.00048516533786433153,244.3474,242.37019999999995,313.7736,241.8624,-0.9823495294732715,0.01827212129133449,0.00126241258888972,0.004767357018586119,8051.54,6041.139999999999,8642.8,6008.96,((((8)-(0))-((1)*((x)*(x))))*((9)-((7)-((7)-(x))))),(((x)-(0))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,13,13,14,14,3
14,x*x*x*x,25,-10,-0.039556920663965496,0.000351228597568946,-0.03949429813096327,0.0004599398771402438,216.96,242.68220000000002,247.62400000000002,242.0168,-0.9874250098026401,0.017605541759247192,0.0009064349095238164,0.004291009243640152,5912.6,6051.5,6157.52,6013.04,((((x)*(9))-((5)*(7)))-((3)*((5)-((6)-(x))))),(((x)-(2))+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,14,14,15,15,3
15,x*x*x*x,25,-10,-0.039555915484903933,0.0003300875702522553,-0.03944032234348451,0.00037537576787348095,217.4522,242.81159999999997,274.054,242.53440000000003,-0.9874914226898445,0.009149130832570905,0.000002246438374098325,0,6123.35,6064.8,6125,6064.8,((((6)-(4))*((0)*(x)))*((9)-((x)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|DeleteTerminalR|MutateNonTerminalR|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,SubXD,DeleteMaliciousR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03947726155077768,0.0002917595139915854,-0.039360355672461114,0.00041269115148346685,255.96620000000001,243.0462,313.2108,242.30599999999998,-0.9783071657299699,0.015827996340347684,0.004553341570351241,0.0034495122099950206,7278.84,6055.18,10622.2,6023.92,((((x)*(1))-((x)*(8)))-((x)*((4)-((x)-(x))))),(((x)-(7))+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,16,16,17,17,3
17,x*x*x*x,25,-10,-0.039446509443210036,0.0003659652333028362,-0.039199339955561366,0.0003659652333028362,271.0244,242.592,392.05440000000004,242.592,-0.974342406221409,0.009149130832570905,0.0065767546725918336,0,7733,6064.8,12563.6,6064.8,((((x)*(x))*((x)*(4)))-((x)-((5)-(x)))),((0)+((x)*(x))),AddTreeWithSub|SkipD|DeleteTerminalR|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,17,17,18,18,3
18,x*x*x*x,25,-10,-0.03950221886844857,0.00027447392497712713,-0.03944962586589988,0.0003659652333028362,243.74550000000002,243.15200000000002,269.4984,242.592,-0.9842719905894655,0.009149130832570905,0.001701033469224934,0,6564.18,6064.8,7701.44,6064.8,((((x)*(x))*((8)-((9)-(4))))-((9)-((9)*((x)-(x))))),((0)+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03950984348451183,0.0003659652333028362,-0.03941383479283754,0.0003659652333028362,240.012,242.592,287.024,242.592,-0.9827841131878186,0.009149130832570905,0.004598598446669318,0,6362.28,6064.8,8430,6064.8,((((x)*(x))*((x)*(2)))-((8)-((8)-((9)-(x))))),((0)+((x)*(x))),MutateTerminalR|SkipD|AddTreeWithSub|AddTreeWithSub|DivXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,MultXD,19,19,20,20,3
20,x*x*x*x,25,-10,-0.03946272137629068,0.0003659652333028362,-0.039365615605803164,0.0003659652333028362,263.086,242.592,310.6352,242.592,-0.98200643706705,0.009149130832570905,0.0029508297388370374,0,7345.599999999999,6064.8,8810.8,6064.8,((((x)*(x))*((1)-(9)))*((4)-((6)-((8)-(x))))),((0)+((x)*(x))),AddTreeWithSub|SkipD|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|MultXD,AddTreeWithSub,AddXD,20,20,21,21,3
