gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.039292757278460336,-0.0012159808360649594,-0.0387498104822899,0.0004471310939746443,346.31129999999996,256.89239999999995,612.1728,242.0952,-0.9291285452881975,0.009149130832570905,0.02929626537803212,0.0028902808313933477,13186.4,6117.46,34703.2,6064.8,(((9)*((9)*(x)))*((5)+((4)*(x)))),((0)+((x)*(x))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,AddTreeWithSub,ReplaceBranchXR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.036267088044046526,-0.005854283228646065,-0.027796882760423473,0.004522284668670765,1827.8725999999997,2042.0711000000001,5975.4272,217.15199999999996,-0.3125,0.07899620964579801,0.33129438557544166,0.040961297293581604,93586.36,5979.280000000001,336644,5637.28,((((7)-(0))*((x)*(8)))*((x)*((x)*(x)))),(((2)*((6)*(x)))-((4)-((x)*(x)))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|SubXD|ReplaceBranchR|MultXD,AddTreeWithMult,ReplaceBranchXR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.03919982069337341,-0.0013653385748408095,-0.038444262187949295,0.004087047444778462,391.819,375.43520000000007,761.7887999999999,219.81599999999997,-0.9375,0.25459417069664103,0.02376889213182545,0.14499928486249683,13258.380000000001,5855,30604,4562.48,((((x)*(x))*((x)*(4)))-((8)-((0)*(x)))),((((x)+(9))-((8)*(7)))+((1)+((3)*((x)*(x))))),AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub,ReplaceBranchXR|AddXD|AddTreeWithSub|SkipD|MultXD,AddTreeWithSub,ReplaceBranchXR,13,13,14,14,1
14,x*x*x*x,25,-10,-0.03949307606848779,-0.0008729438894939825,-0.03941370735851523,0.005927983270160764,248.2224,379.6946,287.08639999999997,208.54800000000003,-0.979099464122337,0.5040909685008496,0.004321511321562456,0.25148635087985904,7069.299999999999,5344.26,10234.24,3035.36,(((9)+((3)*(2)))-((x)*((x)*(x)))),((((2)*(0))+((6)*((x)-(x))))-(((6)*(1))*((1)*((x)*(x))))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|SkipD|MultXD,AddTreeWithSub,ReplaceBranchXR,14,14,15,15,1
15,x*x*x*x,25,-10,-0.03802715576395243,-0.009182111296545187,-0.03396904652986538,0.012184551039079861,966.0308,2529.2105,2953.1408,170.25279999999998,-0.6548616193961574,0.49645797934910474,0.16631919030192133,0.2293743045858232,46841.06,5063.04,169001.84,3082.08,((((x)*(4))*((7)*(x)))*((3)+((8)*(x)))),((((7)-(2))-((5)-(0)))*((x)*((7)+((0)*(x))))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithAdd|SkipD|MultXD,MultXD,AddTreeWithAdd,15,15,16,16,1
16,x*x*x*x,25,-10,-0.03815928024114495,-0.010471763102564716,-0.034951055417592476,0.015137171611554043,901.3342,2521.6044,2472.2864,152.18040000000002,-0.6740921121422037,0.5029277218664227,0.14986867334216616,0.2803343600049889,51116.04,8187.44,159585.36,3042.48,((((2)-(x))*((x)*(x)))*((7)*((4)*(x)))),((((x)-(4))*((x)*(9)))+((5)+((2)*((x)*(x))))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|SkipD|MultXD,AddTreeWithSub,ReplaceBranchXR,16,16,17,17,1
17,x*x*x*x,25,-10,-0.03892787584956215,-0.005962953656671321,-0.03724978924323618,0.0010975689452359186,524.9806,465.2627,1346.6792,238.11399999999998,-0.8625,0.045536531172395804,0.06182278258161762,0.022239711643186087,21944.46,6042.82,67328.8,5842.08,(((x)*((4)+(8)))*((x)*((x)*(x)))),(((x)*((8)-(5)))+((2)*(x))),AddTreeWithSub|DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|SkipD|MultXD,DeleteMaliciousR,ReplaceBranchXR,17,17,18,18,1
18,x*x*x*x,25,-10,-0.03901862052346099,-0.006499033695763785,-0.03777396908900798,0.0058797542804862124,480.5462,556.5111999999999,1090.0072,208.8432,-0.8478136844856881,0.3990720167298393,0.06864451013106092,0.2287202954403653,24238.800000000003,5425.5199999999995,74520.16,3678.16,((((x)*(x))*((x)*(0)))-((x)-((0)*(x)))),((((x)*(4))-((3)-((x)-(1))))+(((5)+(8))*((x)*((x)*(x))))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|SkipD|MultXD,AddTreeWithSub,ReplaceBranchXR,18,18,19,19,1
19,x*x*x*x,25,-10,-0.03799295516925892,-0.009353049839911996,-0.03345710854790223,0.003477584629460202,982.7775999999999,17406.3951,3203.8183999999997,223.5464,-0.7124999999999999,0.30320219579139984,0.13767144091804157,0.19178320692581638,39697.340000000004,5936.84,140778.4,4264.96,((((x)*(x))*((x)*(8)))*((4)-((8)*(x)))),((((6)*(6))*((x)-(0)))*((7)+((8)*(x)))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|MultXD,AddTreeWithMult,ReplaceBranchXR,19,19,20,20,1
20,x*x*x*x,25,-10,-0.0384946412233695,-0.00955956754420813,-0.03553988530910992,0.013199843157757156,737.12,4353.4862,2183.9576,164.0384,-0.703988530910992,0.4735590118938701,0.14175626321282497,0.202670955528937,40890.939999999995,4330.74,144946.16,3222.24,((((x)*(0))-((2)*(x)))*((x)*((x)*(x)))),(((8)*((4)*(2)))*((x)*(x))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddRandomSubTreeR|SkipD|SkipD,AddTreeWithMult,SkipD,20,20,21,21,1
