AntagonistStrategy,ProtagonistStrategy
SkipD,AddTreeWithSub
SkipD,AddTreeWithDiv
ReplaceBranchXR,DivXD
MultXD,DivXD
MultXD,AddTreeWithAdd
SkipD,ReplaceBranchXR
DivXD,ReplaceBranchR
MultXD,AddTreeWithDiv
MultXD,MutateNonTerminalR
MultXD,ReplaceBranchXR
MutateNonTerminalR,AddXD
MutateTerminalR,AddToLeafR
AddRandomSubTreeR,AddTreeWithAdd
AddTreeWithMult,AddTreeWithAdd
AddTreeWithAdd,AddRandomSubTreeR
