A,P,AFinal,PFinal,AGen,PGen,count,run
AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,SkipD,0,0,0,2
MutateTerminalR,ReplaceBranchR,MutateTerminalR,ReplaceBranchR,0,0,1,2
MultXD,MultXD,SkipD,MultXD,0,0,2,2
ReplaceBranchR,MultXD,ReplaceBranchR,MultXD,0,0,3,2
SubXD,MultXD,DeleteNonTerminalR,MultXD,0,0,4,2
,DeleteMaliciousR,,DeleteMaliciousR,0,0,5,2
,AddTreeWithSub,,DivXD,0,0,6,2
,AddToLeafR,,AddToLeafR,0,0,7,2
,DivXD,,DivXD,0,0,8,2
,ReplaceBranchR,,ReplaceBranchR,0,0,9,2
,ReplaceBranchXR,,SubXD,0,0,10,2
,AddTreeWithSub,,AddTreeWithSub,0,0,11,2
,ReplaceBranchR,,ReplaceBranchR,0,0,12,2
,DeleteNonTerminalR,,FellTreeD,0,0,13,2
,ReplaceBranchR,,ReplaceBranchR,0,0,14,2
,MultXD,,MultXD,0,0,15,2
,MutateNonTerminalR,,MutateNonTerminalR,0,0,16,2
,AddTreeWithMult,,AddTreeWithMult,0,0,17,2
,DeleteTerminalR,,DeleteTerminalR,0,0,18,2
,ReplaceBranchR,,AddXD,0,0,19,2
