gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
22,x*x*x*x*3*x+1,25,-10,-0.03840000443017784,-0.00499655856590978,-0.03839999962135232,0.000019689679294885045,8451.104600000002,8004.122899999999,8451.13,8446.967999999999,-0.96,0.0006266619083276139,0.000000018932383938352618,1.0001049919337504,211278.15000000002,166617.14,211278.2,211145.8,((9)*(0)),(((5)+(x))*((4)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,22,22,23,23,2
23,x*x*x*x*3*x+1,25,-10,-0.038400001874306006,0.0000013309505760414963,-0.0383999938659076,0.000009231430407872954,8451.1181,8450.846800000001,8451.1604,8449.177599999999,-0.959999606206414,0.0003566861133804393,0.00000021064067480156035,0.00017650590063407454,211278.66,211258.77000000002,211280.28,211202.84,((0)-(8)),(((7)+(5))+((0)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,23,23,24,24,2
24,x*x*x*x*3*x+1,25,-10,-0.03840000123060496,-0.0000005819417401043427,-0.03839997561508949,0.000001917850492859544,8451.121500000001,8451.251,8451.2568,8450.7228,-0.959999606206414,0.0000352142341235505,0.00000019689679298107163,0.00001488290905703268,211278.72,211275.46000000002,211280.28,211270.76,((0)-(8)),(((9)+(9))-((0)+(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithAdd,FellTreeD|ReplaceBranchR|DeleteMaliciousR|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,24,24,25,25,2
25,x*x*x*x*3*x+1,25,-10,-0.038400000473309596,0.0000012514394364845102,-0.03839998394533842,0.000004534305953007725,8451.1255,8450.8636,8451.2128,8450.17,-0.959999606206414,0.00011927401880559206,0.0000002461986502985246,0.000046770620698060605,211278.39,211265.13,211280.28,211253,((0)-(8)),(((9)-((8)*(7)))-((7)+((x)*(x)))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,25,25,26,26,2
26,x*x*x*x*3*x+1,25,-10,-0.038400001571387864,-0.009998566345010923,-0.038399986595872175,0.0000058955443581035226,8451.1197,7558.2690999999995,8451.198799999998,8449.8824,-0.9599987883274281,0.0002745195670921089,0.0000006691251967637089,1.0000655124437061,211279.30000000002,166629.64,211284.6,211220.2,((0)-(x)),(((x)*(9))+((2)*(9))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,26,26,27,27,2
27,x*x*x*x*3*x+1,25,-10,-0.03840000066263344,-0.004996016129431908,-0.03839999606206414,0.00003357090319777563,8451.1245,8004.0083,8451.148799999999,8444.0352,-0.959999606206414,0.0016721081493499984,0.0000002251919329847873,1.000278617249202,211278.53000000003,166562.2,211280.28,210924.92,((0)-(8)),(((7)*(8))*((x)+(x))),FellTreeD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateNonTerminalR,ReplaceBranchR,27,27,28,28,2
28,x*x*x*x*3*x+1,25,-10,-0.038399994509608654,0.0000006465534439410606,-0.038399971298505954,0.000005407088852519989,8451.157000000001,8450.991399999999,8451.2796,8449.9856,-0.9599987883274281,0.00017985764740517478,0.0000006418534227666124,0.00007966927724315119,211279.55,211265.04,211284.6,211240.2,((0)-(x)),(((3)-(1))+((x)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|SubXD|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,28,28,29,29,2
29,x*x*x*x*3*x+1,25,-10,-0.03840000227188607,-0.0000009741032582683977,-0.038399990988185244,0.000006878135084457096,8451.116000000002,8451.3344,8451.1756,8449.6748,-0.9599996592170891,0.00032715159443815996,0.0000002058673687193953,0.000031019458049034875,211278.46000000002,211275.48,211280,211209.08,((0)-(7)),(((7)+(4))*((1)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,29,29,30,30,2
30,x*x*x*x*3*x+1,25,-10,-0.038400005641850414,-0.004999775115770685,-0.038399994244555286,0.0000036558433383117095,8451.0982,8004.8025,8451.1584,8450.3556,-0.959999606206414,0.00000321850526946045,0.00000021759341741695023,0.9999972234100498,211278.66999999998,166651.28,211280.28,211277.52,((0)-(8)),((5)+(2)),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,30,30,31,31,2
31,x*x*x*x*3*x+1,25,-10,-0.03839999859900359,0.000001288401782015013,-0.03839998788327428,0.000009822120786719917,8451.135400000001,8450.8558,8451.192,8449.0528,-0.9599987883274281,0.00041575515126513575,0.0000006286311757428176,0.00023511176328919463,211279.64,211262.64,211284.6,211190.36,((0)-(x)),(((7)+(7))-((0)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,31,31,32,32,2
32,x*x*x*x*3*x+1,25,-10,-0.03839999939416371,-0.004996391959088731,-0.03839999515330971,0.000015751743435909414,8451.1312,8004.087699999999,8451.153600000001,8447.8,-0.9599997122277641,0.0007111003406883425,0.0000001366458281270344,1.0001485370496703,211278.75,166603.34,211279.72,211127.96,((0)-(6)),((3)*((8)*(x))),FellTreeD|DeleteTerminalR|AddXD|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,32,32,33,33,2
33,x*x*x*x*3*x+1,25,-10,-0.038400000302918146,-0.004995272581584216,-0.03839999545622786,0.00002135572908137426,8451.126400000001,8003.8512,8451.152,8446.616000000002,-0.9599995531957392,0.0002976170754957428,0.0000002512045082061348,1.000050843162855,211278.66,166634.28999999998,211280.56,211215.32,((0)-(9)),((2)+((8)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,33,33,34,34,2
34,x*x*x*x*3*x+1,25,-10,-0.03840000073836297,-0.00000010552878814274407,-0.038399994244555286,0.000001457793563180989,8451.124099999999,8451.150300000001,8451.1584,8450.82,-0.9599995531957392,0.000031806405014815366,0.0000002667697631667077,0.000017936872665288633,211278.49,211274.92,211280.56,211271.48,((0)-(9)),((2)+(x)),FellTreeD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchR|SkipD,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,34,34,35,35,2
35,x*x*x*x*3*x+1,25,-10,-0.038400016811956934,-0.0049990391798578155,-0.038400005679715174,0.0000036047259016827486,8451.039200000001,8004.647,8451.098,8450.366399999999,-0.959999606206414,0.00003029181429992911,0.00000022365869347919285,0.9999962768263483,211278.53000000003,166651.58000000002,211280.28,211271.8,((0)-(8)),(((x)+(0))+((4)*(0))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,35,35,36,36,2
36,x*x*x*x*3*x+1,25,-10,-0.038400004165124464,-0.009998143674848536,-0.0384,0.000010132611883292952,8451.106000000002,7558.1798,8451.128,8448.9872,-0.96,0.00023854803761118413,0,1.0000516584292969,211278.2,166634.03,211278.2,211227.8,(0),((8)+((0)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,36,36,37,37,2
37,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004999486331095566,-0.0384,0.000006618761424513021,8451.128,8004.7415,8451.128,8449.729599999999,-0.96,0.0002692184995896626,0,1.0000355089432509,211278.2,166639.15000000002,211278.2,211221.32,(0),((5)+((x)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,37,37,38,38,2
38,x*x*x*x*3*x+1,25,-10,-0.0384,-0.00999211655532847,-0.0384,0.00004745212710066621,8451.128,7556.9064,8451.128,8441.1024,-0.96,0.0018682476469413368,0,1.000336849291163,211278.2,166543.76,211278.2,210883.48,(0),(((x)-((0)*(7)))*((9)+(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,38,38,39,39,2
39,x*x*x*x*3*x+1,25,-10,-0.03840000359715295,-0.009997795106678465,-0.03840000037864768,0.00005488876751127291,8451.109000000002,7558.109399999999,8451.126,8439.531200000001,-0.96,0.0026247857090792976,0,1.000453349159952,211278.2,166506.96,211278.2,210723.64,(0),(((5)+((0)*(x)))*((9)*((2)+(x)))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|DivXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,39,39,40,40,2
40,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000003311958472053986,-0.0384,0.0000056872881347925434,8451.128,8451.058099999998,8451.128,8449.9264,-0.96,0.000209013518668767,0,0.00009548330318196404,211278.2,211263.96,211278.2,211234.04,(0),(((6)+((0)*(8)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateTerminalR,MultXD,40,40,41,41,2
41,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01499855120983718,-0.0384,0.000006645266762023875,8451.128,7111.987902222222,8451.128,8449.724000000002,-0.96,0.00006304483851153117,0,1.154723000965312,211278.2,122018.48999999999,211278.2,211264.88,(0),(((0)*((0)+(7)))+((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|DeleteTerminalR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,41,41,42,42,2
42,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01999862598223574,-0.0384,0.000004244640478764549,8451.128,6665.725699999999,8451.128,8450.2312,-0.96,0.00014956583310538342,0,1.0000450602592776,211278.2,166636.12,211278.2,211246.6,(0),(((6)*((0)*(2)))+((x)*((x)+(x)))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,MultXD,42,42,43,43,2
43,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014994926118810861,-0.0384,0.000029564810756626674,8451.128,7111.222000000001,8451.128,8444.8816,-0.96,0.00003029181429992911,0,1.1547113050760949,211278.2,122020.63,211278.2,211271.8,(0),(((5)*((0)+(x)))-((0)*((0)+(x)))),FellTreeD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,MultXD,43,43,44,44,2
44,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000018405094506198532,-0.0384,0.000004867515910303363,8451.128,8450.739140476191,8451.128,8450.099600000001,-0.96,0.00012040996184179118,0,0.00003762645845695394,211278.2,211263.71404761905,211278.2,211252.76,(0),(((3)*((0)+(3)))*((x)+(x))),FellTreeD|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,ReplaceBranchR,44,44,45,45,2
45,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004991084042236689,-0.0384,0.00003561560066301396,8451.128,8002.966600000001,8451.128,8443.603200000001,-0.96,0.00161606829289535,0,1.0001102570909228,211278.2,166615.48,211278.2,210936.76,(0),(((6)+((0)*(9)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,ReplaceBranchR,ReplaceBranchR,45,45,46,46,2
46,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004998617917585615,-0.0384,0.000004841010572792509,8451.128,8004.557999999999,8451.128,8450.1052,-0.96,0.00003369964340866425,0,1.0000157138799584,211278.2,166645.41999999998,211278.2,211271.08,(0),(((5)*((2)+(0)))*((5)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,46,46,47,47,2
47,x*x*x*x*3*x+1,25,-10,-0.0384,0.000001174338490504174,-0.0384,0.000005376797038222265,8451.128,8450.8799,8451.128,8449.992,-0.96,0.00023854803761118413,0,0.000018110138975149684,211278.2,211268.49,211278.2,211227.8,(0),(((0)-((0)+(x)))*((7)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,DeleteNonTerminalR,MultXD,47,47,48,48,2
48,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000019992600363617144,-0.0384,0.000004547558621763841,8451.128,8450.705600000001,8451.128,8450.1672,-0.96,0.0002976170754957428,0,0.00012482247701348667,211278.2,211253.88,211278.2,211215.32,(0),(((9)+((3)*(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,48,48,49,49,2
49,x*x*x*x*3*x+1,25,-10,-0.0384,0.000007668088804242948,-0.0384,0.000039932184200738704,8451.128,8449.5079,8451.128,8442.691200000001,-0.96,0.0014479487235314046,0,0.0007086114435839942,211278.2,211196.72999999998,211278.2,210972.28,(0),(((6)*((8)-(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,49,49,50,50,2
50,x*x*x*x*3*x+1,25,-10,-0.0384,0.000003983866691809432,-0.0384,0.000018688156184597117,8451.128,8450.2863,8451.128,8447.1796,-0.96,0.0007406348596306219,0,0.00036085479650227513,211278.2,211235.98,211278.2,211121.72,(0),(((4)*((6)+(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,50,50,51,51,2
51,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000018265040342785633,-0.0384,0.000005121209855065063,8451.128,8450.7421,8451.128,8450.046,-0.96,0.000209013518668767,0,0.00005963700940272715,211278.2,211265.5,211278.2,211234.04,(0),(((6)-((4)*(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,MutateNonTerminalR,ReplaceBranchR,51,51,52,52,2
52,x*x*x*x*3*x+1,25,-10,-0.0384,0.000003241225691388076,-0.0384,0.000013245095802599785,8451.128,8450.443200000002,8451.128,8448.3296,-0.96,0.0006259046129701019,0,0.000287626900367413,211278.2,211236.99,211278.2,211145.96,(0),(((x)-((0)*(x)))*((5)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|SubXD,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,MultXD,52,52,53,53,2
53,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000016518504985398236,-0.0384,0.000004255999909126541,8451.128,8450.779,8451.128,8450.2288,-0.96,0.0001499444807842083,0,0.00005460898931168116,211278.2,211263.25,211278.2,211246.52,(0),(((x)*((4)+(0)))-((0)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,53,53,54,54,2
54,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000012959423245067211,-0.0384,0.000002872042643304005,8451.128,8450.8542,8451.128,8450.521200000001,-0.96,0.00012040996184179118,0,0.000045059073770931045,211278.2,211267.03999999998,211278.2,211252.76,(0),(((3)-((1)*(0)))*((x)+(x))),FellTreeD|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|DeleteNonTerminalR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|FellTreeD|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|AddXD,FellTreeD,ReplaceBranchR,54,54,55,55,2
