gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.038400003180640505,-0.000003554212838920691,-0.038399993714448535,0.000003669096007069202,8451.111200000001,8451.8795,8451.161199999999,8450.352799999999,-0.9599995531957392,0.0001499444807842083,0.0000002734227796108614,0.00016166707854679772,211278.45,211284.44,211280.56,211246.52,((0)-(9)),((6)-((1)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|AddTreeWithMult|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,11,11,12,12,2
12,x*x*x*x*3*x+1,25,-10,-0.038400006001565706,0.00000010461243761458653,-0.0384,0.0000017720711365422714,8451.096300000001,8451.1059,8451.128,8450.7536,-0.96,0.00006058362859972047,0.000000055434502998574765,0.00003025231995141467,211277.95,211274.6,211278.2,211265.4,((0)*(2)),((2)-((0)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,12,12,13,13,2
13,x*x*x*x*3*x+1,25,-10,-0.03840000024612099,-0.009999996407377707,-0.038399985535658675,0.000005702434041942783,8451.126699999999,7558.5713,8451.204399999999,8449.9232,-0.9599987883274281,0.00026808255655346347,0.0000006247992669572351,1.1547016314419825,211279.95,122022.4,211284.6,211221.56,((0)-(x)),((9)*(x)),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,13,13,14,14,2
14,x*x*x*x*3*x+1,25,-10,-0.03840000015145908,-0.0000002801585201215378,-0.03839998409679749,0.000000762975072680601,8451.127199999999,8451.1872,8451.212000000001,8450.9668,-0.9599987883274281,0.000008708896611319158,0.0000005997911500807852,0.000003649909611407178,211279.85,211277.38,211284.6,211276.36,((0)-(x)),((4)*(9)),FellTreeD|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,14,14,15,15,2
15,x*x*x*x*3*x+1,25,-10,-0.03839999859900359,0.000000982591484787097,-0.03839999568341646,0.0000033680711024626574,8451.135400000001,8450.9204,8451.150800000001,8450.416400000002,-0.959999606206414,0.00026808255655346347,0.00000023734293759474172,0.00012940682590675438,211279.47,211262.38,211280.28,211221.56,((0)-(8)),((x)*((9)-(0))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,15,15,16,16,2
16,x*x*x*x*3*x+1,25,-10,-0.03840000514960843,-0.004999716957564579,-0.03839999666790042,0.0000018705195330174543,8451.1008,8004.7902,8451.1456,8450.7328,-0.9599997122277641,0.00006058362859972047,0.00000019468775917316742,1.0000051434417363,211278.25,166648.77000000002,211279.72,211265.4,((0)-(6)),((x)*(2)),FellTreeD|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,16,16,17,17,2
17,x*x*x*x*3*x+1,25,-10,-0.03840000386220632,-0.004999131003439544,-0.03839999659217089,0.00000604889666799867,8451.1076,8004.6664,8451.146,8449.85,-0.96,0.000003597152948147576,0.00000003959237856963697,0.9999998422391225,211278.04,166650.45,211278.2,211277.44,((1)*(0)),((9)*(1)),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,17,17,18,18,2
18,x*x*x*x*3*x+1,25,-10,-0.03839999765238439,0.0000018000018683886781,-0.03839998742889707,0.0000154488252929115,8451.1404,8450.7477,8451.1944,8447.864,-0.9599997122277641,0.00041575515126513575,0.0000001622451178708918,0.00020419217532198418,211278.78,211255,211279.72,211190.36,((0)-(6)),((5)+((9)*(x))),FellTreeD|SkipD|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,18,18,19,19,2
19,x*x*x*x*3*x+1,25,-10,-0.03840000327530242,0.000008323625073446355,-0.038399997198007185,0.00006032046846290964,8451.110700000001,8449.369400000001,8451.1428,8438.3836,-0.9599995531957392,0.002820925206670636,0.00000022177033904259805,0.001408759536891766,211279.17,211128.66,211280.56,210682.2,((0)-(9)),(((7)*(2))*((7)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,19,19,20,20,2
20,x*x*x*x*3*x+1,25,-10,-0.03840000414619208,-0.004994450089881392,-0.038399996895089036,0.00003642969317231939,8451.106099999999,8003.677433333334,8451.1444,8443.4312,-0.9599997652384391,0.0004759601321858936,0.00000017346307112235543,1.000075051551451,211278.16,166626.62333333332,211279.44,211177.64,((0)-(5)),(((3)*(4))+((x)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,20,20,21,21,2
21,x*x*x*x*3*x+1,25,-10,-0.03840000174177932,-0.009999713173514065,-0.038399998712597895,0.000002434704574349433,8451.118800000002,7558.511399999999,8451.1348,8450.6136,-0.9599998712597893,0.00011927401880559206,0.0000000643701053570922,1.000000915074087,211278.37,166650.11,211278.88,211253,((0)-(3)),(((x)-(0))+((0)*(x))),FellTreeD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchR|DeleteMaliciousR,FellTreeD|ReplaceBranchR|MultXD|MultXD|MultXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithMult|DeleteTerminalR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,21,21,22,22,2
