gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.0384,0.00000015146595324697551,-0.0384,0.0000018175088579929918,8451.128,8451.096000000001,8451.128,8450.743999999999,-0.96,0.00006058362859972047,0,0.00003910620873244568,211278.2,211275,211278.2,211265.4,((((x)*(x))*((0)*(3)))*((x)+((1)*(x)))),(((0)-(0))-((2)*(x))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,11,11,12,12,1
12,x*x*x*x*3*x+1,25,-10,-0.0384,0.001358967470232655,-0.0384,0.010863977447744255,8451.128,8164.0078,8451.128,6155.8064,-0.96,0.5431988723872128,0,0.2715347988808021,211278.2,182566.18,211278.2,96512.12,((0)*(x)),((((x)*(3))*((8)*(x)))*((8)+((2)-((0)*(x))))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,12,12,13,13,1
13,x*x*x*x*3*x+1,25,-10,-0.0384,0.0000005263225673757134,-0.0384,0.000004210562187678575,8451.128,8451.016800000001,8451.128,8450.2384,-0.96,0.0001499444807842083,0,0.00007497224039210414,211278.2,211270.28,211278.2,211246.52,(((0)*(3))*((0)*(x))),((5)+((0)*(x))),DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,13,13,14,14,1
14,x*x*x*x*3*x+1,25,-10,-0.038399952290392475,-0.0000011970322056788863,-0.038399952290392475,0.0000029988896156841658,8451.38,8451.381,8451.38,8450.4944,-0.9599952290392477,0,0,0,211303.4,211278.2,211303.4,211278.2,((0)-((x)*(x))),(0),DeleteTerminalR|DeleteNonTerminalR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,14,14,15,15,1
15,x*x*x*x*3*x+1,25,-10,-0.038399940362990596,0.0000027319498839119587,-0.03839990458078495,0.00002367305287531002,8451.443000000001,8450.550799999999,8451.632,8446.1264,-0.9599952290392477,0.001183652643765501,0.000002385480376121407,0.0005970455844235146,211297.09999999998,211217.28,211303.4,211028.12,((((x)*(x))*((0)*(3)))*((0)-((x)*(x)))),(((5)*(8))+((0)*(x))),DeleteTerminalR|SubXD|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,SubXD,ReplaceBranchR,15,15,16,16,1
16,x*x*x*x*3*x+1,25,-10,-0.03839991650818684,0.00000027310652004467206,-0.03839980916156991,0.000002184797106378737,8451.569,8451.070300000001,8452.136,8450.666399999998,-0.9599952290392477,0.0000904967952208247,0.000002385480376121407,0.000029002204153813268,211297.09999999998,211273.4,211303.4,211259.08,(((0)*(0))-((x)*(x))),((3)+((0)*(x))),DeleteTerminalR|DeleteTerminalR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteTerminalR,DeleteMaliciousR,16,16,17,17,1
17,x*x*x*x*3*x+1,25,-10,-0.03839990458078496,-0.00000008282414163188946,-0.03839980916156991,0.0000003029181429992911,8451.632,8451.1455,8452.136,8451.063999999998,-0.9599952290392477,0.00003029181429992911,0.000002385480376121407,0.000015145907149964555,211297.09999999998,211276.6,211303.4,211271.8,((0)-((x)*(x))),((0)+(x)),DeleteTerminalR|DeleteNonTerminalR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchXR,17,17,18,18,1
18,x*x*x*x*3*x+1,25,-10,-0.038399880725981196,0.00000022719090116535978,-0.03839980916156991,0.0000012116725719971644,8451.758,8451.08,8452.136,8450.872,-0.9599952290392477,0.00003029181429992911,0,0.000015145907149964555,211303.4,211276.6,211303.4,211271.8,(((0)*((x)*(x)))*((0)-((x)*(x)))),((((x)*(0))*((0)+((x)+(1))))-((x)*((0)*((x)*(x))))),DeleteTerminalR|DeleteNonTerminalR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,18,18,19,19,1
19,x*x*x*x*3*x+1,25,-10,-0.03839992843558872,0.0000006206416941159189,-0.03839985687117743,0.000009231430407871575,8451.506000000001,8450.9969,8451.883999999998,8449.1776,-0.9599952290392477,0.0004464256132436142,0,0.0002826148682365863,211303.4,211266.69,211303.4,211183.88,((((0)*(x))*((x)*(x)))+((6)-((x)*(x)))),(((x)+((9)-(0)))-((2)+((0)*(x)))),DeleteTerminalR|ReplaceBranchXR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,SubXD,ReplaceBranchXR,19,19,20,20,1
20,x*x*x*x*3*x+1,25,-10,-0.038399856871177425,-0.0000005347767593544373,-0.03839980916156991,0.0000009087544289978734,8451.883999999998,8451.241,8452.136,8450.936000000002,-0.9599952290392477,0.00003029181429992911,0,0.00002473278821251163,211303.4,211278.2,211303.4,211271.8,(((0)*((3)*(x)))+((1)-((x)*(x)))),((0)-((0)+(x))),DeleteTerminalR|ReplaceBranchXR|SubXD|MultXD|DeleteNonTerminalR,AddTreeWithSub|AddTreeWithMult|AddTreeWithMult|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteNonTerminalR,DeleteNonTerminalR,ReplaceBranchR,20,20,21,21,1
