gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0159959398969871,-0.0384,0.00010964374617605525,8451.128,7457.10628904762,8451.128,8427.962666666666,-0.96,0.0035539871127262756,0,0.9999919969676195,211278.2,166654.595,211278.2,210527.32,(0),((((x)+(7))*((7)/(7)))*((x)-((x)-((6)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,11,11,12,12,4
12,x*x*x*x*3*x+1,25,-10,-0.0384,-0.010972558046192928,-0.0384,0.000018756691414450644,8451.128,7895.5086177777775,8451.128,8447.165119999998,-0.96,0.00041575515126513575,0,1.000104266918748,211278.2,166617.36,211278.2,211190.36,(0),((5)+((9)*(x))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,12,12,13,13,4
13,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0049869506553918965,-0.0384,0.00010914603483832221,8451.128,8002.093669841271,8451.128,8428.067822222223,-0.96,0.004040591451881422,0,1.0006799733952336,211278.2,166435.4777777778,211278.2,210424.51111111112,(0),((((x)-(5))/((9)*(x)))-((x)*((8)*(7)))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,13,13,14,14,4
14,x*x*x*x*3*x+1,25,-10,-0.0384,-0.014901248263402764,-0.0384,0.00021816619035944302,8451.128,7091.42996,8451.128,8405.03424,-0.96,0.02043940169880292,0,1.0063436681934532,211278.2,164653.18,211278.2,206959.8,(0),((((x)*(8))-((8)/(2)))*((x)-((4)+((8)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|SubXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,SubXD,14,14,15,15,4
15,x*x*x*x*3*x+1,25,-10,-0.0384,-0.01480870819249811,-0.0384,0.0007612957702214448,8451.128,7071.878233333333,8451.128,8290.2828,-0.96,0.07511196138550981,0,1.0131187074629813,211278.2,162689.32,211278.2,195408.68,(0),((((x)*(9))-((4)+((5)*(x))))*((x)/((2)-((x)*(x))))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,15,15,16,16,4
16,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004247321099939016,-0.0384,0.004447198054508228,8451.128,7845.825380952381,8451.128,7511.532000000001,-0.96,0.16573976870306548,0,1.030699065657194,211278.2,157856.98,211278.2,176261,(0),((((7)*(9))*((x)*(x)))-((2)/((2)*(x)))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,16,16,17,17,4
17,x*x*x*x*3*x+1,25,-10,-0.0384,-0.009880276989174595,-0.0384,0.0008670804654715925,8451.128,7533.277812698412,8451.128,8267.9328,-0.96,0.042406646781352766,0,1.0002926103069039,211278.2,166557.7146031746,211278.2,202318.6,(0),(((7)+((9)*(x)))*((x)-((x)*(x)))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,17,17,18,18,4
18,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004985747997592474,-0.0384,0.00010431743549500412,8451.128,8001.840153968254,8451.128,8429.088,-0.96,0.0029553451326261924,0,1.000731329000718,211278.2,166418.88,211278.2,210653.8,(0),(((x)+((4)*(x)))-((9)-((3)*(x)))),AddTreeWithAdd|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,DeleteNonTerminalR,MultXD,18,18,19,19,4
19,x*x*x*x*3*x+1,25,-10,-0.0384,-0.0037558922732880916,-0.0384,0.005301229563674815,8451.128,7742.660381666667,8451.128,7331.09376,-0.96,0.02954921047225881,0,1.0054570609844489,211278.2,164949.064,211278.2,205035.09600000002,(0),((((x)*(x))*((7)/(5)))*((x)-((x)*((8)+(0))))),AddTreeWithAdd|FellTreeD|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|MultXD|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,FellTreeD,MultXD,19,19,20,20,4
20,x*x*x*x*3*x+1,25,-10,-0.0384,-0.004995107040165142,-0.0384,0.00009493597223705036,8451.128,8003.8197827380955,8451.128,8431.0701,-0.96,-0.00002508477945503723,0,0.9999266767658356,211278.2,166673.64500000002,211278.2,211283.5,(0),((((7)/(2))+((x)+(3)))-((x)*((1)-(4)))),AddTreeWithAdd|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|SkipD,MutateNonTerminalR|DivXD|AddXD|MutateTerminalR|ReplaceBranchXR|SubXD|MultXD|AddToLeafR|SubXD|DeleteNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|DeleteTerminalR|SubXD|ReplaceBranchXR|MultXD|AddTreeWithDiv|AddRandomSubTreeR,AddTreeWithAdd,ReplaceBranchXR,20,20,21,21,4
