specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
x*x*x*x*3*x+1,25,-10,ANTAGONIST-aNu,PROTAGONIST-2c1c1c1c1c1c2c2c1c2c2c2c2c2c1c2c2c1c1c1c1c2c2c1c2c1c2c2c2c2c1c1c2c1c2c1c2c2c2c2c2c1c1c1c2c1c2c1c1c1,0.8005092732698484,0.000026694661351781535,26477195.64,211272.56,0.8425007374609615,0.16211032211916668,16359554.879999999,194120.6,32999410.84,142745.08,((((x)*(x))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),(((((7)+(3))*((8)+(x)))*(((8)-(9))*((0)*((5)-(x)))))*(((x)*((7)*(7)))+(((5)-(x))+((7)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,0,0,-0.6167466705036299,-0.000026693948765721345,0.7189321151965602,0.00005488154207073241,2024326.84,211283.84,18894895.08,211271.8,((((x)*(x))*((x)*((x)*(x))))*((x)+((5)+((7)*(x))))),(((7)-((2)+(4)))*((x)-((0)*(0)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|SkipD,DeleteNonTerminalR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|FellTreeD|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithMult,SkipD,AddTreeWithMult,0,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-aNu,PROTAGONIST-2c1c1c1c1c1c2c2c1c2c2c2c2c2c1c2c2c1c1c1c1c2c2c1c2c1c2c2c2c2c1c1c2c1c2c1c2c2c2c2c2c1c1c1c2c1c2c1c1c1,0.08145262024428475,-0.000023854234722920027,5750334.84,211283.24,0.8425007374609615,0.16211032211916668,16359554.879999999,194120.6,32999410.84,142745.08,((((x)*(x))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),(((((7)+(3))*((8)+(x)))*(((8)-(9))*((0)*((5)-(x)))))*(((x)*((7)*(7)))+(((5)-(x))+((7)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,0,0,-0.461365445180809,-0.00011131002625056494,0.7189321151965602,0.00005488154207073241,2845043.48,211301.72,18894895.08,211271.8,((((x)*(x))*((x)*((x)*(x))))*((x)+((5)+((7)*(x))))),(((7)-((2)+(4)))*((x)-((0)*(0)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|SkipD,DeleteNonTerminalR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|FellTreeD|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithMult,SkipD,AddTreeWithMult,1,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-aNu,PROTAGONIST-2c1c1c1c1c1c2c2c1c2c2c2c2c2c1c2c2c1c1c1c1c2c2c1c2c1c2c2c2c2c1c1c2c1c2c1c2c2c2c2c2c1c1c1c2c1c2c1c1c1,-0.96,0.32437383506675094,211278.2,142745.08,0.8425007374609615,0.16211032211916668,16359554.879999999,194120.6,32999410.84,142745.08,((((x)*(x))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),(((((7)+(3))*((8)+(x)))*(((8)-(9))*((0)*((5)-(x)))))*(((x)*((7)*(7)))+(((5)-(x))+((7)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,0,0,0.7204559761969316,0.00000321850526946045,0.7189321151965602,0.00005488154207073241,18894895.08,211277.52,18894895.08,211271.8,((((x)*(x))*((x)*((x)*(x))))*((x)+((5)+((7)*(x))))),(((7)-((2)+(4)))*((x)-((0)*(0)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|SkipD,DeleteNonTerminalR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|FellTreeD|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithMult,SkipD,AddTreeWithMult,2,0
x*x*x*x*3*x+1,25,-10,ANTAGONIST-aNu,PROTAGONIST-2c1c1c1c1c1c2c2c1c2c2c2c2c2c1c2c2c1c1c1c1c2c2c1c2c1c2c2c2c2c1c1c2c1c2c1c2c2c2c2c2c1c1c1c2c1c2c1c1c1,0.839937899933731,0.0004575957197667441,32999410.84,211181.52,0.8425007374609615,0.16211032211916668,16359554.879999999,194120.6,32999410.84,142745.08,((((x)*(x))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),(((((7)+(3))*((8)+(x)))*(((8)-(9))*((0)*((5)-(x)))))*(((x)*((7)*(7)))+(((5)-(x))+((7)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,0,0,-0.9200000984483965,0.000006437010538783149,0.7189321151965602,0.00005488154207073241,422555.88,211276.84,18894895.08,211271.8,((((x)*(x))*((x)*((x)*(x))))*((x)+((5)+((7)*(x))))),(((7)-((2)+(4)))*((x)-((0)*(0)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|SkipD,DeleteNonTerminalR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithMult|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|FellTreeD|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithMult,SkipD,AddTreeWithMult,3,0
