gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
74,x*x*x*x*3*x+1,25,-10,0.030772876520320184,-0.005949986909756832,0.03955794695777268,0.000027376227173462445,10729585.8072,104943.24609999999,25041442.7752,8445.344000000001,0.9946974146875593,0.00038622063232271865,0.3605837942890519,0.000030721137458485884,512618919.28,211272.01,996109386.04,211196.6,((((x)*((x)*(9)))*((x)*((x)*(6))))-(((5)+(9))*((x)+((1)*((x)*(x)))))),((((x)*(5))*((0)-((3)+(7))))-((x)*((9)+((x)+(x))))),AddTreeWithAdd|MutateNonTerminalR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,74,74,75,75,3
75,x*x*x*x*3*x+1,25,-10,0.031969350078861314,-0.0015539131958229955,0.03938501855096661,0.0029806993811950333,9239774.1442,10151.3072,22467573.372800004,7821.3712,0.9946413652888669,0.0018205380394191826,0.028953891315059207,0.0009221884969475112,324920398.5,211184.46000000002,985690438.84,210893.56,((((7)+((3)*(x)))*((x)*((7)*(3))))*(((7)*(9))*((x)+((1)*((x)*(x)))))),((((x)-((3)-(1)))*((x)-((9)-(x))))*(((x)-(x))*((4)*((0)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,75,75,76,76,3
76,x*x*x*x*3*x+1,25,-10,0.02342679994828196,-0.0016028780694050083,0.03877202685305757,0.0001639771637584952,3141772.151,9381.78,8577906.6208,8416.4832,0.9846995621887547,0.007677838981967867,0.9813546175263981,0.003863280578677631,118793750.36,210879.59,345215938.6,209656.04,((((x)*((x)*(x)))*((x)*((1)+(x))))-(((7)*(6))*((9)+((1)*((x)*(x)))))),(((((x)-(6))*((x)*(5)))+(((x)+(1))*((x)*(0))))+(((x)-((x)*(x)))-(((0)+(7))+((3)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,76,76,77,77,3
77,x*x*x*x*3*x+1,25,-10,0.018864725668357334,-0.000020664570917971123,0.03950418763034354,0.00007444781335698817,12654310.3198,8455.628600000002,42248754.0112,8435.3988,0.9973964842711577,0.006190510899846803,0.07276117428808758,0.0029973004814655454,613620189.9,210919.47,2028777833.56,209970.28,((((x)*((x)*(x)))+((4)*((x)*(3))))*(((6)*(8))*((x)+((1)*((x)*(x)))))),((((x)+(3))*((6)*((5)-(9))))-(((9)*(x))-((x)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,77,77,78,78,3
78,x*x*x*x*3*x+1,25,-10,0.027628400179271942,-0.004323424216733912,0.03947180913344775,0.006310195751383723,8911499.899300002,65878.60729999999,24756863.9332,7117.9212,0.9953699003794706,0.3150155576865006,0.22187333793270753,0.022817736800124454,434787823.99,208794.62,1140786469.6,144722.28,((((1)-((8)*(x)))*((x)*((x)*(x))))*(((8)+(5))*((x)+((1)*((x)*(x)))))),(((((2)-((x)*(x)))*((5)+((x)*(4))))*(((8)*((x)*(4)))-((0)*((8)*(2)))))+((((5)-(9))+((6)*((4)+(8))))-(((1)-((0)*(x)))-((x)-((2)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,78,78,79,79,3
79,x*x*x*x*3*x+1,25,-10,0.020709829320249024,-0.0023008655071164886,0.03829236931558159,0.00024895327582306567,4818726.7826,11389.6108,11991198.323200002,8398.5296,0.9878675370288545,0.010346926469460721,0.01812729416329766,0.00008037282193922853,220231819.07999998,211280.8,435357191.08,209092.12,((((x)*((x)*(x)))*((7)*((x)*(3))))*(((x)+(8))+((5)+((1)*((x)*(x)))))),((((4)-((x)*(0)))-((5)*((2)+(9))))*(((8)-(x))+((2)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|DeleteNonTerminalR|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,79,79,80,80,3
80,x*x*x*x*3*x+1,25,-10,0.019250383484076664,-0.0013586110016817904,0.03855606919864065,0.0000700252084692145,5410895.745,9093.205699999999,13356173.532800002,8436.333200000001,0.9945382256884916,0.003852550807418943,0.026844066283806523,0.0019516394124956028,381440378.58000004,211081.63,967076759.08,210464.24,((((5)+((0)*(x)))*((x)*((4)*(x))))*(((9)*(6))*((x)+((1)*((x)*(x)))))),((((x)*(8))+((0)*(4)))*((x)-((1)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,80,80,81,81,3
81,x*x*x*x*3*x+1,25,-10,0.008452578341699405,0.0014916569212263002,0.03720526544090201,0.008183638444477472,2319654.6027999995,8135.973600000001,6292224.116799999,6722.1035999999995,0.983236608985102,0.40290877146814014,0.9307324329319776,0.19030046650099475,79351098.63999999,181810.65,315088695.08,126152.36,((((x)*((x)*(3)))+((8)*((5)+(3))))*(((x)*(4))*((x)+((1)*((x)*(x)))))),(((((x)*(4))*((8)-((0)-(6))))*(((6)*((x)+(5)))+((4)-((x)*(x)))))+((((5)*(5))-((2)-((1)*(4))))+(((7)-(x))*((x)-((x)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,81,81,82,82,3
82,x*x*x*x*3*x+1,25,-10,0.018823597490192783,-0.005381299145435623,0.039449692579433294,0.000016247771895069444,15900911.729199998,15803.776500000002,56440338.4912,8447.6952,0.998698673724166,0.0005435487428424968,0.9271530678985721,0.00021576257111795185,1065137409.06,211227.4,4058901367.08,211163.36,((((x)*((x)*(8)))*((x)*((x)*(6))))+(((8)*(6))*((7)+((1)*((x)*(x)))))),((((x)+(2))+((x)-((0)*(8))))-(((x)-(x))-((1)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,82,82,83,83,3
83,x*x*x*x*3*x+1,25,-10,0.014270038941550277,-0.0023943580029399166,0.03938580583285539,0.0002795480082658811,11108124.756399998,30067.9435,34438195.672800004,8392.0656,0.9978697672633141,0.004629346520369902,0.934315903363314,0.002453001400106592,720552683.5999999,210849.83000000002,2479520152.44,210300.12,((((x)*((x)*(x)))*((4)*((x)*(3))))+(((4)*(x))+((1)*((x)*((x)*(8)))))),(((((x)*(x))+((9)*((0)*(x))))*(((3)+((x)-(1)))-((0)*((0)+(x)))))-((((7)+(1))*((x)*((1)-(2))))-(((6)*(x))-((2)-((0)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,83,83,84,84,3
84,x*x*x*x*3*x+1,25,-10,0.013852518330146007,-0.0036688492942766188,0.03910895739570663,0.00020397561130301449,8044179.561000001,12210.533500000001,17332390.4656,8408.032400000002,0.9929535772121031,0.0000944725958476594,0.7263875251750627,0.0000622774219319214,471001410.24,211265.19,749593823.56,211258.24,((((x)*((x)*(x)))+((5)*((6)*(x))))*(((3)*(x))+((1)*((7)*((5)*(x)))))),((((x)+(7))+((5)*(0)))+((8)+((x)+(x)))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,84,84,85,85,3
85,x*x*x*x*3*x+1,25,-10,0.014257106328746749,-0.004621971216594688,0.01930262565519233,0.0022800118516723474,5146794.3083999995,104759.83009999999,11016852.327200001,7969.411199999999,0.9940458196265571,0.10592706677735808,0.12882693472712992,0.05293242118469358,378812906.09999996,205673.32,887100267.16,188898.12,((((x)*((4)+(5)))*((x)*((7)*(9))))*(((7)*(3))*((x)+((1)*((x)*(x)))))),(((((x)*(2))*((x)+(x)))*(((0)+(2))*((5)-((7)-(0)))))+((((8)-(x))-((2)+(6)))*(((x)-(x))+((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|MutateNonTerminalR,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,85,85,86,86,3
86,x*x*x*x*3*x+1,25,-10,0.021799688823382474,-0.0026016717461591417,0.038863420042284345,0.00009689783422994178,6338985.462,109091.6228,19019395.644799996,8430.6556,0.9934979387027332,0.0003617978570434731,0.9617775190667877,0.00015497829274760953,259639716.76,211223.15000000002,812350846.68,211201.76,((((5)+((9)*(9)))*((x)*((x)*(x))))*(((3)*(x))+((7)*((5)*((x)*(x)))))),((((x)+(x))*((x)+(5)))*((x)+((9)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|DivXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,86,86,87,87,3
87,x*x*x*x*3*x+1,25,-10,0.022856457583260874,-0.0005116721974241087,0.03927235306220531,0.00758821686288505,9791251.355600001,10293.4542,24025631.483200002,6847.903200000001,0.9968768474227949,0.6192998615096115,0.9730233062849303,0.30934940060547117,666827761.76,178471.52000000002,1691225410.68,80433.64,((((x)*((7)+(3)))*((x)*((x)*(x))))+(((3)*(x))+((1)*((x)*((x)*(x)))))),(((((x)*(7))*((x)*(3)))*(((2)-(x))-((4)+((8)+(1)))))*((((x)+(7))-((9)-(7)))*(((x)-(x))+((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,87,87,88,88,3
88,x*x*x*x*3*x+1,25,-10,0.01987320363772841,-0.000313879015021431,0.038906249417638844,0.00003215476087925987,6631764.683999999,8520.2943,16524033.0952,8444.3344,0.9955726589775897,0.0013044412532859794,0.5039293919465425,0.00015864657585366822,446938335.88,211252,1193030980.28,211002.6,((((x)*((x)*(9)))*((6)*((x)*(3))))*(((x)+(1))+((4)*((9)*((9)*(x)))))),((((x)*(3))*((7)+(7)))-((5)+((9)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,88,88,89,89,3
89,x*x*x*x*3*x+1,25,-10,0.016664633309300677,0.00041244252714441417,0.03928137049729094,0.0038975720164219534,7644567.304999999,8377.283900000002,25952058.235999998,7627.656000000001,0.9960989150599001,0.11737169286750841,1.1173697722404838,0.055138863386907815,367384960.34,203057.66999999998,1353970775.08,186480.12,((((7)+((0)*(x)))*((x)*((x)*(6))))*(((9)*(x))+((1)*((x)*((x)*(4)))))),(((((x)-(5))*((6)+(1)))-(((1)*(x))-((5)*(6))))+(((7)-((x)*(x)))-((x)+((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,89,89,90,90,3
90,x*x*x*x*3*x+1,25,-10,0.009479720179902795,-0.002824675055912047,0.034358646303425056,0.000017465124182242095,2598820.809,12842.6149,8192969.459199999,8447.438,0.9863197665033254,0.0008508213341462078,0.21517713349690878,0.00037311052183934307,120711049.60000001,211214.8,386101231.48,211098.44,((((x)*((5)+(7)))*((x)*((6)+(0))))*(((8)*(9))*((x)+((1)*((x)*(x)))))),((((x)*(4))-((8)+((5)*(8))))-((x)+((x)+((x)+(x))))),AddTreeWithAdd|DeleteTerminalR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|DeleteTerminalR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,90,90,91,91,3
91,x*x*x*x*3*x+1,25,-10,0.027290205248534826,-0.0009723185529766279,0.039513184737119934,0.012187286714862206,6709891.3938,130284691.4275,19309124.126399998,5876.22,0.9912988943736001,0.609081675250925,0.22542316515048305,0.3045081715748244,267854020.9,179096.41,607044119.08,82592.52,((((x)*((8)*(5)))*((5)*((7)*(x))))*(((3)*(x))+((9)+((6)*((x)*(x)))))),(((((1)*(x))*((x)*((x)*(x))))*(((2)-((4)+(0)))+((6)+((8)*(x)))))+((((7)-(0))*((0)+((5)*(4))))-(((x)*(x))-((x)+((x)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,91,91,92,92,3
92,x*x*x*x*3*x+1,25,-10,0.025800677688865892,-0.00011539609036815686,0.039508535762272305,0.00003367692454782731,20702467.7892,8476.8253,51940997.50400001,8444.0128,0.9982086080814746,0.0014195501476253242,0.9370321684269031,0.0006955722029018421,1094125112.04,211198.38999999998,2948520056.04,210978.28,((((x)*((x)*(x)))*((7)*((9)*(x))))+(((6)*(3))*((x)+((1)*((x)*(x)))))),((((9)*(x))*((5)-(0)))+((0)+((x)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,92,92,93,93,3
93,x*x*x*x*3*x+1,25,-10,0.031319854401451436,0.0004861527458196347,0.03923632758926317,0.0038111665093701124,22439781.285,8348.414700000001,75692190.6408,7645.911599999999,0.9989077881470678,0.1899217240586109,0.041152590138398955,0.09494728151819452,1274778909.32,201242.31,4836016919.08,171151.88,((((x)*((8)+(7)))*((x)*((x)*(8))))*(((9)*(5))*((x)+((1)*((x)*(x)))))),(((((1)+(6))-((1)+((x)-(2))))+(((2)*(7))+((0)*((0)+(6)))))+((((1)*(8))*((x)-(x)))*(((x)-(x))+((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,93,93,94,94,3
94,x*x*x*x*3*x+1,25,-10,0.014944140689771235,-0.00365201415356837,0.03898563008193552,0.0006914144478701549,4460030.3617,12086.7284,12810828.856800001,8305.047199999999,0.9920952995699676,0.0005984526562608084,0.1607027024995399,0.00007438760014270238,238612583.08,211270.28,668204323.08,211151.76,((((x)*((x)*(x)))*((x)*((6)*(9))))+(((7)*(3))*((4)+((1)*((x)*(x)))))),((((x)*(4))-((0)-((3)*(x))))-((x)+((7)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,94,94,95,95,3
95,x*x*x*x*3*x+1,25,-10,0.015870564700306268,-0.003307891699987563,0.0335849352334395,0.002085019656547626,1495921.9072,10852.141899999999,3746206.9368000003,8010.6088,0.9743580017377617,0.00047766404674033007,0.929758858063963,0.00011805596392077573,77564366.08,211253.01,205988431.4,211177.28,((((x)*((x)*(x)))*((x)*((3)*(6))))+(((x)+(x))-((x)*((9)*((x)*(x)))))),((((x)*(4))-((1)+((0)*(x))))-(((x)+(4))-((3)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,95,95,96,96,3
96,x*x*x*x*3*x+1,25,-10,-0.010767600452143877,-0.004811297152075625,0.03472887146981451,0.0002982910683638941,1634497.4984,3017122.6084999996,6013632.191999999,8388.105599999999,0.9865309846744161,0.009220449625186205,0.9732654923372082,0.004690033648980658,98197455.41999999,210810.74,392155987.08,209330.12,((((x)*((x)*(x)))*((x)*((3)*(5))))+(((4)+(x))*((2)*((6)*((x)*(x)))))),(((((1)*(0))+((3)+(3)))*(((x)+(1))+((5)*((x)*(x)))))-((((2)-(4))+((x)*(x)))-(((7)-(9))+((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddXD,96,96,97,97,3
97,x*x*x*x*3*x+1,25,-10,0.021846388915727877,-0.004768738452637938,0.03399160899704002,0.001487157690665676,17201213.323999997,110551.8752,59718906.463199995,8136.923999999999,0.9984173635924918,0.00038924981375276665,0.06820457408104612,0.0002150564038097452,988036505.66,211259.65999999997,3337440599.08,211195.96,((((x)*((x)*(x)))*((x)*((8)*(9))))*(((7)*(7))+((5)+((1)*((x)*(x)))))),((((x)*(3))*((x)-(x)))+((4)+((x)+(x)))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|DeleteMaliciousR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddXD,97,97,98,98,3
98,x*x*x*x*3*x+1,25,-10,0.004999628897998813,-0.008220481186710798,0.009132613688553408,0.007849108900019029,NaN,NaN,11308393.6076,6792.7824,0.9872054168400942,0.29789348830120677,0.06024174210338993,0.00011398241807051551,232902823.07999998,211256.97,412827439.08,148339.8,((((8)+((2)*(x)))*((x)*((x)*(3))))+(((4)*(x))+((6)*((x)*((x)*(x)))))),(((((1)*((7)*(x)))+((7)*((1)-(6))))-(((3)*((0)-(4)))*((9)+((0)*(8)))))*((((x)+(9))+((3)*((x)*(2))))-(((x)*((x)-(5)))*((4)+((x)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|MultXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|DeleteMaliciousR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,MutateTerminalR,98,98,99,99,3
99,x*x*x*x*3*x+1,25,-10,0.03776692079880987,-0.0030842242798819787,0.03948821667360377,0.01191573953204827,9316112.9232,19524.601799999997,16513097.563199999,5933.592,0.9872054168400942,0.29789348830120677,0.06024174210338993,0.00011398241807051551,232902823.07999998,211256.97,412827439.08,148339.8,((((8)+((2)*(x)))*((x)*((x)*(3))))+(((4)*(x))+((6)*((x)*((x)*(x)))))),(((((1)*((7)*(x)))+((7)*((1)-(6))))-(((3)*((0)-(4)))*((9)+((0)*(8)))))*((((x)+(9))+((3)*((x)*(2))))-(((x)*((x)-(5)))*((4)+((x)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddXD|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|DeleteMaliciousR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,99,99,99,99,3
