gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
64,x*x*x*x*3*x+1,25,-10,0.005375298670680182,0.000024091479465153693,0.029741940526850995,0.00016591583987368458,8522539.3204,8446.037999999999,30877370.637599997,8416.0736,0.997790862782739,0.00810571085895278,0.031643039358520586,0.003947972435956357,668978517.78,210814.2,2390958315.64,209565.64,((((x)*((x)*(3)))*((4)*((x)*(9))))+(((9)*(x))+((1)*((x)*((x)*(x)))))),((((x)+((7)*(x)))+((6)*((4)-(x))))*(((9)-(0))-((3)+((1)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,64,64,65,65,3
65,x*x*x*x*3*x+1,25,-10,0.00165976533543578,-0.0010255281723432826,0.031823152745178156,0.000007561594144594114,2535806.1922999998,8819.0306,4991155.9104,8449.5304,0.9870686279296433,0.0003243117368475244,0.9704691085901506,0.0001515856510215539,221869377.92,211257.06,408460523.08,211209.68,((((x)*((x)*(x)))*((x)*((3)*(x))))+(((3)*(8))*((6)+((7)*((x)*(x)))))),((((x)-(7))*((0)+(8)))+((7)-((x)+((x)+(x))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,65,65,66,66,3
66,x*x*x*x*3*x+1,25,-10,0.012003431162421564,0.0006674837228421577,0.03260636645109824,0.002720481336929227,1228342.3509999998,8310.1157,2825532.9192000004,7876.3496,0.9679075434098461,0.27067705044817686,0.10976619939941842,0.13610924929851864,66564216.66,197220.25,164585561.88,154090.04,((((x)*((2)*(x)))*((6)*((5)*(x))))*(((3)*(4))+((8)+((1)*((x)*(x)))))),(((((7)+(1))-((x)+((0)+(x))))-(((0)-(0))-((3)*((x)*(x)))))+((((2)*(x))-((8)-(8)))-(((x)*(x))-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,66,66,67,67,3
67,x*x*x*x*3*x+1,25,-10,0.020583608266288817,-0.0023030219154077393,0.03915945906954017,0.01174446393428191,8318907.5524,198814.96229999996,24820809.301599998,5969.7788,0.9971339856670646,0.18231052706810272,0.03974461438542446,0.0907850261281175,594102497.52,201529.64,1842961823.08,172759.96,((((x)*((x)*(1)))+((6)*((8)*(x))))*(((7)*(6))*((x)+((1)*((x)*(x)))))),(((((8)*(1))*((0)+((7)-(5))))*(((x)-(5))+((9)*((x)*(5)))))-((((0)-(1))-((1)+(5)))*(((x)-(1))-((0)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|ReplaceBranchR,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,67,67,68,68,3
68,x*x*x*x*3*x+1,25,-10,0.027579886459231897,0.00015208453449207324,0.03873695415558209,0.0009908717510845899,5014413.2094,8418.9969,14648222.0848,8241.7784,0.9941344635517719,0.04930409289742153,0.07030614077293004,0.02330056384232984,280396329.76,208002.05,900506722.04,200861.32,((((x)*((x)*(x)))*((2)+((8)*(x))))*(((7)+(3))*((x)+((1)*((x)*(x)))))),(((((9)-(4))+((2)*((2)*(x))))+(((9)+(7))*((5)+((6)*(x)))))*((((7)-(6))-((3)-(x)))*(((0)-(4))-((9)-((9)+((x)+(x))))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,AddTreeWithSub,68,68,69,69,3
69,x*x*x*x*3*x+1,25,-10,0.005249757131953414,-0.0040629326610005624,0.03930545079099941,0.006516337227409173,5920742.26,31299.0924,18394986.8976,7074.368,0.9938267716432981,0.2689670775309521,1.0054742957434268,0.006676432420109091,216641248.14000002,210396.3,855622811.08,154451.32,((((x)*((9)*(3)))+((x)*((x)*(x))))*(((3)*(x))+((8)*((x)*((x)*(x)))))),(((((x)*(6))-((0)+((1)*(2))))*(((x)-(7))+((2)*((9)-(1)))))*((((x)+(4))-((x)-(1)))-(((4)*(x))-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,69,69,70,70,3
70,x*x*x*x*3*x+1,25,-10,0.026857550884404145,-0.004439202090524276,0.03934875565779321,0.002399454368694926,7516759.135600001,1359664.4512999998,24068463.1632,7944.1756000000005,0.9960455614883966,0.1131353826376787,0.1243327583471458,0.056540178467576876,413391858.78000003,205293.72,1335702903.08,187375.16,((((x)*((x)*(x)))*((x)*((4)*(7))))*(((x)+(1))+((9)*((5)*((x)*(x)))))),(((((x)+(5))*((x)*(3)))*(((x)+(3))+((9)*(6))))-(((0)+((5)-(x)))*((x)-((x)+((x)+(x)))))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,70,70,71,71,3
71,x*x*x*x*3*x+1,25,-10,0.027384202392829,-0.002326204720499146,0.03911066647737686,0.00044235325745865307,4621590.1866,13311.770299999998,9770642.94,8357.6684,0.9795342570310162,0.02201533333775096,0.022282580683871518,0.00011320837402521984,153560076.12,211249.88,258087625.16,206626.84,((((1)+((4)-(9)))*((x)*((x)*(x))))*(((9)*(8))*((x)+((1)*((x)*(x)))))),(((((x)-(9))+((0)*(9)))*(((8)*(0))+((0)-(3))))-(((5)-((x)*(9)))*((x)-((x)+((x)+(x)))))),AddTreeWithAdd|SubXD|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddTreeWithSub,MultXD,AddTreeWithSub,71,71,72,72,3
72,x*x*x*x*3*x+1,25,-10,0.015570629903686193,-0.0018966965138527464,0.019975333134776528,0.00007878900899383102,7182398.491799999,10159.174099999998,21349133.1688,8434.481600000001,0.9964025987218706,0.0036838632665367604,0.25616614814175886,0.001755757412263906,470451128.88,211052.16,1468269617.88,210499.88,((((x)*((x)*(x)))*((8)*((8)*(3))))*(((x)+(7))+((5)*((5)*((x)*(x)))))),(((((5)-(6))-((2)*((7)-(0))))-(((9)*(7))+((0)+((8)+(7)))))*((((x)+(1))*((x)+(8)))-(((x)*(x))-((x)+((x)+(x)))))),ReplaceBranchR|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,72,72,73,73,3
73,x*x*x*x*3*x+1,25,-10,0.02535794249560628,-0.000002046904169838371,0.03599695011808544,0.000015865337739530707,5554704.0788,8451.5628,11119251.4048,8447.776000000002,0.9910957171022449,0.00018156156195961123,0.34189502290754875,0.00006410692695785509,259571973.04000002,211256,593192631.08,211239.84,((((x)*((x)*(x)))*((x)*((8)*(1))))*(((7)+(3))+((1)*((x)*((x)*(8)))))),(((x)*(5))+((3)+(x))),AddTreeWithAdd|AddToLeafR|MultXD|MultXD|AddTreeWithMult,ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|SubXD|MultXD|SubXD|AddRandomSubTreeR|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|DeleteMaliciousR|SkipD|AddXD|ReplaceBranchXR|MutateTerminalR|AddXD,MultXD,ReplaceBranchXR,73,73,74,74,3
