gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x*x*x*3*x+1,25,-10,-0.012242237672106948,-0.015037762668488486,0.019786368024416523,0.0014125451655684334,196628.135,770156.8125749999,513363.6536,8152.688,0.7749662145233878,0.07014467181185757,0.7399820990034024,0.949707489531965,7234512.399999999,618491.04,23471831.08,196458.16,((((x)*(x))*((9)*((x)*(8))))*((x)+((5)*((9)*(x))))),(((((x)+(4))+((5)*((5)*(2))))*(((x)+(8))*((5)+((0)*(6)))))+((((x)-(3))*((3)-(0)))-(((5)+(9))+((0)*((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,21,21,22,22,0
22,x*x*x*x*3*x+1,25,-10,-0.009138869320486388,-0.017019681301341086,0.021718425452944737,0.001369484090389145,264089.6786,78930.7859,645560.9448,8161.785866666667,0.8174122049804271,0.00013593451667044286,0.7584752125747152,0.00637006774207286,12694501.56,211953.47,28928302.68,211249.48,((((x)*(x))*((x)*((x)*(8))))*((7)*((6)+((x)*(x))))),(((((8)/((8)*(7)))*((0)*((x)*(x))))*(((9)*((0)-(8)))-((6)+((0)+(5)))))*((((2)*(5))-((1)+((7)-(3))))*(((5)-(x))+((7)+((2)*((x)-(x))))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,22,22,23,23,0
23,x*x*x*x*3*x+1,25,-10,-0.02711533211483335,-0.012299172319965518,-0.008354696729225912,0.00023519539160533778,74476.128,10866.5902,192828.63599999997,8401.4364,0.4939691705304586,0.011850536401767949,0.627552178194342,1.0001934279933191,3688015.7199999997,166609.25,10438010.28,208774.44,((((x)*(x))*((x)*((x)*(5))))+((3)*((x)+((9)*(x))))),(((((6)+(6))+((2)*((3)/(6))))-(((0)*((x)+(5)))+((5)*((3)*(0)))))*((((3)+(1))*((x)-(7)))*(((1)+(7))*((0)-((2)-((7)+(8))))))),AddToLeafR|MutateTerminalR|SkipD|DeleteMaliciousR|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,23,23,24,24,0
24,x*x*x*x*3*x+1,25,-10,-0.021679528720225928,-0.0023200785525100366,0.00013322301717295872,0.0000073514486345581105,323539.03599999996,10317.264299999999,949015.0279999999,8449.5748,0.839937899933731,0.00035782205641663844,0.8425007374609615,0.004857738617356871,16359554.879999999,211766.28,32999410.84,211202.6,((((x)*(x))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),((((9)*(0))+((9)+((x)*(x))))+((8)+((6)*((0)-(x))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,24,24,25,25,0
25,x*x*x*x*3*x+1,25,-10,-0.027026183013319275,-0.00943538279934697,-0.013598092016362261,0.0019046773459861126,70784.73339999998,7439.2859,148447.5712,8048.7112,0.33619823500418444,0.1817151035932718,0.6196717899000427,1.039104464713174,3714718.76,155203.81,7957127.08,172885.76,((((x)*(x))*((7)*((5)*(6))))*((6)*((x)+((1)*(x))))),(((((9)-(2))*((8)-((2)*(5))))/(((5)*((0)-(8)))-((8)+((4)*(x)))))*((((3)+(8))*((2)*(8)))*(((7)*(8))*((x)+((9)+((x)-(x))))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,25,25,26,26,0
26,x*x*x*x*3*x+1,25,-10,-0.03083115331905953,-0.0024348515549708627,-0.015257857841933955,0.00021657132633655772,50441.7044,79786.48811764705,138735.9568,8405.3712,0.32154165422665915,0.02122547427988316,0.6127859725441345,0.010624217923854809,2412472.52,210160.71,7785231.08,206793.72,((((x)*(x))*((x)*(x)))*((6)*((x)+((9)*(x))))),(((((x)*(x))*((2)+((8)-(2))))*(((7)*(3))*((5)-((6)*(3)))))+((((2)*(x))*((3)+(6)))+(((5)*(6))-((x)+((x)-(x)))))),DeleteTerminalR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,26,26,27,27,0
27,x*x*x*x*3*x+1,25,-10,-0.035996256007482075,-0.0149424528656082,-0.02923988076384596,0.0002017472697135833,21147.5956,284096.2568833333,56834.4656,8408.5032,-0.23212918701503513,0.00025937365994228205,0.3461842117019235,1.0000417906925883,1341734.1800000002,166637.15833333333,4055859.08,211223.4,((((x)*(x))*((x)*((1)*(x))))*((x)*((4)+((1)*(x))))),((((4)+((5)-(0)))+(((4)/(2))*((0)*(0))))+(((x)-((1)*(7)))-((5)-((6)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,27,27,28,28,0
28,x*x*x*x*3*x+1,25,-10,-0.02835816163074339,-0.01465979933096655,-0.007276653599898684,0.002760451385897838,72633.29839999999,7040.4179,217409.77120000002,7867.9048,0.35897374283109423,0.13799587463354013,0.574392319606129,1.1545632776722392,3073314.76,122047.73000000001,8239841.88,182122.68,((((6)*(5))*((x)*((x)*(x))))*((4)*((x)+((0)*(x))))),(((((x)+(5))*((3)*(5)))*(((0)-(x))*((6)*((1)-(8)))))-((((2)-(9))+((7)-(1)))-(((8)+(7))+((2)+((x)-(x)))))),AddToLeafR|DeleteMaliciousR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|MutateNonTerminalR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,SkipD,AddToLeafR,28,28,29,29,0
29,x*x*x*x*3*x+1,25,-10,-0.028021478964039233,-0.0022643959614877186,-0.01350215662306994,0.001081282088418649,68806.638,27085.32658333333,162106.932,8222.676666666668,0.47097169729754623,0.05354696635368269,0.6182023026280519,0.02680761845715294,3623458.3200000003,208460.60333333333,9984257.88,199964.89333333337,((((x)*(x))*((x)*((x)*(8))))*((x)+((2)+((6)*(x))))),(((((1)-(7))*((3)*(1)))-(((3)*(8))-((1)*((8)*(x)))))+((((9)-(x))/((4)-(0)))+(((8)+(x))-((6)+((7)+(7)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,29,29,30,30,0
30,x*x*x*x*3*x+1,25,-10,-0.027177145541280538,-0.011765265450343976,-0.002331766611032805,0.0022750515670807523,132461.4868,74491.9321,457888.9,7970.459199999999,0.8501168900150423,0.11373553920849394,0.8861028126751793,0.9991694724100604,9167570.200000001,166915.55,35240495.08,187248.36,((((x)*(x))*((x)*((7)*(3))))*((x)*((x)+((x)*(x))))),(((((9)-(0))*((4)-(1)))*(((3)*(5))+((7)+(1))))*(((x)*((5)*(x)))+((8)*((0)+((0)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,30,30,31,31,0
31,x*x*x*x*3*x+1,25,-10,-0.027918040232335448,-0.011030598004900576,-0.007221883560450912,0.0006379228902934634,78434.45240000001,7901.972543183764,231604.87439999997,8316.3488,0.6353523121355351,0.031857522451440884,0.7500929126353361,1.000228375397732,4304279.34,166578.1,14485091.16,204547.4,((((x)*(x))*((9)*((5)*(x))))*((3)*((x)+((9)*(x))))),(((((x)+(2))*((x)+((x)*(4))))*(((6)*(6))-((1)*((3)+(5)))))+((((0)*(9))*((4)+(2)))*(((1)-(8))-((2)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,31,31,32,32,0
32,x*x*x*x*3*x+1,25,-10,-0.03276907111098069,0.000003863461361509396,-0.025131611155339267,0.00007865723960162751,38193.441,8450.31348,78534.1608,8434.50944,-0.39649279859445985,0.0035462627000799013,0.2665994016294947,0.0017876225520781109,1646652.18,211095.218,3187697.88,210528.952,((((x)*(8))*((7)*((4)*(x))))*((3)*((8)+((1)*(x))))),(((((5)*(2))-((1)*(8)))*(((2)+(1))-((0)+((5)/(5)))))*((((7)-(1))*((0)*(4)))+(((x)-(8))-((0)+((x)-(x)))))),AddToLeafR|MutateTerminalR|MutateNonTerminalR|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,32,32,33,33,0
33,x*x*x*x*3*x+1,25,-10,-0.020198876560636122,-0.009557051564828951,0.01200414403845942,0.005067407806389873,185439.187,7468.050079999999,598085.7248,7380.4952,0.8304738474012864,0.25144553484457943,0.857118922545159,1.0504509295499682,8270571.06,152683.478,31157169.08,158153.24,((((9)*(x))*((x)*((x)*(x))))*((3)*((x)+((6)*(x))))),(((((x)*(x))-((9)*(x)))*(((6)-(6))-((6)-((2)-(6)))))*((((4)*(7))*((5)+(1)))*(((8)-(7))+((1)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,33,33,34,34,0
34,x*x*x*x*3*x+1,25,-10,-0.023288861242337106,-0.009540131181253887,0.0002625840090082532,0.002165618060520613,94660.0184,214694.26351428573,237853.79119999998,7993.580114285713,0.2647051740256106,0.10475001342170802,0.4935745384231396,1.0272122763457374,4100053.1199999996,158298.8714285714,7183451.88,189146.8057142857,((((x)*(5))*((x)*((x)*(x))))*((3)*((6)+((1)*(x))))),(((((8)-(8))*((8)*(9)))*(((x)-(0))*((1)+((2)+(4)))))*((((0)+(6))*((6)+(3)))-(((2)/(6))+((1)*((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|DeleteTerminalR|AddTreeWithAdd,MutateTerminalR,AddToLeafR,34,34,35,35,0
35,x*x*x*x*3*x+1,25,-10,-0.02440268877355241,-0.0015558455004224458,-0.004730625823892118,0.0037396229237091193,123204.3242,120209.01378333334,349571.36,7661.0272,0.7953605071675907,0.1507907583461049,0.8000519812127,0.07619384029565071,7897458.859999999,203558.18,25811024.68,179419.4,((((x)*(x))*((7)*((8)*(x))))*((8)*((x)+((1)*(9))))),(((((x)*(7))*((9)*(7)))-(((1)*(7))+((3)-(4))))-(((6)*((7)-(3)))+((1)*((x)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,35,35,36,36,0
36,x*x*x*x*3*x+1,25,-10,-0.03894058506602758,-0.012033510261690276,-0.012095346660416244,0.0020344478512217554,NaN,NaN,502141.536,8021.293519999999,0.8837208198532761,0.00037887486735489355,0.9179676160345299,0.9999961785620972,11549412.8,166651.628,45424769.88,211198.15200000003,((((x)*(x))*((x)*((x)*(9))))*((8)*((6)+((3)*(x))))),(((((1)*(2))*((7)*(4)))*(((4)/(4))+((1)-((6)-(2)))))*((((x)*(6))+((3)*(7)))*(((0)+(1))*((8)-((7)-(9)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,36,36,37,37,0
37,x*x*x*x*3*x+1,25,-10,-0.04263926167489121,-0.0032063940314015784,-0.027516510080074517,0.000026891567320327967,25674.2011,10022.071685714285,65937.232,8445.4464,-0.612793543299782,0.0011666134982218253,0.14356900760029503,0.0005497595655639675,1173721.44,211202.24,2045207.08,211031.72,((((x)*(9))+((6)*((x)*(x))))*((3)*((7)+((1)*(x))))),((((8)*(1))*((x)+(3)))*((5)-((9)-(x)))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|DeleteMaliciousR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,37,37,38,38,0
38,x*x*x*x*3*x+1,25,-10,-0.03044066513251249,-0.005148475333858745,-0.018569201441511713,0.000159054743934776,50491.9766,8037.919279411766,113196.5136,8417.5232,-0.2499271576528009,0.006861095938909011,0.33159873495365233,1.0000168560821305,1795788.76,166645.07,3961851,209828.6,((((x)*(x))*((8)-((0)*(x))))*((7)*((x)+((1)*(x))))),((((7)*((x)*(6)))+((9)-((5)+(x))))+(((x)*(7))*((8)+((9)-(x))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,38,38,39,39,0
39,x*x*x*x*3*x+1,25,-10,-0.030588188178826456,-0.007483607011108047,-0.020687302318175223,0.000026342519010482666,49934.6446,65684.70598269232,102514.8048,8445.5624,0.09320403683868525,0.0009460512253512414,0.5240040586317304,0.000045735047765628355,3457918.7800000003,211280.21000000002,5824855,211078.32,((((9)*(3))*((x)*((x)*(x))))*((3)*((x)+((1)*(x))))),(((((9)*(5))*((8)-(x)))*(((0)*(0))*((6)*((2)+(4)))))*((((x)-(3))*((8)-(3)))*(((0)+(x))-((5)+((7)-(5)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,39,39,40,40,0
40,x*x*x*x*3*x+1,25,-10,-0.023983041978683096,-0.004990163306419848,-0.0041437795578326804,0.0006120498945082187,106315.873,8004.0614000000005,275918.9672,8321.815200000001,0.7004786758995085,0.03753704830881752,0.7658529698971323,1.0064081490491181,6236488.74,164668.88,17634654.28,203347.44,((((x)*(x))*((x)*((x)*(x))))+((7)*((x)+((8)*(9))))),(((((2)+(0))*((6)*(9)))-(((0)*(2))*((2)+((x)*(8)))))+(((6)-((2)+(9)))*(((2)-(3))+((0)+((x)-(x)))))),DeleteMaliciousR|MutateTerminalR|DivXD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,40,40,41,41,0
41,x*x*x*x*3*x+1,25,-10,-0.01829036607194068,-0.020214086452030176,0.012303690374406113,0.0006124626715854497,236092.9524,93494.82089999999,751640.5024,8321.728000000001,0.8766761144152331,0.06129586488336236,0.881309077075474,1.0106150334729227,11177582.56,163417.44,42829943.08,198327.72,((((6)*(x))*((x)*((x)*(x))))*((8)*((x)+((1)*(x))))),(((((x)*(3))*((8)*(0)))-(((6)*(0))-((3)*((8)+(x)))))*((((0)*(9))-((x)*(0)))*(((x)-(0))+((6)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|DeleteMaliciousR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,41,41,42,42,0
42,x*x*x*x*3*x+1,25,-10,-0.033035547526372236,-0.012159002335692788,-0.01829332194966407,0.002395541044935069,60738.823200000006,39968.6856,210465.29119999998,7945.0024,0.7167710868676869,0.0006908426898753442,0.8332388661036688,1.0001078134638288,4862562.84,166616.25,18649067.08,211132.24,((((x)*(3))*((x)*((x)*(x))))*((7)*((x)+((1)*(x))))),((((4)-((8)+(3)))*(((0)*(3))-((7)+(5))))+(((3)*((x)-(6)))*((0)+((x)+((4)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,42,42,43,43,0
43,x*x*x*x*3*x+1,25,-10,-0.03042551031600246,-0.000048707798098799416,-0.015855800620157335,0.0007622670015174351,53073.49,8462.285800000001,137534.44,8290.0776,0.3507107545474519,0.014056537778152339,0.5945094342184017,0.007060000526811864,2790025.98,210759.46000000002,8134979.96,208308.36,((((x)*(x))*((x)*((9)+(7))))*((7)*((x)+((1)*(x))))),(((((9)*(7))*((1)*(2)))*(((0)+(1))*((4)+((x)+(3)))))+(((x)-((3)-(8)))-(((7)*(x))+((1)*((4)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,43,43,44,44,0
44,x*x*x*x*3*x+1,25,-10,-0.02673399455877724,-0.004659582119534249,-0.005626684990467538,0.00003046788547043804,75038.157,113114.54711904762,201429.15600000002,8444.6908,0.3950441466000154,0.001505124523022252,0.6240085805114249,0.000772042645241594,3657642,211204.66999999998,8731141.24,210960.2,((((x)*(x))*((6)*((5)*(x))))*((4)*((x)+((1)*(x))))),(((((1)*(6))*((3)-(7)))-(((9)*(x))+((8)+((1)*(1)))))*((((2)+(0))+((7)-(4)))*(((9)-(7))-((x)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,44,44,45,45,0
45,x*x*x*x*3*x+1,25,-10,-0.031121479035697956,-0.00511679901404671,-0.023595020707294932,0.0016823278501994074,46895.948200000006,30629.186100000003,86650.36239999998,8095.688799999999,-0.46228602856328765,0.0841023825458566,0.24532478739677394,0.04271110299923425,2154046.5999999996,207033.8,2840181,193509.2,((((x)*(x))*((x)*((6)*(3))))*((x)+((7)+((x)*(x))))),(((((6)*(2))*((7)+((2)-(7))))-(((4)*((3)*(x)))+((x)+((8)*(4)))))*((((1)/(7))*((4)+(1)))+(((8)*(5))-((x)+((9)*((5)-(x))))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,45,45,46,46,0
46,x*x*x*x*3*x+1,25,-10,-0.03316866548504813,-0.0016675012026818653,-0.019723280870115246,0.0017708897557817136,40326.9714,11089.2127,124077.3976,8076.9776,0.4285619470762326,0.1650835722757956,0.6973707687199306,0.08255601770559061,2445214.5200000005,202563.07,9243267.88,176399.64,((((x)*(x))*((x)*((8)*(8))))*((4)*((5)+((1)*(x))))),(((((8)*(8))/((6)+((3)*(x))))*(((8)*(1))*((8)*((4)-(0)))))*((((3)*(2))-((6)-(1)))*(((2)*(7))-((x)+((x)-((9)+(5))))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|MutateNonTerminalR|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,46,46,47,47,0
47,x*x*x*x*3*x+1,25,-10,-0.029163419718645844,-0.0034143010774905012,-0.019059225154322595,0.000038337787073759184,57238.3294,10201.08979920635,110608.23039999999,8443.028063492062,-0.3200006664199146,0.000017417793222500565,0.2656688471501722,0.000047690003378058425,2116639.7,211281.54,3591725.88,211274.52,((((9)*(x))*((x)*((x)*(6))))*((x)+((0)*((0)*(x))))),((x)-((4)+(6))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,47,47,48,48,0
