gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x*3*x+1,25,-10,-0.02556936570445597,-0.007964158674812255,-0.008032718517980512,0.008448256104307708,111139.96119999999,13366.328114285716,302227.95199999993,6666.195657142856,0.767018481989344,0.08210650358491525,0.7956920245451736,1.0143444598317415,8103512.119999999,162339.9514285714,22671133.08,193930.88571428557,((((x)*(x))*((x)*((6)*(x))))*((3)*((x)+((8)*(x))))),(((((8)+(4))+((0)*(x)))*(((6)*(x))+((x)*((8)*(2)))))-((((7)*(9))*((2)-(4)))*(((1)/(9))+((5)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,11,11,12,12,0
12,x*x*x*x*3*x+1,25,-10,-0.030555767927335404,-0.011047514491902641,-0.014842608074191386,0.001914862197341012,78487.0456,8237.568969797981,247292.35919999998,8046.559363636366,0.7442693334093993,-0.000030290896733572532,0.7749313144995984,0.9997825503852061,6200458.08,166719.39,20654366.84,211284.6,((((x)*(8))*((5)*((x)*(x))))*((7)*((x)+((1)*(x))))),(((((5)*(4))-((9)*((7)+(2))))*(((x)*((x)*(7)))*((0)/((5)*(5)))))-((((2)*(7))*((3)*((9)+(4))))+(((1)*(8))-((6)-((x)+((x)-(x))))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,12,12,13,13,0
13,x*x*x*x*3*x+1,25,-10,-0.020425292331652446,-0.0026881423865439467,0.0045944057523086045,0.0000003237437653305268,187326.92580000003,1735103.5725999996,566421.9344,8451.0596,0.841052552967094,0.0000047330959843467044,0.7615726580177308,0.00028353344152344523,9744058.72,211317.7,33230826.28,211277.2,((((8)*(x))*((8)*((x)*(9))))*((9)*((x)+((1)*(x))))),(((0)+((8)+(7)))+((x)-(x))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,13,13,14,14,0
14,x*x*x*x*3*x+1,25,-10,-0.030043035450132413,-0.009891437029983706,-0.011961927968719279,0.001764944987225377,53392.8732,7536.624380000001,151298.37279999998,8078.2336,0.21777835585466673,0.00038622063232271865,0.5409345552873539,1.000059466449545,2299898.56,166631.56,6752504.28,211196.6,((((x)*(x))*((x)*((x)*(4))))*((x)+((5)*((3)*(x))))),((4)+((9)*(x))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,14,14,15,15,0
15,x*x*x*x*3*x+1,25,-10,-0.021301054752052018,-0.014965881936219122,0.00218577963396,0.000003199574133118886,145008.626,124965.7259,394634.2671999999,8450.452000000001,0.6998272315395726,-0.000011169981753106061,0.7109400586855494,1.1546929417038418,7483974.9399999995,122023.98999999999,17596383,211280.56,((((x)*(x))*((x)*((x)*(7))))*((2)*((x)+((8)*(x))))),((((5)-((8)+(4)))+(((0)*(5))*((0)-(9))))-(((0)-(0))-((7)+((x)-((9)+(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|ReplaceBranchXR,DeleteMaliciousR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MultXD,AddTreeWithMult,15,15,16,16,0
16,x*x*x*x*3*x+1,25,-10,-0.024127092965641635,-0.0010973381945038267,0.010875770864889486,0.0022299375893963516,130965.6134,8939.162621428572,457226.0632,7979.9908000000005,0.7801255450374931,0.11128786595114881,0.8296497747816021,0.06820279242656757,6584763.06,208177.88214285715,24022595.08,187765.5,((((x)*(x))*((x)*((x)*(3))))*((x)+((x)*((x)*(9))))),((((7)-((3)*(6)))*(((2)*(x))+((x)+(x))))*(((3)*((4)*(5)))-((2)/((4)+((x)-(x)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,16,16,17,17,0
17,x*x*x*x*3*x+1,25,-10,-0.026347759970395263,-0.01638405394709425,-0.004321755036336732,0.00003237059005614596,75186.005,7490.150911111111,199628.53280000002,8444.288799999998,0.3613112953333001,0.0016081166916416805,0.6345969899208338,0.9981170222379615,4067517.86,167263.56,8269999.08,210938.44,((((x)*(x))*((0)+((5)*(x))))*(((x)-(0))*((x)+((x)*(x))))),((((x)*((8)*(6)))+((x)-((8)-(x))))+(((x)+(3))*((4)*((4)-(x))))),AddToLeafR|MutateTerminalR|AddRandomSubTreeR|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,17,17,18,18,0
18,x*x*x*x*3*x+1,25,-10,-0.03078982909370831,-0.015491195876973514,-0.011325141642182159,0.00000299699710311506,48828.1722,12907.482349999998,152181.1672,8450.4948,0.11026990342340538,-0.000008519500189267127,0.49304188374982044,1.1546868209820365,2066697.72,122025.11,5936581.24,211280,((((x)*(8))+((4)*((x)*(x))))*(((x)*(2))*((x)+((1)*(5))))),((6)-((9)+(4))),AddToLeafR|MutateTerminalR|AddRandomSubTreeR|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,18,18,19,19,0
19,x*x*x*x*3*x+1,25,-10,-0.0312771796938712,-0.017368758091315394,-0.015516424558665446,-0.0001649384574924819,49190.4196,565225.88986,141788.6448,8486.6164,0.3819484209962836,0.0003563074657016144,0.616814719177782,1.0000573490881446,2957797.06,166632.23,8546139.48,211202.92,((((x)*(8))*((7)+((8)*(x))))*(((3)*(x))+((4)*((9)*(x))))),((((x)*((6)*(6)))-(((6)*(4))+((2)*(4))))+(((1)+(5))-((x)*((4)+((x)-(x)))))),AddToLeafR|MutateTerminalR|ReplaceBranchXR|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,19,19,20,20,0
20,x*x*x*x*3*x+1,25,-10,-0.02720611973370394,-0.004244280837449293,-0.012218848235860457,0.00014270095068966314,124926.43219999998,20948.850000000002,289255.464,8420.9784,0.7765214180422906,0.007121794865726904,0.9835953201862462,0.0035578357641370384,10422353.66,210901.02000000002,23635173.24,209773.52,((((x)*(x))*((x)*((5)*(8))))*((8)*((x)+((1)*(x))))),(((((8)+(0))*((3)*(7)))*(((1)+(0))+((9)+(1))))*(((x)-((1)*(6)))*((7)+((x)-((3)*(3)))))),AddToLeafR|MutateTerminalR|SkipD|MultXD|MutateTerminalR,AddToLeafR|SkipD|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithSub|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithMult|AddXD|AddTreeWithMult|SubXD|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|ReplaceBranchR|SkipD|AddTreeWithAdd,MutateTerminalR,AddToLeafR,20,20,21,21,0
