A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,MultXD,MultXD,DivXD,0,0,0,2
MultXD,MultXD,MultXD,MultXD,0,0,1,2
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,AddXD,0,0,2,2
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,DivXD,0,0,3,2
MultXD,MultXD,MultXD,SubXD,0,0,4,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,ReplaceBranchR,0,0,5,2
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,MutateTerminalR,0,0,6,2
SkipD,SkipD,SkipD,AddTreeWithAdd,0,0,7,2
AddToLeafR,AddToLeafR,AddToLeafR,AddTreeWithDiv,0,0,8,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,MultXD,0,0,9,2
MutateTerminalR,MutateTerminalR,MutateTerminalR,ReplaceBranchXR,0,0,10,2
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,AddXD,0,0,11,2
AddToLeafR,AddToLeafR,AddToLeafR,MultXD,0,0,12,2
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,ReplaceBranchXR,0,0,13,2
SkipD,SkipD,SkipD,DivXD,0,0,14,2
