gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,x*x,20,1,-0.20552066764406618,-0.045291638749928705,-0.14777651025173472,0.030936608899419446,45.99853654665338,26.46315865489841,227.50527818614563,24.260596622933306,0.16163583252190847,0.2452961672473868,0.3562834970792533,0.05623733651906348,649.6350062450767,129.19908841403122,5135,108.3,((((1)+(9))*((4)*(x)))*((x)-((7)*((6)+(x))))),(((x)*((9)*(5)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,20,20,22,22,0
22,x*x,20,1,-0.19716504749447405,-0.07562986548925851,-0.1530975599911399,0.061253398636535686,NaN,NaN,201.91500423814287,19.910137295657126,-0.3642276422764228,0.8536585365853658,0.19083213425592385,1.6438176629286343,414.77,124.67106378074952,2737,21,(((9)-((5)*(8)))*((x)*((8)+(x)))),(((x)*((1)+(x)))*((x)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,20,19,23,23,0
23,x*x,20,1,-0.18339790844490683,-0.047451090522906345,-0.12346622926997396,0.025507478385664712,86.79366836591578,27.699248402130234,434.38,25.039676851657113,0.6470588235294118,0.14982578397212543,0.6566923092694155,1.610444854740032,2209.773735370666,130.2731287767714,12197.5,122,((((x)*(1))*((9)*(9)))+((5)*((x)-((x)+(x))))),(((x)*((3)*(5)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,22,21,24,24,0
24,x*x,20,1,-0.19017328342507667,-0.05680319737609251,-0.060218737796565606,0.04671994884778512,NaN,NaN,3870.6040000000003,21.995687340342833,0.9591280653950953,0.3229965156794425,0.7565402019010725,0.08887975877054675,11938.832067810286,126.5969373738196,105329,97.15,((((x)*(5))*((x)*(3)))*((7)*((7)-((x)+(x))))),((((x)*(x))*((x)/(8)))-((4)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,22,21,25,25,0
25,x*x,20,1,-0.19633279115393898,-0.06768751383467887,-0.05946479112971697,0.023625779987390162,548.6566975186605,26.830879997335472,5237.708904029561,25.30970057180951,0.9746715538898727,0.1909407665505227,0.6159282489302076,0.04462696422496632,17101.44,130.17822824739142,169967,116.1,((((2)*(9))*((x)+(3)))*((x)*((6)*((9)+(x))))),(((x)*((9)+(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithAdd|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,22,25,26,26,0
26,x*x,20,1,-0.21270757548366467,-0.06493819241082917,-0.07463048278424268,0.046634878505923585,162.505992377628,26.510846819682584,1293.0559999999998,22.00789493439997,0.9000150964430458,0.5749128919860628,0.58749858138429,0.1590384982923816,4476.160000000001,125.49583866367452,43056.5,61,((((9)+(1))*((4)*((5)*(8))))*((3)*((9)-((x)+(x))))),(((x)*((8)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,26,25,27,27,0
27,x*x,20,1,-0.16789774346331487,-0.06578943064322325,-0.03927615545318012,0.03179872032971649,535.7843301830418,26.493117916219507,4615.302612492113,24.13688363268568,0.9602687512113186,0.2418118466898955,0.7107077598974756,1.6106673234307254,11991.402067810286,130.51703708526347,108353,108.8,((((x)*(x))*((9)*((4)*(7))))*((3)/((x)*((x)+(x))))),(((3)*((6)*(x)))*((9)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,27,26,28,28,0
28,x*x,20,1,-0.19613144976459396,-0.026720395628831634,-0.08812625193616584,0.02708201510960679,104.02133799972006,26.7536382703964,650.33,24.813730831771423,0.7114514561479942,0.1951219512195122,0.5318724818764586,0.049942627093043986,1606.9807871734604,129.10554647267125,14919.5,115.5,((((5)*(x))*((3)*((1)*(7))))*((x)-((3)*((5)+(x))))),(((x)*((9)*(3)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,22,26,29,29,0
29,x*x,20,1,-0.17975127802410398,-0.03931824859743635,-0.11035224995120131,0.022264674193330586,106.13640516313924,28.968686944386153,544.2,25.505019253257064,0.6974913920314806,0.1993031358885017,0.6540264916377136,0.04271006545590489,2300.3082429196193,131.46137985536384,14231,114.9,((((7)*(9))*((6)-((0)*(x))))-(((1)*(4))+((x)-((x)+(x))))),(((x)*((5)+(6)))+((x)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,27,29,30,30,0
30,x*x,20,1,-0.19184487360282854,-0.08641454919038419,-0.1240920610072499,0.03565177252656406,72.21981999095402,26.54333899457512,348.35400000000004,23.583970642438057,0.371486969851814,0.2968641114982578,0.42664036185588833,1.6123871062842392,1202.4578703703705,130.06967385269735,6849.5,100.9,((((6)*(5))-((1)*((x)*(2))))+((1)*((9)*((x)+(x))))),(((x)*((9)*(9)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,29,30,31,31,0
31,x*x,20,1,-0.20333677450176132,-0.07632178925774383,-0.14843844297206032,0.026882623565687935,55.290177844094266,26.541668582298612,224.17609041371426,24.842343518323784,0.14769352603444863,0.14982578397212543,0.4029793565454882,1.6088246299432285,1002.7566666666665,131.03129584968661,5051,122,(((9)*((9)*(8)))*((8)+(x))),(((5)*((3)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,31,31,32,32,0
32,x*x,20,1,-0.20067952885959794,-0.07371996682934695,-0.10642594938713958,0.07082066273927365,69.28020690281782,26.378285870170004,426.6739999999999,18.53723489691423,0.3181818181818182,0.5888501742160279,0.406526518171885,1.640721258278315,761.9588888888889,120.25254450606326,6314,59,((((9)*(1))*((x)*(x)))*((5)-((x)+(x)))),(((x)*((9)*(x)))-((2)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,29,32,33,33,0
33,x*x,20,1,-0.17918734004926665,-0.07448578730355818,-0.030090033425847835,0.038382551113190146,303.0122892316117,26.26186337715131,2385.600296296296,23.192103915257213,0.900024384296513,0.25547157869584275,0.5896577072963126,0.05834836012435699,4630.540226034285,128.04593970398201,43060.5,106.83982845714657,((((7)*(7))+((1)-((0)*(6))))*((x)+((x)*((x)+(x))))),(((5)*((x)-(2)))*((9)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,32,33,34,34,0
34,x*x,20,1,-0.20305144965786884,-0.0142888661361947,-0.06772665238820795,0.02886835568899949,141.8231327984872,26.37648067525345,1017.7439999999999,24.557390958628574,0.8050960258604297,0.29059233449477356,1.4518624144297978,0.07932263611987432,2639.2840019060313,125.86006759763754,22087.8,101.8,((((x)*(x))*((7)-((x)*(9))))*((2)+((x)-((x)+(x))))),(((x)*((8)*(9)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,32,31,35,35,0
35,x*x,20,1,-0.18582060974733353,-0.07644419043374026,-0.06748495005416766,0.03708462331737253,NaN,NaN,1015.78,23.378356553957037,0.8467153284671532,0.4146341463414634,0.5798823684577902,0.11576446891233541,3149.3144169803204,129.06281989792092,28085,84,((((x)*(8))*((6)*((2)-(4))))*(((7)*(6))-((1)*((6)+(x))))),(((x)*((5)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,35,35,36,36,0
36,x*x,20,1,-0.17796852922111517,-0.04468457384871515,0.03630077802712858,0.06286805515327513,457.3167175845159,26.933691045854847,3213.578,19.67843408550502,0.9020622661039892,0.5749128919860628,0.8587261926079558,0.15794043718469192,8662.860879629628,124.36486366470896,43956.5,61,((((x)*(x))*((2)*(5)))*((2)*((x)-((x)+(x))))),(((1)*((x)*(8)))*((x)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,34,35,37,37,0
37,x*x,20,1,-0.18253839534937386,-0.08603862776995794,0.029785381914422773,0.03021602787456445,NaN,NaN,3825.816,24.364,0.944017113467753,0.2529616724738676,0.602088837164048,2.1490260064719764,7965.983084964571,129.85634350113475,76898.5,107.2,((((5)*(x))*((7)*(x)))-((x)*((x)+(x)))),(((2)*((x)*(x)))+((4)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,34,37,38,38,0
38,x*x,20,1,-0.19603506294643935,-0.04505507880857954,-0.10239588992902551,0.03523329196217029,325.81232062176014,26.41836806517279,2673.7091028321515,23.644022603428567,0.9642147117296223,0.3519163763066202,0.7493403033264163,1.6180401456369715,13648.059762798473,127.83264120198935,120300.83333333333,93,((((x)*(x))*((5)*((x)*(x))))*(((2)+(0))/((3)-((x)+(x))))),(((4)*((x)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,37,38,39,39,0
39,x*x,20,1,-0.20105131821287006,-0.12672483585658267,-0.06742604850559597,0.05050993904496456,105.53368298639069,27.391316531416205,608.3580000000001,21.451823747047584,0.43552088113813675,0.5797909407665506,0.4438536841643961,1.636880495709855,887.2,122.13014474693993,7626.5,60.3,(((6)*((x)*(9)))*((x)+((x)+(x)))),(((x)*((8)+(7)))*((x)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,39,38,40,40,0
40,x*x,20,1,-0.20108418113327914,-0.06538193318859459,-0.10581290225141117,0.03049477295689499,77.07248586504211,26.394343489217707,523.65,24.32400008068557,0.6712987707108499,0.4146341463414634,0.5178323275507721,2.164752529468128,1441.124924953143,125.08605184830441,13097,84,(((x)*((6)*(x)))*((x)+(x))),(((x)*((5)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,40,40,41,41,0
41,x*x,20,1,-0.1837005032940989,-0.02598794724712112,-0.06009001427504605,0.03493035685866939,175.00884001986702,27.134023481410363,1304.1,23.687493790780945,0.8202917910292,0.5749128919860628,0.5581066554093473,0.1619730597493869,2623.632014066622,126.2868026451431,23955.5,61,((((3)*(x))*((8)*((x)*(7))))-((x)-((3)+((6)+(x))))),(((x)*((8)*(x)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,41,35,42,42,0
42,x*x,20,1,-0.1869936783196094,-0.05334851440040845,-0.1395809523809524,0.05231214786739672,55.992214834081615,26.162054161355268,260.10400000000004,21.19320678102857,-0.36643437862950057,0.9291962435440526,0.18711014233703185,1.6615587377155427,552.4233047136472,116.49181350717822,2727.5,10.16033905142845,((((3)*(8))-((2)*((3)+(6))))*((4)+((x)-((x)+(x))))),(((x)*((x)*(x)))-((3)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,42,35,43,43,0
43,x*x,20,1,-0.185928448009834,-0.05474324709807088,-0.12803241473973181,0.042332466999834395,61.85648586311926,26.340900626124622,322.605,22.625290985523762,0.3181818181818182,0.5386759581881533,0.40262017102668407,1.6286828475794526,843.2280307111835,124.852837836613,6314,66.2,((((8)*(5))+((5)*(x)))*((x)-((x)+(x)))),(((8)*((x)*(x)))-((2)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,43,43,44,44,0
44,x*x,20,1,-0.24017027794746398,-0.04421485076570944,-0.09306922629814406,0.030104494751750446,NaN,NaN,2191.172,24.38000500312381,0.9534131244048134,0.2469885515181683,0.6083616100560497,0.06424903811460951,9356.84,127.46330225112236,92408,108.05714285714285,((((x)*(x))*((6)*(7)))*((x)-((9)*((8)+(x))))),((((x)*(x))/((7)/(x)))+((3)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,44,44,45,45,0
45,x*x,20,1,-0.19153244631369673,-0.0726141548251117,-0.1069276925650259,0.06875261324041812,NaN,NaN,624.47,18.834,0.7684487951807228,0.5958188153310104,0.5482110860002505,1.6325366821428569,1995.0814285714284,123.8672479005838,18592,58,((((x)-(6))+((9)*((x)*(x))))-((8)*((x)-((x)+(x))))),(((x)*((6)*(3)))*((x)/((x)+(x)))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|AddXD|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,AddXD,44,44,46,46,0
46,x*x,20,1,-0.19650273952286523,-0.03557614452457271,-0.09428753343110376,0.025776090962734546,111.59721257307838,26.524099883301048,726.5440000000001,25.001130946847596,0.7480540761982793,0.18675958188153308,0.5384167451788716,1.610570930211041,1998.55,130.31295783042904,17087,116.7,(((x)*((x)*(6)))*((5)*((4)+(x)))),(((x)*((x)+(8)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,42,46,47,47,0
47,x*x,20,1,-0.18469004788123908,-0.05674511931232984,-0.12749547415559817,0.030674517205375822,74.4107454952508,26.724384460391416,397.14599999999996,24.298206781028565,0.6158650843222986,0.2452961672473868,0.5082108989378987,2.157128034709159,1517.76,127.0898952657418,11207,108.3,(((x)*((3)*(5)))*((9)*((8)+(x)))),(((x)*((5)*(3)))*((3)/((x)+(x)))),AddTreeWithSub|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,47,47,48,48,0
48,x*x,20,1,-0.19165019703298447,-0.08642532052051369,-0.12016565532314383,0.03186617818218071,144.82457948485342,26.55722796188055,1078.04925,24.127203430857065,0.9041533546325878,0.1951219512195122,0.6102105826609086,0.04388752084207169,4964.91,130.27317856433294,44915.5,115.5,((((x)*(8))*((0)-(4)))-((8)+((x)*((8)*(x))))),(((x)*((9)*(3)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,46,48,49,49,0
49,x*x,20,1,-0.17878278704158576,-0.00418946903477055,-0.09331063701097987,0.04309407665505227,238.2125810192001,26.382243336968415,1928.0225,22.516,0.9041533546325878,0.1951219512195122,0.6102105826609086,0.04388752084207169,4964.91,130.27317856433294,44915.5,115.5,((((x)*(8))*((0)-(4)))-((8)+((x)*((8)*(x))))),(((x)*((9)*(3)))/((x)+(x))),AddToLeafR|AddToLeafR|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddTreeWithSub,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,46,49,49,49,0
