gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x,20,1,-0.2236348034941462,-0.057157662904413764,-0.17457994264211138,0.030156924234544743,NaN,NaN,109.43334692571045,24.372481372342833,-0.3308943089430894,0.16236933797909406,0.19899327750271284,1.6092454352201504,464.1267406419045,130.8563231635687,2880.5,120.2,(((8)*((6)*(6)))*((x)-((x)+(x)))),(((x)*((3)*(6)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,11,11,12,12,0
12,x*x,20,1,-0.2375717330907787,-0.0938085641473036,-0.1491920402179324,0.042090592334494775,NaN,NaN,316.7721755803499,22.66,0.6401404330017554,0.5749128919860628,1.4239568586182212,1.6286035902087677,1444.367947619902,125.50145428254012,11963,61,(((8)+((8)*(x)))*((9)*((8)+(x)))),(((x)*((x)*(8)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,12,9,13,13,0
13,x*x,20,1,-0.2171893476028904,-0.055405257797113174,-0.1860134554039229,0.032573263154737186,30.148243534310954,26.463033969827688,60.212074486111916,24.025736737295215,-0.8145180023228804,0.18466898954703834,0.048859557568459236,0.035878888161736296,201.4476213348571,130.42184047761037,798.5,117,((((x)*(5))*((9)*(2)))-((x)+((3)+(x)))),(((x)*((3)*(8)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,13,9,14,14,0
14,x*x,20,1,-0.24947943597247016,-0.014790284060943784,-0.18895535811460307,0.04540696446895679,29.996203526774533,26.461993617546046,47.547183316633856,22.1841005987047,-0.9029854211673987,0.21672473867595815,0.020218351960405972,0.048856028961099154,178.98619730514582,129.5270762961111,417.64776187434865,112.4,((((2)*(6))-((8)*(6)))*((8)*((4)/(x)))),(((x)*((x)+(x)))/((x)+(x))),MutateNonTerminalR|ReplaceBranchR|DivXD|SubXD|SkipD|ReplaceBranchR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|DivXD|AddToLeafR|SkipD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,7,14,15,15,0
15,x*x,20,1,-0.2243717474985166,-0.026152858911156946,-0.17921332819168978,0.04373519163763066,34.689151853076,26.736616589302262,89.48662213477559,22.423999999999996,-0.7024390243902439,0.926829268292683,1.716571651758731,0.2734176144915192,286.35136301714283,121.21280930928808,1281,10.5,(((x)*((x)-(x)))*((x)*((9)+(x)))),(((x)*((x)*(x)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|DivXD|SkipD|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,13,15,16,16,0
16,x*x,20,1,-0.22762280695092837,-0.06382502550029391,-0.13905574334901424,0.05590241928813683,157.54738154862827,26.171529897114198,1287.7793345840864,20.67800283215237,0.9277315946388762,0.5749128919860628,0.5970135974859085,2.1744791881024894,6115.777754624761,122.79734085444838,59569.6,61,((((x)*(x))-((6)*(8)))*((9)*((6)+(x)))),(((x)*((8)*(x)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,16,11,17,17,0
17,x*x,20,1,-0.21316881674870503,-0.00401108946807925,-0.14771079712778748,0.05619591817992403,107.23655921160893,26.394413511649844,822.2762243805774,20.635885741180903,0.8866526595156474,0.9400696864111499,0.5866723162917548,0.2745205212959788,3922.1312145980955,120.70161084071319,37980.6,8.6,((((9)*(x))*((7)*((8)*(1))))/(((x)*(x))-((7)*((x)+(x))))),(((x)*((x)-(2)))*((x)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,17,17,18,18,0
18,x*x,20,1,-0.21064698560447873,-0.08502368588807535,-0.12662162278197184,0.06758332251587854,NaN,NaN,364.6779886982857,19.00179321897143,0.5209747412929787,0.5414634146341464,0.4688955340220935,1.6257412326310725,1061.8885584739048,126.44575035054744,8987,65.8,((((8)*(2))*((8)*((x)/(2))))*((x)-((8)*((8)+(x))))),(((x)*((7)+(x)))*((8)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,18,18,19,19,0
19,x*x,20,1,-0.19093195935052878,-0.04386483828162295,-0.10005821066967904,0.07850326190064703,103.40477534225853,26.24927499818674,703.5379999999999,17.434781917257148,0.7814454552838924,0.5268292682926828,0.5521484855269708,1.6245383071804045,2111.83,126.82099114278702,19697.6,67.9,((((x)*(9))*((x)*(x)))-((9)+((6)+(x)))),(((x)*((7)*(x)))/((x)+(x))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,18,18,20,20,0
20,x*x,20,1,-0.19371898846196078,-0.117089642042398,-0.11286148577435443,0.03448233320492303,83.11167315440758,26.626211229097844,588.392045314438,23.751785185093546,0.76,0.2857142857142857,0.5452615350275433,2.1580740270781487,1938.3700000000001,126.92734076811996,17937.5,102.5,((((1)*(7))*((2)*((9)*(1))))*((x)*((x)-((x)+(x))))),(((x)*((x)*(3)))-((0)/((x)+(x)))),AddToLeafR|DivXD|SkipD|DivXD|SkipD|ReplaceBranchXR|MutateTerminalR|MutateNonTerminalR|SubXD|SkipD|AddTreeWithMult|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|AddXD,DivXD|AddTreeWithSub|AddXD|MutateNonTerminalR|DivXD|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|ReplaceBranchXR|AddToLeafR|DivXD|AddXD,SkipD,DivXD,20,19,21,21,0
