gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
19,x*x,20,1,-0.008632328791935328,-0.049197091661696835,0.19800468352456316,0.09020786230549203,4490668.476399999,573.6219873241174,43849197.35,15.75517175916189,0.9999979772417489,0.5721254355400697,0.8564201131093251,0.2088554650373197,214565243.82999998,129.0637241282539,2128282011.8,61.4,((((5)+((3)*(9)))*(((x)*(8))+((2)*(9))))*(((x)-((8)*(1)))*((x)*((x)*((x)+(x)))))),(((4)+((x)*(9)))-((x)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,ReplaceBranchR,19,19,20,20,3
20,x*x,20,1,-0.003616034294119026,-0.08079650682792466,0.1978408166156679,0.0896011348945921,205193.46260000003,25191.159116575633,1886733.25,15.842237142626034,0.9999369853008224,0.3663074077849674,0.858016294807282,2.446501793867956,7194216.210000001,134.62314420299467,68317393.5,90.93488698285718,((((2)*((9)*(3)))-(((6)*(x))*((8)-(2))))*(((5)*(x))*((x)*((x)+((1)+(0)))))),((((x)+((2)+(5)))-(((x)*(x))*((9)+(x))))*(((4)-((6)-(0)))/((x)*((6)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,18,19,21,21,3
21,x*x,20,1,-0.0411424174277016,-0.0659740980133029,0.1948810966046347,0.04644863872414141,307597.5424,168.14670114302768,2979032.5739999996,22.034620343085706,0.999966256930703,0.42822299651567947,0.9470819042541856,1.6322517524707258,12970464.169999998,123.95394069777068,127581755,82.05,((((x)*((7)*(8)))*((5)+((x)*(6))))*(((2)*(5))-((0)*((x)*((x)+(x)))))),(((((x)+(3))*((8)*((x)+(6))))*(((2)+(9))*((3)+((0)+(6)))))*((((x)+(2))-((2)*(7)))/(((9)-(0))-((5)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,20,21,22,22,3
22,x*x,20,1,0.010134551727026509,-0.12106815018073037,0.19502972131461957,0.041730117913122144,920657.8241999999,184.48444795710398,8863249.468,22.711728079466976,0.9999891572304894,0.18466898954703834,0.9367460004451542,1.5880877800577093,40443101.8,140.60045397336717,397038782,117,((((5)*((4)+(3)))-(((4)*(9))*((x)*(x))))*(((9)*(9))*((6)+((7)*((x)+(x)))))),(((9)+(3))*((5)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithMult,22,16,23,23,3
23,x*x,20,1,-0.012262605490631627,-0.09151768606162136,0.1986730033031653,0.06967557104142472,1099701.3422,123090.73189024033,10895308.152,18.701555555555554,0.9999913906976376,0.41114982578397213,0.9022989793582802,2.097432199959002,50138282.45,150.92829838142703,500040516.5,84.5,((((5)+((9)*(x)))*((5)*((6)*(x))))*(((x)*(3))*((1)*((x)*((x)+(x)))))),(((((3)-(3))*((9)*(5)))*(((9)-(6))+((7)-((6)*(8)))))-((((0)+(x))-((4)*(9)))*(((1)/(3))-((2)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,ReplaceBranchR,23,23,24,24,3
24,x*x,20,1,0.013686664700587554,-0.11683462026659842,0.19823277808762288,0.06305226480836237,288937.502,138.28761023954436,2494658.722,19.652,0.9999318894942943,0.3519163763066202,0.977776709951535,1.6179827647603071,6807840.279999999,127.70281545015872,63206108.3,93,((((3)-((x)*(x)))*((6)+((9)*(x))))*(((8)+(1))+((4)*((x)*((x)+(x)))))),(((4)*(x))-((0)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,SubXD|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,SubXD,24,23,25,25,3
25,x*x,20,1,0.0058477634129632935,-0.11046514590950565,0.1981679878284805,0.0744924506387921,1663433.4792000004,328.4574242462848,16432338.08,18.01033333333333,0.9999946042728527,0.5562137049941928,0.7906705782892843,0.18441742434582345,80077392.15,129.6080753447619,797853539,63.68333333333334,((((7)*((2)+(9)))*(((7)*(x))*((3)+(6))))*(((5)+((6)*(9)))+((9)*((x)*((x)+(x)))))),(((((x)*(0))-((9)-(4)))*(((1)+(9))*((5)+(0))))+(((x)-((x)*(1)))/((9)*((2)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,ReplaceBranchR,24,25,26,26,3
26,x*x,20,1,-0.02079971742745496,-0.10368895794720301,0.19555953045495705,0.10096770449878432,1212488.994,324.0549724527646,11573489.224000001,14.211134404424447,0.9999919200211903,0.25919150045240913,0.9120904056562931,0.1413670413785964,53336772.7,136.9695722671721,532798427,106.30601968507929,((((x)*((x)*(4)))*((x)*((6)-(2))))-(((1)*(x))*((8)*((9)*((x)+(x)))))),(((((7)*(1))+((6)-(7)))-(((x)-(1))+((4)*((1)-(9)))))-(((0)-((5)*(9)))*(((x)+(x))/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,24,26,27,27,3
27,x*x,20,1,-0.025972740505166948,-0.034318112493505866,0.18582133546538718,0.10966274927307117,758795.2924000002,1684.877286032997,6921772.396000002,12.963395479314288,0.9999866837351014,0.8257839721254355,0.9024858811183154,0.26619334459206145,34905088.39,129.8826650323361,323288852.6,25,((((8)*((1)*(x)))*((4)*((x)*(9))))*(((x)*(6))+((8)+((x)*((x)+(x)))))),(((((x)*(1))-((7)*(1)))-(((x)+(3))+((x)+(x))))*(((x)+((7)+(3)))/((0)+((2)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,24,24,28,28,3
28,x*x,20,1,-0.010116228983139837,-0.09125361501840822,0.1933867911976771,0.0947773808374306,165759.36800000002,8187.715087959601,1509563.062,15.099445849828703,0.9998897105700493,0.5011575116774359,0.8797386560485241,2.109417921395453,3912393.88,150.64959256800347,39033659,71.58389707428795,((((1)+((x)*(6)))+((8)*((6)*(8))))*(((8)*(7))*((x)*((x)+(x))))),(((((x)*(1))*((8)-(3)))*(((x)-(7))-((3)-((2)*(7)))))-(((x)-((1)*(8)))*(((3)+(5))/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,27,28,29,29,3
