gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
29,x*x,20,1,0.004262846926137761,-0.1074953536258847,0.1985973054097659,0.10104446895071754,817011.2991999999,493.34892398753044,7449489.008,14.200118705572036,0.9999745015333783,0.47944250871080135,1.003235237365211,1.6099764295150496,17609410.17,134.11278766038782,168833681.8,74.7,((((9)-((6)*(9)))*((x)*((x)*(4))))+(((x)+(2))*((8)*((8)*((x)+(x)))))),(((x)*(6))+((3)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,24,29,30,30,3
30,x*x,20,1,-0.001032095101386295,-0.061896485003437814,0.19700169608457846,0.06522329766291643,19094973.792399995,511.949925236674,190815648.28800002,19.34045678537149,0.9999995477097475,0.6948730711796913,0.8450499314421299,0.32410155316478195,952173213.4599998,135.33872539783917,9518224142,43.78571428571429,((((7)*((x)*(5)))*(((1)*(x))*((x)*(7))))*(((7)*(7))+((2)*((x)*((x)+(x)))))),((((5)*(9))*((x)*(2)))/((9)-((2)-((x)+(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,ReplaceBranchR,30,28,31,31,3
31,x*x,20,1,-0.06087561992729798,-0.10602740844718554,0.1939508174728718,0.05884213347627981,1241782.2314,902.488933348287,12307007.781999998,20.256153846153847,0.9999926375719197,0.28008576789064593,0.7265188423291504,1.601934955929497,58531479.04,135.3679962117346,584725576,103.3076923076923,((((3)*((4)+(4)))*(((8)*(8))*((5)+(7))))*(((x)-(2))*((x)*((x)*((x)+(x)))))),(((((2)*(1))*((x)-(6)))-(((0)-(4))*((x)*(2))))-(((0)*((x)+(x)))/(((8)*(9))-((7)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithMult|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithMult,31,31,32,32,3
32,x*x,20,1,-0.013568484494770544,-0.08662528407131323,0.19910594648448005,0.051830662020905936,550496.2541999999,4080.6307659342724,5048421.02,21.2623,0.9999794170391512,0.30313588850174217,0.7882455866198642,1.5989647639911087,20966729.509999998,135.47476125265044,209153582.5,100,((((9)*((7)-(0)))+(((x)*(6))*((2)*(9))))*(((7)+((7)*(7)))*((x)*((x)+((8)*(9)))))),(((2)*(6))*((9)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|DivXD|SkipD|AddXD,AddToLeafR,AddTreeWithSub,31,32,33,33,3
33,x*x,20,1,-0.02442009247262061,-0.06784865937822458,0.19523097209981144,0.09962137049941928,90267.02919999998,569.0888160883849,707377.566,14.404333333333334,0.9998117205921342,0.6167247386759582,0.9801862460522386,1.6541608568582542,2593105.69,119.51192544352699,22864954,55,((((x)*((8)+(6)))*(((8)-(x))+((x)+(1))))*(((x)*((5)*(1)))+((x)*((6)*((x)+(x)))))),(((x)+(1))*((9)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,33,32,34,34,3
34,x*x,20,1,0.030464432839200205,-0.10691806047692676,0.19512542342912412,0.09670441493598796,283661.111,2197.678669854127,2739345.8260000004,14.82291645668573,0.9999426137868465,0.5470383275261325,0.5557807444804713,1.6036607823186628,7704860.51,143.10941297608483,75018018.5,64.99999999999999,((((x)*(5))+((x)*((x)-(4))))*(((x)*(x))*((7)*((x)+(x))))),((((5)-(x))*((7)*((8)-(x))))*(((4)/(3))-((6)-((x)+(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,34,32,35,35,3
35,x*x,20,1,-0.01354186692028927,-0.09393045738232664,0.19563599893067418,0.11333797909407664,298710.3564,3306.468056525605,2812343.938,12.436,0.9999611938532477,0.6515679442508711,0.9632827008782637,1.6110364258658778,11489547.91,132.19647512880613,110936033.6,50,((((8)*((7)*(7)))*(((6)*(9))+((x)-(4))))+(((9)*((x)*(1)))-((0)*((x)*((x)+(x)))))),(((7)+((4)*(x)))-((x)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,35,35,36,36,3
36,x*x,20,1,-0.019217779153227435,-0.07951012894544945,0.1993241092415364,0.07976306620209059,1329826.17,241.74525626183276,13124124.195999999,17.253999999999998,0.9999931983316221,0.27944250871080134,0.7621610429086257,0.06733722168023579,63298134.44,135.6231550960005,632932945.4,103.4,((((x)*((8)*(9)))+((x)*((6)*(6))))+(((8)*(x))*((x)*((x)+(x))))),(((9)*(7))+((1)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,36,34,37,37,3
37,x*x,20,1,0.013886103814631161,-0.060367569566227415,0.1979286958147667,0.07845884234013542,256201.37200000003,289.7007134594287,2271094.3959999997,17.441156124190567,0.9999250602095521,0.6111498257839721,0.8000845154325792,1.6612900211101789,6066600.11,116.55224818074082,57446117.4,55.8,((((5)+((x)-(4)))*((x)*((8)+(4))))*(((4)*(5))*((x)*((x)*((x)+(x)))))),(((9)*(x))-((8)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,36,37,38,38,3
38,x*x,20,1,0.013130415728057888,-0.04512755643672639,0.19447304153883974,0.08763820531129944,55302812.88619997,218.36043079841932,552362608.29,16.123917537828532,0.9999998437547004,0.46369101706321636,0.42894175421743197,1.5740575586140144,2757424638.2799997,147.23558024072673,27552828863,76.96033905142845,((((x)*((7)*(4)))*(((9)*(6))*((x)*(x))))*(((3)+(9))+((x)*((x)*((x)+(x)))))),(((((7)-(4))-((2)*((x)-(8))))*(((x)-((3)*(x)))+((8)*((x)+(9)))))*((((0)*(x))*((5)-(7)))-(((0)-(7))+((x)/((x)-((x)+(x))))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,37,36,39,39,3
39,x*x,20,1,0.01365961976876457,-0.052551450081894026,0.19970735282368066,0.07802599177179752,596997.1888,306.693157837867,5605491.878,17.503290353635013,0.9999588601568968,0.14982578397212543,0.7855236140834845,0.05722305876332798,10575156.97,135.86719148990412,104643082.6,122,((((0)*((3)-(3)))*(((x)*(8))*((7)*(8))))+(((x)+(7))*((x)*((9)*((x)+(x)))))),(((8)*(2))-((1)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,39,39,40,40,3
40,x*x,20,1,0.010060896843430627,-0.10591143336482785,0.19823443898083187,0.06363275765614737,157623.06519999998,300.6191125063182,1111329.492,19.56869927634285,0.999895072914088,0.5749128919860628,0.913911125482748,1.6335573649908302,5633823.7,125.59701599068859,41028491,61,((((x)+((8)*(x)))*(((4)*(4))*((x)+(x))))*(((x)+(7))+((8)-((8)*((x)+(x)))))),(((x)+(0))*((8)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,37,39,41,41,3
41,x*x,20,1,-0.024789507198361906,-0.08388581290597096,0.19725238608591017,0.07124046574786722,132300.65,510.0230702581402,1203272.9699999997,18.476993165181053,0.9998914621801114,0.8966318234610917,0.7912049398940459,2.2325936264950585,4005739.4,109.26698457792207,39663593.8,14.833333333333332,((((x)-((9)+(7)))*(((8)*(6))-((x)*(3))))+(((5)*((5)+(x)))*((x)*((x)*((x)+(x)))))),(((((0)*(8))+((x)-(4)))*(((x)*(2))+((8)-(9))))-(((x)-((x)*(0)))+(((4)+(9))/((3)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,41,39,42,42,3
42,x*x,20,1,-0.008601087207492891,-0.06101628947904031,0.193889505354916,0.10371196283391408,1141325.3498,63.86173887255888,11308542.88,13.817333333333334,0.9999921202245149,0.7804878048780488,0.9977911422445197,1.6402514106032369,54824251.239999995,131.1308034668051,546335363,31.5,((((x)*((9)-(0)))*(((x)*(4))*((4)+(8))))*(((7)*(3))+((2)*((x)*((x)+(x)))))),((((9)-(4))*((x)-((8)*(4))))/(((1)-(2))-((3)+((x)+(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,37,41,43,43,3
43,x*x,20,1,-0.027012714550747493,-0.0764650854184494,0.19555126808412082,0.06990791736774843,83464.04279999998,385.588063822376,608921.5519999999,18.668213857728105,0.9995195363549262,0.29450397368267733,0.8624659972070464,0.28274163287956566,1609731.2799999998,176.31111004114564,8960095.2,101.2386797765358,((((2)*((7)*(6)))+(((5)-(6))+((3)+(2))))+(((x)*((x)*(5)))+((6)*((x)*((x)+(x)))))),(((((x)-(0))-((2)*((2)*(4))))-(((5)+(2))+((7)*((8)*(3)))))-((((3)-(6))*((1)+(7)))-(((8)-(0))/((x)-((1)+((5)+(x))))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,43,43,44,44,3
44,x*x,20,1,-0.014231073322698328,-0.08869162959021056,0.19873055707444703,0.0644088269454123,223805.18959999993,212.39386088450178,2083144.8580000005,19.457333333333334,0.9999512789388334,0.20557491289198607,0.9509174452344161,1.593817638243107,8954457.84,141.15886407280368,88360144.4,114,((((x)*((x)*(7)))-(((x)+(1))*((3)*(6))))*(((x)+((2)*(0)))*((x)-((3)*((x)+(x)))))),(((3)*((x)-(2)))-((x)+(x))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,44,42,45,45,3
45,x*x,20,1,0.009601275443898237,-0.1183815957787192,0.19848651225493852,0.06550419737156153,419119.80499999993,1006.5240179970497,3987400.76,19.30014767718092,0.9999757452669018,0.3665505226480836,0.8992653568767539,0.11391402252563725,18373108.619999997,130.0130991630703,177491130.6,90.9,((((x)+((3)*(x)))*((2)*((7)+(2))))+(((0)*(x))*((x)*((x)*((x)+(x)))))),((((x)-((9)-(7)))+(((6)*(5))+((3)*(x))))*(((2)-((6)-(8)))/((x)-((8)-((5)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,42,44,46,46,3
46,x*x,20,1,-0.011264168430838235,-0.14079953654787686,0.19921526655330057,0.02834345445495272,103725661.60859999,136.13384722963198,1033470971.7260001,24.632714285714286,0.9999999164054436,0.10243902439024383,0.9544193591404296,1.5843597574587924,5166917439.359999,142.79534207873024,51498568667,128.8,((((7)*((x)*(4)))*(((7)*(9))*((8)*(5))))*(((6)*((6)*(9)))+((7)*((x)*((x)+(x)))))),((((6)-(1))-((x)/((8)+(0))))+((0)-((7)-((x)+(x))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,46,45,47,47,3
47,x*x,20,1,-0.01229541489535666,-0.060911444501485584,0.1795554728799024,0.0884773519163763,249485.35679999995,6816.4390542100255,1975312.56,16.003500000000003,0.9998960405689932,0.6376306620209059,0.7584233576308037,0.2041121694135937,6282158.2,129.3626045744761,41410384.4,52,((((x)+(5))*((x)+((4)*(x))))*(((x)*(7))*((6)*((x)+(x))))),((((3)-((7)+(0)))*(((2)*(3))*((8)*(7))))-(((0)-((9)-(x)))/((1)*((8)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,45,47,48,48,3
48,x*x,20,1,0.0035164717759616116,-0.0953525174955295,0.19826317076526323,0.10915406997471376,230925.78879999992,3666323.4628376574,1937083.304,13.036390958628575,0.9999211133611262,0.7443910314783472,0.9522061964699516,1.5867351999431554,5496216.55,144.7232902040197,54571979,36.679886982857184,((((x)*((5)-(x)))*((4)+((x)*(5))))*(((2)+(7))*((x)*((8)*((x)+(x)))))),(((((3)-(9))-((5)-((x)-(x))))-(((2)-(1))*((x)*((1)+(x)))))-((((0)-(0))-((0)*(4)))*(((1)+(x))/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,48,36,49,49,3
49,x*x,20,1,0.058009265501950395,-0.04995449115359845,0.1999149362363532,0.11963218176127421,341190.58919999993,7326613.059817667,2653444.872,11.532781917257148,0.9997953703932302,0.7443910314783472,0.8215565198828835,1.5867351999431554,2385913.13,144.7232902040197,21038011.4,36.679886982857184,((((7)+((6)*(x)))-((0)*((x)*(2))))+(((2)*(9))*((x)+((4)*((x)+(x)))))),(((((3)-(9))-((5)-((x)-(x))))-(((2)-(1))*((x)*((1)+(x)))))-((((0)-(0))-((0)*(4)))*(((1)+(x))/((x)-((x)+(x)))))),AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|MultXD|AddXD|AddToLeafR,MutateNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|SkipD|AddXD,AddToLeafR,AddTreeWithSub,45,36,49,49,3
