A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,MutateNonTerminalR,0,0,0,3
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,ReplaceBranchXR,0,0,1,3
AddToLeafR,AddToLeafR,AddToLeafR,AddRandomSubTreeR,0,0,2,3
MultXD,MultXD,MultXD,ReplaceBranchR,0,0,3,3
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,DivXD,0,0,4,3
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,MutateTerminalR,0,0,5,3
AddRandomSubTreeR,AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,0,0,6,3
AddToLeafR,AddToLeafR,AddToLeafR,AddTreeWithSub,0,0,7,3
SkipD,SkipD,SkipD,AddTreeWithSub,0,0,8,3
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,SubXD,0,0,9,3
AddToLeafR,AddToLeafR,AddToLeafR,AddTreeWithMult,0,0,10,3
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchR,0,0,11,3
MultXD,MultXD,MultXD,AddToLeafR,0,0,12,3
AddXD,AddXD,AddXD,SkipD,0,0,13,3
AddToLeafR,AddToLeafR,AddToLeafR,AddXD,0,0,14,3
