A,P,AFinal,PFinal,AGen,PGen,count,run
AddXD,AddXD,AddXD,AddTreeWithAdd,0,0,0,4
AddTreeWithDiv,AddTreeWithDiv,AddTreeWithDiv,ReplaceBranchXR,0,0,1,4
AddTreeWithAdd,AddTreeWithAdd,AddTreeWithAdd,MutateTerminalR,0,0,2,4
AddToLeafR,AddToLeafR,AddToLeafR,ReplaceBranchR,0,0,3,4
SkipD,SkipD,SkipD,ReplaceBranchXR,0,0,4,4
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,AddTreeWithDiv,0,0,5,4
MultXD,MultXD,MultXD,AddXD,0,0,6,4
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,AddXD,0,0,7,4
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,0,0,8,4
SkipD,SkipD,SkipD,ReplaceBranchXR,0,0,9,4
AddToLeafR,AddToLeafR,AddToLeafR,AddXD,0,0,10,4
ReplaceBranchXR,ReplaceBranchXR,ReplaceBranchXR,SkipD,0,0,11,4
MultXD,MultXD,MultXD,AddTreeWithAdd,0,0,12,4
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,AddToLeafR,0,0,13,4
AddTreeWithSub,AddTreeWithSub,AddTreeWithSub,ReplaceBranchXR,0,0,14,4
