gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
32,x*x,20,1,-0.03045440690003657,-0.0121022786891795,0.19311888097730048,0.16858536585365852,24733.486400000005,142.2830464175467,201644.092,4.508,0.9989907634341284,1,0.8977835669545505,0.3882606287523028,483292.02999999997,133.13310171542855,4265600.5,0,((((x)*(7))*((8)*((4)*(9))))*((5)*((8)*((5)+(x))))),(((x)*(x))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,32,31,33,33,2
33,x*x,20,1,-0.057781518677702245,-0.027287834155213325,0.1771458522369526,0.13965156794425085,18666.237800000006,2613.8839269265827,93423.67599999999,8.66,0.9987972826802253,0.7804878048780488,0.876580768879729,0.4033596780833419,779043.3099999999,119.4000565085714,3579394.7,31.5,((((x)*((x)+(5)))*((8)-((6)*(6))))-(((9)-(x))*((8)*((4)*(x))))),(((x)-((4)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,31,31,34,34,2
34,x*x,20,1,-0.013705583952171467,-0.02725147752301766,0.18951382492903093,0.11810452961672474,84226.0234,1207.8636720752622,750507.46,11.752,0.9996705290836835,0.7804878048780488,0.8243392957875229,0.2712830037998429,1310572.72,107.90609041371427,13066403.7,31.5,((((x)*((4)*(x)))*((6)+((8)-(0))))-(((x)*(x))*((8)*((4)+(x))))),(((x)+((2)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,34,34,35,35,2
35,x*x,20,1,-0.04086047580191649,-0.034163806648116864,0.1985329931912612,0.17736585365853658,110366.30800000002,64.07679012474743,1035414.0580000001,3.248,0.9998953031245225,0.926829268292683,0.8186447514792454,1.7406919969377581,4115561.04,105.25109348930809,41118705.6,10.5,((((x)-((6)*(7)))+((x)*((7)*(9))))+(((5)*(8))*((3)*((9)*(x))))),((((x)*(2))-((x)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|ReplaceBranchXR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,34,35,36,36,2
36,x*x,20,1,-0.03814312071899872,-0.04392632023923518,0.18880446026027783,0.1501742160278746,137016.7418,52.80373105650388,1312513.7019999998,7.15,0.9999160160241426,1,0.8636633221161507,0.3844117311037087,5203412.58,94.12310171542853,51259778.5,0,((((x)*((1)-(4)))*(((3)*(9))-((2)*(5))))*(((x)*(7))*((9)*((3)+((9)+(6)))))),(((x)-((1)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,36,36,37,37,2
37,x*x,20,1,0.007742144494117963,-0.03279620273490266,0.19921627879968287,0.17515679442508714,242639.36,609.9313575923503,2177258.118,3.565,0.9999211260714077,1,0.9426203447744088,1.727273601002082,6082302.26,92.41322031619052,54580773.1,0,((((x)-(x))*((x)*((7)*(9))))*(((x)*(x))*((3)*((0)+(8))))),(((x)*(x))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,37,37,38,38,2
38,x*x,20,1,0.013785687293316634,-0.080266373977653,0.19903972818283822,0.11554353417013784,37372.053199999995,495.3970721594841,289305.456,12.119502846585222,0.9988516395679391,0.5749128919860628,0.7635034955966038,1.6267852317584308,422305.55,126.85194913481483,3748823,61,((((x)*((4)*(6)))*((5)*((6)+(x))))+(((6)*(2))*((5)*((1)*((3)-(x)))))),(((x)*(9))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,33,38,39,39,2
39,x*x,20,1,-0.03969973179699923,-0.020027197473603944,0.19724627852117804,0.16229965156794424,261478.51260000005,8070.76621902698,2567662.378,5.41,0.9999507487018179,0.4146341463414634,0.7020175441116526,0.15905686809998737,8742460.34,121.80022603428563,87408863.5,84,((((6)+((4)*(9)))+(((4)*(2))-((8)*(1))))*(((5)*(x))*((9)*((6)*((4)*(x)))))),(((x)*((5)+(x)))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,39,39,40,40,2
40,x*x,20,1,-0.00482614414499556,-0.018474010569445837,0.1978153401510882,0.14925900116144017,103693.66159999998,694.3440114977649,680477.9920000001,7.281333333333334,0.9997242692181553,0.4146341463414634,0.879909438766079,1.6253031987615687,2810079.42,125.27675456888886,15613055.5,84,((((3)+((9)*(2)))*((3)+((8)*(x))))*(((9)*(5))-((6)-((3)*((x)*(x)))))),(((x)*(6))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|ReplaceBranchXR|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,ReplaceBranchXR,39,39,41,41,2
41,x*x,20,1,0.0017523186207533926,-0.05439565671510918,0.1980332224215213,0.16082229965156794,208167.223,1518.6419088646467,1951272.178,5.621999999999999,0.9999426419425824,0.7073170731707317,0.8881320890512066,0.35228145688307577,7606340.469999999,162.830904667,75054843.1,42,((((x)-((9)*(x)))*(((8)*(x))*((0)*(6))))-(((x)*(8))*((x)+((0)*((1)*(4)))))),(((x)+((3)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,41,41,42,42,2
42,x*x,20,1,-0.012690655990027706,-0.04011865179633541,0.1960437334042782,0.159465737514518,268778.85740000004,941.7933705070417,2582980.5919999997,5.816666666666666,0.9999614198027009,0.8536585365853658,0.878677867184172,0.4417285521273349,11461439.52,158.0655253280002,111585743.5,21,((((x)*((8)*(6)))*(((9)*(5))*((3)*(5))))*(((8)*(x))*((6)+((1)-((1)-(9)))))),(((x)-((3)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,42,42,43,43,2
43,x*x,20,1,-0.022032652243850103,-0.07803665766072357,0.189336533417682,0.1571289198606272,21743.4346,1040.9324154678989,157935.75,6.152,0.9980141656185874,0.926829268292683,0.8825147486789778,0.41627914953128553,326826.41000000003,138.8825,2167854.5,10.5,((((x)*((2)+(0)))*((x)*((x)*(9))))-(((4)*(x))*((7)+((1)+((1)-(3)))))),(((x)*((x)+(x)))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,42,43,44,44,2
44,x*x,20,1,-0.027301355109812336,-0.11580820286242106,0.1992174239969777,0.12724738675958192,218463.7502,792.6648029059144,1575142.5880000002,10.44,0.999874739792286,0.8536585365853658,0.8650455315003485,2.1717211561763343,5858559.03,134.41738698285718,34368456.5,21,((((8)*((7)*(7)))-((2)-((x)*(1))))*(((8)+(6))*((x)*((9)+((6)*(x)))))),(((x)+((1)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,44,44,45,45,2
45,x*x,20,1,0.0027618291263547196,-0.061292372799421437,0.1973501812271702,0.14528222996515677,28679.568199999998,4597.945806483551,220786.782,7.852,0.9992392450589586,0.3519163763066202,1.008748839683794,0.23865126221664723,603606.3899999999,154.91988698285718,5658852.5,93,((((x)*(5))*((8)*((5)-(5))))+(((x)+(5))*((3)*((x)*(x))))),((((x)+(4))-((x)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,45,45,46,46,2
46,x*x,20,1,-0.009595659469774573,-0.016213967034196156,0.1981692469256634,0.13811846689895468,1351016.1695999997,536.8547083333333,13349670.088,8.88,0.9999918034625999,0.4146341463414634,0.7938294930526317,0.31064073951027826,52992226.94,172.89574577866665,525221784.5,84,((((5)*((6)*(x)))*(((6)*(2))*((x)-(2))))*(((2)+(6))*((x)*((x)+((2)*(x)))))),(((x)*((5)+(x)))*((x)/(x))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,45,46,47,47,2
47,x*x,20,1,-0.012771993870970388,-0.04570826553997191,0.1942157297089906,0.15454123112659698,2649460.2995999996,64.30878490640765,25510453.103999995,6.523333333333333,0.9999961822036539,0.8536585365853658,0.9774452547213323,0.29059438521637015,117275015.75,139.21592088800003,1127613840.5,21,((((8)+((x)*(x)))*((4)*((6)*(5))))+(((x)*(5))-((0)*((8)*((x)*(x)))))),(((x)+((1)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,47,47,48,48,2
48,x*x,20,1,-0.01862562277651425,-0.05278425675487945,0.18961501543014422,0.17951219512195124,61372.69719999999,892.4255809183326,510398.45399999997,2.94,0.9996581927176152,0.8536585365853658,0.7644088023916191,0.35979786585884516,1457455.65,132.97603390514286,12594816.5,21,((((x)*((0)-(2)))*((9)-((2)+(3))))*(((8)*(0))-((7)*((x)*((x)*(6)))))),(((x)+((1)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,DivXD,47,43,49,49,2
49,x*x,20,1,0.04415183527278538,0.011178333690700011,0.19980041418770797,0.17951219512195124,176240.6308,4660.515193218972,1459887.38,2.94,0.9996581927176152,0.8536585365853658,0.7644088023916191,0.4209185657726011,1457455.65,147.43,12594816.5,21,((((x)*((0)-(2)))*((9)-((2)+(3))))*(((8)*(0))-((7)*((x)*((x)*(6)))))),(((x)+((1)*(x)))+((x)*((x)/(x)))),MultXD|MultXD|ReplaceBranchXR|AddRandomSubTreeR|MultXD|AddTreeWithMult|AddTreeWithAdd|SkipD|AddToLeafR|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|SkipD,DivXD|MultXD|AddXD|DivXD|SubXD|ReplaceBranchR|MutateTerminalR|AddTreeWithAdd|AddTreeWithDiv|MultXD|ReplaceBranchXR|AddXD|MultXD|ReplaceBranchXR|DivXD,MultXD,MultXD,47,49,49,49,2
