generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
40,-0.9718488562287497,0.27724678150585924,-0.9523690841979418,0.5128954267676283,StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyMutateTerminalR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,38,39,16673.25,16673.25,(((((9)*((6)*((7)-((0)*(8)))))*((x)*((5)*(7))))/((1)+(3)))-(x)),(((((((x)-((1)+(6)))-(((9)+(((3)*(0))-(0)))/(4)))*((6)*((((9)*(2))/((5)/(x)))*(5))))-(((5)+(6))/((x)/((x)-(x)))))*(x))-(x)),5*x*x*x,3
41,-0.960258181874807,0.32659155150958336,-0.9018082680348327,0.6406529105560423,StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,40,40,69762,69762,(((((((9)+(x))*((x)*(9)))*(((6)*(7))+((8)-(5))))*((x)+(x)))/(x))-(x)),(((((((5)/(1))+((1)-((6)/((2)*(3)))))-((0)*((6)*(x))))*((((((8)*(8))-(9))+(7))*(4))/(((3)+(x))/((x)-(x)))))*(x))-(x)),5*x*x*x,3
42,-0.9700137248225124,0.31102405671470446,-0.9275688971979552,0.48078381583063134,StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithDiv|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithSub,41,41,60522,60522,((((5)*((((((x)+(1))*(9))*(4))-(6))*(8)))/((1)/(x)))-(x)),((((((6)*(((5)-(x))-(9)))+((3)*(((6)/(x))+((5)/(9)))))+((((0)*(3))-(((9)-(5))+((1)*(4))))-((8)/((x)-(x)))))*(x))-(x)),5*x*x*x,3
43,-0.9681888826326756,0.3384721050769107,-0.9265816947652897,0.5243392157461279,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithSub,41,42,59466,59466,(((((x)*(((((7)*(5))+(1))-(3))*(((6)*(1))*(8))))*((x)*(x)))/(x))-(x)),((((((5)+((1)*((8)/(9))))+((((8)*(1))-(2))*((0)*(6))))*((((0)/(7))*(7))-((((4)-(6))+((x)*(6)))/((x)-(x)))))*(x))-(x)),5*x*x*x,3
44,-0.9624952517250014,0.3083567429374055,-0.8875738714578066,0.6980634961630897,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,43,43,223780.8,223780.8,((((((3)*((x)*(9)))*(((3)+(8))-((6)*(x))))*((x)*((8)*(6))))/(x))-(x)),((((((6)*(4))-((((4)-(5))-(1))-(((4)*(5))/(0))))*((((((x)/(1))/(1))+(2))+(5))*((8)/((x)-((3)*(5))))))*(x))-(x)),5*x*x*x,3
45,-0.9643638735754537,0.3047695452680098,-0.9344119284104326,0.538889541212312,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyMutateNonTerminalR|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,44,44,38015.34857142858,38015.34857142858,(((((x)-((6)*(6)))*(((0)+(8))*((((4)*(8))*((3)*(5)))-(2))))/(x))-(x)),((((((((8)*(0))/((x)-(7)))*((x)+(6)))-(((x)/(3))*((5)*(6))))/((((1)+(8))*(3))/((x)-((x)/((0)*(x))))))*(x))-(x)),5*x*x*x,3
46,-0.956255707568775,0.31007548495156195,-0.9106484660922085,0.5988531253258808,StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithMult,45,45,77649,77649,(((((3)*(((9)-(1))-(((x)*(7))*((x)+(8)))))*((x)*((6)*(x))))/(x))-(x)),((((((8)*(5))+((9)*((2)*((x)*(3)))))-(((((8)/(0))+(3))/((9)+((0)-(6))))+((6)-((5)-((6)/(2))))))*(((1)*(x))-(8)))-(x)),5*x*x*x,3
47,-0.9462899200921482,0.34247208285020453,-0.8721013704281555,0.6522556827306183,StrategyReplaceBranchXR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyReplaceBranchXR,StrategyAddTreeWithAdd,46,46,82498.11428571428,82498.11428571428,(((((((9)*(8))*(4))*(4))*(((5)-((6)+(7)))*(((4)+(1))*(6))))/(x))-(x)),((((((2)+((8)-(9)))-((9)*((9)-(4))))*(((((3)+(x))-(6))+(0))*(((4)+((2)/(6)))+(((x)-(7))/((x)-(x))))))*((6)/(((2)*(1))*(1))))-(x)),5*x*x*x,3
48,-0.9612144802093425,0.2104991121462884,-0.865124763445029,0.3862489416505125,StrategyMutateNonTerminalR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,46,47,184812.8,184812.8,(((((((4)*(5))*(8))*((4)*(((2)+(9))-((x)*(9)))))*((x)*(x)))/(x))-(x)),((((((4)-(x))*((((1)+(x))/(9))-((4)+((6)+(7)))))*((((x)-(8))-(0))/(((4)+((3)*(6)))+(((3)-(7))-(x)))))*((4)/(0)))-(x)),5*x*x*x,3
49,-0.9619931038787263,0.24425657226259787,-0.9276113889216843,0.6098764311855792,StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithMult,48,48,48822.08888888888,48822.08888888888,(((((5)*((8)*(4)))*((7)*((2)*(((((7)-(1))+(x))*(9))-(8)))))/(x))-(x)),(((((((3)+(0))*((2)+((9)/(0))))*((0)*((4)*((x)-(7)))))+(((4)+(6))-((((4)*(9))+(0))-(((3)*(5))/(((5)-(6))-((0)/(3)))))))*(x))-(x)),5*x*x*x,3
50,-0.9666716227671825,0.1714635692182538,-0.9298604675980586,0.4015857095455343,StrategyMutateNonTerminalR|StrategyReplaceBranchXR|StrategyAddRandomSubTreeR|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyDivXD|StrategySubXD|StrategyAddTreeWithAdd|StrategyAddToLeafR,StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithSub|StrategyAddTreeWithAdd|StrategyAddTreeWithDiv|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategySubXD,StrategyAddTreeWithMult,StrategyAddTreeWithAdd,49,49,46992,46992,((((x)*((7)*(7)))*((6)*((6)-(6))))*(((x)+(x))*((1)*((3)/((x)-(x)))))),(((((3)+(9))-((8)-((8)*(7))))-(((4)/((3)-(6)))*((3)+((6)*(5)))))+((((6)-(4))*((8)/((9)-(6))))+(((x)*(8))/((x)-((x)*((x)-(x))))))),5*x*x*x,3
