gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.04360066370409097,-0.000036816304746964955,-0.03839991395460288,0.011595683103982674,214.12644,378.3784833333333,244.84516666666667,243.4,-0.9599885635864593,0.2944339675485932,0.000026893232950882432,0.003870995609818964,6119.3675,6094.578333333333,6122.55,6046.08,((x)/((8)-(x))),(((x)*((2)*(6)))-((1)-((9)-(8)))),AddXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.04880085266113156,0.005652350908177939,-0.03840012402155128,0.011571643295927707,183.49352579365078,311.9782267857143,244.81302222222223,243.606,-0.9599760379906765,0.2928842168157291,0.00001827554843780482,0.004070138772266925,6121.707083333334,6094.36,6124.466666666667,6059.36,((7)/((3)-(6))),(((7)+((7)+(3)))-((4)*(8))),AddXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.04880082255042914,-0.04564085927143044,-0.03840004520106304,-0.011184859122056872,NaN,NaN,244.8250833333333,509.2056,-0.9600000000000001,0.30719140355135655,0.000042589493659866676,1.14693812231571,6114.51,12730.41,6120.8,5936.76,((x)-((6)/(3))),(((5)+((2)*(8)))*((3)*((9)+(9)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,13,13,14,14,1
14,x*x*x*x,25,-10,-0.04633215655905547,-0.011677171236785995,-0.03840038916481505,0.011814001904512952,NaN,NaN,244.77245,241.52920000000003,-0.9600000000000001,0.28895382489683896,0.0003195666348493522,0.0024067785470671594,6093.32375,6119.523333333333,6120.8,6093.04,((((x)*(x))*((x)*(0)))*((9)/((6)+(0)))),(((x)*((6)*(1)))+((3)-((7)+(2)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,14,14,15,15,1
15,x*x*x*x,25,-10,-0.04359680966332858,-0.01709660587914748,-0.0383164321294239,0.011703154271772754,NaN,NaN,257.6195555555555,242.47906666666665,-0.9600130701869037,0.2859756894523592,0.000046834329805684525,0.00051683897502828,6112.6,6122.994159779966,6118.8,6118.56,((((x)*(7))/((7)*(0)))*((x)*((9)+(x)))),(((x)*((9)/(9)))*((1)+((1)-(2)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR,15,15,16,16,1
16,x*x*x*x,25,-10,-0.04621242891529897,-0.0021324261121140335,-0.03840104990944228,0.011914432287095994,197.02412738095242,405.49976280977125,244.6713428571429,240.6686,-0.9600000000000001,0.3065705696734321,0.000018147596811729828,0.030131388274958797,6116.9475,6227.319201388889,6120.8,5942.08,((2)/((8)*(0))),((((x)+(1))*((3)*(9)))*((6)-((5)*(6)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithDiv,AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddTreeWithDiv,AddTreeWithMult,16,16,17,17,1
17,x*x*x*x,25,-10,-0.038465400181893435,-0.010224534289726606,-0.03839870637825121,0.011479451799017874,234.82446416666664,1227.9638096027847,245.02995,244.396,-0.9599509867991113,0.2878615307056035,0.0000320709851527072,0.27012022971519184,6122.130999999999,7455.155833333333,6128.3,6102.4,((2)/((4)-(8))),((((x)*(0))-((1)*((6)+(0))))+(((7)*(4))-((x)*((3)+(x))))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,17,17,18,18,1
18,x*x*x*x,25,-10,-0.041015356388987435,-0.011572185037356892,-0.038396140560524296,0.01169478812960291,227.18016535714284,512.5246422473157,245.42257142857142,242.55075714285718,-0.9599437981963143,0.30846574677446464,0.000040066144358958434,0.01135277982948847,6120.505999999999,6071.754444444445,6129.4,5925.84,(((x)-((3)*(7)))+((8)/((5)+(0)))),(((1)*((8)*(7)))*((9)-((1)+(9)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddRandomSubTreeR,AddTreeWithMult,18,18,19,19,1
19,x*x*x*x,25,-10,-0.0514324805689888,-0.010042821106147065,-0.03836923322814945,0.02019559836017069,NaN,NaN,249.5399314285714,169.70629417989417,-0.9568836940082529,0.6986575050880371,0.5202330264439036,0.02305233360240122,4643.220476190477,5949.878708070485,6597.657142857143,2582.24,((((x)*(x))/((7)-(9)))*((x)+((2)+(x)))),((((x)*(7))+((x)*((9)*(x))))+((0)*((5)-((5)-(2))))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,AddTreeWithMult,19,19,20,20,1
20,x*x*x*x,25,-10,-0.04623024470424035,0.006697236696638713,-0.038397250141593696,0.015147599753533622,194.29795535714285,303.0244750780993,245.25278333333333,212.9632,-0.9600209122990458,0.6496443041992644,0.00007874917767923576,0.17792431077932327,6107.495,5286.784409090909,6117.5999999999985,3002.24,(((3)/(7))+((1)+(x))),((((x)+(2))*((5)*((4)-(2))))-(((4)*(0))*((x)*((x)+(x))))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddTreeWithMult|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,20,20,21,21,1
