gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
41,x*x*x*x,25,-10,-0.04095232104113375,0.0002491971170902063,-0.038162328584498764,0.012641111339320728,236.8258342857143,375.92760000000004,281.20047999999997,234.44159999999997,-0.93751561887335,0.32468211438280714,0.011248901341388139,0.020831096080225334,6979.403333333334,6042.71,9561.359999999999,5786.88,((((3)-(x))*((x)*(x)))*((x)*((2)/(3)))),(((x)*(x))*((6)*(1))),AddTreeWithSub|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR,AddTreeWithMult,41,41,42,42,1
42,x*x*x*x,25,-10,-0.04625769082083885,0.011484178071960718,-0.03839187873044918,0.011661454151651514,190.0981505952381,244.35550000000003,246.0747166666667,242.8364,-0.9599433625234174,0.29587168810799713,0.00924731358505716,0.004718205917570345,5376.523809523809,6090.54,6129.466666666667,6033.76,((3)/((9)-(9))),(((x)+(1))*((4)*(9))),AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateNonTerminalR,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,42,42,43,43,1
43,x*x*x*x,25,-10,-0.046378938415561406,0.01143929598371828,-0.03837501198100466,0.011664114868271189,171.54484365079367,244.74009999999998,248.6556666666667,242.8136,-0.9599836622663704,0.2987658009223818,0.01110132691464863,0.009210826393426836,5214.060555555556,6109.219999999999,6123.3,6008.96,((x)-((9)/(2))),((x)*((x)*(2))),DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteTerminalR,AddTreeWithMult,43,43,44,44,1
44,x*x*x*x,25,-10,-0.04631015412084322,0.011978954665123142,-0.038400148215919486,0.013523722389230169,182.07021642857143,240.1157,244.80932,226.87840000000003,-0.9600784211214222,0.48025468192766585,0.00040084653887440425,0.09615477477797627,6061.0575,5689.68,6108.8,4453.76,(((8)*((3)*(2)))/((4)*((x)-(1)))),(((8)*(x))*((x)*(4))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,44,44,45,45,1
45,x*x*x*x,25,-10,-0.04099480917527121,0.011724004331833378,-0.03835505946935041,0.012902888511305714,230.3243,242.3004,251.7088,232.1984,-0.9568809305973076,0.33905931997684713,0.0020813036103395836,0.024906537638131606,6223.96,5951.26,6598.08,5663.68,(((x)-((9)/(6)))*((x)*((0)-(9)))),(((9)*(x))*((x)-(2))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,45,45,46,46,1
46,x*x*x*x,25,-10,-0.05138100814708317,0.011625091024515938,-0.03832348233346404,0.012470452041749912,171.22813333333335,243.14800000000002,256.5407333333333,235.90400000000002,-0.9523143815623231,0.3177082360849189,0.0038428092188385055,0.015507352536639893,6414.8133333333335,6044.460000000001,7296.853333333333,5846.64,((((x)*(x))*((x)*(2)))/((6)+((0)-(4)))),(((4)*(9))*((x)*(8))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteTerminalR|ReplaceBranchXR,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteMaliciousR,AddTreeWithMult,46,46,47,47,1
47,x*x*x*x,25,-10,-0.04878547766087221,0.01152314356666729,-0.038340772883718906,0.011744449838489837,185.84620833333335,244.0216,253.8949333333333,242.12519999999998,-0.9544197272687667,0.3052822226786415,0.0027986475483300923,0.00913243531320197,6332.340833333334,6069.62,6974.693333333334,5953.12,(((4)/((3)-(4)))*((x)*((x)*(x)))),(((3)-(0))*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithDiv,AddTreeWithMult,47,47,48,48,1
48,x*x*x*x,25,-10,-0.04365632662397072,0.011411090053587768,-0.038400000000000004,0.011470862819052604,205.6089,244.9818,244.832,244.46959999999999,-0.9600000000000001,0.28751610433743496,0.0002601559553943352,0.0009673561357461705,6097.799999999999,6112.37,6120.8,6105.36,(((x)*((x)/(7)))*((0)*((7)-(3)))),((x)*((1)*(8))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddTreeWithDiv,AddTreeWithMult,48,48,49,49,1
49,x*x*x*x,25,-10,-0.04628440138543982,0.011574607427600503,-0.0383940367272252,0.012608435872061546,186.0109,243.58059999999998,245.74450000000002,234.7216,-0.9600000000000001,0.34400731930466616,0.000048263818385691715,0.02928519650577864,6115.2575,5997.67,6120.8,5621.28,(((x)*((1)-(0)))*((0)*((x)/(1)))),((x)*((x)*(9))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithMult,49,49,50,50,1
50,x*x*x*x,25,-10,-0.043600857264223164,0.011532152659783038,-0.038400000000000004,0.012733349515469504,214.09682142857142,243.94439999999997,244.832,233.65120000000002,-0.9600000000000001,0.3375655843307132,0,0.02649359737712533,6120.8,6013.49,6120.8,5676.48,(((9)+((8)*(0)))*((1)/((2)*(x)))),((x)*((x)*(8))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|ReplaceBranchXR,AddRandomSubTreeR,AddTreeWithSub,50,50,51,51,1
51,x*x*x*x,25,-10,-0.046200028248200777,0.011490001307018693,-0.038400000000000004,0.0116848404503613,198.92167746031748,244.30560000000003,244.832,242.636,-0.9600000000000001,0.3037698153369308,0.0000006680317750085152,0.007004742028133159,6120.748888888889,6054.76,6120.8,5966.08,(((2)/((8)*(0)))*((6)*(x))),(((x)-(2))*((x)*(3))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithMult,51,51,52,52,1
52,x*x*x*x,25,-10,-0.05140096862532753,0.011022660436544245,-0.03840007667842984,0.012140896614821593,168.17378095238095,248.31029999999998,244.8202666666667,238.72799999999998,-0.9600000000000001,0.299101891442762,0.00000690852736334735,0.0068690885836160814,6120.271428571428,6093.400000000001,6120.8,6006.08,(((x)+((4)*(0)))*((x)/((4)*(x)))),(((x)*(6))*((5)+(7))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithAdd|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR,AddTreeWithMult,52,52,53,53,1
53,x*x*x*x,25,-10,-0.048800007515357464,0.011499733928338035,-0.038400000000000004,0.012013275575555017,183.62285000000003,244.22220000000002,244.832,239.82160000000005,-0.9600000000000001,0.3311238493567601,0,0.02973506456336313,6120.8,6079.52,6120.8,5731.68,(((0)*((1)*(7)))*((0)*((8)/(5)))),((x)*((x)*(7))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,53,53,54,54,1
54,x*x*x*x,25,-10,-0.04620003267546727,0.011562260768900427,-0.038400000000000004,0.012096691375543816,198.92100000000002,243.6864,244.832,239.10679999999996,-0.9600000000000001,0.31740948895569215,0,0.015712085983365105,6120.8,6051.0599999999995,6120.8,5849.2,(((0)*((4)+(8)))*((6)/((6)*(0)))),(((7)*(5))*((x)*(8))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithMult,54,54,55,55,1
55,x*x*x*x,25,-10,-0.046206022871789765,0.005784430606643392,-0.038399461508299565,0.011724891237373268,198.00438015873016,310.84642,244.9144,242.2928,-0.9600000000000001,0.2987658009223818,0.00000033401588755976874,0.00614836282804861,6120.774444444445,6093.040000000001,6120.8,6008.96,(((1)/(9))*((x)*(0))),((x)+((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,55,55,56,56,1
56,x*x*x*x,25,-10,-0.0462222089549452,0.011382265623541277,-0.038400000000000004,0.011745243385551845,195.5275857142857,245.2288,244.832,242.1184,-0.9600000000000001,0.2884963683552104,0.0012714677819892772,0.0011287523553390262,6023.52,6106.41,6120.8,6096.96,(((0)*((8)/(8)))*((7)*(x))),(((7)*(x))+((7)-(5))),AddToLeafR|AddToLeafR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,56,56,57,57,1
57,x*x*x*x,25,-10,-0.04879905456803032,0.011229729540489574,-0.03839584411623753,0.012033300969061002,183.76867000000001,246.5359,245.46793333333332,239.65,-0.9595750882237616,0.31154657654461615,0.00021364901706804576,0.0022746859072729645,6136.787,6109.88,6185.82,5899.44,(((2)-((x)*(x)))*((5)/(4))),(((x)*(4))-((1)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteMaliciousR,AddTreeWithMult,57,57,58,58,1
58,x*x*x*x,25,-10,-0.04880199058946543,0.011627950127901117,-0.038400000000000004,0.011948204716470304,183.31939999999997,243.12350000000004,244.832,240.37920000000003,-0.9600000000000001,0.3311238493567601,0.00009149130832569741,0.022551827652894867,6113.8,5952.54,6120.8,5731.68,(((0)*(x))/((8)*(x))),(((x)*(x))*((9)-(2))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,58,58,59,59,1
59,x*x*x*x,25,-10,-0.04619832939775483,0.01147708282764158,-0.03839267198187601,0.011600070952443196,199.18163555555554,244.4163,245.95333333333335,243.3624,-0.9599642748224633,0.2910357189536383,0.00001926058035215118,0.0026012052146657133,6121.8855555555565,6097.16,6126.266666666667,6075.2,(((x)/((3)*(1)))+((3)*((4)-(6)))),(((x)+(2))-((7)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,59,59,60,60,1
60,x*x*x*x,25,-10,-0.04360871395325438,0.01148689713762907,-0.038400000000000004,0.012092163489366472,212.89459087301591,244.3322,244.832,239.1456,-0.9600000000000001,0.31179864443490124,0.0000004294489982514804,0.013258195899178489,6120.767142857143,6067.129999999999,6120.8,5897.28,(((x)/((1)*(x)))*((x)*(0))),((x)*((4)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,DeleteMaliciousR,AddTreeWithMult,60,60,61,61,1
61,x*x*x*x,25,-10,-0.041000772753017035,0.011608309838116402,-0.038400000000000004,0.012387643071867358,229.41175333333334,243.2918,244.832,236.61360000000002,-0.9600000000000001,0.33394327538883806,0,0.02499714737639875,6120.8,6025.18,6120.8,5707.52,(((x)*((0)*(5)))+((6)/((5)*(x)))),(((x)+(2))*((x)*(7))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,AddToLeafR,AddTreeWithMult,61,61,62,62,1
62,x*x*x*x,25,-10,-0.04620070441772318,0.011680487611329986,-0.038400000000000004,0.014982868719308403,198.81821000000002,242.6733,244.832,214.3748,-0.9600000000000001,0.45562671546203115,0.000004247810743651659,0.10325103965602281,6120.475,5957.219999999999,6120.8,4664.8,(((0)*((x)*(5)))/((5)*(0))),(((x)-((2)*(x)))*((7)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,62,62,63,63,1
63,x*x*x*x,25,-10,-0.05140068079336034,0.0006336680753423696,-0.03840020912299046,0.016219915230502088,NaN,NaN,244.8,203.77439999999999,-0.9600000000000001,0.5216311593255785,0.52,0.11799738746615956,4590.6,5615.9,6120.8,4099.2,(((0)*((8)+(6)))*((7)/(5))),(((5)*((x)*(8)))-((0)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,63,63,64,64,1
64,x*x*x*x,25,-10,-0.04360101336971201,0.012253276882573709,-0.038400000000000004,0.017765931624250803,214.07293416666664,237.76499999999996,244.832,190.5264,-0.9600000000000001,0.6012285975689453,0,0.15657821057038826,6120.8,5429.24,6120.8,3417.12,(((x)/((8)*(0)))*((x)*(0))),(((9)*((x)-(9)))*((7)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,64,64,65,65,1
65,x*x*x*x,25,-10,-0.04100108809305973,0.011534755027354036,-0.038400000000000004,0.013403476669716377,229.3635,243.92210000000003,244.832,227.90880000000004,-0.9600000000000001,0.3773362959090315,0,0.05154686286315022,6120.8,5964.9400000000005,6120.8,5335.68,(((8)-((4)*(x)))*((0)/(5))),(((4)*((x)*(4)))-((9)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddRandomSubTreeR,AddTreeWithMult,65,65,66,66,1
66,x*x*x*x,25,-10,-0.05140173348021735,0.011261062979629184,-0.03839634034766697,0.012394084806841314,168.05674285714286,246.26739999999998,245.392,236.55839999999998,-0.9600000000000001,0.31878185858057784,0.52,0.024224158704463983,4590.6,6097.62,6120.8,5837.44,(((0)*((0)*(x)))*((x)/(6))),(((7)*((7)*(9)))-((9)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,66,66,67,67,1
67,x*x*x*x,25,-10,-0.051438677242626234,0.010730483410198484,-0.038399823988149694,0.01363295180835372,162.40360833333335,250.81400000000002,244.85893333333334,225.9424,-0.9600000000000001,0.38792314730100647,0.00005045092144817521,0.06388707342144204,6116.9400000000005,6013.12,6120.8,5244.96,(((2)/((4)*(8)))-((5)*(0))),(((x)*((8)*(2)))-((0)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,67,67,68,68,1
68,x*x*x*x,25,-10,-0.048800001878839365,0.010810491625744536,-0.038400000000000004,0.012919226244935305,183.6237125,250.12839999999997,244.832,232.0584,-0.9600000000000001,0.3192766585133597,0.52,0.017673987626859178,4590.6,6054.62,6120.8,5833.2,(((x)*((7)/(2)))*((x)*(0))),(((9)*((8)-(6)))*((5)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,68,68,69,69,1
69,x*x*x*x,25,-10,-0.04360114599398772,0.011847680975409381,-0.03839954254345837,0.018314879474205056,214.05264,241.2406,244.90200000000002,185.8224,-0.9600000000000001,0.6082864984969286,0,0.1826193688990626,6120.8,5625.42,6120.8,3356.64,(((x)*((0)-(0)))*((0)*((9)/(4)))),(((7)*((9)-(3)))*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,69,69,70,70,1
70,x*x*x*x,25,-10,-0.04883196186098715,0.009442376787277608,-0.04879986929813097,0.013220494053064961,178.73319603174605,262.44840000000005,183.644,229.4768,-0.9600000000000001,0.34400731930466616,0.00010165700925074406,0.03369507206816488,6113.022222222222,6037.84,6120.8,5621.28,(((2)-((1)/(9)))*((x)*((x)*(0)))),(((3)*((6)-(9)))*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,70,70,71,71,1
71,x*x*x*x,25,-10,-0.04879985638224488,0.004862142540902541,-0.03839938599166413,0.014069762789444624,183.64597638888893,319.44990612244897,244.92595555555556,222.19931428571428,-0.9599385991664126,0.3177082360849189,0.000024165323341929223,0.015720383787459945,6124.648888888889,6047.38,6130.195555555555,5846.64,(((1)-((9)*(x)))*((4)/((9)-(x)))),(((5)-((1)*(9)))*((8)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|SubXD|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,71,71,72,72,1
72,x*x*x*x,25,-10,-0.0410035846294602,0.011864462161808914,-0.03839973859626193,0.018429897118957372,228.98148,241.0968,244.872,184.8368,-0.9600000000000001,0.5651548817148085,0.00002116939940441444,0.18300772048083486,6118.3,5643.66,6120.8,3726.24,(((0)/(2))*((x)*(0))),(((7)*((8)-(7)))*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteNonTerminalR,AddTreeWithMult,72,72,73,73,1
73,x*x*x*x,25,-10,-0.03842293781158392,0.011856246615755179,-0.03839697294471311,0.0173952984670538,241.3220560714286,241.16719999999998,245.2952,193.7024,-0.9600000000000001,0.4857628321227851,0,0.09761740692455034,6120.8,5645.92,6120.8,4406.56,(((x)*((0)*(0)))*((2)/(7))),(((7)*((6)-(9)))*((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|DivXD|AddTreeWithMult|MultXD,DeleteNonTerminalR,AddTreeWithMult,73,73,74,74,1
74,x*x*x*x,25,-10,-0.043676133403041,0.010735291371809477,-0.038377095804470004,0.01218365479769218,202.57806666666667,250.77280000000002,248.3368,238.3616,-0.957804208600183,0.3180069832141457,0.0011281341515523794,0.013259205570684983,6198.246666666666,5979.860000000001,6456.8,5844.08,((((6)/(9))*((3)*(4)))-((7)*((x)*(x)))),(((5)*((9)-(8)))*((8)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,74,74,75,75,1
75,x*x*x*x,25,-10,-0.043599776064131054,0.010771088817081524,-0.03837940487082299,0.015084956214873877,214.2622666666667,250.59780000000003,247.9834666666667,213.5,-0.9600000000000001,0.5709057639524245,0.000026140373807326256,0.15036460922625486,6118.8,5608.26,6120.8,3676.96,(((1)/(9))+((6)*(0))),(((9)*((6)*(x)))-((6)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,75,75,76,76,1
76,x*x*x*x,25,-10,-0.048800751878061384,0.01144042795526262,-0.038400000000000004,0.012896166700898111,183.50894761904766,244.73039999999997,244.832,232.25600000000003,-0.9600000000000001,0.35493026121702115,0.00014937356461330878,0.05050915022701122,6109.371428571429,6097.08,6120.8,5527.68,(((0)*((5)/(8)))*((8)*(x))),(((4)*((3)*(x)))-((7)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|SkipD|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,SkipD,AddTreeWithMult,76,76,77,77,1
77,x*x*x*x,25,-10,-0.043591691442450724,0.01215924155572568,-0.038365705310852614,0.015362791045054804,215.49937547619047,238.57080000000002,250.07977333333332,211.1192,-0.9576987757591601,0.4636742162555782,0.0011560907805691692,0.08257195005215479,6207.595833333333,5616.54,6472.933333333333,4595.84,(((x)*((1)-(x)))*((8)/((6)*(x)))),(((x)*((6)*(x)))-((7)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,77,77,78,78,1
78,x*x*x*x,25,-10,-0.048815585119592206,0.0111142334335381,-0.038400000000000004,0.01398547342084135,181.23916499999999,247.52559999999997,244.832,222.9216,-0.9600000000000001,0.3802210728756279,0.0000006012285975187659,0.05425254250824258,6120.754000000001,5975.82,6120.8,5310.96,(((0)*((0)*(3)))*((x)*((5)/(8)))),(((x)*((7)*(3)))-((x)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|DeleteMaliciousR,DeleteMaliciousR,AddTreeWithMult,78,78,79,79,1
79,x*x*x*x,25,-10,-0.043600706824815934,0.011689485034635998,-0.038400000000000004,0.017312769572604893,214.11984166666664,242.59619999999998,244.832,194.40959999999998,-0.9600000000000001,0.5216311593255785,0.0000030061429878158737,0.13369701317169846,6120.57,5698.6,6120.8,4099.2,(((x)*(1))/((9)*(0))),(((x)*((8)*(7)))-((2)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|MultXD,DeleteMaliciousR,AddTreeWithMult,79,79,80,80,1
80,x*x*x*x,25,-10,-0.0461997580653945,0.011669179565696361,-0.038398323530693154,0.01283398995462778,198.96302083333336,242.77020000000002,245.08853333333332,232.78879999999998,-0.9600000000000001,0.3458464813189686,0.000002630375114331951,0.029402359497491506,6120.59875,5982.4400000000005,6120.8,5605.52,(((x)*((x)*(0)))*((9)/(1))),(((9)*(x))+((9)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv,FellTreeD|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|MultXD,AddTreeWithDiv,AddTreeWithMult,80,80,81,81,1
81,x*x*x*x,25,-10,-0.038400277886696005,0.01189879474205053,-0.038400000000000004,0.017021117687697224,244.7894777777778,240.80259999999998,244.832,196.9088,-0.9600000000000001,0.5591052523479658,0,0.16860358633124098,6120.8,5809.98,6120.8,3778.08,(((0)*(5))+((0)*(x))),(((8)*((x)-(2)))*((x)*(x))),DeleteMaliciousR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,DeleteMaliciousR,AddTreeWithMult,81,81,82,82,1
82,x*x*x*x,25,-10,-0.03841051300483597,0.011773764400545214,-0.03840013070186904,0.016444162294377954,243.2233,241.87400000000002,244.812,201.8528,-0.9600000000000001,0.5061709953880912,0.000020389491569683393,0.11202723843204054,6119.24,5665.780000000001,6120.8,4231.68,(((x)*((0)*(2)))+((x)*(x))),(((6)*((7)*(x)))-((2)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|ReplaceBranchR,FellTreeD|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MultXD,AddRandomSubTreeR,AddTreeWithMult,82,82,83,83,1
83,x*x*x*x,25,-10,-0.03840292510782905,0.01071400924006487,-0.038400261403738076,0.012569412028306295,244.3844,250.99309999999997,244.792,235.05599999999998,-0.9600000000000001,0.29100771141027326,0.000005489478499542955,0.003404074231706055,6120.38,6109.12,6120.8,6075.44,(((7)+((x)*(8)))+((8)*((0)*(0)))),(((1)+(6))*((4)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|FellTreeD|MutateNonTerminalR|AddTreeWithMult|MultXD,DeleteMaliciousR,FellTreeD,83,83,84,84,1
84,x*x*x*x,25,-10,-0.0384004280486211,0.011749246130291095,-0.038400261403738076,0.01343965307989619,244.7665,242.0841,244.792,227.59879999999998,-0.9600000000000001,0.36745896894897034,0,0.039809075973502764,6120.8,5930.5599999999995,6120.8,5420.32,(((0)*((x)*(0)))+((0)*(x))),(((6)*((5)*(x)))-((8)*(x))),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithAdd,FellTreeD|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|MultXD,AddToLeafR,AddTreeWithMult,84,84,85,85,1
