gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,x*x*x*x,25,-10,-0.03839947719252386,0.011430321900031744,-0.03839947719252386,0.011454991877812426,244.912,244.81699999999998,244.912,244.6056,-0.9599869298130964,0.28644248184177606,0,0.0003067125574081947,6122.8,6118.24,6122.8,6114.56,((0)*((x)-(x))),((0)+(8)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,FellTreeD,DeleteMaliciousR,11,11,12,12,3
12,x*x*x*x,25,-10,-0.03839947719252386,0.011458177735870196,-0.03839947719252386,0.011614914950426651,244.912,244.57829999999998,244.912,243.2352,-0.9599869298130964,0.29224937916612215,0,0.003115296309227422,6122.8,6104.82,6122.8,6064.8,((0)*((x)-(x))),((x)+((0)*(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,FellTreeD,SkipD,12,12,13,13,3
13,x*x*x*x,25,-10,-0.03839947719252386,0.01143025188117333,-0.03839947719252386,0.011454104972272535,244.912,244.81760000000003,244.912,244.6132,-0.9599869298130964,0.2862324252665386,0,0.00012544909769383785,6122.8,6117.23,6122.8,6116.36,((0)*((x)-(x))),((x)+((3)+(0))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateTerminalR|ReplaceBranchXR|DivXD|SkipD,FellTreeD,AddXD,13,13,14,14,3
14,x*x*x*x,25,-10,-0.03840095804470004,0.011424405306495885,-0.03839947719252386,0.011452097764998038,244.68540000000002,244.86769999999996,244.912,244.6304,-0.9599869298130964,0.28661986294975456,0,0.0007495131575999176,6122.8,6117.780000000001,6122.8,6113.04,((0)*((x)-(x))),((x)*(4)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD,FellTreeD,MutateNonTerminalR,14,14,15,15,3
15,x*x*x*x,25,-10,-0.03839947719252386,0.01156941436226824,-0.03839947719252386,0.011952685923408706,244.912,243.62509999999997,244.912,240.34079999999997,-0.9599869298130964,0.3311238493567601,0,0.022591366177057606,6122.8,6022.0599999999995,6122.8,5731.68,((0)*((x)-(x))),((x)*((7)*(x))),DeleteTerminalR|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD,DeleteTerminalR,MutateNonTerminalR,15,15,16,16,3
16,x*x*x*x,25,-10,-0.03839947719252386,0.01147226319622085,-0.03839947719252386,0.011579625445786737,244.912,244.45759999999999,244.912,243.5376,-0.9599869298130964,0.29224937916612215,0,0.0030085204057128303,6122.8,6102.23,6122.8,6064.8,((0)*((x)-(x))),((x)*(x)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD,FellTreeD,MutateNonTerminalR,16,16,17,17,3
17,x*x*x*x,25,-10,-0.03839946935041171,0.011443485445413301,-0.03839934649065482,0.01148047874227459,244.9132,244.7042,244.93200000000002,244.3872,-0.9599738596261927,0.28751610433743496,0.000010981031435943975,0.0008331895466007044,6122.92,6113.63,6124.8,6105.36,((4)-((6)-(x))),((x)*(8)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD,AddTreeWithSub,DeleteNonTerminalR,17,17,18,18,3
18,x*x*x*x,25,-10,-0.03839939288981833,0.011445154228205466,-0.03839862763037512,0.011479358440539988,244.92489999999998,244.68989999999997,245.042,244.3968,-0.9599738596261927,0.28706798364359476,0.00000787218850923125,0.0006167844971121827,6123.65,6116.14,6124.8,6109.2,((5)-((7)-(x))),((x)*(6)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD,AddTreeWithSub,DeleteNonTerminalR,18,18,19,19,3
19,x*x*x*x,25,-10,-0.03839934845118286,0.011460546707246489,-0.03839862763037512,0.01150157775827623,244.93169999999998,244.55800000000002,245.042,244.2064,-0.9599411841589336,0.28995276061019115,0.00003040122851509331,0.0018097523479625086,6124.74,6105.099999999999,6129.8,6084.48,((1)-((8)-(x))),((7)*(8)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,FellTreeD,MutateTerminalR,19,19,20,20,3
20,x*x*x*x,25,-10,-0.03839929094236048,0.011466334932875258,-0.03839848647235656,0.011571596616688764,244.94050000000004,244.5084,245.0636,243.6064,-0.9599477192523854,0.2910730623447916,0.00002331871772900688,0.0022559369171655463,6125.38,6101.59,6128.8,6074.88,((2)-((8)-(x))),((8)*(9)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,DeleteMaliciousR,DeleteNonTerminalR,20,20,21,21,3
21,x*x*x*x,25,-10,-0.03839929747745393,0.01146035999029072,-0.03839817017383349,0.01149793677763878,244.93950000000004,244.5596,245.112,244.23760000000001,-0.9599411841589336,0.2869746251657114,0.00002371821816561514,0.0006168065764644377,6124.88,6112.89,6129.8,6110,((1)-((8)-(x))),((6)+(8)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,FellTreeD,DeleteNonTerminalR,21,21,22,22,3
22,x*x*x*x,25,-10,-0.038399179192262455,0.011447826614634877,-0.03839797412102994,0.011523797076012475,244.9576,244.667,245.142,244.01600000000002,-0.9599477192523854,0.2893926097428908,0.000024610274613195085,0.001714165954457053,6125.6900000000005,6111.049999999999,6128.8,6089.28,((1)-((7)-(x))),((6)*(8)),FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,FellTreeD,ReplaceBranchR,22,22,23,23,3
23,x*x*x*x,25,-10,-0.03839987975428048,0.011441186492895421,-0.03839758201542282,0.011488881005284095,244.8504,244.7239,245.202,244.31519999999998,-0.9599411841589336,0.2871520062736898,0.000027733753984942986,0.0004424504904488535,6124.75,6115.870000000001,6129.8,6108.48,((1)-((8)-(x))),((4)*(4)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,SkipD|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,DeleteMaliciousR,MutateTerminalR,23,23,24,24,3
24,x*x*x*x,25,-10,-0.03839948307410796,0.011462052112702356,-0.03839849692850608,0.011558012958156734,244.9111,244.54510000000002,245.062,243.72279999999998,-0.9599542543458373,0.2910730623447916,0.000022951362330929665,0.0028063305203564967,6123.93,6110.01,6127.8,6074.88,((3)-((8)-(x))),((9)*(8)),SubXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,SubXD,ReplaceBranchR,24,24,25,25,3
25,x*x*x*x,25,-10,-0.038399366749444525,0.011466159885729226,-0.03839830087570253,0.011524123830685067,244.9289,244.50990000000002,245.092,244.01319999999996,-0.9599607894392891,0.2917032320705044,0.000016668460140554,0.002869767327774705,6124.88,6106.12,6126.8,6069.48,((0)-((4)-(x))),((9)*(9)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,AddTreeWithSub,MutateTerminalR,25,25,26,26,3
26,x*x*x*x,25,-10,-0.03839945693373416,0.01146431605579103,-0.03839823552476801,0.011609220083275766,244.9151,244.52570000000003,245.102,243.28400000000002,-0.9599281139720299,0.29301491868476587,0.000029888081588468114,0.0035232674038231586,6125.05,6102.280000000001,6131.8,6058.24,((0)-((9)-(x))),((x)*((4)*(9))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR,FellTreeD,MutateTerminalR,26,26,27,27,3
27,x*x*x*x,25,-10,-0.03839900143772056,0.011431687267770788,-0.038398039471964455,0.01148383964747839,244.9848,244.80530000000002,245.132,244.3584,-0.9599542543458373,0.28772149298877836,0.000014490627255304648,0.00085976856286868,6125.55,6114.48,6127.8,6103.6,((4)-((9)-(x))),((x)*(9)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchXR,27,27,28,28,3
28,x*x*x*x,25,-10,-0.03839604169389623,0.011452401180051162,-0.03835678211998432,0.011534159867057532,245.43769999999998,244.62779999999998,251.4452,243.92719999999997,-0.9558023787740165,0.28822562876934865,0.002917283003224724,0.0013157771283760756,6171.799999999999,6110.6900000000005,6763.12,6099.28,(((x)*((x)*(0)))-((2)*((x)-(x)))),((x)+((4)*(7))),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR,AddToLeafR,ReplaceBranchXR,28,28,29,29,3
29,x*x*x*x,25,-10,-0.0383785420206509,0.011448363425882709,-0.03831540452228468,0.011490841533319645,248.11550000000003,244.66240000000002,257.7768,244.29840000000002,-0.9515927329760816,0.2879222137162276,0.004198014129173523,0.001013409036748861,6443.71,6112.12,7407.28,6101.88,(((x)*((5)-(9)))*((x)*((x)-(x)))),((9)*(3)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteMaliciousR,FellTreeD,29,29,30,30,3
30,x*x*x*x,25,-10,-0.038395828649849695,0.01145396493455571,-0.038384381126650116,0.011483232817372149,245.47029999999998,244.61440000000002,247.222,244.36360000000002,-0.958523068879885,0.2885523834419405,0.0010896988066208988,0.0009363144412019181,6191.88,6108.13,6346.8,6096.48,(((x)*((x)*(3)))-((7)-(x))),((6)*(6)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,30,30,31,31,3
31,x*x*x*x,25,-10,-0.038385291465167955,0.0114514909348918,-0.03831704875179715,0.011477584629460205,247.08270000000002,244.63559999999998,257.5252,244.41199999999998,-0.9517767612076853,0.28772149298877836,0.004111548046449699,0.0008136248480081894,6435.4,6111.33,7379.12,6103.6,(((x)*((6)*(8)))*((0)-((8)-(x)))),((x)*(9)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|FellTreeD|FellTreeD,DeleteMaliciousR,FellTreeD,31,31,32,32,3
32,x*x*x*x,25,-10,-0.03840843157757156,0.011439599398771405,-0.03839947719252386,0.011478891648150573,243.5418,244.7375,244.912,244.40079999999998,-0.9599869298130964,0.2865311723957653,0,0.00028046415754801474,6122.8,6116.08,6122.8,6113.8,(((x)*((0)*(x)))*((7)-((0)-(x)))),((2)+(7)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|MultXD,DeleteNonTerminalR,MultXD,32,32,33,33,3
33,x*x*x*x,25,-10,-0.03839824467389883,0.011484446477584634,-0.03839468043393021,0.011631019287861534,245.1006,244.3532,245.646,243.09720000000002,-0.9596209645797935,0.2910730623447916,0.00017995255277763667,0.00233993042526333,6137.55,6103.67,6178.8,6074.88,(((8)-((9)*(x)))*((x)-(x))),((9)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,33,33,34,34,3
34,x*x*x*x,25,-10,-0.03842917527120639,0.01145097746326344,-0.038394183766827863,0.011514087794312605,240.3676,244.64000000000004,245.722,244.0992,-0.9595164030845642,0.28883245887559056,0.00023526336426610284,0.001423675974687175,6140.8,6112.14,6194.8,6094.08,(((x)-((7)*(x)))*((x)-(x))),((5)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,ReplaceBranchR,34,34,35,35,3
35,x*x*x*x,25,-10,-0.03842040582930337,0.011456859047370092,-0.03839933342046792,0.011601798084284036,241.70950000000002,244.5896,244.93399999999997,243.34759999999997,-0.9599725526075022,0.29224937916612215,0.000010728174166706286,0.003395563852224847,6123.18,6108.1900000000005,6125,6064.8,(((0)*((4)-(x)))*((x)-(x))),((x)*(x)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,35,35,36,36,3
36,x*x*x*x,25,-10,-0.03839671807606849,0.011455680396586817,-0.03838830218272122,0.011533973150101764,245.3342,244.59969999999998,246.622,243.92880000000002,-0.9588890341131879,0.2893926097428908,0.0005508019922107906,0.001879836472893855,6164.38,6112.57,6290.8,6089.28,(((x)*((x)*(0)))-((3)-(x))),((6)*(8)),AddToLeafR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,36,36,37,37,3
