gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
47,x*x*x*x,25,-10,-0.038397760423474064,0.011437498833019026,-0.03839302313423082,0.011478985006628455,245.1747,244.75549999999998,245.8996,244.4,-0.9596209645797935,0.2870633157197006,0.00017600322290531307,0.0006656485114973839,6138.8,6117.17,6178.8,6109.24,(((x)*((x)*(4)))-((5)-(x))),((6)+(9)),AddToLeafR|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,MultXD,47,47,48,48,3
48,x*x*x*x,25,-10,-0.038399356293294995,0.011457640924622368,-0.03839913736766436,0.011515488171480856,244.9305,244.5829,244.96399999999997,244.08720000000002,-0.9599725526075022,0.2875021005657525,0.000008300683519984409,0.0009099967679826776,6123.9,6112.15,6125,6105.48,(((0)*((5)-(x)))+((0)*((x)-(x)))),((3)*(7)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,48,48,49,49,3
49,x*x*x*x,25,-10,-0.03839129133446609,0.01146255391452098,-0.0383665403215266,0.01156730212670613,246.16459999999998,244.54080000000002,249.952,243.6432,-0.9566932427133709,0.2910730623447916,0.0016468435498627754,0.002393991237809583,6248.8,6105.32,6626.8,6074.88,(((x)*((x)*(0)))-((9)-(x))),((9)*(8)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|ReplaceBranchR|ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,49,49,50,50,3
50,x*x*x*x,25,-10,-0.03832743693634819,0.011472181507552703,-0.0381113161678212,0.01154606307298766,255.93559999999997,244.4583,289.0064,243.8252,-0.9333017906156058,0.28981272289336596,0.013342569598745302,0.001616018802432373,7143.639999999999,6106.200000000001,10206.16,6085.68,(((x)*((x)*(x)))*((6)-((x)-(x)))),((9)*(6)),AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|MultXD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddRandomSubTreeR,DeleteNonTerminalR,50,50,51,51,3
51,x*x*x*x,25,-10,-0.046194170696640974,0.011440801389174155,-0.0383771925238531,0.011486266967903358,199.81799999999998,244.72719999999998,248.322,244.33759999999998,-0.9599607894392891,0.28751610433743496,0.000013070186903663128,0.0011014412949997682,6123.8,6115.49,6126.8,6105.36,((0)-((4)-(x))),((8)*(x)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,51,51,52,52,3
52,x*x*x*x,25,-10,-0.03840710299307281,0.011460044905427864,-0.038388236831786694,0.011539574658774768,243.74509999999998,244.5623,246.632,243.88080000000002,-0.9588890341131879,0.28946262860130334,0.00054894784995424,0.0015730943923231862,6164.8,6108.85,6290.8,6088.68,(((x)*((x)*(3)))-((6)-(x))),((7)*(7)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,AddRandomSubTreeR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,AddRandomSubTreeR,52,52,53,53,3
53,x*x*x*x,25,-10,-0.03834858645928638,0.011474363761973227,-0.038194630767219975,0.01160357189536382,252.6993,244.43959999999998,276.25759999999997,243.3324,-0.9394892170958046,0.29224937916612215,0.010245592980293193,0.003149062785654758,6907.6900000000005,6104.24,9259.36,6064.8,(((x)*((x)*(9)))-((x)*((x)-(x)))),((x)*(x)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,53,53,54,54,3
54,x*x*x*x,25,-10,-0.03840060057508823,0.01147432875254402,-0.038399281139720305,0.011534860055641654,244.7401,244.43989999999997,244.942,243.92120000000003,-0.9599673245327409,0.28981272289336596,0.000008269066990173142,0.0017829447819754653,6124.360000000001,6104.49,6125.8,6085.68,((1)-((4)-(x))),((9)*(6)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,DeleteNonTerminalR,54,54,55,55,3
55,x*x*x*x,25,-10,-0.03840087570252255,0.011447068077002074,-0.03839843157757156,0.01148710719420431,244.69800000000004,244.6735,245.072,244.3304,-0.9599542543458373,0.2872920439905149,0.00001633773362957891,0.0005926042296445593,6124.05,6113.3099999999995,6127.8,6107.28,((2)-((7)-(x))),((9)+(9)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,ReplaceBranchXR,55,55,56,56,3
56,x*x*x*x,25,-10,-0.038400548294340614,0.01146038332991019,-0.03839933342046791,0.011515441492241912,244.74809999999997,244.5594,244.93400000000003,244.08759999999998,-0.9599869298130964,0.2889724965924156,0,0.0014565568199230046,6122.8,6109.6,6122.8,6092.88,(((4)-((8)*(4)))*((0)*((0)-(x)))),((6)*(7)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,56,56,57,57,3
57,x*x*x*x,25,-10,-0.038402632989151746,0.01144126818156357,-0.038399069402692464,0.011483326175850033,244.42910000000003,244.72320000000002,244.97440000000003,244.3628,-0.9599869298130964,0.28918255316765323,0,0.0016380555725259945,6122.8,6110.3,6122.8,6091.08,(((1)-((9)*(x)))*((0)*((x)-(x)))),((5)*(9)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,57,57,58,58,3
58,x*x*x*x,25,-10,-0.03839947457848648,0.011454326698657506,-0.03839941184158934,0.011492381948204719,244.91240000000002,244.6113,244.922,244.2852,-0.9599803947196446,0.2885523834419405,0.000003267546725915782,0.0016661213678088105,6123.05,6111.75,6123.8,6096.48,((3)-((4)-(x))),((9)*(4)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|DeleteNonTerminalR|ReplaceBranchXR|FellTreeD|AddXD,DeleteNonTerminalR,DeleteNonTerminalR,58,58,59,59,3
59,x*x*x*x,25,-10,-0.03839224349758202,0.011478529884048773,-0.03837796627891779,0.01156184065574995,246.0189,244.4039,248.2036,243.69,-0.9581571036465822,0.2893926097428908,0.000859126865326689,0.0013639147229095763,6221.08,6104.049999999999,6402.8,6089.28,(((x)*((x)*(2)))-((7)-(x))),((8)*(6)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR,SubXD,AddTreeWithMult,59,59,60,60,3
60,x*x*x*x,25,-10,-0.03840370801202458,0.011461060178874844,-0.03839934649065482,0.011575330955804103,244.2646,244.55360000000002,244.93200000000002,243.57439999999994,-0.9599738596261927,0.2917032320705044,0.00002579775907793822,0.003018936849106894,6121.55,6106.98,6124.8,6069.48,((0)-((2)-(x))),((9)*(9)),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteMaliciousR,FellTreeD,60,60,61,61,3
61,x*x*x*x,25,-10,-0.03840194353679258,0.011460978490206697,-0.038391425957391194,0.01155740612805049,244.53460000000007,244.5543,246.14399999999998,243.72800000000004,-0.9592549993464907,0.2910730623447916,0.0003648890559902102,0.002109148866435441,6151.05,6101.49,6234.8,6074.88,(((x)*((x)*(4)))-((6)-(x))),((8)*(9)),AddToLeafR|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,61,61,62,62,3
62,x*x*x*x,25,-10,-0.03833271925238531,0.011476160912672482,-0.038132218010717554,0.011554698732191875,255.1273,244.42419999999998,285.808,243.75119999999998,-0.9333017906156058,0.29044289261907885,0.013342569598745302,0.002141508975469853,7143.639999999999,6097.46,10206.16,6080.28,(((x)*((x)*(x)))*((6)-((x)-(x)))),((9)*(7)),AddToLeafR|ReplaceBranchR|FellTreeD|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,62,62,63,63,3
63,x*x*x*x,25,-10,-0.038397253953731544,0.011445084209347055,-0.038388027708796235,0.011479125044345279,245.25220000000002,244.69050000000004,246.664,244.39879999999997,-0.9588890341131879,0.2872920439905149,0.0005437201679266142,0.0006226912496637469,6166.05,6114.94,6290.8,6107.28,(((x)*((x)*(4)))-((7)-(x))),((x)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,FellTreeD,63,63,64,64,3
64,x*x*x*x,25,-10,-0.03843178408051236,0.0114686222155834,-0.03836940007842113,0.01160021099016002,239.9684,244.4888,249.51440000000002,243.36119999999994,-0.9570592079466738,0.2917032320705044,0.00146311620991526,0.002877493969418355,6235,6106.4400000000005,6570.8,6069.48,(((x)*((x)*(1)))-((9)-(x))),((9)*(9)),AddToLeafR|AddToLeafR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,64,64,65,65,3
65,x*x*x*x,25,-10,-0.038397086655339176,0.011456497283268294,-0.03838847209515096,0.011511006964542452,245.2778,244.59270000000004,246.59599999999998,244.12560000000005,-0.9588890341131879,0.29044289261907885,0.0005478673291328031,0.002533521516811818,6165.05,6110.85,6290.8,6080.28,(((7)*((4)*(2)))-((8)-(x))),((7)*(9)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|MutateTerminalR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,65,65,66,66,3
66,x*x*x*x,25,-10,-0.03838614102731669,0.011445387624400174,-0.03834599921578879,0.011463440820060873,246.95269999999996,244.6879,253.0952,244.5332,-0.9558023787740165,0.2871520062736898,0.002095784088238236,0.0006119833372753962,6282.08,6114.87,6763.12,6108.48,(((x)*((1)-(3)))*((x)*((x)-(x)))),((7)+(9)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,66,66,67,67,3
67,x*x*x*x,25,-10,-0.04620497320611685,0.011479171723584224,-0.03836965102600968,0.01159530967007114,198.165,244.39840000000004,249.476,243.4032,-0.9570592079466738,0.28995276061019115,0.001373628090683646,0.0016766036400236134,6278.05,6098.860000000001,6570.8,6084.48,(((x)*((x)*(0)))-((8)-(x))),((8)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,67,67,68,68,3
68,x*x*x*x,25,-10,-0.03839294798065613,0.011444640756577107,-0.038373271467781994,0.011487480628115842,245.9111,244.6943,248.922,244.3272,-0.9574251731799766,0.2879922325746402,0.0012827185839174241,0.0009246682810933124,6220.38,6112.6900000000005,6514.8,6101.28,(((x)*((x)*(0)))-((7)-(x))),((4)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,ReplaceBranchR,FellTreeD,68,68,69,69,3
69,x*x*x*x,25,-10,-0.03839290027447393,0.01147364023376963,-0.03837314076591296,0.011549797412102998,245.91840000000005,244.44580000000002,248.942,243.79319999999998,-0.9577127172918574,0.28946262860130334,0.0011360212554829777,0.0014781971919512174,6210.05,6107.52,6470.8,6088.68,(((x)*((x)+(1)))*((2)-((8)-(x)))),((7)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,69,69,70,70,3
70,x*x*x*x,25,-10,-0.038400941053457066,0.011450639038781114,-0.03838390275780944,0.011474643837406878,244.688,244.64289999999997,247.2952,244.43720000000002,-0.9599325578355771,0.2872220251321023,0.000027185988759670376,0.0006352093729503186,6124.88,6113.5,6131.12,6107.88,(((x)*((6)-(5)))*((5)-((9)-(x)))),((8)+(9)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,ReplaceBranchR,FellTreeD,70,70,71,71,3
71,x*x*x*x,25,-10,-0.046199560841720035,0.011461200216591671,-0.03839882368317868,0.011510446813675156,198.99320000000003,244.55239999999998,245.012,244.13039999999998,-0.9599607894392891,0.2879922325746402,0.000013070186903663128,0.0009517405366785349,6123.8,6109.45,6126.8,6101.28,((1)-((5)-(x))),((4)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,71,71,72,72,3
72,x*x*x*x,25,-10,-0.03839712913344661,0.011468913960826785,-0.038389865377074894,0.011520716246242325,245.2713,244.48629999999997,246.38279999999997,244.0424,-0.9594515749575219,0.28995276061019115,0.0002666060449550439,0.0016806098128171129,6143.530000000001,6104.49,6204.72,6084.48,(((2)-((5)*(x)))*((5)+((7)-(x)))),((8)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,FellTreeD,72,72,73,73,3
73,x*x*x*x,25,-10,-0.03839859430139851,0.011452681255484813,-0.038395294732714684,0.011506245682170402,245.0471,244.6254,245.55200000000002,244.16639999999998,-0.9596209645797935,0.2889724965924156,0.0001857923428807234,0.0015886699101513178,6136.1900000000005,6111.18,6178.8,6092.88,(((x)*((x)*(2)))-((3)-(x))),((6)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,AddToLeafR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteNonTerminalR,FellTreeD,73,73,74,74,3
74,x*x*x*x,25,-10,-0.038404462815318265,0.011458282764157814,-0.03839817017383349,0.011531312433482085,244.1491,244.57739999999998,245.112,243.95159999999998,-0.9599346490654818,0.28981272289336596,0.000026140373807326256,0.0018890558953228785,6124.8,6109.47,6130.8,6085.68,((0)-((8)-(x))),((9)*(6)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,FellTreeD,74,74,75,75,3
75,x*x*x*x,25,-10,-0.038400044438635476,0.011451350897174974,-0.03839862763037512,0.011484866590735108,244.82520000000005,244.6368,245.042,244.34960000000004,-0.9599477192523854,0.28771215714099,0.000018484035581911605,0.0008744387082466363,6124.8,6109.91,6128.8,6103.68,((x)-((8)-(x))),((8)*(3)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,75,75,76,76,3
76,x*x*x*x,25,-10,-0.038400410403868775,0.011451047482121855,-0.03839908508691675,0.011483186138133206,244.7692,244.63940000000002,244.972,244.364,-0.9599607894392891,0.2879222137162276,0.000012513751245008957,0.0011005309132824928,6124.3,6115.01,6126.8,6101.88,((4)-((8)-(x))),((9)*(3)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,76,76,77,77,3
77,x*x*x*x,25,-10,-0.03840519605280356,0.011478938327389514,-0.038398742648019867,0.011542095337677617,244.03690000000003,244.40040000000002,245.0244,243.8592,-0.9599346490654818,0.28813227029146526,0.00002740046568006893,0.0006056440125617201,6125.84,6103.84,6130.8,6100.08,((0)-((8)-(x))),((5)*(6)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,77,77,78,78,3
78,x*x*x*x,25,-10,-0.03839844464775846,0.011444384020762928,-0.0382027813357731,0.011518382284295239,245.07000000000005,244.69650000000001,275.0104,244.06240000000003,-0.9396303751143641,0.28918255316765323,0.010169576956644113,0.0018124392983796477,6903.540000000001,6113.820000000001,9237.76,6091.08,(((0)-((9)*(x)))*((x)*((x)-(x)))),((5)*(9)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,78,78,79,79,3
79,x*x*x*x,25,-10,-0.03840248987060515,0.011481388987433951,-0.03839919487648674,0.011569402692458507,244.45100000000002,244.37939999999998,244.9552,243.62520000000004,-0.9599542543458373,0.28813227029146526,0.00001921747172162272,0.0004844362781386622,6123.52,6105.969999999999,6127.8,6100.08,((x)-((7)-(x))),((5)*(6)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,FellTreeD,79,79,80,80,3
80,x*x*x*x,25,-10,-0.03837581754019082,0.01145768760386131,-0.03830461639001438,0.0115421886961555,248.53240000000002,244.5825,259.4276,243.85840000000005,-0.9520104561495231,0.28946262860130334,0.003983999212851378,0.001953128750175945,6428.9400000000005,6112.02,7343.36,6088.68,(((x)*((7)-(0)))*((4)-((x)*(x)))),((7)*(7)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|AddToLeafR,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,80,80,81,81,3
81,x*x*x*x,25,-10,-0.03830479937263103,0.011471177903915457,-0.03802012808783166,0.011628638646675507,259.39959999999996,244.46689999999998,302.96,243.11759999999998,-0.9220781597176839,0.29224937916612215,0.01895917941183583,0.003022056853875692,7571.900000000001,6103.52,11923.6,6064.8,(((1)-((x)*(x)))*((x)*((x)-(x)))),((x)*(x)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddTreeWithSub,FellTreeD,81,81,82,82,3
82,x*x*x*x,25,-10,-0.037773399555613645,0.011454816830666395,-0.03638915174486995,0.011586253897716454,340.7144,244.6071,552.5320000000002,243.4808,-0.7599869298130963,0.29224937916612215,0.09448163950394724,0.003193822046126017,15663.76,6104.68,36726.8,6064.8,((((x)*(0))-((5)*(x)))*((x)*((x)-(x)))),((x)*(x)),AddToLeafR|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|AddToLeafR|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,AddToLeafR,82,82,83,83,3
83,x*x*x*x,25,-10,-0.03815134230819501,0.011447558209010965,-0.03725201672983924,0.011519315869074074,282.88160000000005,244.6693,420.49640000000005,244.0544,-0.8470707097111488,0.28981272289336596,0.064757192417146,0.0022107581113058467,9918.800000000001,6113.11,23401.24,6085.68,((((x)*(6))*((8)*(x)))*((6)-((x)-(x)))),((9)*(6)),AddToLeafR|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,AddToLeafR,FellTreeD,83,83,84,84,3
84,x*x*x*x,25,-10,-0.038443665533917135,0.011497901768209574,-0.03837537053979872,0.011602031480478746,238.1503,244.2379,248.6008,243.3456,-0.9577911384132793,0.2917032320705044,0.0011041551352702357,0.002396541403898803,6205.44,6089.68,6458.8,6069.48,((((x)*(5))-((5)-(x)))*((0)+((6)-(x)))),((9)*(9)),AddToLeafR|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,SubXD,FellTreeD,84,84,85,85,3
85,x*x*x*x,25,-10,-0.03826667559796105,0.01146283398995463,-0.037877087962357864,0.011503818361745435,265.2333,244.53839999999997,324.848,244.18720000000002,-0.9197527120637825,0.2885523834419405,0.019740760268074295,0.001241641432690817,7768.32,6108.5,12279.44,6096.48,((((x)*(7))*((5)*(9)))-((1)*((9)-(x)))),((6)*(6)),AddToLeafR|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,ReplaceBranchR,FellTreeD,85,85,86,86,3
86,x*x*x*x,25,-10,-0.03839880603842635,0.011465086263233566,-0.03839347536269769,0.011551897977855375,245.0147,244.5191,245.8304,243.7752,-0.9596429224937917,0.29044289261907885,0.00017200365965236442,0.0022151958959233924,6135.96,6105.620000000001,6175.44,6080.28,(((6)+((0)*(x)))*((4)-((8)-(x)))),((9)*(7)),AddToLeafR|ReplaceBranchR|MutateTerminalR|AddRandomSubTreeR|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,MutateTerminalR,FellTreeD,86,86,87,87,3
87,x*x*x*x,25,-10,-0.03839664488302183,0.011457115783184273,-0.03835763168213306,0.01150265138077189,245.3454,244.58739999999997,251.3152,244.1972,-0.9558023787740165,0.28981272289336596,0.002094462946551537,0.001771774860029159,6282.38,6107.16,6763.12,6085.68,(((x)*((x)*(0)))-((2)*((x)-(x)))),((6)*(9)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteTerminalR,FellTreeD,87,87,88,88,3
88,x*x*x*x,25,-10,-0.03840846817409489,0.011443345407696474,-0.03839947719252386,0.011489814590062925,243.53620000000004,244.7054,244.912,244.30720000000002,-0.9599869298130964,0.28751610433743496,0.000005489478499542955,0.0010605565205619421,6122.38,6115.049999999999,6122.8,6105.36,(((6)*((0)*(x)))*((x)-(x))),((x)*(8)),AddToLeafR|ReplaceBranchR|DeleteNonTerminalR|DeleteTerminalR|SubXD,DeleteNonTerminalR|FellTreeD|ReplaceBranchXR|FellTreeD|DeleteTerminalR,AddToLeafR,FellTreeD,88,88,89,89,3
89,x*x*x*x,25,-10,-0.03839917657822507,0.011457897660436547,-0.03839704613775977,0.01158410665272514,244.95800000000003,244.5807,245.284,243.49919999999997,-0.9597307541497844,0.2917032320705044,0.0001340199230455911,0.002771183501657777,6131.42,6100.37,6162,6069.48,(((x)*((0)-(6)))*((4)-((1)-(x)))),((9)*(9)),AddToLeafR|ReplaceBranchR|MutateTerminalR|DeleteTerminalR|SubXD,DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteTerminalR,DeleteNonTerminalR,89,89,90,90,3
90,x*x*x*x,25,-10,-0.03840323095020259,0.011451199189648414,-0.03839947719252386,0.011474550478928994,244.33759999999998,244.6381,244.912,244.438,-0.9599869298130964,0.2867972440577329,0,0.0005127125296130492,6122.8,6114.41,6122.8,6111.52,(((4)-((3)*(9)))-((0)*((0)-(x)))),((3)+(9)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|SubXD,AddTreeWithMult|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteTerminalR,ReplaceBranchR,90,90,91,91,3
91,x*x*x*x,25,-10,-0.03839956672330414,0.011437895606550032,-0.03839947719252386,0.011461807046697912,244.8983,244.75209999999998,244.912,244.5472,-0.9599869298130964,0.2870633157197006,0,0.0007086576237955007,6122.8,6114.41,6122.8,6109.24,(((x)*((0)*(2)))+((0)-(x))),((7)+(8)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|AddTreeWithSub|SubXD,DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|FellTreeD|ReplaceBranchR,AddToLeafR,DeleteNonTerminalR,91,91,92,92,3
92,x*x*x*x,25,-10,-0.038393822376159986,0.011460243292193367,-0.03837005620180369,0.011491495042664827,245.7773,244.56060000000002,249.414,244.2928,-0.9570592079466738,0.2885523834419405,0.0016094844396064738,0.0012661924613986666,6208.780000000001,6107.5199999999995,6570.8,6096.48,(((x)*((x)*(0)))-((8)-(x))),((9)*(4)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|SubXD,DeleteNonTerminalR|FellTreeD|DeleteMaliciousR|FellTreeD|ReplaceBranchR,DeleteTerminalR,FellTreeD,92,92,93,93,3
93,x*x*x*x,25,-10,-0.03841848059077245,0.01147096784734022,-0.03839947719252386,0.011556799297944249,242.00410000000002,244.4687,244.912,243.7332,-0.9599869298130964,0.2917032320705044,0.000015422820546340255,0.00290930767424939,6121.620000000001,6106.46,6122.8,6069.48,(((2)*((0)*(x)))*((0)-(x))),((9)*(9)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|SubXD,DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR,DeleteTerminalR,DeleteNonTerminalR,93,93,94,94,3
94,x*x*x*x,25,-10,-0.038431707619918966,0.01146849384767631,-0.038396217487910084,0.011558899863696626,239.98010000000002,244.48989999999998,245.4108,243.71519999999998,-0.9599869298130964,0.2882723080082903,0,0.000930873445825122,6122.8,6109.68,6122.8,6098.88,(((x)*((x)*(x)))*((0)*((0)-(x)))),((8)*(4)),AddToLeafR|ReplaceBranchR|DeleteTerminalR|SkipD|SubXD,DeleteNonTerminalR|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|ReplaceBranchR,DeleteTerminalR,DeleteNonTerminalR,94,94,95,95,3
