A,P,AFinal,PFinal,AGen,PGen,count,run
AddXD,AddRandomSubTreeR,AddXD,AddRandomSubTreeR,0,0,0,0
FellTreeD,AddXD,FellTreeD,AddXD,0,0,1,0
AddToLeafX,AddTreeWithSub,AddToLeafX,AddTreeWithSub,0,0,2,0
AddTreeWithMult,DeleteNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,0,0,3,0
ReplaceBranchR,AddToLeafX,ReplaceBranchR,AddToLeafX,0,0,4,0
SkipD,MutateNonTerminalR,SkipD,MutateNonTerminalR,0,0,5,0
AddTreeWithAdd,DeleteNonTerminalR,AddTreeWithAdd,DeleteNonTerminalR,0,0,6,0
ReplaceBranchR,FellTreeD,ReplaceBranchR,FellTreeD,0,0,7,0
AddToLeafR,DivXD,AddToLeafR,DivXD,0,0,8,0
ReplaceBranchXR,AddTreeWithDiv,ReplaceBranchXR,AddTreeWithDiv,0,0,9,0
DivXD,MutateTerminalR,DivXD,MutateTerminalR,0,0,10,0
DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,AddTreeWithAdd,0,0,11,0
AddTreeWithMult,SkipD,AddTreeWithMult,SkipD,0,0,12,0
AddRandomSubTreeR,AddToLeafX,AddRandomSubTreeR,AddToLeafX,0,0,13,0
ReplaceBranchR,ReplaceBranchXR,ReplaceBranchR,ReplaceBranchXR,0,0,14,0
AddToLeafR,SubXD,AddToLeafR,SubXD,0,0,15,0
