gen,specEquation,range,seed,topAEquation,topPEquation,correlation,covariance,AMean,PMean,AStd,PStd,AVar,PVar,ASkew,PSkew,AExKur,PExKur,topAMean,topPMean,topABest,topPBest,topAMeanDelta,topPMeanDelta,topABestDelta,topPBestDelta,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
129,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((7)+(9)),((((4)*(9))+((x)*(x)))-((0)-((0)*((x)-(x))))),0.17250802357587317,0.0000074684186349882545,-0.9402510570803071,-0.03155723147404629,0.00012287380408291813,0.18381899849400854,0.0000021498723532765215,0.0008718184066594316,-0.22025707460861177,-0.49887241848392494,-0.14570886958808105,0.362661166197658,-0.9374780201552033,0.027221716370159167,-0.937289712591696,0.8308721456340296,640.4280207885386,635.2848598073056,642.3569014877078,108.27613874821277,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,3,1,0
130,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((0)/(8))+((6)-(x))),((((5)-(0))/((0)-((4)*(9))))-(((x)*(x))/((x)/((x)/(x))))),-0.09557924326752817,-0.000011824693116789482,-0.9403341241518716,-0.5944706585341382,0.00025150807153277824,0.5029643996011681,0.0000037349981275815198,0.004097907894967376,-0.5489594875306781,-0.3724952324770505,-0.12409523389492616,-0.030156777595771622,-0.9371446354358468,-0.46875315384000693,-0.9369831964334625,0.0044670063019643805,643.8429624859831,NaN,645.4966219035456,637.0253310744275,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,2,4,0
131,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),((((3)*(x))*((7)*((5)-(7))))+((5)+((x)-((0)/(5))))),NaN,0,-0.9374999999999999,-0.2933157806654827,0,0.34990789609377393,0,0.002996057160488306,NaN,0.41617668022431287,NaN,-0.36070934341190863,-0.9374999999999999,-0.1484738223623872,-0.9374999999999999,0.5929814094495766,640.2028758309526,5164.364306601496,640.2028758309526,260.5744721870421,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,3,1,0
132,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((((8)+((6)*(9)))-((2)*((8)+(2))))/(((9)-(0))+((x)*((x)*(x))))),((((6)-(5))+((9)+((x)-(1))))-(((0)*(x))*((x)-((x)*(x))))),-0.04167222789617764,-0.0000065814286451003055,-0.9478947794664705,-0.02516810271923344,0.20905864823840511,0.1870856878475886,0.000032184461413048064,0.0007749981563120762,2.8089667975921047,0.01801629844920271,11.386264057551998,0.047824465642992475,-0.9195349280965139,0.049460014578269686,0.7186329040474819,0.7474614967692763,1117.987489686935,619.4983375336326,36405.27325563268,161.67587602635368,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,9,3,0
133,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((9)*((7)*(8)))*((9)*((1)+(8)))),(((((7)*(8))*((0)/(7)))*(((0)*(x))*((1)+(3))))-(((x)*((1)-(3)))*((1)*((x)*((x)+(x)))))),0.13865993484078756,0.0001119749360391531,-0.9132316297958223,-0.5200251106693672,0.301142817393466,0.4876407777609012,0.00028742861294019003,0.002268870264972116,0.8122283551815858,-0.18906923630339748,0.8081815340231757,0.15652971052500897,-0.8616048706950554,-0.4096496369343823,0.749598385534868,0.7903627574616656,NaN,164772.1504368145,40907.268250547146,134.21036555431263,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,4,4,0
134,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((x)*((9)*(x)))+((x)-(x))),((((x)+((x)*(8)))/(((5)*(8))*((x)*(5))))-(((8)-((6)+(x)))-((1)/((x)/((x)*(x)))))),0.055752736053259366,0.000003734823940561299,-0.9382485929765669,-0.34182363914943403,0.007974328446062405,0.4140904508082848,0.0000013917075358861723,0.0032244817172524653,-0.08446117581907367,0.26561805215142775,0.10666952878187086,-0.3721918332708807,-0.9355728617252521,-0.20639355119182395,-0.8895227553062365,0.5356869996606584,659.9430272808327,18421.230204363215,1131.6455962692362,259.1491450220548,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,2,3,0
135,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((7)*((x)*(5)))/((1)-(2))),((((x)*((9)+(7)))+(((x)*(x))+((1)/(2))))+(((x)+(x))-((x)*((x)+((x)/(x)))))),0.1091169443792617,0.000008591670369078673,-0.9395546332262923,-0.17622065192836778,0.002841956818019399,0.23295738909992753,0.0000022039891490085088,0.002812945831190536,-0.6811628220482567,0.10169117575730399,-0.2505083239039063,0.24696109279741307,-0.9371370931241009,-0.04350253819414219,-0.9190274431599421,0.6623214217103431,643.9202202407037,4508.928484884063,829.4218200382456,169.06945482716728,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,2,2,0
136,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(0),(((8)-((6)+(6)))+((x)*((x)*(x)))),NaN,0,-0.9374999999999999,-0.061590593703525154,0,0.2216389475235565,0,0.0010533488546772998,NaN,-0.2373523445200517,NaN,-0.7274102993262161,-0.9374999999999999,0.004696946462296191,-0.9374999999999999,0.6187994792090458,640.2028758309526,1146.853045069579,640.2028758309526,244.04566967862576,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,3,1,0
137,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,((0)*(x)),(((2)+(7))*((9)*(x))),NaN,0,-0.9374999999999999,-0.13589381430456984,0,0.22459384747430872,0,0.0013401523521478435,NaN,0.2598242839148912,NaN,-0.5923325215238737,-0.9374999999999999,-0.05767456030339052,-0.9374999999999999,0.555261194414619,640.2028758309526,2159.4159996227304,640.2028758309526,284.7230623293839,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,4,8,0
138,((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,(((((8)*(x))*((3)+((1)*(9))))+(((8)*((8)+(1)))+((2)+((0)-(x)))))*((((x)-(3))*((x)*((x)+(5))))*(((x)*(x))*((x)*((x)*((x)-(x))))))),(((x)*((x)-(4)))+((x)+((5)*(x)))),0.22690256918247875,0.0009208214793635747,-0.22970210700905827,-0.05333797598115632,0.9135566059634755,0.2547496323209123,0.013830315808145944,0.0011908031056110425,-0.1259161301392915,0.45660096079042145,-0.4615656329623272,1.1407008705191353,0.0032372053387963867,0.05555920760187195,0.9999996790481005,0.8088004252403622,628538234.762369,626.1840888632634,31915206075.360058,122.40651761877533,AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchXR|ReplaceBranchR|AddTreeWithMult|SkipD|SkipD|DeleteTerminalR|FellTreeD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|AddTreeWithSub|SkipD|AddToLeafR|FellTreeD|AddToLeafX|AddTreeWithDiv|MutateNonTerminalR|MutateNonTerminalR|SubXD|SkipD|SubXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithAdd,AddTreeWithDiv,SkipD,0,0,3,1,0
