specEquation,range,seed,corr,cov,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun,ANoC,PNoC
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,-0.00017776256207026886,-0.00000020561675996306233,ANTAGONIST-zbMy,PROTAGONIST-43c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,0.2131200961029186,0.31173591785106813,0.9984490405353588,0.7986383143367062,0.8594387286602496,0.45188025176957913,NaN,600.8497474107503,6604457.593393156,128.91233024380907,((((x)*((x)*(7)))+(((0)/(3))*((4)-(1))))+(((x)*((4)*(8)))*((x)*((x)*((9)*(9)))))),(((x)*(2))*((x)*(x))),AddXD|FellTreeD|AddToLeafX|AddTreeWithMult|ReplaceBranchR|SkipD|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|DivXD|DeleteTerminalR|AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchR|AddToLeafR,AddRandomSubTreeR|AddXD|AddTreeWithSub|DeleteNonTerminalR|AddToLeafX|MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|DivXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd|SkipD|AddToLeafX|ReplaceBranchXR|SubXD,ReplaceBranchR,DeleteNonTerminalR,0,0,328,176,1,1,0,0,21120,11392
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,0.0005304052624906992,0.0000001496742565250272,ANTAGONIST-dhMD,PROTAGONIST-61c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.041907276825137285,0.1326372909954897,0.9999999961702227,0.7986383143367062,0.9342770060203003,0.23857058463971295,41869250509.069084,558.2979773444855,2674632296035.4253,128.91233024380907,(((((x)*(7))*((7)+((6)*(x))))+(((3)*(9))*((5)*((x)*(8)))))*((((4)*(x))*((4)*(x)))-(((0)*(x))*((x)*((x)+((4)+(x))))))),(((x)*(x))+((x)*(x))),AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|ReplaceBranchR|DivXD|ReplaceBranchXR|AddToLeafR|SubXD|MutateTerminalR|AddRandomSubTreeR|MultXD,MutateNonTerminalR|AddToLeafR|DivXD|DeleteNonTerminalR|MultXD|MutateNonTerminalR|SubXD|AddXD|SubXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithSub|SubXD|AddTreeWithAdd|AddXD|AddTreeWithAdd,AddRandomSubTreeR,SubXD,0,0,101,58,4,6,1,1,6784,4160
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,-0.00021111655266472016,-0.00000021468198770067738,ANTAGONIST-nAfH,PROTAGONIST-22c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,0.5097794945763451,0.19710765560621188,0.9585529776784946,0.8068452588949324,0.523764824480592,0.4197118983016339,47479.90546869224,588.3047027184155,247140.69767999678,123.65822073584738,((((9)*(8))*((x)*(x)))+((x)*((x)*(x)))),(((x)*((2)*(x)))*((x)-(x))),MultXD|DeleteNonTerminalR|AddXD|DivXD|SkipD|AddTreeWithMult|ReplaceBranchR|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|SkipD|MutateTerminalR,ReplaceBranchR|ReplaceBranchR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MultXD|SkipD|FellTreeD|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|SubXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,AddTreeWithDiv,ReplaceBranchR,0,0,416,239,2,3,2,2,26816,15552
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,0.000011126600041653056,0.000000003701485501175171,ANTAGONIST-aOlv,PROTAGONIST-38c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.3269365478081132,0.14949368632185311,0.9999993274383956,0.7584537950811373,0.8329133324159789,0.28006891347703494,238612790.15555012,595.5154161327055,15230197422.126795,154.63857503510852,(((((x)*(x))*((x)+((2)*(8))))*(((8)*((7)-(6)))*((x)-((8)*(1)))))+((((x)+(2))*((x)+(0)))*(((2)+(7))*((x)-((x)*((x)-(x))))))),(((3)+((x)+(x)))*((x)*(x))),MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|AddToLeafX|MultXD|AddXD|DivXD|SkipD|AddTreeWithMult|AddXD|ReplaceBranchXR|AddRandomSubTreeR|FellTreeD|DeleteTerminalR,DeleteTerminalR|SkipD|FellTreeD|DivXD|AddTreeWithMult|AddToLeafR|ReplaceBranchXR|AddToLeafR|DeleteNonTerminalR|AddToLeafX|MutateTerminalR|AddTreeWithAdd|AddToLeafX|ReplaceBranchR|AddToLeafR|ReplaceBranchXR,SkipD,AddToLeafR,0,0,355,82,2,2,3,3,22912,5440
((((x)*(x))*((x)+((2)*(x))))/((3)*((x)*((x)+(5))))),20,-10,-0.000012816928070830793,-0.0000000006552311773580242,ANTAGONIST-AWkR,PROTAGONIST-43c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1,-0.39475984605549186,0.15445212413688247,0.9999578387902212,0.9170416752837445,0.8552105967548289,0.4090377648124348,8578490.817102622,728.8398779068838,242954271.64016283,53.11015805746475,(((((5)*(8))*((x)*(x)))*(((6)-(2))*((x)-((x)*(7)))))*(((5)*((6)*(0)))-(((5)*(2))-((x)*((x)+(x)))))),((((x)+(7))+((x)*(x)))-((3)-((x)*(x)))),AddXD|SubXD|MultXD|MutateNonTerminalR|AddToLeafR|AddToLeafX|AddToLeafR|FellTreeD|FellTreeD|AddTreeWithAdd|AddXD|DivXD|DeleteTerminalR|AddTreeWithDiv|AddTreeWithMult|MultXD,SkipD|FellTreeD|ReplaceBranchR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|MutateNonTerminalR|MultXD|AddToLeafX|DeleteTerminalR|DeleteNonTerminalR|MutateNonTerminalR|FellTreeD|AddToLeafX|FellTreeD|AddTreeWithMult,MultXD,FellTreeD,0,0,6,408,4,4,4,4,704,26432
