gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
10,(x),30,-10,0.281336203878951,0.18346459753010272,0.39999239005810894,0.4,4829195.2234388385,21367.71631851308,51385138.54682188,0,0.9999993587822147,1,0.44203882118644783,0.22041241492497932,59519462.371666685,0.4025,636809119.7,0,((((x)*((6)-(1)))*((x)+((0)*(x))))-(((x)*(x))*((x)+((4)*((x)*(x)))))),((((0)/(9))*((8)*(x)))/((0)-((8)+(x)))),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddTreeWithSub|MultXD|AddTreeWithMult|AddToLeafR|MultXD,MultXD|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|FellTreeD|DivXD|AddTreeWithSub|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,DeleteTerminalR,10,10,11,11,3
11,(x),30,-10,0.2759896612942249,0.2264257003995155,0.39999193459243654,0.4,6583931.751323497,284.4208901944335,80036844.19560863,0,0.9999998399464475,1,0.6092940648866005,0.22360679774997905,159817470.48999998,0.4083333333333333,2551229430.0333333,0,((((1)+((x)-(3)))*(((x)*(7))+((x)*(x))))-(((0)*(x))*((x)*((x)*((5)*(x)))))),((((0)/(9))*((5)*(8)))-((9)/((0)+(x)))),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithSub|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,11,11,12,12,3
12,(x),30,-10,0.2817259391288158,0.28226043152768954,0.3999760320337702,0.4,18505570.937746562,1.4472599539560287,340696405.40166664,0,0.9999999747365501,1,0.8191852934810497,0.018712491770891106,811874042.7790377,0.0341712962962963,16163007641.666666,0,((((x)+((7)*(x)))*(((7)*(x))*((x)-(0))))/(((8)*(x))*((8)*((8)*((x)*(x)))))),((0)+(x)),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddTreeWithDiv|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|AddToLeafR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,10,12,13,13,3
13,(x),30,-10,0.31496412563355153,0.3065815460910242,0.3999881569221477,0.4,12324703.35654721,62.77010270518742,198101007.43690476,0,0.9999999475384918,1,0.6093351832866114,0,420496556.5552134,0,7783484431.5,0,((((x)*((7)+(x)))*(((9)*(x))*((7)*(x))))/(((3)*(x))*((3)+((6)*((x)*(x)))))),((((0)/(x))*((0)/(0)))*((2)-((8)+(x)))),SkipD|DeleteNonTerminalR|AddXD|MultXD|AddTreeWithMult|AddToLeafR|SkipD|MultXD|AddTreeWithDiv|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,AddTreeWithSub|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddXD,11,13,14,14,3
14,(x),30,-10,0.304777474440134,0.3579079534496005,0.3999808924846757,0.4,4897584.624378859,0.3530265873861213,63166744.21818334,0,0.9999994109364742,1,0.018760092737103114,0,38831525.08,0,693190658.5,0,((((0)+((6)*(9)))*(((5)+(9))*((x)-(x))))*(((8)*(8))*((3)+((8)*((x)*(x)))))),((((0)/(6))*((2)*(0)))/((0)-((1)+(x)))),FellTreeD|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,14,14,15,15,3
15,(x),30,-10,0.34228353677084805,0.3726922559837545,0.39999682260941,0.4,5390945.7338333335,2.9947885233449743,66336878.45066667,0,0.9999996839895053,1,0.44256410791161205,0,72615513.29833333,0,1292151179.0666666,0,((((7)*((8)*(1)))*(((x)-(8))+((x)*(x))))-(((0)*((x)*(x)))*((1)+((8)*((x)*(x)))))),((((0)/(0))*((x)/(4)))*((x)-((8)+(x)))),DeleteTerminalR|ReplaceBranchR|AddXD|MultXD|SubXD|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|MultXD|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,DivXD,14,15,16,16,3
16,(x),30,-10,0.3332941158900973,0.3619019802706299,0.3999939769230138,0.4,4679851.996866668,4503.838490261182,43223106.562,0,0.999999031979679,1,0.0011205704388801085,0,40130174.065,0,421823100.6666667,0,((((x)+((4)+(2)))-(((6)+(9))*((x)+(0))))*(((9)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((((1)-(8))*((0)/(0)))*((x)/((x)+(x)))),DeleteTerminalR|AddXD|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,AddTreeWithMult|AddXD|AddTreeWithDiv|MultXD|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,16,16,17,17,3
17,(x),30,-10,0.3418944666436947,0.3687984587039475,0.3999968675739041,0.4,11624778.157533333,0.26643733002880954,187828302.02666664,0,0.9999999366440018,1,0.005722639329576207,0,325665009.90666664,0,6445061942.033334,0,((((7)*((x)*(3)))+(((x)*(9))+((x)*(x))))-(((6)+((4)+(3)))*((x)*((x)*((x)*(x)))))),((((0)/(2))*((8)*(0)))-((8)/((x)+(x)))),DeleteTerminalR|ReplaceBranchR|AddXD|MultXD|SubXD|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|MutateTerminalR|MultXD|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddXD,17,17,18,18,3
18,(x),30,-10,0.340953876140695,0.3523957447881403,0.39999231165535853,0.4,15671403.285182146,0.6522600155581021,243343635.47866675,0,0.9999999502640462,1,0.4425821370113871,0,462259694.25666666,0,8210023173.333333,0,((((x)+((x)+(6)))*(((x)*(x))*((x)*(5))))*(((8)-((x)*(x)))*((x)*((0)+((5)*(x)))))),((((0)*(0))/((0)*(x)))/((6)-((6)+(x)))),DeleteTerminalR|AddXD|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|FellTreeD|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddXD,18,18,19,19,3
19,(x),30,-10,0.3378397178205216,0.3538062367722626,0.3999958361350929,0.4,4637387.135366667,74.92562393795919,46524152.34,0,0.9999993200629828,1,0.9687790296734513,0.05019744439285244,43284609.405,0.09166666666666666,600545819.7333333,0,((((x)+((4)*(9)))*(((9)+(x))*((6)*(x))))*(((8)+(x))*((3)*((x)*((x)*(x)))))),((((3)*(7))/((0)*(x)))/((9)-((2)+(x)))),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|AddRandomSubTreeR|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithAdd|AddToLeafR|MultXD,AddTreeWithMult|AddXD|AddTreeWithDiv|MultXD|DeleteTerminalR|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddXD,19,16,20,20,3
