gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.07069026218951353,0.2861701079127408,0.39763413939849296,0.4,51032.980633333325,3.8703809303326686,764238.934,0,0.9999742461804999,1,0.8505500941887324,0.023395591619794008,1034937.5133333333,0.08293791688223523,15855253.366666667,0,((((x)*((2)+(3)))*((6)*((8)*(5))))*(((9)*(6))*((6)*((x)-(7))))),(((((3)+(0))*((0)*(0)))*(((1)*(4))*((0)-(8))))+(((0)/((x)-(7)))/((x)/((x)/((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,11,11,12,12,5
12,(x),30,-10,0.07885214553696815,0.31277804175710905,0.39941460853373073,0.4,37090.165433333335,1.6082549795355567,433972.0626666668,0,0.999911459135735,1,0.8306567351403467,0.06422667625507598,380723.79333333333,0.20428735757861186,4611806.5,0,((((9)*((0)-(4)))+((0)*((4)*(7))))*(((6)*(7))*((x)+((3)*(x))))),((((7)*((0)*(0)))*(((5)+(3))-((5)/(6))))-(((x)/(1))*((x)/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|AddXD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,11,12,13,13,5
13,(x),30,-10,0.07770508029944621,0.3129117297304076,0.39610919446539655,0.4,34387.665199999996,1.4158153615258655,481855.7153333334,0,0.9999507758867472,1,0.808354655489935,0.2158497386822484,460250.3716666667,0.6352428738086318,8295392.366666666,0,((((3)-(9))*((9)*((7)*(x))))*((4)-((x)*((x)*(x))))),((((0)-((0)-(x)))*(((0)-(x))*((7)-(x))))/(((5)*((0)/(x)))*((2)/((x)/((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithSub|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,13,13,14,14,5
14,(x),30,-10,0.09731784016977317,0.3004294009418468,0.3992617458095392,0.4,28697.39726666667,3.4366760024560556,367455.376,0,0.999885522893342,1,0.7391897338707131,0.052017752108737554,242368.33,0.14411075363252393,3566943.1666666665,0,((((9)+((7)*(3)))*((4)-((9)*(5))))*(((6)+(x))*((4)*((x)*(x))))),((((0)*((5)-(0)))*((5)-((9)+(7))))/(((8)/(x))*((x)/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|MutateTerminalR,AddTreeWithMult,DivXD,14,14,15,15,5
15,(x),30,-10,0.06379499451702268,0.3247543119654283,0.3988560395632149,0.4,41904.884458796296,5.181719908119848,545741.6893333334,0,0.9999322295528332,1,0.6255588735535769,0.029413841620490662,523710.60666666663,0.09993089115780446,6025241.833333333,0,((((4)*(2))*((3)*((8)*(8))))+(((1)*(3))*((x)*((x)*(x))))),((((0)-((0)*(0)))-((4)-((x)/(9))))+(((x)-(6))/((x)/((x)/((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|ReplaceBranchXR,AddTreeWithMult,DivXD,15,15,16,16,5
16,(x),30,-10,0.0593050972304891,0.31764064367696504,0.3984302639522763,0.4,123828.40163333333,1.590464065829984,2200278.041333333,0,0.9999941551098019,1,0.9291522535114457,0.3216423713815197,3837858.9816666665,0.9034606271597717,69861591.83333333,0,((((9)*((6)*(4)))*((8)*((2)+(5))))*(((4)+(9))*((x)*((x)*(x))))),((((0)/(x))/((7)+(6)))-((2)/((x)/((x)+(x))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,16,16,17,17,5
17,(x),30,-10,0.10981717081315154,0.32231928994317754,0.3995747333321168,0.4,50877.298599999995,1.761299129647602,663071.5473333332,0,0.9999493844644725,1,0.7927164855495805,0.04834860653206261,723693.5983333333,0.22456212289212124,8067351.833333333,0,((((2)*((6)*(7)))*((7)*((6)+(4))))*(((7)*(3))*((8)+((0)*(x))))),((((0)*((3)-(8)))*((0)+((0)+(6))))*(((0)*(0))/((0)/((5)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|MultXD|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,17,17,18,18,5
18,(x),30,-10,0.11496202655570995,0.32602450082086987,0.39912485432126515,0.4,179536.9798,1.0193153933238976,3273940.730666667,0,0.9999953738317007,1,0.8273861467005287,0.011600433416912055,4511174.4366666665,0.045212409303712994,88265991.83333333,0,((((9)*(5))*((8)*((x)*(x))))*(((x)*(4))*((5)+((7)*(6))))),((((4)-(0))+((1)/(1)))/((0)/((x)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,17,18,19,19,5
19,(x),30,-10,0.11098729137793334,0.35559562060110006,0.3995469186952017,0.4,76653.88436666668,0.8179763457334152,1206423.5880000002,0,0.999976557135576,1,0.8315009577509574,0.020029839487056382,919930.1016666668,0.06562992019490785,17418235.5,0,((((7)*(7))+((9)*((6)*(5))))*(((9)*(6))*((8)*((6)+(6))))),(((((x)*(0))*((1)/(7)))*(((2)+(5))*((0)*(x))))-(((0)*((9)/(x)))/(((x)/(x))/((x)-((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,19,19,20,20,5
20,(x),30,-10,0.13228994357219778,0.3373011226167777,0.3990528296102221,0.4,146337.73483333335,1.9309688352007015,2421300.617333333,0,0.9999937570903686,1,0.8875805823586195,0.00012063606130493045,3456879.75,0.000220296187452782,65407535.5,0,((((2)+((9)*(x)))*((x)*((5)*(x))))*(((2)+(x))*((2)*((5)*(6))))),((((3)-((0)-(6)))-((3)/((0)*(5))))/(((8)-(0))/((x)/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,19,20,21,21,5
21,(x),30,-10,0.09172236925921848,0.35003172115135095,0.39938625071979333,0.4,72480.73426666665,1.0375814583823342,1235871.6853333334,0,0.9999851614390912,1,0.9610027182672144,0,1414668.7766666668,0,27518391.833333332,0,((((6)*((8)*(9)))*((5)*((6)*(5))))*(((4)-(0))+((9)*((x)*(4))))),((((6)+((0)-(9)))*((x)-((7)*(0))))/(((0)/(x))+((6)/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,21,21,22,22,5
22,(x),30,-10,0.11831969434756598,0.34643720482838064,0.3990478691525637,0.4,125450.23446666669,8.58710445996384,2285059.4819999994,0,0.9999958584779436,1,0.9125679474234006,0.027764807382877114,5097492.325,0.06843694393852491,98594991.83333333,0,((((5)*((7)*(8)))*((9)*((5)+(9))))*(((5)-(0))*((x)*((x)*(x))))),(((((0)*(0))-((2)+(0)))-(((8)-(7))*((5)*(4))))*(((0)+((5)/(6)))+(((8)/(0))/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithMult|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,22,22,23,23,5
