gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
23,(x),30,-10,0.09947472712333612,0.3307405054557025,0.39850451326068553,0.4,55311.2667,1.3564880794215983,854978.4793333337,0,0.999974115475891,1,0.8509634136128136,0.07367640770056906,831489.1583333333,0.2727965535975434,15775191.833333334,0,((((6)-(4))*((4)*((4)*(x))))*(((x)*(7))*((x)*((6)*(9))))),(((((0)*(0))+((0)-(4)))*(((0)+(2))-((0)*(0))))/(((x)+((8)/(x)))/((x)/((8)-((0)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,23,23,24,24,5
24,(x),30,-10,0.13389834087255303,0.34862955150444663,0.39961755529437326,0.4,98400.09503333335,1.2976857302365925,1641902.893333333,0,0.9999913023393224,1,0.9288443404879084,0.016740838673518853,2385863.6233333335,0.05565724135306986,46947489.5,0,((((3)*((8)+(2)))*((x)*((5)*(8))))*(((3)+(9))*((x)-((3)*((x)*(x)))))),(((((2)+(2))+((7)+(4)))*(((0)*(5))+((0)*(8))))*(((x)/((x)/(6)))-((8)/((0)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddRandomSubTreeR,DivXD,24,24,25,25,5
25,(x),30,-10,0.14945195708148132,0.34620824525252913,0.39949689305522396,0.4,162512.79193333338,2.464973190664462,2879746.1213333337,0,0.9999965405436376,1,0.9374767557511228,0.022986311795577145,6150684.068333333,0.04730966959365413,118033959.83333333,0,((((x)+((7)*(8)))*((8)*((7)*(9))))+(((7)*(x))*((6)*((6)*(8))))),((((0)*((2)*(0)))*(((0)*(5))-((3)+(0))))+(((x)/((3)+(5)))/((5)/((x)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,25,24,26,26,5
26,(x),30,-10,0.13788427706472436,0.34386551032580465,0.39961345462876785,0.4,51891.676766666686,0.9984871774918375,776541.8900000001,0,0.9999672986659951,1,0.9320829912221693,0.017862723388343337,651855.7916666667,0.04237635133736231,12486748.5,0,((((4)+(8))*((x)*((7)*(7))))*(((9)*(4))-((8)*((9)*(x))))),((((0)/(1))+((5)-(6)))/((0)/((x)/((x)+(x))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddTreeWithSub|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,26,25,27,27,5
27,(x),30,-10,0.11879140768646938,0.3486924057450924,0.39927217595313835,0.4,60366.25600000002,2.0141804278004454,685869.3993333334,0,0.9999751694490008,1,0.6941167078047052,0.003108260117079101,1466826.1133333335,0.006110159364628281,16444795.5,0,((((5)*((6)*(5)))*((x)*((4)*(1))))+(((3)+(5))*((4)*((8)*(x))))),((((0)*((8)+(2)))*(((9)-(2))+((0)+(x))))*(((0)*((0)/(0)))/((x)/((0)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,27,27,28,28,5
28,(x),30,-10,0.1448703765256893,0.3369694500828715,0.399392952739832,0.4,121977.89317500003,1.5992898339140302,1983096.621333333,0,0.9999941738082045,1,0.7911042222588303,0.03939697089419834,3602371.2333333334,0.0811609619566592,70085803.5,0,((((3)+((x)*(9)))*((5)*((6)-(0))))*(((x)*(6))+((7)*((x)*(x))))),((((0)*((6)+(x)))*((x)+((0)*(9))))/(((0)/(x))-((1)/((x)/((x)+(x)))))),ReplaceBranchR|SkipD|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,SkipD,DivXD,27,28,29,29,5
29,(x),30,-10,0.14149396634603342,0.33921049841281353,0.3994697006399423,0.4,163453.6921482906,12.134407270185488,2432329.458666666,0,0.9999935960234578,1,0.7810137087235407,0.07451121911941841,4215995,0.19665583566473988,63762465.5,0,((((9)*(5))*((x)*((x)+(6))))*(((0)+(6))*((x)*((9)*(x))))),((((0)/((0)+(0)))+((7)*((9)+(x))))*(((6)/(x))/((x)/((x)+((3)-(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd|AddXD|AddTreeWithSub,AddTreeWithMult,DeleteTerminalR,29,29,30,30,5
30,(x),30,-10,0.12654633970431794,0.3469542587863262,0.39917117584233225,0.4,33247.377133333335,0.7893144116271708,381522.33599999995,0,0.999831853079947,1,0.5945760165729486,0.021876972112486542,303696.67666666664,0.0660335023868938,2428431.8333333335,0,((((4)*((2)*(0)))+((7)+((8)*(9))))*(((4)*(9))*((x)*((7)*(2))))),((((0)/(6))+((2)-(1)))/((x)/((x)/((x)+(x))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|AddTreeWithSub|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,30,30,31,31,5
31,(x),30,-10,0.10270305225156702,0.3301678865185461,0.3994313367406146,0.4,43900.131466666666,4.3270614549128394,596042.0626666667,0,0.9999587671096509,1,0.7974704594586022,0.040123734489776144,548269.0233333333,0.07526367328660392,9903097.5,0,((((4)-((5)+(7)))*((6)*((9)*(4))))*(((5)*(x))*((x)+((3)*(x))))),(((((3)*(0))*((1)*(0)))*(((5)-(2))+((7)*(2))))*(((0)-((0)/(0)))/(((1)/(x))/((x)+((0)-(2)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,31,31,32,32,5
32,(x),30,-10,0.12143302672715091,0.3174607114072731,0.39954015733161213,0.4,58454.65196666668,2.2722311463915217,883307.4453333336,0,0.9999798949088009,1,0.8156411335076289,0.04998998432378052,1029717.7199999997,0.10613552600544077,20309946.833333332,0,((((2)-((7)*(5)))*((8)*((4)+(7))))*(((x)*(8))*((x)*((x)+(0))))),((((0)/(x))-((1)+(7)))/((0)/((x)+(x)))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|SkipD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,32,32,33,33,5
33,(x),30,-10,0.13251391774438803,0.335399060233853,0.398747716765014,0.4,62337.646400000005,1.9528914441238623,1065174.5413333334,0,0.9999873138160761,1,0.8683440082559906,0.005993519236115698,1628906.15,0.012824450407661498,32187246.833333332,0,((((4)*((x)*(7)))*((9)*((8)+(9))))*(((8)*(5))+((x)*((x)+(1))))),((((9)+((5)+(9)))*(((0)-(6))*((8)+(4))))-(((0)/((0)/(0)))/((9)-((7)/((x)+(x)))))),ReplaceBranchR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,33,31,34,34,5
34,(x),30,-10,0.17690759335798753,0.34204989935170543,0.3994925866696224,0.4,103249.89536666666,2.8895941627020694,1620212.365333333,0,0.9999903546696622,1,0.9254504748380035,0.008566639567020244,2127796.88,0.02147050701779921,42334821,0,((((0)+((x)+(x)))*((3)*((4)*(x))))*(((9)*(5))*((3)-((x)*((x)*(x)))))),(((((5)*(1))+((7)+(6)))+(((0)*(0))-((x)*(8))))+(((3)-((6)*(0)))/(((0)/(x))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,34,32,35,35,5
35,(x),30,-10,0.1433098303062164,0.33403553344671044,0.39684328305438904,0.4,14188.453166666664,3.1102960047391575,167030.91466666668,0,0.999829891577057,1,0.6892407048732722,0.02462765016611409,138989.38666666666,0.09463958744974993,2400429.8333333335,0,((((3)*((9)*(x)))+((0)+((2)-(0))))*(((9)+(x))*((x)*((5)*(9))))),((((8)+((1)*(9)))*(((0)-(9))*((6)*(0))))+(((0)/(x))/((x)/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,35,35,36,36,5
36,(x),30,-10,0.1791277845150244,0.3466150044682654,0.39927428338492615,0.4,15408.423451984127,0.6944376220367429,186454.53233333334,0,0.9996902951259912,1,0.8679814195402491,0.026523021230108353,78292.13333333333,0.056747106758914076,1318459.5,0,((((5)+((5)-(4)))+((7)*((x)*(3))))+(((9)*(8))*((x)*((x)*(6))))),(((((2)+(2))*((0)*(0)))-(((0)*(9))+((6)-(0))))/(((0)-((3)/(8)))+((x)/((0)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,36,35,37,37,5
37,(x),30,-10,0.20980035950893414,0.32797470411156077,0.399049291413532,0.4,22625.013142379627,3.9074570807701083,192574.16719248347,0,0.9998503931271702,1,0.597287511645848,0.0501299184518319,499822.92666666664,0.09566379137938771,2729375.5,0,((((2)+((4)*(5)))*((7)+((6)-(7))))*(((x)*(5))*((6)*((4)*(x))))),(((((2)+(x))*((8)-(2)))-(((8)*(2))*((0)+((0)*(0)))))*((((x)/(0))/((0)+(5)))-(((x)/(x))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|DivXD|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|MultXD|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,37,35,38,38,5
38,(x),30,-10,0.21606573935916518,0.347565312020744,0.39865472087651666,0.4,67898.91710000002,2.8466844273423355,758929.4460000001,0,0.999969102105158,1,0.44143248988524,0.012822265264405814,1479542.3666666667,0.03154661762262391,13215571.333333334,0,((((7)-((x)*(8)))+((x)*((3)*(x))))*(((x)*(4))*((5)+((5)*(x))))),(((((0)-(x))*((6)+(4)))*(((0)*(4))*((3)+((7)-(8)))))+((((0)*(7))*((6)/(0)))/(((x)/(x))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|ReplaceBranchR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|SkipD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,38,38,39,39,5
39,(x),30,-10,0.23082329840586055,0.3317091684509431,0.3982832381740601,0.4,74831.57666666669,2.6775453685270634,803500.8786666666,0,0.9999782419106822,1,0.7441526845126603,0.046582276984754305,1445585.4033333333,0.10488085515079,18766966.5,0,((((x)-((6)*(5)))*((x)*((4)*(3))))+(((9)*(9))+((1)*((x)*(x))))),(((((8)-(4))+((0)-(0)))*(((6)+(4))*((3)+((x)*(0)))))+((((1)*(0))/((x)*(0)))/(((x)/(x))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,39,39,40,40,5
40,(x),30,-10,0.2220973995543722,0.34396527623881584,0.3966733123449234,0.4,188108.79922249,2.3351942202349427,1985339.191845466,0,0.9999874378361837,1,0.6094505807775221,0.026637870773060807,2254969.4983333335,0.0687841716735619,32505015.8,0,((((x)-((x)+(7)))*((6)*((9)*(x))))*(((2)*(6))+((5)*((x)*(x))))),(((((0)-(2))+((x)*(4)))*(((6)*(0))*((0)*((0)/(x)))))*(((6)-((0)/(x)))/(((0)+(9))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|ReplaceBranchXR,AddTreeWithMult,DivXD,40,40,41,41,5
41,(x),30,-10,0.2757116646809468,0.32466200566508036,0.39971413479979484,0.4,154460.52109999998,1.1399483826362868,1818482.264,0,0.9999822200693428,1,0.8579980869727248,0.0307386412458546,1184328.0483333333,0.05613251461206289,22965968.833333332,0,((((7)*((x)*(9)))+((7)*((5)-(4))))*(((6)+(8))*((7)*((8)*(x))))),(((((0)*(3))+((7)+(1)))-(((x)-(0))*((0)*((x)*(4)))))+((((0)/(x))*((x)/(0)))/(((x)/(x))/((4)-((4)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,40,41,42,42,5
42,(x),30,-10,0.27833941913307264,0.32491464141383203,0.39977124051015167,0.4,159303.1526666667,4.226056725880547,1603604.898,0,0.9999680249229568,1,0.8094890181921959,0.19534190372435967,1042205.9350000002,0.5489847340822821,12770362.766666668,0,((((8)+((0)-(x)))*((4)+((6)*(2))))*(((9)*(6))*((x)*((x)*(x))))),((((4)*((0)*(5)))-(((x)*(0))+((0)*(8))))+(((4)/(x))/((x)/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|MutateNonTerminalR|DeleteTerminalR|SubXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|MutateTerminalR,AddTreeWithMult,DivXD,42,42,43,43,5
43,(x),30,-10,0.28194628867114774,0.33895484197275616,0.39983324162663963,0.4,184582.01510000002,2.500199466902883,2012438.1493333331,0,0.9999727146953661,1,0.6060483873507643,0.04452720990306316,1436503.5116666665,0.1622736522668843,14965320.666666666,0,((((0)-((9)*(5)))*((5)*((3)*(x))))*(((6)+(4))+((7)*((x)*(x))))),(((9)-((x)+(5)))/((0)/((x)+(x)))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,43,43,44,44,5
44,(x),30,-10,0.2528806456247418,0.3289962328159226,0.36028068233039234,0.4,226844.40953333327,1.9278690625092971,2922837.3679999993,0,0.9999900108641433,1,0.6925989111965234,0,2728135.038333333,0,40877743.5,0,((((x)-((7)+(7)))*((2)+((7)*(9))))*(((9)*(9))*((x)*((6)*(x))))),(((((0)*(0))-((x)*(4)))+(((3)*(2))+((1)+(1))))*(((0)*((6)*(0)))/(((8)/(x))/((2)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|MutateTerminalR,MultXD,DivXD,44,44,45,45,5
45,(x),30,-10,0.2848110730101069,0.31600638394497504,0.39995626242262367,0.4,352434.2102333333,249.27863690201687,4555604.088000001,0,0.999992853153158,1,0.5984027211372528,0.027759366844344425,3449506.5266666664,0.08594048829213381,57134753.6,0,((((x)-((8)+(2)))+((2)*((9)*(9))))*(((x)*(3))*((x)*((x)*(x))))),(((((6)+(2))*((5)-(6)))-(((4)*(0))*((3)+(9))))*(((8)*((0)*(x)))/(((0)/(x))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,45,45,46,46,5
46,(x),30,-10,0.25933887303382586,0.32718073909427353,0.3998542815532575,0.4,178774.24176601318,1.5304420712288123,2008677.2759999996,0,0.999989425899772,1,0.4397213143505141,0.013826377577170137,2194132.9383333335,0.04383405301905032,38616366.833333336,0,((((x)+((0)*(6)))*((8)-((x)*(9))))+(((6)*(x))*((6)*((7)*(x))))),(((((0)+(0))-((x)*(4)))*(((4)*(0))*((0)*(x))))*(((0)/((x)/(9)))+(((x)/(x))/((3)-((3)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,46,46,47,47,5
47,(x),30,-10,0.2959570012129895,0.3276597930176331,0.3999293045392261,0.4,372025.2249,6.404119371721645,4757615.791333334,0,0.9999945939457489,1,0.6075478801966797,0,4279169.593333334,0,75532600,0,((((1)+((9)*(x)))*((x)-((4)+(x))))*(((x)*(5))*((x)*((5)*(x))))),(((((6)*(6))+((5)*(0)))+(((0)*(0))+((0)*(2))))*(((x)*((0)/(9)))-(((7)/(0))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,47,47,48,48,5
48,(x),30,-10,0.2693074280333031,0.3300206032284237,0.39992975216009347,0.4,257114.32079999996,1.7046748780414007,2819767.993333333,0,0.999989283247786,1,0.9296808937192886,0.022051546613843103,3149317.141666667,0.07607942333155801,38102339.7,0,((((0)-((3)+(9)))*((6)+((3)*(x))))*(((9)*(2))*((x)*((x)*(x))))),((((0)*((8)*(2)))+(((x)*(0))*((1)-(0))))*(((x)/((x)/(0)))/((x)/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddTreeWithAdd|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|MultXD|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,48,48,49,49,5
49,(x),30,-10,0.3313067943169312,0.35867379910732033,0.3999302016578671,0.4,243443.8182333334,0.74185073644555,2472154.8913333328,0,0.9999704516449189,1,0.6075811835208504,0.022051546613843103,1049912.5833333335,0.07607942333155801,13819156.166666666,0,((((2)-((7)*(4)))*((7)*((8)*(7))))+(((7)*(9))+((4)*((x)*(x))))),((((0)*((8)*(2)))+(((x)*(0))*((1)-(0))))*(((x)/((x)/(0)))/((x)/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|DivXD|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,DivXD,49,49,49,49,5
