gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.16193183909436035,0.4,0.3986085008702729,0.4,20648.622366666666,0,279360.9013333333,0,0.9998902448847172,1,0.638803755197345,0,216752.87833333333,0,3720403.6666666665,0,((((0)-((x)*(x)))*(((0)+(9))-((1)+(8))))*(((3)*(7))+((8)*((7)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,AddTreeWithSub,11,10,12,12,0
12,(x),30,-10,0.19810594801133966,0.38446105602206543,0.39931948626454333,0.4,32651.241421398823,0.25667340633544466,431172.7128333333,0,0.9998173310894135,1,0.770921321130824,0,232402.19000000003,0,2235374,0,((((x)*((6)+(8)))*(((x)-(0))+((0)+(0))))-(((x)*(x))+((3)*((7)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddTreeWithAdd|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,AddTreeWithAdd,12,11,13,13,0
13,(x),30,-10,0.20485559504914339,0.4,0.3990722821033723,0.4,17335.997633333332,0,191604.50333333336,0,0.9997626656250045,1,0.5491603012984257,0,131304.665,0,1720498.0666666667,0,((((7)+((9)-(9)))*(((5)+(6))*((x)*(x))))+(((1)-(8))*((3)*((x)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,13,12,14,14,0
14,(x),30,-10,0.2318986954923392,0.38599173450832047,0.39938095439406723,0.4,26400.315000000006,0.2332536348706026,304852.33666666667,0,0.9999237154727123,1,0.7131193897316713,0,282645.12500000006,0,5352767.433333334,0,((((x)*((7)-(0)))*(((x)+(8))+((9)+(0))))+(((7)-(x))*((x)*((x)+((0)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|DivXD|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,DeleteTerminalR,14,13,15,15,0
15,(x),30,-10,0.20363628784035648,0.4,0.398975615806843,0.4,88880.81539639444,0,1471238.6333333335,0,0.9999922346558447,1,0.5788336326320743,0,2686689.57,0,52584061.333333336,0,((((4)+((8)*(7)))-(((0)*(7))*((x)*(8))))+(((4)*(1))+((7)*((x)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|AddTreeWithMult|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithDiv|ReplaceBranchXR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,15,10,16,16,0
16,(x),30,-10,0.19971108489718628,0.38,0.3997487675960275,0.4,110250.93143333333,0.16333333333333333,1481068.6039999998,0,0.9999887414145933,1,0.814396672756908,0,2585662.7233333336,0,36268618,0,((((0)-((x)*(x)))-(((x)*(x))*((2)*(7))))+(((6)+(7))*((6)*((x)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|MultXD|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithDiv|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|DivXD|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DivXD,16,16,17,17,0
17,(x),30,-10,0.2343633178245825,0.38,0.39920801726864963,0.38,88447.52656798338,0.16333333333333333,1201631.1713333335,0.16333333333333333,0.9999702375114855,1,0.6748001566820583,0,980643.8099999999,0,13719730.9,0,((((0)+((0)+(2)))+(((1)-(x))*((x)-(x))))*(((x)-(x))*((3)*((x)*((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|MultXD|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DivXD,16,16,18,18,0
18,(x),30,-10,0.2744271988253066,0.4,0.3994453383366329,0.4,101123.35509623785,0,1274918.0033333332,0,0.9999824653776377,1,0.3192529016326137,0,2412277.685,0,23287261.333333332,0,((((x)*((8)+(9)))*(((8)+(0))+((3)-(x))))*(((x)*(4))+((8)*((8)+((x)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,DeleteTerminalR,18,17,19,19,0
19,(x),30,-10,0.28593659529942606,0.4,0.39860044435950504,0.4,48791.24289999999,0,574194.0320000001,0,0.9999355891770237,1,0.20083027943794557,0,479353.9533333333,0,6339514.3,0,((((2)+((5)*(3)))-(((9)*(2))+((3)-(x))))-(((x)*(6))+((x)*((x)*((x)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|SkipD|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithDiv|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|SkipD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,19,17,20,20,0
20,(x),30,-10,0.2795819155408349,0.4,0.3996997631202236,0.4,66240.92996666668,0,850448.75,0,0.9999514967760342,1,0.28148215208712063,0,676918.6016666667,0,8418684.366666667,0,((((7)+((5)+(1)))*(((x)-(9))+((8)*(x))))-(((x)-(x))*((4)*((9)*((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|AddRandomSubTreeR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,DivXD,20,19,21,21,0
21,(x),30,-10,0.29075435832467067,0.38294693877551017,0.39946446875307984,0.4,53441.25836666664,0.13926666666666665,595592.9360000002,0,0.9999570605307883,1,0.5775268001216661,0,967132.8483333333,0,9509510.5,0,((((7)+((3)*(x)))*(((5)*(7))-((0)+(x))))+(((9)-(x))*((x)*((x)*((x)+(7)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|AddToLeafR|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,AddToLeafR,21,21,22,22,0
22,(x),30,-10,0.304988806143217,0.38,0.39961478806036516,0.38,68029.74561945039,0.16333333333333333,730700.7440000001,0.16333333333333333,0.9999493360047087,1,0.39781363214279797,0,740428.77,0,8059635.466666667,0,((((8)+((8)*(x)))*(((0)+(x))+((7)-(x))))*(((4)*(7))*((5)+((5)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteTerminalR|AddTreeWithDiv|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,21,21,23,23,0
23,(x),30,-10,0.30291894630315075,0.4,0.3996524837103356,0.4,107962.41639999999,0,1220211.7706666666,0,0.9999831090767742,1,0.49020632987145696,0,2297919.7666666666,0,24174719.633333333,0,((((4)*((8)+(9)))*(((4)+(4))+((5)*(7))))*(((3)-(x))-((x)*((x)*((x)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteTerminalR|DeleteNonTerminalR|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,DeleteTerminalR,22,21,24,24,0
24,(x),30,-10,0.3143019079419098,0.4,0.3994622835950154,0.4,166428.98386666668,0,2488736.7780000004,0,0.9999950096217995,1,0.13249341154694588,0,4867729.885,0,81824125.73333333,0,((((x)-((0)*(8)))+(((9)+(x))*((6)+(8))))+(((x)*(x))*((8)*((x)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithSub|MultXD|AddToLeafR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,24,23,25,25,0
25,(x),30,-10,0.2940295398821113,0.4,0.39987397276975434,0.4,191993.90587361107,0,2571429.930666667,0,0.999989254651488,1,0.14806326675989384,0,3067963.4833333334,0,38000939,0,((((7)*((7)*(5)))*(((x)*(7))+((9)*(0))))-(((x)*(x))*((x)+((x)*((9)+(8)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|AddXD|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,AddXD|AddToLeafR|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,25,24,26,26,0
26,(x),30,-10,0.33263834974418977,0.4,0.39974993240220014,0.4,932327.9380666667,0,15495432.324666673,0,0.9999992324887707,1,0.10762634686292662,0,29257729.051666666,0,532022617.6333333,0,((((x)*((6)*(9)))+(((3)+(2))*((x)-(9))))*(((x)*(x))+((x)*((x)+((4)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|MultXD|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|DeleteNonTerminalR,DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|MutateTerminalR|DeleteTerminalR,MultXD,DeleteNonTerminalR,26,24,27,27,0
27,(x),30,-10,0.31942558494269924,0.4,0.3998626955389388,0.4,933093.3115741004,0,16010789.66377778,0,0.9999992154374038,1,0.4419638538213137,0,27282512.21666667,0,520459852.73333335,0,((((x)*((7)+(x)))+(((0)*(x))*((8)*(x))))*(((x)+(8))+((3)*((0)+((9)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,27,25,28,28,0
28,(x),30,-10,0.320974910071401,0.4,0.3993984070045345,0.4,421863.1307730159,0,4881665.762761904,0,0.9999955172609811,1,0.5707450518865862,0,6766848.840000001,0,91090141.9,0,((((6)+((8)*(6)))*(((3)*(9))*((8)*(7))))-(((2)+(x))*((x)*((x)+((x)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,28,27,29,29,0
29,(x),30,-10,0.337064509392034,0.38,0.39969266603819165,0.38,606833.8011999999,0.16333333333333333,7222635.430666668,0.16333333333333333,0.9999943302104687,1,0.4443981287916874,0,4811717.591666667,0,72019134.23333333,0,((((3)+((x)*(7)))+(((5)*(x))-((8)+(8))))+(((7)*(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|MultXD|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|SkipD|DeleteTerminalR|MutateNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteTerminalR,29,28,30,30,0
