A,P,AFinal,PFinal,AGen,PGen,count,run
SubXD,DivXD,SubXD,DivXD,0,0,0,5
AddToLeafR,DeleteMaliciousR,AddToLeafR,DeleteMaliciousR,0,0,1,5
DeleteMaliciousR,DeleteTerminalR,DeleteMaliciousR,DeleteTerminalR,0,0,2,5
MultXD,SkipD,MultXD,SkipD,0,0,3,5
MutateTerminalR,DivXD,MutateTerminalR,DivXD,0,0,4,5
ReplaceBranchR,DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,0,0,5,5
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,6,5
AddTreeWithAdd,DeleteMaliciousR,AddTreeWithAdd,DeleteMaliciousR,0,0,7,5
SkipD,AddTreeWithAdd,SkipD,AddTreeWithAdd,0,0,8,5
AddTreeWithMult,DivXD,AddTreeWithMult,DivXD,0,0,9,5
AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,DeleteMaliciousR,0,0,10,5
AddTreeWithMult,MutateTerminalR,AddTreeWithMult,MutateTerminalR,0,0,11,5
MutateTerminalR,DivXD,MutateTerminalR,DivXD,0,0,12,5
MultXD,AddXD,MultXD,AddXD,0,0,13,5
SkipD,AddTreeWithSub,SkipD,AddTreeWithSub,0,0,14,5
