gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.23438419715588718,0.28201608217693447,0.3985803927844634,0.4,25845.100197956377,1.7414393911910373,296946.8226666667,0,0.999904523508592,1,0.6182051944912837,0.223606797749979,309649.19666666666,0.4083333333333333,4276794.5,0,((((5)+((4)+(9)))+((8)*((4)*(5))))*(((5)*(6))*((1)-((8)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|MutateTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteNonTerminalR,11,11,12,12,7
12,(x),30,-10,0.23437875758340518,0.2975142241259628,0.39911128897360354,0.4,52987.457766666674,0.8594688465255441,917182.7746666669,0,0.9999879342235447,1,0.7317566921024451,0.3205031774670556,1699928.8866666672,1.0433333333333334,33842275.7,0,((((x)+((7)+(6)))*((x)*((6)*(8))))*(((2)*(1))-((4)*((x)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteNonTerminalR,12,12,13,13,7
13,(x),30,-10,0.23841564697726755,0.26654982989454246,0.3991520367083883,0.4,37223.749959984736,2.0184522713525284,477256.46800000005,0,0.9999136628041544,1,0.7534007257648463,0.4053694149897726,483346.85333333333,1.6131138557696008,4729518.133333334,0,((((x)*((8)*(6)))-(((x)+(8))+((5)+(2))))-(((9)*(8))*((3)*((x)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,13,13,14,14,7
14,(x),30,-10,0.24315396914106938,0.29181859948080724,0.3969747849451193,0.4,84961.6732,0.9972374900999003,1189800.3866666667,0,0.9999798507518047,1,0.3587974765557506,0.21539267048569413,1032383.5783333334,0.3933333333333333,20265437.666666668,0,((((6)-((4)+(7)))*(((9)*(6))-((1)*(7))))+(((7)+(3))*((9)*((x)*((x)*(x)))))),((((0)-((0)-(0)))-((x)-((0)*(x))))+(((0)/(6))/((0)+((x)/(x))))),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|AddTreeWithSub|DeleteTerminalR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteNonTerminalR,14,14,15,15,7
15,(x),30,-10,0.26901341029440795,0.3103082216594468,0.3978443716181526,0.4,136463.06573333335,2.160545325933544,1511302.5366666666,0,0.9999772928020788,1,0.4533408984975725,0.22360679774997905,2156118.261666667,0.4083333333333333,17982550.5,0,(((((0)+(6))+((8)*(0)))+(((x)*(9))+((x)*(2))))+(((x)-((0)*(4)))*((9)*((4)+((7)*(x)))))),((((0)-(0))*((0)*((7)-(x))))+(((0)/(0))+((x)*((3)/(x))))),ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,15,14,16,16,7
16,(x),30,-10,0.265738358340795,0.3216869625937325,0.39917944927103877,0.4,318973.6470333333,0.9165165764093769,4353115.8286666665,0,0.9999971997059275,1,0.6802453739269599,0.22360679774997896,7871239.241666667,0.4083333333333333,145818018.66666666,0,(((((7)*(6))*((4)+(9)))-(((x)-(2))*((9)+(5))))*(((9)+((x)+(2)))+((x)*((x)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,16,16,17,17,7
17,(x),30,-10,0.23639005276640643,0.3160209206706172,0.3984275803214326,0.4,72665.91493333333,0.7242405271995763,1029565.6940000003,0,0.9999781723784118,1,0.44918350234840954,0.21539267048569413,1045729.4049999999,0.3933333333333333,18707184,0,((((x)*((4)+(5)))+(((5)+(8))-((0)+(2))))+(((x)*((x)*(x)))*((9)*((x)*((5)+(8)))))),((((x)*(6))-((0)+(0)))/((0)+((x)/(x)))),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,17,17,18,18,7
18,(x),30,-10,0.27763485377791225,0.32216527090877245,0.399479263569837,0.4,50762.111486101945,1.9953921457857025,592136.1386666666,0,0.999971375126871,1,0.4083355776430065,0,790177.11,0,14264983.166666666,0,((((1)+((3)-(8)))*(((8)+(0))+((3)*(x))))*(((8)*((4)+(x)))*((8)-((2)*((x)*(x)))))),((0)+((x)/(0))),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,18,17,19,19,7
19,(x),30,-10,0.2904820720330591,0.3545488150721195,0.39972614560133735,0.4,93413.87005025533,0.3731632345599373,1047312.6344761905,0,0.9999715695736119,1,0.6620393275247949,0,930890.1983333332,0,14362546.933333334,0,((((x)*((4)*(6)))-(((3)+(7))*((x)+(4))))+(((8)-((2)+(9)))+((x)*((x)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,FellTreeD|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,19,19,20,20,7
20,(x),30,-10,0.2964189599275946,0.3505109180413514,0.3997094340768526,0.4,112602.18460439789,0.40888392638047755,1327483.3820012917,0,0.9999578218333988,1,0.6902146792715442,0,1110591.69,0,9681154.166666666,0,((((2)+((2)+(x)))*((7)+((0)-(3))))*(((x)*(5))*((x)*((x)*((7)*(2)))))),(((0)+((0)/(0)))+((x)/(x))),ReplaceBranchXR|SkipD|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MultXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,AddTreeWithSub|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR,MultXD,DeleteNonTerminalR,20,20,21,21,7
