A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithDiv,AddTreeWithDiv,AddTreeWithDiv,FellTreeD,0,0,0,2
FellTreeD,MutateTerminalR,FellTreeD,MutateTerminalR,0,0,1,2
MutateNonTerminalR,DivXD,MutateNonTerminalR,DivXD,0,0,2,2
DeleteNonTerminalR,AddTreeWithSub,DeleteNonTerminalR,AddTreeWithSub,0,0,3,2
DivXD,DivXD,DivXD,DivXD,0,0,4,2
AddTreeWithSub,AddRandomSubTreeR,AddTreeWithSub,AddRandomSubTreeR,0,0,5,2
ReplaceBranchR,DeleteMaliciousR,ReplaceBranchR,DeleteMaliciousR,0,0,6,2
AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,AddTreeWithMult,0,0,7,2
AddXD,DeleteNonTerminalR,AddXD,DeleteNonTerminalR,0,0,8,2
MultXD,FellTreeD,MultXD,DeleteMaliciousR,0,0,9,2
AddTreeWithAdd,SkipD,AddTreeWithAdd,DivXD,0,0,10,2
AddXD,AddToLeafR,AddXD,AddToLeafR,0,0,11,2
AddTreeWithMult,AddXD,AddTreeWithMult,AddXD,0,0,12,2
MultXD,AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,13,2
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,14,2
