gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.3407267788620173,0.12713539806506527,0.3996141348747529,0.4,147730.48593333332,20.938722077767785,2369356.874666667,0,0.999995323276284,1,0.43741290747595,0.5037600341406779,4483309.681666667,3.6251604549418017,87311835.83333333,0,((((0)+(8))+((x)*((x)*(x))))*(((x)-(x))*((x)*((x)*(x))))),(((5)/((0)*(4)))/((7)/(0))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,DeleteMaliciousR|AddXD|AddToLeafR|MutateNonTerminalR|FellTreeD|MultXD|AddTreeWithAdd|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub,MultXD,DeleteTerminalR,10,11,12,12,9
12,(x),30,-10,0.36939362847982204,0.13500807732232084,0.3997685199674855,0.4,209564.47266666658,2.5905201502703954,3338719.201999999,0,0.9999970304246064,1,0.6066433927313535,0.5755811998860865,7000786.608333332,3.9701305104761815,137505629.33333334,0,((((0)+(9))*((x)*((7)*(7))))*((x)*((x)*((x)*(x))))),((((0)*(0))/((0)+(6)))-((5)*((7)+((8)/(x))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|MutateNonTerminalR|MultXD|MultXD|AddTreeWithMult|MultXD,MutateNonTerminalR|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,12,12,13,13,9
13,(x),30,-10,0.34895190979918844,0.15028506337276581,0.39961435422399894,0.4,58757.02999474704,60.506725064162545,594646.2764261904,0,0.9999727629313359,1,0.006644056523716472,0.5055256660896587,828074.0633333335,3.6389250140634863,14991823.766666668,0,((((0)+(1))+((x)*((8)*(x))))*(((6)+(x))*((x)*((x)*(x))))),(((x)/(5))*((0)/(0))),AddTreeWithSub|AddTreeWithSub|DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|MultXD,DeleteMaliciousR|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv,MultXD,DeleteTerminalR,13,13,14,14,9
14,(x),30,-10,0.3310889679566381,0.15193451616869982,0.3986293935412904,0.4,101514.40063333337,12.908888674100977,1446317.1126666667,0,0.9999900894905572,1,0.44132942369191674,0.5015670222506671,2201789.3533333335,3.258498194921239,41202052.8,0,((((0)+(x))*((x)+((0)*(8))))*(((x)+(x))*((x)*((x)*(x))))),((((2)+(6))-((2)-((9)+(5))))/((3)*((3)/((0)/(0))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,14,12,15,15,9
15,(x),30,-10,0.3477615463409005,0.14678824839741636,0.39947244069048876,0.4,80590.6252,2.907256188361563,1049847.1166666662,0,0.999978720617072,1,0.018164505804427095,0.5036879733889807,1484778.275,3.6246816772910035,19189152.933333334,0,((((0)+((8)+(7)))*((4)*((7)*(7))))*(((5)+(x))*((x)*((x)*(x))))),(((0)*((0)*(0)))/((0)/((9)/(6)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|MultXD,DeleteMaliciousR|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv,MultXD,AddTreeWithDiv,15,14,16,16,9
16,(x),30,-10,0.3608356903835883,0.1711257200050903,0.3992550838195483,0.4,50042.9303,1.968451308672071,400683.9080000001,0,0.9998987832607706,1,0.45505297802578054,0.43493244540113873,339079.52,1.9983136234614165,4034247.066666667,0,((((0)+(1))-((x)*((6)+(7))))*(((x)+(x))*((x)*((x)*(x))))),(((0)*((1)-(8)))/((8)/((0)/(x)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,DeleteMaliciousR|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,DeleteTerminalR,16,16,17,17,9
17,(x),30,-10,0.36548932587313454,0.1535294645556303,0.3997300130889608,0.4,102726.16646666666,76.23346831255262,1179957.167333333,0,0.9999805724451626,1,0.44842359359361667,0.46916418870562515,1282772.5933333333,2.4443812015441266,21018256.633333333,0,((((x)*(0))+((9)*((8)+(7))))*(((x)+(x))*((x)*((x)*(x))))),((((3)*(9))-((1)/(x)))+((4)/((x)*((8)/(0))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|MultXD|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,17,17,18,18,9
18,(x),30,-10,0.3596711179429359,0.1562749673389689,0.3995920551221825,0.4,75888.29759999999,13.617557885943572,1009760.4373333332,0,0.9999766145842277,1,0.43909816126551887,0.47796247315561874,929704.8316666668,2.7858928369555125,17461025.166666668,0,((((0)+(x))*((5)+((2)*(8))))*((x)*((x)*((x)*(x))))),(((4)+((7)-(8)))/((1)*((9)/(0)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,DeleteMaliciousR|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,18,18,19,19,9
19,(x),30,-10,0.34910277052337385,0.13740971318811768,0.3971127165285675,0.4,161220.55010546296,33.515769045394755,2779717.4400000013,0,0.9999963622700945,1,0.04316981847897985,0.49531112737573996,5727190.526666665,2.8960193851649407,112249491.83333333,0,((((0)+(x))*((5)*((9)*(8))))*((x)*((x)*((x)*(x))))),((((4)+(7))-((4)/(0)))*((9)/((1)*((5)/(x))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,DeleteMaliciousR|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,19,19,20,20,9
20,(x),30,-10,0.3377790168798378,0.16057753712531123,0.39847251976965326,0.4,80710.97093333333,2.5122275846271465,1153456.3766666665,0,0.9999807482515013,1,0.02125935515345672,0.5511336142630153,1140142.27,4.033181919710799,21210194.666666668,0,((((0)+(8))+((x)*((x)*(4))))*(((x)+(x))*((x)*((x)*(x))))),((((1)/(2))-((4)+(4)))*((8)/((0)/((7)-(4))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,DeleteMaliciousR|AddXD|AddToLeafR|SubXD|AddTreeWithMult|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,20,20,21,21,9
