gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),30,-10,0.3635501765030634,0.15773791863713943,0.39971404200629274,0.4,97725.44221599042,177.90043231997913,1268939.3506666666,0,0.9999819553103448,1,0.07762079108487464,0.5397703264953831,1418116.6116666666,3.4069044153480106,22629002.833333332,0,((((9)+(1))+((9)*((x)*(2))))*(((4)*(x))*((x)*((x)*(x))))),((((6)/(6))+((3)-(7)))/((0)*((7)+((0)/(x))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddTreeWithDiv,21,21,22,22,9
22,(x),30,-10,0.3571550690906048,0.20701114593168493,0.39942512821347664,0.4,88923.70593333336,2.101392287202547,1263119.620666667,0,0.9999827686431307,1,0.10378528184086605,0.4406773716216743,1365038.8599999999,2.024820873579525,23697108.5,0,((((9)*(0))+((4)+((9)*(8))))*(((x)*(x))*((x)*((x)*(x))))),(((5)/((0)*(0)))/((1)+((3)/(x)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddToLeafR,21,22,23,23,9
23,(x),30,-10,0.36414171873599016,0.2025567488048575,0.3997388381822954,0.4,53350.70026777778,2.970521580834835,534692.0398333333,0,0.9999355550067005,1,0.45554174061496466,0.35717286969183815,396978.6416666667,1.1933333333333334,6336152.933333334,0,((((0)+(4))+((x)+((0)*(x))))*((x)*((x)*((x)*(x))))),((((1)*(6))/((5)-(0)))*((x)/((8)/(0)))),AddToLeafR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddToLeafR,23,22,24,24,9
24,(x),30,-10,0.3629519464933458,0.2088402341763392,0.399739223586739,0.4,101483.30313333335,2.287263511027015,1315506.446,0,0.9999730396576622,1,0.23429385223379043,0.3682672394645347,858361.8433333334,1.2314814814814814,15145702.833333334,0,((((2)+(8))+((x)*((8)*(2))))*(((3)*(x))*((x)*((x)*(x))))),((((9)/(x))+((0)*(0)))*((0)/((0)/(x)))),AddToLeafR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,24,24,25,25,9
25,(x),30,-10,0.3548473637289344,0.22498524033262995,0.3984728869814195,0.4,52198.04283333333,4.873107394556045,554909.0786666666,0,0.9999627335575032,1,0.0915970320741117,0.4025361166323465,631115.9483333334,1.6008333333333333,10957132.1,0,((((0)+(5))*((4)+((x)*(x))))*(((7)+(x))*((x)*((x)*(x))))),((((x)/(0))*((8)/(4)))-((x)-((3)/(0)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,25,25,26,26,9
26,(x),30,-10,0.34439721152860797,0.24657304330472915,0.399629237671814,0.4,52641.25546666667,1.2991794032982498,445674.2726666666,0,0.99989675745246,1,0.0219551625275057,0.40234653041271035,519744.65166666673,1.60063651531243,3955087.7333333334,0,((((8)*(9))+((x)-((1)*(9))))*(((x)+(x))*((x)*((x)*(x))))),(((0)*((8)*(0)))/((0)/(6))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|MutateTerminalR|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,26,26,27,27,9
27,(x),30,-10,0.36413333791178176,0.24503900987454486,0.39976430324574236,0.4,171349.64650000003,1.7091304964589908,2225416.2093333337,0,0.9999918646272973,1,0.4405541864983899,0.41306541244494605,3413081.9666666663,1.6441278465185196,50192332.7,0,((((0)+(5))+((8)+((9)*(x))))*(((x)*(x))*((x)*((x)*(x))))),((((2)*(5))/((9)/(3)))*((8)+((0)/(0)))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,27,27,28,28,9
28,(x),30,-10,0.3526482748600084,0.23567883845180662,0.3995464443647488,0.4,219924.2523666666,2.116991233500787,2260733.802666667,0,0.9999923081058393,1,0.44163043359238574,0.29919965610997545,4656047.515000001,0.7934886139259204,53086187.2,0,((((5)+(x))*((x)*((8)*(x))))+((x)*((x)*((x)*(x))))),(((0)/(8))*((4)/(0))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,28,28,29,29,9
29,(x),30,-10,0.3710503623682363,0.22777471559694512,0.39986714907158805,0.4,401860.37719999993,1.962800064629825,5193808.762,0,0.999996518188864,1,0.14282997688182747,0.46974277986484486,7049074.301666667,2.447573420268933,117276129.4,0,((((x)*(6))+((x)*(x)))*((x)*((x)*((x)*(x))))),((((1)/(9))/((0)+(5)))*((0)*((x)/(0)))),DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,29,29,30,30,9
30,(x),30,-10,0.36580850302184026,0.24159611987469884,0.39984140249448685,0.4,523138.79376666667,1.5904655118937172,6596485.028,0,0.9999971674636317,1,0.02083488535287944,0.3663475485325232,9063941.246666666,1.225,144158196.13333333,0,((((x)+(x))*((x)*((7)*(2))))*(((x)+(x))*((x)*((x)*(x))))),((((0)*(1))-((2)/(8)))-((9)/((0)/(0)))),AddToLeafR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,30,30,31,31,9
31,(x),30,-10,0.3244320289441945,0.22002484063727848,0.3603127094409647,0.37,355903.61476666684,279.64133974509326,4678771.759333333,0.32666666666666666,0.9999896883233005,1,0.44002976871723554,0.2847616806673507,4328358.846666667,0.7555555555555558,39599121,0,((((8)*(8))+((9)*((7)*(x))))*((x)*((x)*((x)*(x))))),((((0)*(8))/((0)*(0)))/((9)-((2)/(7)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,31,31,32,32,9
32,(x),30,-10,0.3648767154388534,0.24239035536567802,0.3997219845459597,0.4,218051.73806666664,2.0280839198113974,2793119.460666666,0,0.9999941009782647,1,0.43923053520888405,0.41039134083406165,4494501.9799999995,1.6333333333333333,69220516.83333333,0,((((9)*(6))+((6)*((7)*(4))))*(((x)*(x))*((x)*((x)*(x))))),((((2)/(6))-((3)*(0)))-((0)/((9)/(0)))),AddToLeafR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,32,31,33,33,9
33,(x),30,-10,0.3389591297702659,0.22545472164359054,0.3989879156502532,0.4,438835.23607200163,2.1951007903044712,5424046.935333334,0,0.9999965187250469,1,0.005485744320564946,0.455056755227055,7574858.319999998,1.8108333333333335,117294192.16666667,0,((((0)+(x))*((6)+((x)*(x))))*(((x)+(x))*((x)*((x)*(x))))),((((1)/(0))*((0)+(2)))*((3)/((0)+((3)/(0))))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|MultXD|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,AddTreeWithDiv,33,33,34,34,9
34,(x),30,-10,0.35606879212873016,0.24051755333814445,0.3998037852496031,0.4,134871.99871666665,4.001978159159112,1795889.596,0,0.9999914602616258,1,0.15917003928292395,0.36634754853252327,2519717.415,1.225,47815672.5,0,((((3)+(2))+((x)*((9)*(x))))*((x)*((x)*((x)*(x))))),(((4)*((0)-(3)))/((0)-(x))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddTreeWithMult|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,33,34,35,35,9
35,(x),30,-10,0.3663006806827116,0.267128573485921,0.39976743066861387,0.4,171236.63576666664,3.2964101592540134,2671216.3433333333,0,0.9999955456367775,1,0.3946282856413241,0.35929635406797245,4629914.621666667,1.2008508755884701,91670416.83333333,0,((((x)*(5))*((7)+((7)*(9))))*(((3)*(x))*((x)*((x)*(x))))),((((3)/(9))+((0)*(0)))/((1)-((1)/(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|ReplaceBranchXR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|AddRandomSubTreeR|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddTreeWithDiv,MultXD,DeleteTerminalR,34,35,36,36,9
36,(x),30,-10,0.3618053390307725,0.25049572359113265,0.3997395783737659,0.4,864278.0099000001,1.388885734608663,12014061.224000001,0,0.9999985847541526,1,0.000737997752191916,0.3631531121029612,18540456.873333335,1.2142054868148133,288524664.5,0,((((0)+(4))*((x)-((3)*(x))))*(((x)*(x))*((x)*((x)*(x))))),((((8)-(7))/((9)*(5)))/((0)*((0)/(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|MultXD|MultXD|MultXD|MutateNonTerminalR|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,DeleteTerminalR,33,36,37,37,9
37,(x),30,-10,0.37142340817221675,0.2648847719500301,0.3997492563676966,0.4,209797.044834359,1.7774696096590474,2910868.984000001,0,0.9999950423871949,1,0.07295071407547732,0.4106234220130609,4463417.505000001,1.634258115651555,82364910.16666667,0,((((8)*(x))*((2)*(x)))*((x)*((x)*((x)*(x))))),(((6)+((1)/(0)))/((0)/(x))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,MutateTerminalR,37,36,38,38,9
38,(x),30,-10,0.36258251437743494,0.23830503339139356,0.39989911975301695,0.4,253056.69330000004,14.404136895161265,2982669.6200000006,0,0.9999886683156225,1,0.44052117622774395,0.223606797749979,2345063.2316666665,0.4083333333333333,36034654.666666664,0,((((0)+(2))-((9)*((x)-(0))))*(((x)*(x))*((x)*((x)*(x))))),(((7)-((3)/(8)))+((0)/((0)/(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|DivXD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,MutateTerminalR,38,38,39,39,9
39,(x),30,-10,0.37493562528950186,0.27782039427284344,0.3999365075074618,0.4,1090390.3491000002,1.1078200258103177,17719868.568666667,0,0.9999987605968496,1,0.025076572459930106,0.3663475485325232,18692562.178333335,1.225,329459654.1666667,0,((((0)+(8))*((x)*((x)*(x))))*((8)*((x)*((x)*(x))))),(((6)*((6)*(2)))/((0)*((4)/(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,DeleteTerminalR,39,39,40,40,9
40,(x),30,-10,0.3497493717987659,0.28849032517461626,0.3998270900018116,0.4,465884.2772000001,0.9110053409387109,6546484.090666668,0,0.9999953831438696,1,0.5743782585355388,0.22360679774997907,4743759.54,0.4083333333333333,88444023.76666667,0,((((0)+(x))*((x)*((x)+(4))))*(((x)+(x))*((x)*((x)*(x))))),(((1)/((3)/(0)))+((0)/(x))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MultXD,AddRandomSubTreeR|AddXD|ReplaceBranchR|SubXD|FellTreeD|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,AddRandomSubTreeR,40,40,41,41,9
41,(x),30,-10,0.3548448874049139,0.2715651269043054,0.39992977932724644,0.4,337512.27123333333,1.0498707220153423,4198380.596666668,0,0.9999890868086951,1,0.03804312956832134,0.3656573312860052,2280659.7533333334,1.2226868900317456,37416491.833333336,0,((((0)+(4))*((2)*((9)+(6))))*(((x)*(x))*((x)*((x)*(x))))),(((7)+((8)*(2)))+((5)/((0)/(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|DivXD,MultXD,DivXD,41,40,42,42,9
42,(x),30,-10,0.370409392932913,0.27116136955839587,0.3999150551887249,0.4,571991.2756333334,1.0540231768767037,7964327.081333332,0,0.9999974419342151,1,0.7218960429907754,0.04749757856722222,8516534.693333331,0.10874999999999999,159625814.06666666,0,((((0)+(8))*((8)*((x)*(8))))*(((x)-(x))*((x)*((x)*(x))))),(((0)+(1))/((0)/(x))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|FellTreeD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,42,42,43,43,9
43,(x),30,-10,0.3788790410412622,0.28120131558496025,0.39993831022478515,0.4,321243.7115333333,0.9722017355513027,3848723.6459999993,0,0.9999896064845796,1,0.4403040785409871,0.03194382824999702,2554656.373333333,0.058333333333333334,39287316.833333336,0,((((0)+(7))*((8)+((2)+(8))))*(((x)*(x))*((x)*((x)*(x))))),((((3)/(2))-((8)*(1)))*((0)/((0)+(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|FellTreeD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,43,42,44,44,9
44,(x),30,-10,0.36606981230145463,0.29339437798610557,0.399932091425188,0.4,415841.5947207853,0.8742625707958044,4826300.911333335,0,0.9999963944637548,1,0.05208264824003341,0.00930292117737401,6776538.588333334,0.025530394116404155,113251762.16666667,0,((((0)-((8)+(2)))*((7)*((x)+(0))))*(((x)*(x))*((x)*((x)*(x))))),(((2)*((0)-(0)))/((1)/((0)+(x)))),DeleteMaliciousR|AddTreeWithSub|AddXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|FellTreeD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,FellTreeD,44,42,45,45,9
45,(x),30,-10,0.3654192582053368,0.3147847017410204,0.39977147030198124,0.4,325301.8153,1.6310658530367146,3585272.983333333,0,0.9999909056742434,1,0.6058126270186437,0,3191749.66,0,44899791.833333336,0,((((3)*(6))*((8)+((0)*(x))))*((x)*((x)*((x)*(x))))),((((4)/(0))*((0)/(1)))*((2)+((6)+(x)))),DeleteMaliciousR|AddTreeWithSub|AddXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,AddXD,45,44,46,46,9
46,(x),30,-10,0.3832918499679785,0.37901198756636717,0.3999557670891775,0.4,376894.6386,0.1824258843938521,4361145.204666667,0,0.9999940510263556,1,0.035254392865930545,0,4339696.619999999,0,68639291.03333333,0,((((0)+(8))*((9)*((x)*(3))))+(((1)*(x))*((x)*((x)*(x))))),(((0)*((0)+(9)))/((x)+(x))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,AddXD,46,46,47,47,9
47,(x),30,-10,0.3684495403437202,0.3784923855056196,0.39990480510960785,0.4,331945.65633333335,6.965821111421649,3565276.742,0,0.9999947118796554,1,0.013538065572630655,0,4551603.226666667,0,77217103,0,((((0)+(5))+((9)*((x)+(x))))*(((x)*(x))*((x)*((x)*(x))))),(((8)*(0))/((x)+(x))),DeleteMaliciousR|AddTreeWithSub|AddXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,47,47,48,48,9
48,(x),30,-10,0.3891514667119885,0.39156459974714714,0.39995658442451215,0.4,528790.5141884671,0.06888910206496494,6358488.815999999,0,0.9999960673189978,1,0.026114652170871756,0,6360645.723333334,0,103830779.33333333,0,((((6)*((9)*(6)))-((0)+((7)+(2))))*(((x)*(x))*((x)*((x)*(x))))),(((7)/((0)/(3)))*((7)*((6)+(x)))),DeleteMaliciousR|AddTreeWithSub|AddXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|ReplaceBranchR|FellTreeD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,48,48,49,49,9
49,(x),30,-10,0.3964897613507932,0.3967212978607766,0.39994982524954303,0.4,517968.5333,0.02677606747032505,5211122.935999999,0,0.9999865534344518,1,0.015523273010137149,0,2899796.13,0,30367109.866666667,0,((((3)-((x)*(9)))+((3)+((x)*(x))))*(((9)+(x))*((x)*((x)*(x))))),((((2)*(9))*((8)/(0)))*((8)/((x)+(x)))),DeleteMaliciousR|AddTreeWithSub|AddXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,49,49,49,49,9
