gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
21,(x),30,-10,0.3899798761656877,0.21366938775510202,0.399981168598209,0.4,1409558.5899333337,1.5216999999999996,15891343.302666662,0,0.9999975528913543,1,0.031738497543038105,0.4442616583193193,11756905.673333336,2.0416666666666665,166863589.83333334,0,((((3)*((4)*(6)))*(((6)*(8))+((5)*(x))))+(((9)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,21,21,22,22,6
22,(x),30,-10,0.3818372212140478,0.21099999999999997,0.3999851143661946,0.4,1856367.8783666668,1.5435000000000005,24468504.191333327,0,0.999999311044341,1,0.0050566561455502755,0.4442616583193193,37061192.501666665,2.0416666666666665,592684490.0333333,0,((((8)*((x)*(7)))+(((2)*(5))*((7)+(7))))*(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,22,22,23,23,6
23,(x),30,-10,0.3881325489764306,0.21871424708994186,0.399988470337323,0.4,2845113.707763048,1.4876378714178904,37921762.86399999,0,0.999999392248867,1,0.007006728942495116,0.47016234598162715,35028207.356666654,2.4499999999999997,671875890.0333333,0,((((x)+((7)*(3)))*(((7)+(9))*((8)*(4))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|FellTreeD|AddXD|ReplaceBranchR|SubXD|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,23,22,24,24,6
24,(x),30,-10,0.38869534737285233,0.1959291692504281,0.3999892354628237,0.4,2168780.613500884,2.4821671836959336,28479631.102242418,0,0.9999988667311996,1,0.09533889755618692,0.47016234598162715,19762390.755,2.45,360314634.26666665,0,((((9)*((x)+(2)))*((x)*((7)-(8))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,22,24,25,25,6
25,(x),30,-10,0.38185333150156126,0.179,0.39998230032092247,0.4,2504633.0943933395,1.8048333333333333,33081065.694666672,0,0.9999990543635882,1,0.04646209292026749,0.48936048492959283,29178379.84499999,2.8583333333333334,431807963.6333333,0,((((6)+((0)*(4)))*(((9)+(8))*((6)*(9))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|MutateTerminalR|MultXD|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,25,23,26,26,6
26,(x),30,-10,0.367087650091527,0.19299999999999998,0.3956379707236754,0.4,1204165.9719999998,1.6905000000000003,13578447.39266667,0,0.9999953168166288,1,0.005310590525542456,0.4442616583193193,6404743.098333334,2.0416666666666665,87191404,0,((((4)*((0)+(x)))*((x)*((x)-(x))))*(((2)-(9))*((8)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|AddTreeWithMult|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|FellTreeD|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,26,26,27,27,6
27,(x),30,-10,0.38908076289165805,0.19844475395858352,0.39998516842162046,0.4,1575256.3265666666,1.7919581083489848,22569227.747999992,0,0.9999992061374761,1,0.012654541722201828,0.48936048492959283,26935236.163333334,2.8583333333333334,514362778.2,0,((((9)*((9)*(2)))*(((9)*(x))*((x)-(x))))*(((4)+(5))+((9)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|FellTreeD|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,26,26,28,28,6
28,(x),30,-10,0.3907783149129843,0.17517470635647606,0.3999863826143736,0.37,6009103.511933334,2.220187967900113,97228035.75066663,0.32666666666666666,0.9999998497682945,1,0.005482595597821286,0.47016234598162715,138886692.63333333,2.4499999999999997,2718023682.0333333,0,((((8)+((0)*(x)))*(((x)*(6))*((5)+(6))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,28,26,29,29,6
29,(x),30,-10,0.3808219518010021,0.17300000000000001,0.39998635985937836,0.4,1668077.2300333327,1.853833333333333,18379720.400666665,0,0.9999987284019172,1,0.16055855568660163,0.4893604849295929,22645289.393333334,2.858333333333333,321118236.03333336,0,((((2)*((8)*(8)))*(((8)*(x))*((x)-(4))))+(((2)*(x))+((x)*((7)+((9)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,29,29,30,30,6
30,(x),30,-10,0.38136699002996155,0.1885300308055636,0.39998561441911945,0.38,2434163.994261716,1.7410880575813812,35112225.15199999,0.16333333333333333,0.9999993013675319,1,0.0070485857945465,0.47016234598162715,31602387.323333334,2.45,584475174,0,((((7)*((x)*(x)))-((x)*((x)*(6))))*(((9)*(1))+((4)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|FellTreeD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,AddToLeafR,DivXD,30,30,31,31,6
31,(x),30,-10,0.3446727414675322,0.199,0.36039085885481903,0.4,1589888.214666667,1.6415000000000004,18687050.176000003,0,0.9999990261016187,1,0.06995383705412811,0.4893604849295929,27710349.95,2.858333333333333,419277145.5,0,((((5)-((7)*(9)))*((x)+((7)*(x))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,31,31,32,32,6
32,(x),30,-10,0.3883583831214781,0.20999999999999996,0.39998046910439256,0.4,1170868.7717333331,1.5516666666666667,12288316.156000001,0,0.9999969855013904,1,0.025584706549328384,0.4893604849295929,9121578.201666666,2.8583333333333334,135456467.63333333,0,((((x)*((4)*(6)))*((4)*((4)+(5))))*(((8)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddTreeWithSub|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteTerminalR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|AddTreeWithMult|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,32,31,33,33,6
33,(x),30,-10,0.3808444471868199,0.1769477980812865,0.3999788196407171,0.4,885102.8064596555,5.54465782568939,10088826.811111111,0,0.9999980752199553,1,0.06994032534020504,0.4701623459816272,12869518.975,2.45,212145452.4,0,((((5)*((8)*(9)))+((6)+((x)*(x))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,33,33,34,34,6
34,(x),30,-10,0.3919505516276477,0.20000000000000004,0.3999795854691339,0.4,987992.1053000003,1.6333333333333335,10559254.948,0,0.9999963903006404,1,0.058394664633694325,0.4442616583193193,6638359.788333334,2.0416666666666665,113121147.4,0,((((8)+((9)*(3)))+((6)*((9)*(9))))*(((7)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,34,34,35,35,6
35,(x),30,-10,0.3837003008844746,0.18100000000000005,0.39998552797162595,0.38,3688472.393366667,1.7885000000000002,61251637.157333344,0.16333333333333333,0.9999998251079072,1,0.44147304251093467,0.4893604849295929,127298044.38833332,2.8583333333333334,2334772984.9,0,((((4)*((x)*(6)))*(((7)+(6))*((3)*(8))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|AddTreeWithMult,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,35,35,36,36,6
36,(x),30,-10,0.3423753463559806,0.1890592949440941,0.36037970220468735,0.4,1318858.629766667,2.8862693290220385,16772655.317999996,0,0.9999989506126853,1,0.09971608555428225,0.5026246899500346,20953506.133333333,3.2666666666666666,389115941.8333333,0,((((8)*((x)*(6)))+((6)*((x)*(x))))-(((x)*(7))+((6)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,35,35,37,37,6
37,(x),30,-10,0.38453473531275795,0.18500000000000008,0.3999383514089471,0.4,790053.8947999998,1.7558333333333331,7570251.229999998,0,0.9999945420046559,1,0.09641572201843078,0.47016234598162715,7837536.715000001,2.45,74813792.9,0,((((4)*((5)*(x)))+((x)*((6)*(x))))-(((x)*(0))-((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,37,37,38,38,6
38,(x),30,-10,0.3834571749162851,0.18240542248738215,0.3999686509370091,0.4,686877.0681333333,1.7836666666666667,7930456.616000002,0,0.9999969681846597,1,0.06997186448427266,0.4701623459816272,7580440.390000002,2.4499999999999997,134682784.9,0,((((x)*((5)+(7)))*((3)*((4)*(3))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,38,38,39,39,6
39,(x),30,-10,0.3867084893778559,0.20100000000000004,0.39995624281499675,0.4,821566.1307999999,1.6251666666666669,9465030.010666668,0,0.9999976688045128,1,0.013919147965313412,0.4701623459816272,12913255.593333334,2.45,175160485.5,0,((((x)*((8)*(x)))-((x)*((5)*(9))))*(((0)+(5))*((5)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|MultXD|AddXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,39,39,40,40,6
40,(x),30,-10,0.379681232288644,0.20899999999999996,0.399969863366748,0.4,596403.5134,1.5598333333333334,6260987.883333335,0,0.9999953493412816,1,0.07098865558045793,0.41039134083406165,4927240.1,1.6333333333333333,87801182.16666667,0,((((8)-((9)*(x)))*((x)*((2)+(0))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,40,40,41,41,6
41,(x),30,-10,0.38235344651464914,0.18018909715258996,0.399937830280908,0.4,756717.599828826,72.5754759187062,8854927.919999998,0,0.9999966094783515,1,0.09526341207738023,0.47016234598162715,6464771.551666667,2.45,120433778.53333333,0,((((2)*((x)*(8)))*((x)+((8)*(x))))-(((9)-(1))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteNonTerminalR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteNonTerminalR,41,41,42,42,6
42,(x),30,-10,0.3886247109810059,0.1956523053665911,0.3999674362806445,0.4,790317.4295666668,1.7056666666666669,8188556.9520000005,0,0.9999969699742967,1,0.16533285599968853,0.4893604849295929,7653412.028333334,2.858333333333333,134762333.16666666,0,((((2)-((4)+(6)))*((6)*((9)*(x))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,42,42,43,43,6
43,(x),30,-10,0.3832102490282081,0.20100000000000004,0.3999647195855831,0.4,508374.61800000013,1.6251666666666669,4980609.774666666,0,0.9999940907117427,1,0.006418699927217119,0.4701623459816272,6337943.968333334,2.45,69100256.33333333,0,((((5)-((x)*(x)))*((0)-((9)*(x))))-(((x)*(x))+((9)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|DeleteTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,42,43,44,44,6
44,(x),30,-10,0.3758012921941375,0.18899999999999997,0.3998563555795316,0.4,491222.6451994357,1.723166666666667,5170240.266666668,0,0.999995084462868,1,0.0700573430926418,0.47016234598162715,5380767.798333333,2.45,83069931.6,0,((((9)*((x)*(0)))-((x)-((x)*(6))))*(((6)*(8))+((5)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,44,44,45,45,6
45,(x),30,-10,0.3896013503919525,0.20799999999999996,0.3999604224645937,0.4,966304.1312999998,1.5680000000000005,9476221.043333333,0,0.9999941925485586,1,0.09693108398891191,0.47016234598162715,14288074.610000003,2.45,70311966.86666666,0,((((x)+((1)+(8)))*((9)*((x)-(8))))+(((0)*(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,44,45,46,46,6
46,(x),30,-10,0.37004804453354795,0.1952500943301368,0.3997985703615952,0.4,512649.48183333344,1.6725927786548107,4840374.304666667,0,0.9999933547060633,1,0.06989226942249398,0.4442616583193193,6426891.0649999995,2.0416666666666665,61446993.5,0,((((6)+((8)*(7)))*((5)-((7)*(8))))*(((x)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithSub|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,46,46,47,47,6
47,(x),30,-10,0.3872740392457132,0.2,0.39991308366160533,0.38,321220.9632580193,1.6333333333333337,2898950.1253333334,0.16333333333333333,0.999990299334773,1,0.08338235737785389,0.4442616583193193,2643994.3583333334,2.0416666666666665,42093333.166666664,0,((((1)-((9)*(x)))*((x)*((x)-(x))))*(((0)-(8))+((7)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|DeleteNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteNonTerminalR,47,46,48,48,6
48,(x),30,-10,0.3844631040134592,0.18600000000000005,0.3999017698323765,0.4,249541.11603333332,1.7476666666666671,2292613.3980000005,0,0.9999906459582792,1,0.06958239836993349,0.5026246899500346,3111916.835,3.2666666666666666,43653144.333333336,0,((((8)*((2)*(x)))-((x)*((1)-(7))))*(((x)*(6))+((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,MutateNonTerminalR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,48,48,49,49,6
49,(x),30,-10,0.3957795944949584,0.21299999999999994,0.3999236847026855,0.4,278522.795,1.5271666666666663,2813211.2586666667,0,0.999969628178818,1,0.008824137933160475,0.5026246899500346,1228587.7433333334,3.2666666666666666,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,48,48,49,49,6
