gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),30,-10,0.31802600690934896,0.19699999999999998,0.399837009305235,0.4,12176674.032366661,1.657833333333334,130086965.362,0,0.9999998960653762,1,0.44042863029492707,0.5026246899500346,317030447.10833335,3.2666666666666666,3928751735.8,0,((((9)*((5)*(5)))+((5)*((4)*(7))))*(((x)*(x))-((x)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|MultXD|MultXD|SubXD|MultXD|AddTreeWithMult|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,11,10,12,12,6
12,(x),30,-10,0.32461658039926644,0.19700000000000004,0.39993784227211315,0.4,3777060.302586622,1.6578333333333335,51307573.54066668,0,0.999999759503691,1,0.4426901341799527,0.47016234598162715,105253520.3,2.45,1697877755.4,0,((((x)+((5)*(x)))*((8)*((8)*(4))))-(((8)+(5))*((x)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|ReplaceBranchR|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,12,11,13,13,6
13,(x),30,-10,0.33995439575468417,0.21199999999999997,0.3998779896782376,0.4,4194137.2880999995,1.5353333333333332,52846886.09800001,0,0.9999996704525599,1,0.6093070631703779,0.4893604849295929,101224268.66499999,2.858333333333333,1239072993.8333333,0,((((9)*((7)+(7)))*((6)*((7)-(x))))*(((x)*(9))*((5)*((4)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,13,13,14,14,6
14,(x),30,-10,0.30834686615917056,0.185,0.39982364739172693,0.4,10573413.18059271,1.7558333333333334,176395123.36938885,0,0.9999999353193428,1,0.6073534868034269,0.4893604849295929,317682952.7333333,2.858333333333333,6313067167.433333,0,((((5)*((5)*(9)))+(((6)+(0))*((x)*(x))))-(((x)*(x))*((6)*((9)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,AddToLeafR,DivXD,14,13,15,15,6
15,(x),30,-10,0.3519696202787644,0.133275578602416,0.39997207774490634,0.38163265306122446,3307160.448033335,2.197833333333333,42615064.76066665,0.15,0.9999992204065246,1,0.44208533704855524,0.5026246899500346,53099719.31666668,3.2666666666666666,523777258.53333336,0,((((9)+((7)*(1)))+(((6)*(8))+((7)*(x))))-(((3)*(1))*((x)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,15,15,16,16,6
16,(x),30,-10,0.3261281666806351,0.18040545089756055,0.39992182856897074,0.4,2017821.0753666672,3.418902395479411,21874697.411999993,0,0.9999979145777491,1,0.7250765756090559,0.4442616583193193,31173556.983333338,2.0416666666666665,195803671.5,0,((((8)*((x)*(2)))+(((8)+(4))-((x)*(5))))*(((9)*(0))-((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|ReplaceBranchR|SkipD|MutateNonTerminalR|SkipD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithSub|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,16,15,17,17,6
17,(x),30,-10,0.35952333341064174,0.203,0.3999588543450716,0.4,3865420.4352351003,1.6088333333333338,55241257.98911112,0,0.9999995970007127,1,0.014575030742618084,0.48936048492959294,56829954.55166666,2.858333333333333,1013235869.9333333,0,((((3)+((9)*(7)))+(((x)+(6))*((9)*(9))))+(((8)*(x))-((x)*((x)*((x)*(x)))))),((0)/(0)),SkipD|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,16,16,18,18,6
18,(x),30,-10,0.33192416282714093,0.198,0.3603894457912186,0.4,3674428.15980442,1.649666666666667,56732911.577320926,0,0.9999992970223425,1,0.06986365929354697,0.4701623459816272,31510753.794999994,2.45,580862462.6666666,0,((((9)*((x)*(x)))*(((9)*(x))-((x)*(7))))+(((7)+(0))+((9)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,18,18,19,19,6
19,(x),30,-10,0.36014993985522437,0.17300000000000004,0.39998952300780594,0.4,1653095.6429929554,1.8538333333333334,18716568.646,0,0.9999943818483518,1,0.017508821738071487,0.5026246899500346,11174109.953333333,3.2666666666666666,72681080.7,0,((((8)*((x)*(9)))*(((4)-(6))*((x)-(x))))*(((2)+(5))+((6)+((x)*((x)*(x)))))),((0)/(0)),FellTreeD|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,19,19,20,20,6
20,(x),30,-10,0.3736233696548748,0.18899591836734694,0.3999882025189853,0.4,2277033.4847000004,1.7231999999999998,30910012.65266667,0,0.9999985915895487,1,0.01855839681701633,0.4442616583193193,15859169.49,2.0416666666666665,289924952.6,0,((((6)*((x)+(1)))+(((4)*(9))*((x)+(0))))+(((8)-(x))*((9)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,20,19,21,21,6
