A,P,AFinal,PFinal,AGen,PGen,count,run
AddToLeafX,AddTreeWithDiv,AddToLeafX,AddTreeWithDiv,0,0,0,0
AddToLeafX,AddToLeafR,AddToLeafX,AddToLeafR,0,0,1,0
AddToLeafR,DeleteNonTerminalR,AddToLeafR,DeleteNonTerminalR,0,0,2,0
ReplaceBranchXR,MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,0,0,3,0
FellTreeD,SubXD,FellTreeD,SubXD,0,0,4,0
SubXD,SubXD,SubXD,SubXD,0,0,5,0
AddTreeWithDiv,AddRandomSubTreeR,AddTreeWithDiv,AddRandomSubTreeR,0,0,6,0
AddTreeWithDiv,AddToLeafR,AddTreeWithDiv,AddToLeafR,0,0,7,0
AddXD,MultXD,AddXD,MultXD,0,0,8,0
ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,ReplaceBranchR,0,0,9,0
MutateTerminalR,DeleteTerminalR,MutateTerminalR,DeleteTerminalR,0,0,10,0
AddXD,AddTreeWithSub,AddXD,AddTreeWithSub,0,0,11,0
AddTreeWithAdd,FellTreeD,AddTreeWithAdd,FellTreeD,0,0,12,0
MutateNonTerminalR,AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,0,0,13,0
ReplaceBranchR,DeleteNonTerminalR,ReplaceBranchR,DeleteNonTerminalR,0,0,14,0
