stratNum,runTopAStrategy,runTopPStrategy,runFinAStrategy,runFinPStrategy
1,MutateTerminalR,ReplaceBranchXR,MutateTerminalR,ReplaceBranchXR
2,AddTreeWithMult,MutateTerminalR,ReplaceBranchR,MutateTerminalR
3,AddRandomSubTreeR,AddTreeWithMult,AddRandomSubTreeR,AddTreeWithMult
4,MutateNonTerminalR,DivXD,MutateNonTerminalR,DivXD
5,AddTreeWithDiv,SubXD,AddTreeWithDiv,SubXD
6,AddRandomSubTreeR,AddToLeafR,AddRandomSubTreeR,AddToLeafR
7,AddTreeWithMult,AddTreeWithDiv,AddTreeWithMult,AddTreeWithDiv
8,MultXD,AddTreeWithAdd,MultXD,AddTreeWithAdd
9,MultXD,MutateNonTerminalR,MultXD,MutateNonTerminalR
10,SubXD,AddTreeWithDiv,SubXD,AddTreeWithDiv
11,AddTreeWithDiv,MutateNonTerminalR,AddTreeWithDiv,MutateNonTerminalR
12,SkipD,AddTreeWithSub,SkipD,AddTreeWithSub
13,SkipD,ReplaceBranchR,SkipD,ReplaceBranchR
14,AddToLeafR,AddTreeWithMult,AddToLeafR,AddTreeWithMult
15,ReplaceBranchR,AddTreeWithMult,ReplaceBranchR,AddTreeWithMult
