gen,avgA,avgP,topA,topP,topADomStrat,topPDomStrat,topAStrategies,topPStrategies,topABirthGen,topPBirthGen,topADelta,topPDelta,topAEquation,topPEquation,spec,run
35,-0.5238041040080498,0.23203039604606845,0.006170642646520397,0.5884011346817468,MultXD,AddTreeWithSub,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,30,34,106522192.05555555,0,(((((((((((((6)+(3))*(x))*((x)*((9)*(8))))+(((x)-(x))*((x)+(7))))*(x))-(x))*((7)+((4)/(9))))*(x))+(x))-(x))*(x))-(x)),((((((((((5)*(4))+((1)*((6)+(2))))*(((7)/(((1)/(7))-(3)))*((2)*((x)+(7)))))*((((3)+(1))-(((3)+((x)*(3)))*((2)/(0))))*(((x)+(6))+((9)-((x)+((x)-((x)-((1)-(5)))))))))-(x))+(x))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
36,-0.20401151234483286,0.31045001417599366,0.10465937011684838,0.6131858486494771,MultXD,AddTreeWithDiv,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,35,34,4223547.5,0,(((((((((((((8)/((4)/(6)))*(x))*((x)+(7)))+((2)*(((0)/(6))*(7))))*(x))-(((0)+(7))+(6)))*(x))*(x))+(x))-(x))*(x))-(x)),((((((((((8)*(2))+(((7)*(5))*(x)))+(((7)*((2)-(4)))/((5)-(((6)/(6))+(4)))))*(((9)-((9)*((1)+(x))))*(((9)/(7))-(((x)-(6))*(((4)+(x))-(x))))))-(x))+(x))+(x))/((5)/(7)))-(x)),5*x*x*x+2*x+7,4
37,-0.49840852987729983,0.24521215535040042,-0.31902058048682996,0.4670396712722047,MultXD,AddTreeWithDiv,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|MutateTerminalR|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,36,36,82899743.725,0,(((((((((((((3)*((x)+(6)))*(x))*((x)*(x)))+(((x)/(4))*(((2)/((8)+(3)))+(7))))*(x))-(x))*(x))*(x))+(x))-(x))*(x))-(x)),(((((((((((4)+((3)+(4)))*(8))+((2)*(2)))/(((0)/(8))+((7)-(((0)-(3))-(4)))))/(((6)*((x)+(5)))*(((4)+((6)/(7)))-((x)*((x)-(x))))))-(x))+(x))+((4)*((6)/(0))))/(x))-(x)),5*x*x*x+2*x+7,4
38,-0.41577293012679095,0.2824570405513047,0.08938256632449931,0.4927245298543144,MultXD,MutateNonTerminalR,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,36,37,11090815.195353538,0,(((((((((((((7)/((x)+(2)))*(x))*((x)*(x)))+((2)*((x)+(7))))*((x)+((9)-(9))))-((8)/(8)))*(x))*(x))*(x))-(x))*(x))-(x)),((((((((((x)-(7))+((2)*(8)))/((((3)+(5))+(9))*((((4)+(7))-(5))*(x))))-((((7)+(8))/((0)*(x)))*((((2)/(6))+(x))-((x)*(((2)*(4))-(x))))))-(x))+(x))+((1)/(0)))/(x))-(x)),5*x*x*x+2*x+7,4
39,-0.6031086233865282,0.3079233768963329,-0.32195855490736824,0.7871765990691397,MultXD,AddTreeWithSub,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,36,37,62920262.77573232,0,((((((((((((((1)/(1))+(6))*(x))*(((6)*(3))*(x)))*((2)*((x)+(7))))*(x))-(x))*(x))*((7)/((1)+(x))))+(x))-(x))*(x))-(x)),((((((((((5)+(x))*((x)*(((2)-(3))+(5))))+(((2)*((1)+(6)))+((4)*((4)/((0)+((3)/(3)))))))+((((0)/(0))-((x)*(2)))-(((3)*((9)-(0)))*(((1)/(2))-((x)*((x)-(x)))))))-(x))+((4)*(4)))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
40,-0.19759811743893993,0.2876837016597115,0.21104275691962715,0.6301250422767081,MultXD,AddXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,39,39,16877744,0,((((((((((((5)*(x))*((x)*((6)+(1))))+(((x)*(x))*((x)+(7))))*(((5)+(7))+(3)))-((2)/(2)))*(x))*(x))+(x))-(x))*(x))-(x)),((((((((((8)+(6))+((8)/(5)))*(((7)+((x)-(1)))+((7)*(((5)/(7))-(0)))))*(((3)*((7)*((2)/(0))))*((((4)*(9))+(x))-((x)*((x)-((1)-(6)))))))-((2)+(8)))+(x))+(x))/((9)*(8)))-(x)),5*x*x*x+2*x+7,4
41,-0.44743748759933094,0.4471320991149395,-0.1360698989620488,0.5798322986919454,MultXD,AddXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,40,40,2529700.65,0,((((((((((((5)*(x))*(((5)/(2))*(x)))+((6)*(4)))*(x))-(x))*(x))*(x))+((3)/(x)))-(x))*(x))-(x)),((((((((((5)*(6))+(((6)+(5))*((x)*(x))))+(((4)/((8)*(0)))+((x)+((x)/(9)))))*((((x)-(((5)+(0))-(9)))+((1)+(3)))*((((3)/(3))*(x))+(((0)*(7))-((x)-((x)-(x)))))))-(x))+(x))+(x))/((x)/(6)))-(x)),5*x*x*x+2*x+7,4
42,-0.578765857812183,0.29716206407516227,-0.3110325868684472,0.39325460819765085,MultXD,MutateNonTerminalR,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,40,41,14833918.7,0,((((((((((((5)*((7)+(8)))*((x)*(x)))+(((7)-(7))*((x)+(7))))*(x))-(x))*((6)/(6)))*(x))*(x))-((4)+(5)))*(x))-(x)),((((((((((5)*(x))*((8)/((9)+(8))))*((((3)-(6))*(6))/((5)+((7)+(4)))))*((((((8)/(0))-(x))-(x))*((2)+(2)))*(((x)-((8)-(9)))-((x)*((x)-((9)*(1)))))))-(x))+((8)/(2)))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
43,-0.3440067054783765,0.4302459894432415,-0.13026815759968824,0.7125796464443058,MultXD,AddTreeWithSub,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,40,40,2441354.4,0,((((((((((((5)*(x))*((x)*((1)-(4))))+((2)*((((4)/(2))+((4)+(9)))*(7))))*(x))-(x))*(x))*(x))+(x))-(x))*(x))-(x)),(((((((((((x)-(5))*(4))/((2)+((4)+(4))))*(((x)+((7)-(2)))*(((x)*(4))/((8)+(7)))))*((((8)+((5)/(8)))-((0)*((5)*(4))))*(((x)*(x))+(((4)-(7))*((x)*((x)-(x)))))))-(x))+(x))+(x))/((0)/(6)))-(x)),5*x*x*x+2*x+7,4
44,-0.4404495864135071,0.15624586769160057,-0.11062910890470005,0.5829586637710344,MultXD,SubXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,42,43,275485.8,0,(((((((((((1)-(9))+(((2)+(1))*((x)+((3)/(x)))))*(x))-(x))*(x))*((x)*(6)))+(x))-(x))*(x))-(x)),((((((((((5)*(x))*(((5)/(0))*((2)/(5))))+((((2)+(3))+(4))*(((0)-(6))*((4)*(x)))))-(((((9)*(8))*(x))-(((4)-(8))*(2)))/(((3)+((4)-(4)))+((2)-((x)*((x)-(x)))))))-(x))+(x))+(x))/((0)/(9)))-(x)),5*x*x*x+2*x+7,4
45,-0.3673334913329163,0.12955312377026615,-0.06643483811502822,0.31557506575156075,MultXD,AddXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,43,44,395799441,0,((((((((((((5)*((3)+(4)))*((x)*((8)*(6))))*((2)*((((9)/(6))/(2))+(7))))*(x))-(x))*(x))*((1)+(5)))+(x))-(x))*(x))-(x)),((((((((((8)-(4))+((6)/(5)))+(4))*(((5)-((2)+(6)))-(x)))-(x))+(((7)/(0))*(5)))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
46,-0.2537236714499715,0.31115438673991525,0.19499564059985533,0.7102146701663471,MultXD,AddXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,43,44,681520,0,((((((((((((5)*(((x)+(3))/(5)))*((5)*(0)))+((2)*((x)+(7))))*(x))-(x))*(x))*(x))+(x))*(x))*(x))-(x)),((((((((((6)-(x))+(((1)/(3))*(((3)-(x))-((x)+(7)))))+(((7)*(3))/((0)*((x)*(4)))))/(((9)*(((2)/(2))*(x)))+((((0)*(8))+((8)+(4)))+((6)*((x)-(x))))))-(x))+(x))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
47,-0.3910844393578868,0.3711233325415972,0.24678607813788178,0.7265609260248357,MultXD,MutateNonTerminalR,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,46,46,14221910.819999998,0,(((((((((((((9)/((6)/(8)))*(x))*((((8)*(0))+(6))*(x)))+((2)-((x)+((3)/(5)))))*(x))-(x))*(x))*(x))+(x))-(x))*(x))-(x)),(((((((((((8)/(4))*(x))*((x)*((x)+(x))))/((((0)/(5))*(6))*((5)-((x)+(9)))))/((((9)+(((6)*(7))+(7)))+(((6)*(0))/((8)-(6))))*(((9)+(2))+((x)-((x)*((x)-((5)-(3))))))))-(x))+(x))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
48,-0.4390122275335336,0.3850729079939466,0.23870001292594856,0.6974371398475601,MultXD,AddTreeWithSub,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,46,46,159268357.2,0,(((((((((((((2)+(9))*(x))*((x)*((8)/(1))))+(((8)/(x))*(((4)-(3))+(7))))*(x))*(x))*(x))*(x))+((4)+(x)))-(x))*(x))-(x)),(((((((((5)*(2))-((6)+((7)-(3))))*((x)-((x)+((1)+((7)/(9))))))+((3)/(0)))+(x))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
49,-0.5896369542162334,0.28146118017070865,-0.23199915986258932,0.5468288970820824,MultXD,MutateNonTerminalR,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,46,46,1325834,0,((((((((((((((0)+(5))/((1)/((6)/(3))))*(x))*(((2)+(4))*(x)))+((2)*((4)+(0))))*(x))-(x))+(x))*(x))+(x))-(x))*(x))-(x)),(((((((((3)*((0)/(0)))*(((3)+(5))-(7)))-((9)/(8)))-((4)+(8)))+(x))+(x))/(x))-(x)),5*x*x*x+2*x+7,4
50,-0.4730310317202067,0.3462735879047773,-0.23199915986258932,0.5468288970820824,MultXD,SubXD,MultXD|AddTreeWithDiv|SubXD|MultXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|AddTreeWithDiv|SubXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SubXD|ReplaceBranchR,AddToLeafR|AddTreeWithSub|AddTreeWithSub|SubXD|AddTreeWithAdd|MutateNonTerminalR|AddXD|AddXD|MutateNonTerminalR|DivXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithDiv|SubXD|SkipD,46,46,1325834,0,(((((0)+(5))/((1)/((6)/(3))))*(((x)*(2))+((4)*((x)+(2)))))*((((4)+(0))*((x)-(x)))+(((x)*(x))+((x)-((x)*((x)-(x))))))),((((3)*((0)/(0)))*(((3)+(5))-((7)-(9))))/(((8)-((4)+(8)))+((x)+((x)/((x)-(x)))))),5*x*x*x+2*x+7,4
