gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.015211484626444354,0.015630112594596835,0.01999999999564672,0.02,232258558.60785004,0.026070877442016013,22971171646.12,0,1,1,0.4866333460957481,0,216686079631339800000,0,21667766665394736000000,0,(((((((8)*(x))*((8)*((7)*(5))))*(((3)-(8))-((3)*((1)-(4)))))+((((9)*(6))*((9)*((9)-(9))))+(((6)+(3))+((3)+((6)*(1))))))*(((((5)*(3))*((6)*((9)*(5))))*(((2)+(6))+((5)+((7)*(x)))))+((((6)-(8))*((5)*((7)*(2))))*(((7)*(5))*((9)+((6)*(x)))))))-((((((1)+(4))+((2)*(x)))*(((9)*(7))*((5)-((4)+(1)))))*((((2)-(6))*((5)+((5)*(x))))+(((2)+(3))+((0)+((x)+(x))))))+(((((7)+(x))-((x)+((1)*(9))))*(((7)*(2))+((6)+((6)+(5)))))+((((7)+(x))+((4)+((x)+(4))))+(((1)+(0))-((5)+((6)*((2)-(4))))))))),((0)+(x)),AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|SubXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|FellTreeD|MultXD|MultXD|SubXD|FellTreeD|FellTreeD,AddToLeafR,AddTreeWithDiv,8,9,12,12,3
12,(x),20,-10,0.01656081993818525,0,0.01999999814301162,0.02,1469595.97979,0.1,53850633.21,0,1,1,0.4541593759182179,0,1246832448759652700000,0,124679878119527100000000,0,(((((((9)+(2))+((7)+((8)+(0))))+(((2)+((9)+(5)))*((7)+((8)*(3)))))-((((0)+(3))-((0)*((4)+(6))))+(((9)-((1)*(5)))*((7)*((3)*(3))))))*(((((3)*(5))-((0)*((6)*(1))))-(((0)*((x)*(2)))*((2)*((6)+(7)))))-((((1)*(3))*((5)+((2)*(7))))*(((9)*((6)+(9)))-((8)*((8)-(x)))))))+((((((1)*(8))*((2)*((8)-(3))))+(((x)+(3))+((3)+((7)+(2)))))+((((2)+(3))+((0)-((x)*(8))))+(((2)*((7)+(x)))-((1)+((6)+(9))))))*(((((2)*(9))*((1)*((4)*(9))))*(((5)*(6))*((4)*((2)*(2)))))+((((3)*(4))*((8)+((x)+(1))))+(((9)+((9)+(6)))+((x)+((0)*((1)+(0))))))))),((0)+(x)),MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult,SubXD|DivXD|MultXD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddXD|SkipD|SkipD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,11,12,13,13,3
13,(x),20,-10,0.015632439064588735,0.008891553577851723,0.01999999886485308,0.02,1215796.7857300004,0.13539267467527494,88094323.49,0,1,1,0.4291878108368591,0,432888159050514700000,0,43288793856341070000000,0,(((((((x)*(x))*((9)*((4)+(6))))+(((4)*((5)+(3)))-((8)*((1)*(8)))))+((((5)+(6))*((6)-((0)*(8))))*(((5)-((1)*(2)))-((6)+((3)-(x))))))-(((((3)+(2))+((8)*((3)*(2))))-(((6)*((x)*(1)))-((8)*((5)*(5)))))*((((2)*((1)*(9)))*((9)*((8)+(7))))*(((6)-((x)+(1)))+((9)+((3)+(x)))))))+((((((2)+(6))+((2)+((3)+(6))))*(((5)+(4))*((x)*((1)-(8)))))*((((6)+(4))+((x)+((5)+(5))))+(((3)+((9)+(9)))+((x)*((8)+(4))))))+(((((3)-(5))-((0)+((6)*(5))))+(((9)+((2)-(3)))+((0)+((3)*(7)))))*((((1)*(3))*((9)*((x)*(9))))*(((5)+((2)+(7)))+((3)+((8)*((0)-(5))))))))),((0)+(x)),MutateTerminalR|AddToLeafR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|AddToLeafR|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|FellTreeD|AddXD|MultXD|SubXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,11,11,14,14,3
14,(x),20,-10,0.015823422677366545,0.02,0.019999999804066904,0.02,7904459.093710001,0,510378299.28,0,1,1,0.473679084572071,0,31466060885495865000,0,5146355091030710000,0,(((((((1)+((x)*(0)))+((3)-((6)*(9))))*(((0)*((0)*(1)))-((5)+((8)-(4)))))*((((7)-((8)*(0)))-((7)*((5)*(2))))*(((x)*((4)+(4)))+(((x)+(1))+((2)+(6))))))+(((((0)+((8)+(2)))*((7)+((6)*(1))))+(((7)-((7)-(x)))-((5)-((3)-(2)))))-((((6)-((7)-(0)))-((x)-((2)*(x))))*(((x)+((2)*(6)))*(((5)-(3))+((8)+(4)))))))+((((((1)*((2)*(5)))*((x)+((0)+(2))))+(((x)+((9)+(7)))+((9)+((2)+(3)))))*((((5)*((7)+(3)))-((2)+((0)*(5))))*(((2)+((3)*(5)))-((5)-((9)-(5))))))+(((((x)+((4)-(6)))+((3)-((3)-(9))))*(((2)+((0)-(3)))+((x)-((2)*(2)))))*((((3)*((5)*(3)))*((8)*((3)*(1))))*(((5)*((8)*(2)))-((0)*((4)*((3)-(0))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub,SubXD|DivXD|MultXD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|FellTreeD|AddXD|SubXD|SkipD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,14,12,15,15,3
15,(x),20,-10,0.018029174740704416,-0.01,0.019999999979937618,0.02,112557522.13297999,0.2,4984453505.214001,0,1,1,0.49876635526471214,0,8226647204517262000000,0,819921071586620700000000,0,(((((((x)+(7))-((8)-((3)-(7))))+(((7)+(3))-((1)-((9)-(6)))))-((((0)-(1))*((4)-((x)*(9))))*(((0)+((x)-(4)))-((3)-((2)-(1))))))*(((((8)-(3))*((6)*((x)-(2))))+(((6)+((2)-(5)))+((8)*((8)*(5)))))-((((6)*(8))*((9)*((5)+(5))))*(((x)-((3)-(6)))-((6)-((5)-(1)))))))-((((((x)-(1))-((7)*((5)*(5))))*(((8)*(6))*((7)*((3)+(x)))))+((((5)-(1))-((4)-((2)+(9))))*(((8)*((x)*(3)))+((4)*((9)+(9))))))-(((((1)*(7))*((9)-((4)*(6))))*(((8)-(8))+((9)+((4)+(4)))))-((((1)+(3))*((5)*((x)-(0))))*(((1)+((4)+(4)))-((9)*((0)-((7)-(8))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithSub,AddTreeWithDiv|DivXD|FellTreeD|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|DivXD|AddTreeWithDiv|SubXD|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,15,14,16,16,3
16,(x),20,-10,0.01654248147648253,0.02,0.01999999741848948,0.02,1395139.2182900002,0,38737010.475999996,0,1,1,0.5034151345736702,0,1480369589267912700000,0,147943103007916330000000,0,(((((((x)+((6)-(7)))-((4)-((1)+(x))))*(((3)*((5)+(8)))+(((5)+(8))+((3)+(x)))))+((((3)+((1)*(9)))*((9)*((9)-(2))))+(((1)+((3)*(6)))*(((5)*(2))*((8)*(0))))))-(((((9)-((1)-(6)))*((6)-((2)*(x))))+(((6)*((9)*(x)))+(((9)+(9))+((2)*(6)))))+((((5)*((6)*(7)))+((8)+((1)*(7))))+(((3)*((x)-(5)))*(((0)+(1))+((5)+(5)))))))+((((((0)*((3)*(2)))-((7)+((0)*(4))))*(((1)*((x)*(0)))-((3)+((9)+(x)))))+((((0)-((1)*(x)))+((2)-((7)-(3))))+(((5)-((4)*(5)))+(((x)*(9))-((0)+(0))))))*(((((2)-((9)*(4)))-((6)+((1)*(7))))+(((5)-((2)+(3)))-((0)*((2)+(2)))))+((((5)+((4)*(1)))*((4)+((x)+(2))))+(((3)+((8)*(5)))*(((9)*(x))-((2)-((x)+(9))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|FellTreeD|SubXD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,12,12,17,17,3
17,(x),20,-10,0.01711233366177133,0.008826725178744929,0.01999999957088378,0.02,5339590.3005800005,0.1650673807511038,233037100.81,0,1,1,0.4024593949350164,0,27275521702199910000000000,0,2727551657580931000000000000,0,(((((((0)-((3)*(7)))*((x)*((1)*(9))))*(((7)*((5)*(x)))-((9)-((9)-(x)))))-((((4)-((6)-(6)))-((2)*((9)-(5))))-(((8)*((4)+(5)))*(((3)+(x))*((8)-(0))))))*(((((0)-((0)+(1)))+((3)+((5)*(4))))*(((9)*((2)*(x)))-((5)*((x)-(5)))))*((((1)+((2)*(1)))*((9)*((0)-(1))))*(((4)*((9)-(5)))+(((5)-(4))-((8)*(2)))))))*((((((x)*((4)*(4)))+((9)-((5)*(x))))+(((3)-((x)+(8)))*((9)-((2)*(7)))))+((((x)*((8)+(8)))+((8)-((7)+(9))))*(((6)*((8)+(6)))+((5)+((4)+(1))))))+(((((5)+((6)+(9)))-((2)*((1)-(4))))+(((x)*((9)*(3)))*((1)-((0)+(9)))))+((((x)+((2)+(0)))+((2)+((8)+(8))))*(((3)-((3)+(5)))*((7)-((7)+((7)*(8))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|DivXD|AddXD|SubXD|AddXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,17,16,18,18,3
18,(x),20,-10,0.015498268871981255,0,0.019999999486534803,0.02,2832988.2319900002,0.1,194755166.78,0,1,1,0.4206502323178055,0,76279281968729340000,0,7627922843176990000000,0,(((((((x)*((8)*(9)))*((2)*((4)-(4))))*(((0)-((3)+(3)))*((5)*((5)*(x)))))*((((7)*((7)*(4)))*((6)+((6)+(8))))+(((6)+((7)+(3)))+(((0)+(3))+((8)-(4))))))*(((((3)-((1)*(x)))-((9)+((0)+(5))))+(((1)+((8)+(7)))+(((3)+(5))+((2)*(x)))))*((((x)+((1)-(9)))*((x)*((6)+(9))))*(((9)+((x)*(4)))-(((4)+(9))*((9)+(6)))))))*((((((1)-((4)-(3)))+((5)-((7)-(2))))*(((2)-((6)+(8)))+((6)+((8)+(6)))))+((((8)+((4)+(8)))+((9)+((1)*(7))))*(((3)*((1)+(3)))*((7)+((6)*(x))))))*(((((8)+((0)*(0)))-((9)-((7)-(1))))*(((9)-((2)+(2)))-((4)*((3)*(5)))))+((((3)-((9)*(2)))-((5)*((7)-(8))))*(((2)-((9)*(6)))-(((7)-(2))+((5)+((4)+(0))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,SubXD|DivXD|MultXD|AddXD|AddTreeWithDiv|DivXD|AddXD|AddTreeWithDiv|MultXD|FellTreeD|SubXD|MultXD|SubXD|FellTreeD|AddXD,AddToLeafR,AddXD,18,17,19,19,3
19,(x),20,-10,0.014679978396821456,0,0.019999999991700684,0.02,201693900.04272,0.1,12049186339.342,0,1,1,0.3041529291376953,0,683917433705407700000,0,68391476547355794000000,0,(((((((x)*(6))*((7)+(9)))*(((6)*(9))-((8)*((8)-(5)))))+((((9)*(6))*((7)*((3)*(2))))*(((3)+(0))+((9)*((9)*(9))))))*(((((2)*(5))*((8)*(9)))*(((5)*(9))-((1)-((3)+(0)))))*((((3)+(4))+((7)*((x)-(4))))+(((7)+(x))+((0)+((5)+(3)))))))+((((((x)+(8))+((9)*(2)))-(((8)*(3))*((2)+((x)+(1)))))+((((x)+(5))*((x)+(1)))-(((2)-(3))*((5)-((7)*(6))))))+(((((1)*(5))-((7)*(4)))-(((0)+(3))+((x)+((x)*(4)))))*((((5)*(8))*((x)*(5)))+(((1)-(9))+((5)+((7)*((3)-(5))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd,AddTreeWithDiv|DivXD|FellTreeD|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|DivXD|AddTreeWithDiv|SubXD|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,19,14,20,20,3
20,(x),20,-10,0.017255376186673527,0.02,0.019999999961126235,0.02,30524577.350730006,0,2572428851.3,0,1,1,0.43071272239151653,0,1528516204997559900000000,0,152851617047181400000000000,0,(((((((6)*((8)*(5)))-((2)+((x)*(6))))-(((4)+((7)+(4)))*((8)*((3)+(8)))))-((((7)-((x)*(6)))+((7)+((7)+(5))))*(((8)-((4)*(9)))+(((3)+(1))+((9)-(5))))))-(((((3)-((3)-(8)))-((4)+((4)+(4))))-(((6)+((2)*(4)))+((1)*((4)-(3)))))-((((2)+((6)+(6)))+((6)+((2)*(8))))*(((6)*((4)+(3)))+(((1)+(8))*((1)*(7)))))))*((((((x)+((7)+(9)))*((3)*((0)*(7))))*(((3)*((9)*(7)))+((x)+((1)+(0)))))+((((2)+((9)+(8)))+((6)*((9)*(4))))+(((5)+((8)+(4)))-((8)-((0)+(7))))))*(((((7)*((5)+(2)))+((9)+((3)+(5))))*(((7)*((x)*(6)))-((2)*((8)-(2)))))*((((6)*((9)+(2)))*((7)*((4)*(9))))*(((6)+((2)+(4)))*((0)+((7)-((0)*(4))))))))),((0)/((x)+(x))),MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddRandomSubTreeR,AddXD|SubXD|FellTreeD|AddTreeWithDiv|AddXD|SkipD|AddTreeWithDiv|SubXD|SubXD|AddTreeWithDiv|FellTreeD|FellTreeD|SkipD|DivXD|AddXD,AddToLeafR,AddTreeWithDiv,14,17,21,21,3
21,(x),20,-10,0.01598900481559536,0.008234351852501648,0.019999999964174148,0.02,38603387.53013,0.11001322538934678,2791280556.368,0,1,1,0.5080394252640578,0,454951191584376900000,0,45495116318084820000000,0,(((((((8)+((0)+(0)))+((8)*((4)+(2))))+(((3)+((4)*(6)))+((8)*((8)-(1)))))+((((6)*((1)+(x)))*((0)+((9)*(2))))-(((5)+((4)-(4)))*(((8)+(6))+((0)+(2))))))+(((((7)+((x)-(8)))-((3)+((1)-(5))))*(((x)*((3)-(3)))-(((9)+(3))+((5)*(x)))))*((((7)*((2)*(7)))*((5)*((7)*(3))))*(((3)*((3)*(0)))-(((1)+(5))+((x)+(5)))))))*((((((8)-((9)*(1)))+((7)+((8)+(4))))*(((2)-((9)+(9)))+((0)*((1)*(4)))))+((((9)*((0)+(4)))*((4)+((8)+(x))))*(((7)+((5)+(3)))+(((7)+(2))+((8)+(2))))))+(((((7)*((8)*(8)))+((7)-((5)-(2))))-(((1)*((8)*(0)))-((9)*((x)*(9)))))*((((7)-((8)*(2)))+((5)*((x)-(9))))-(((1)+((0)*(2)))+(((7)-(9))*((7)+((8)-(7))))))))),((0)+(x)),AddToLeafR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|SkipD|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|DivXD|AddTreeWithDiv|SubXD|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,20,14,22,22,3
22,(x),20,-10,0.013701999698580724,0.017618725573196627,0.019999999872420758,0.02,9833348.06297,0.041954582755235156,783826566.234,0,1,1,0.5124331093159987,0,19965909134247756000,0,1996312912579660300000,0,(((((((x)+((0)-(7)))+((0)+((x)+(3))))-(((8)-((7)+(5)))+((4)+((3)+(1)))))+((((7)+((x)+(6)))+((3)-((x)*(3))))-(((5)+((x)+(5)))+((x)+((4)*(8))))))*(((((5)*((3)*(5)))-((x)*((5)-(0))))*(((0)+((9)*(5)))-((1)+((5)+(4)))))+((((0)+((4)-(5)))*((1)+((8)+(0))))-(((1)+((4)+(1)))+(((2)+(3))*((4)*(2)))))))*((((((8)*((9)*(5)))*((4)*((9)-(5))))+(((9)*((9)+(x)))*((3)*((x)*(8)))))-((((2)*((0)-(1)))*((8)*((6)+(x))))+(((8)+((x)+(2)))+((5)+((0)+(4))))))+(((((9)*((6)*(0)))+((8)*((2)+(7))))*(((4)-((6)*(7)))-((6)*((2)+(4)))))+((((x)*((0)-(1)))+((1)+((5)-(9))))+(((8)*((7)*(1)))+((9)*((x)+((9)+(0))))))))),((0)+(x)),AddToLeafR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|AddTreeWithMult,AddTreeWithDiv|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD|SubXD|MultXD|SkipD|FellTreeD|AddXD,AddTreeWithAdd,AddTreeWithDiv,19,21,23,23,3
23,(x),20,-10,0.013871072916609797,-0.01,0.019999999637235377,0.02,4454999.270269999,0.2,275660836.52,0,1,1,0.409329143806442,0,4766510972462185000000,0,476651097020192800000000,0,(((((((x)-((5)*(2)))+((5)*((1)*(4))))+(((8)-((x)*(1)))*((7)*((3)+(8)))))+((((9)*((8)*(5)))-((0)*((3)-(0))))*(((4)-((0)*(5)))-(((3)+(8))*((1)-(0))))))-(((((1)-((x)*(7)))*((5)*((2)*(1))))*(((0)+((7)-(x)))*((2)+((3)+(8)))))+((((1)*((0)+(x)))+((3)+((6)+(x))))+(((3)+((7)+(2)))+(((1)+(7))*((9)*(9)))))))*((((((2)-((4)+(6)))*((3)*((0)+(1))))*(((5)-((2)-(9)))+((1)+((5)+(1)))))-((((1)-((7)-(1)))+((1)+((8)*(x))))*(((2)*((9)*(x)))*((4)*((9)*(9))))))*(((((x)*((5)*(x)))*((x)*((3)*(3))))*(((6)+((8)+(9)))-((5)-((3)-(4)))))-((((8)-((x)*(6)))*((1)-((x)*(7))))*(((0)-((0)*(8)))+(((5)+(9))+((4)+((4)-(x))))))))),((0)+(x)),ReplaceBranchXR|AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,SkipD|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|SubXD|DivXD|MultXD|AddTreeWithDiv|FellTreeD|FellTreeD|SkipD|FellTreeD|AddXD,AddRandomSubTreeR,FellTreeD,20,22,24,24,3
24,(x),20,-10,0.01559461679953209,-0.01,0.019999999870774818,-0.01,13316995.51451,0.2,773842984.3610001,0.2,1,1,0.3326638253107235,0,298404421900572300000,0,29042813805991983000000,0,(((((((1)-(6))*((4)+((8)-(0))))+(((7)-((7)-(9)))-((8)+((2)*(7)))))*((((8)+((x)-(1)))-((8)*((4)*(4))))*(((4)+((x)+(3)))*((0)+((5)+(3))))))+(((((1)+((1)+(9)))+((2)+((6)+(6))))+(((2)+((5)+(7)))+((5)+((6)+(9)))))*((((5)*((1)*(7)))*((3)+((7)*(x))))*(((9)*((2)+(4)))-((7)+((3)+(2)))))))*((((((x)*(6))*((2)*((5)-(1))))*(((6)*((x)*(4)))-((2)*((x)+(8)))))*((((3)*((4)*(x)))*((9)-((6)-(5))))+(((9)*((3)*(x)))-((6)*((1)*(6))))))*(((((4)*(4))*((3)-((x)+(1))))*(((8)-((7)-(x)))*((5)-((5)+(5)))))*((((2)*((7)*(1)))+((0)-((4)+(0))))+(((3)*((6)+(0)))-((7)+((4)-((9)*(1))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd,MultXD|FellTreeD|FellTreeD|AddTreeWithDiv|AddXD|SkipD|MultXD|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|SubXD|AddXD|FellTreeD|AddXD,AddToLeafR,FellTreeD,23,18,25,25,3
25,(x),20,-10,0.01699513800332539,0.018744599463060983,0.019999999965497863,0.02,51259072.31309,8.94869598427284,2898371177.56,0,1,1,0.4844188173118678,0,7564225275030767000000,0,11494472381733899000000,0,(((((((8)+(5))*((1)+(2)))+(((3)+(7))*((8)-(5))))+((((3)-(1))+((5)-(0)))*(((8)+(6))+((x)*((x)*(9))))))*(((((5)-(x))*((6)*(1)))+(((1)-(3))*((3)-(7))))*((((5)+(1))*((3)*(x)))+(((7)*(4))*((4)*((5)*(0)))))))+((((((6)+(5))*((7)*(5)))*(((2)*(x))*((3)*(1))))*((((3)*(4))*((5)*(6)))*(((6)*(8))*((0)*(1)))))*(((((1)+(1))+((4)-(5)))*(((9)+(2))-((0)-(4))))*((((1)*(7))*((3)+(4)))-(((2)*(1))*((7)+((4)+((4)*(5))))))))),((0)+(x)),ReplaceBranchXR|AddToLeafR|AddTreeWithSub|MutateTerminalR|AddToLeafR|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithMult,SubXD|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|SubXD|MultXD|DivXD|AddXD|FellTreeD|AddXD|FellTreeD|AddXD,AddRandomSubTreeR,AddXD,25,15,26,26,3
26,(x),20,-10,0.015992727879956203,-0.01701492537313433,0.019999999954323482,0.02,36882242.77354,0.67,2189308711.78,0,1,1,0.5940332499878529,0,354060218213859260000,0,35398514222727450000000,0,(((((((0)+((1)+(9)))*((7)+((2)*(7))))+(((4)*((7)*(3)))*((1)-((8)*(7)))))+((((7)+((5)+(2)))+((6)+((1)+(9))))+(((8)*((9)*(7)))*((5)*((5)*(9))))))*(((((4)-((x)*(2)))*((2)+((7)+(5))))*(((0)*((0)*(6)))+((x)*((2)*(9)))))*((((2)*((5)*(3)))*((x)*((3)-(3))))*(((2)*((6)-(1)))*((6)*((2)-(5)))))))+((((((6)+(5))+((9)+((0)-(5))))*(((8)*((3)+(6)))*((0)-((9)*(8)))))*((((2)*((9)-(4)))-((x)+((5)+(0))))*(((0)*((6)*(6)))*((7)*((x)*(8))))))-(((((6)-(x))*((5)+((1)+(8))))+(((3)*((7)-(3)))-((4)+((5)-(6)))))-((((1)-((9)*(8)))+((4)+((8)+(6))))+(((9)+((3)+(1)))+((6)*((2)*((2)+(x))))))))),((0)+(x)),MutateNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd,AddTreeWithDiv|SubXD|DivXD|DivXD|AddTreeWithDiv|AddXD|AddXD|SkipD|FellTreeD|DivXD|AddXD|FellTreeD|AddXD|FellTreeD|AddXD,AddToLeafR,AddXD,26,25,27,27,3
