gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
11,(x),20,-10,0.01725635987431658,0,0.019999998205738185,0.02,1470537.8577,0.1,55733226.416,0,1,1,0.4731305271569915,0,539905924965247500000,0,30273492680126080000000,0,(((((((4)-(3))-((6)+((0)*(3))))+(((7)+((6)*(5)))*((0)+((3)*(7)))))*((((x)-((7)+(4)))+((9)+((8)+(2))))+(((1)+((4)+(9)))-((8)*((8)+(6))))))*(((((2)-(4))-((5)*((7)+(1))))-(((1)+((5)*(0)))+((9)+((8)+(0)))))+((((9)+((9)+(7)))+((7)+((0)*(1))))+(((9)-((2)*(5)))+((5)*((x)-(4)))))))*((((((2)+(9))+((9)+((7)-(7))))*(((3)*((4)*(7)))*((3)*((4)*(8)))))*((((5)*(4))*((6)+((3)*(8))))-(((5)*((7)-(6)))*((x)*((x)*(6))))))-(((((1)-(3))*((4)-((8)*(9))))*(((1)-((6)+(7)))*((8)+((9)+(3)))))*((((8)*((7)*(x)))*((5)*((4)*(8))))+(((0)-((4)-(0)))-((0)-((2)-((3)-(0))))))))),((0)+(x)),AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddToLeafR,DivXD|DivXD|DivXD|AddXD|SubXD|MultXD|DivXD|SubXD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,DivXD,7,10,12,12,4
12,(x),20,-10,0.015500686548538891,0.01526281101210263,0.019999999880217965,0.02,12434244.651809998,0.2980696185102514,834849745.98,0,1,1,0.46669958657384725,0,165991693424151670000000,0,16599169312414762000000000,0,(((((((8)*(7))+((8)-((3)*(x))))-(((0)+(4))+((8)*((6)*(1)))))*((((8)*(x))*((9)*((x)*(4))))*(((9)*((3)*(x)))-((2)*((9)-(3))))))-(((((8)-(x))*((3)*((1)*(1))))+(((2)+(0))+((7)*((0)-(2)))))-((((4)-(9))-((2)-((x)-(8))))*(((4)+((5)+(9)))*((9)*((6)+(x)))))))*((((((8)+(2))+((6)-((5)-(1))))*(((7)*(9))*((3)+((1)+(5)))))*((((1)+(3))*((7)-((3)*(9))))*(((x)*(7))-((4)-((2)+(7))))))-(((((8)*(6))*((x)+((x)+(6))))+(((x)+(x))+((5)+((5)+(6)))))*((((x)*(9))+((5)+((9)+(8))))+(((3)+(3))+((6)+((1)+((6)-(0))))))))),((0)+(x)),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddRandomSubTreeR,DivXD|DivXD|DivXD|SkipD|AddTreeWithDiv|AddXD|SkipD|SubXD|AddXD|MultXD|SubXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,DivXD,11,11,13,13,4
13,(x),20,-10,0.011675460802181594,0,0.01999999983760036,0,6565301.093359999,0.1,615764920.52,0.1,1,1,0.4470596956822628,0,921491231954482600000,0,91689224598072540000000,0,(((((((7)-(2))*((1)+((x)-(4))))*(((6)*(4))*((9)+((9)+(0)))))*((((6)*(7))-((5)*((5)*(3))))*(((5)-((8)-(2)))-((x)-((7)-(4))))))+(((((x)+(8))*((9)+((1)+(1))))+(((9)+((2)+(3)))+((1)+((4)+(9)))))+((((2)+(1))+((0)-((0)+(7))))+(((6)*((9)*(4)))*((5)-((7)*(6)))))))+((((((3)*(6))+((x)*((0)+(6))))*(((3)-(5))+((7)+((0)*(3)))))*((((2)*(8))*((x)*((8)+(x))))*(((0)*((8)+(1)))*((5)+((2)*(1))))))*(((((5)*(7))*((1)*((5)+(5))))-(((7)*(9))*((8)+((7)*(7)))))*((((5)*(8))*((6)*((4)+(x))))+(((7)+((8)+(9)))+((4)+((5)+((6)+(6))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddRandomSubTreeR,DivXD|DivXD|DivXD|DivXD|SubXD|MultXD|AddXD|AddXD|AddXD|SubXD|SubXD|AddTreeWithDiv|SkipD|FellTreeD|AddXD,AddToLeafR,AddXD,11,11,14,14,4
14,(x),20,-10,0.017637455071493915,-0.00039555561427847137,0.019999999317984952,0.02,2555100.523059999,1413123602446.319,146624331.05,0,1,1,0.272285131726139,0,16074932279450502000000,0,1607493195062419300000000,0,(((((((3)-(0))-((5)+((4)-(8))))-(((7)-((0)-(8)))*((6)*((3)*(2)))))*((((3)*(7))*((4)*((6)-(6))))-(((3)+((1)-(x)))*((3)+((x)*(7))))))-(((((0)+(9))*((6)*((6)*(6))))*(((x)*((x)*(3)))+((5)-((1)*(7)))))*((((7)*(3))*((7)+((8)-(1))))+(((7)-((2)+(0)))*((8)-((3)+(5)))))))*((((((0)-(4))*((1)-((8)-(1))))*(((7)*(0))+((4)+((4)+(8)))))+((((2)*(7))-((1)*((7)-(8))))*(((2)-((0)*(7)))*((2)-((0)*(7))))))+(((((2)+(6))+((4)+((8)+(9))))+(((8)+((4)*(8)))+((2)-((x)*(6)))))-((((0)-(9))*((3)+((7)-(1))))-(((0)*((8)*(x)))*((x)*((3)-((1)*(0))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|DivXD|DivXD|AddXD|FellTreeD|AddXD|SubXD|AddXD|AddXD|MultXD|AddXD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,14,12,15,15,4
15,(x),20,-10,0.016954200396878696,0.014403875220378878,0.01999999998726708,0.02,92295040.78336,1971171.6044037452,7853660169.92,0,1,1,0.7600761483013067,0,18790693175489596000000,0,1878928943707756700000000,0,(((((((4)*((3)*(7)))+((9)+((6)*(8))))*(((8)-((0)*(7)))*(((x)*(4))*((8)+(9)))))+((((1)+((0)*(0)))*((0)-((6)-(x))))+(((8)-((x)-(7)))-(((7)-(9))-((9)-(9))))))-(((((0)+((7)+(6)))+((2)+((7)+(3))))+(((7)+((2)-(2)))-(((6)*(4))*((1)*(x)))))*((((5)*((9)*(9)))*((1)*((4)+(2))))-(((8)-((7)+(8)))-(((0)-(6))+((2)+(3)))))))*((((((3)-((x)+(4)))+((6)+((9)+(7))))+(((7)+((6)+(9)))+((7)-((0)-(9)))))*((((7)*((6)+(0)))-((5)*((4)*(9))))*(((0)-((2)*(3)))*(((2)*(1))+((6)*(8))))))-(((((5)*((3)*(x)))*((4)+((4)+(7))))*(((3)+((8)-(5)))+(((4)*(x))+((9)*(8)))))-((((x)*((8)*(3)))-((4)*((9)*(9))))*(((1)-((4)-(5)))-(((0)*(3))+((9)*((1)*(2))))))))),((0)+(x)),AddTreeWithMult|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddXD|FellTreeD|AddTreeWithDiv|FellTreeD|FellTreeD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,10,13,16,16,4
16,(x),20,-10,0.01639506174767646,0.005067356094197129,0.019999999859286556,0.02,11899464.543270001,2.0296324312375713,710664142.262,0,1,1,0.5407631385215337,0,139923578577968370000000,0,13992357845050925000000000,0,(((((((4)-(x))*((4)+((3)-(x))))*(((x)-((7)-(2)))*((0)+((6)-(8)))))-((((5)-(3))-((4)+((x)*(2))))*(((8)*((0)-(3)))-((6)*((4)+(9))))))*(((((2)-(0))-((1)-((9)-(3))))-(((6)-((2)-(9)))-((8)-((9)+(4)))))*((((6)*(3))*((x)-((4)*(9))))*(((x)+((9)-(x)))-((8)+((4)*(6)))))))-((((((3)*(7))+((7)*((5)*(4))))*(((5)*(9))*((8)*((4)*(7)))))+((((x)*(5))*((8)*((6)*(2))))*(((8)*((5)-(5)))-((3)+((5)-(6))))))+(((((4)+(6))+((3)+((3)+(9))))+(((5)+((0)*(5)))*((8)*((5)+(7)))))*((((9)*(4))*((5)*((8)*(9))))*(((3)+((1)*(9)))-((8)*((x)*((8)+(4))))))))),((0)+(x)),MutateTerminalR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddTreeWithSub|AddTreeWithMult|AddToLeafR|ReplaceBranchR|AddToLeafR,DivXD|DivXD|DivXD|FellTreeD|AddTreeWithDiv|AddXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|SubXD|MultXD|AddXD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,14,15,17,17,4
17,(x),20,-10,0.015044221086401537,0.005063849604726436,0.019999999979742902,0.02,108174456.28131,0.4234266739485555,4936541452.882,0,1,1,0.4473230482319499,0,101956350373807280000,0,10194976517084492000000,0,(((((((5)-((8)-(x)))*((9)*((5)-(9))))*(((9)*((4)*(5)))+((1)*((3)-(6)))))*((((1)-((3)+(8)))-((3)-((3)+(8))))+(((1)+((8)+(5)))*((8)*((1)*(1))))))*(((((x)*((3)*(9)))*((3)-((9)*(4))))-(((x)+((8)*(7)))-((7)*((8)*(7)))))*((((1)-((6)-(3)))-((8)+((6)-(3))))*(((5)-((x)-(4)))+((2)-((4)-(2)))))))-((((((0)*(7))+((x)-((0)*(1))))+(((4)-((2)*(9)))*((7)*((x)*(x)))))*((((2)*((4)-(7)))-((4)*((7)-(4))))+(((9)-((3)+(4)))*((7)*((5)+(5))))))-(((((x)+(x))*((0)*((1)+(0))))-(((7)-((0)*(7)))-((3)*((8)+(4)))))*((((2)-((2)-(9)))*((8)-((8)+(9))))-(((1)+((7)*(6)))-((2)-((0)-((8)-(x))))))))),((0)+(x)),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|DivXD|DivXD|AddTreeWithDiv|SubXD|SkipD|AddXD|DivXD|AddXD|SubXD|SubXD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,DivXD,16,16,18,18,4
18,(x),20,-10,0.01628600925612439,0.0099079172078241,0.019999999998150796,0.02,662653902.1114098,0.09116284891240448,54077269939.965996,0,1,1,0.31994339353151474,0,6545496102104655000000,0,654549595788654500000000,0,(((((((x)*(8))*((1)+(0)))+(((6)+(8))+((5)+((9)+(8)))))+((((0)*(7))+((1)-((2)-(4))))*(((6)+(x))-((1)+((7)*(7))))))*(((((1)-(4))-((4)-(7)))-(((6)-(8))-((3)*((4)-(x)))))*((((6)*(x))+((5)+((4)*(9))))+(((8)*(5))*((x)*((7)*(x)))))))*((((((9)-(7))-((5)*(3)))-(((9)*(8))*((8)*((0)*(3)))))+((((4)*(9))+((2)*(5)))*(((1)*(7))-((7)-((x)-(x))))))+(((((3)+(x))-((2)*(8)))*(((6)+(9))-((1)-((1)-(5)))))*((((7)*(1))*((x)*(x)))*(((3)*(9))*((7)*((x)+((3)-(0))))))))),((0)+(x)),AddTreeWithSub|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddRandomSubTreeR,DivXD|DivXD|DivXD|SkipD|AddTreeWithDiv|AddXD|FellTreeD|AddTreeWithDiv|SubXD|MultXD|AddTreeWithDiv|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,DivXD,17,16,19,19,4
19,(x),20,-10,0.016951469936702487,0.004889619257892029,0.01999999999025227,0.02,295718480.45942,0.23599477782613895,10258798440.413,0,1,1,0.5839735873399128,0,221523463867729770000,0,22080250337761608000000,0,(((((((7)-(9))-((x)+((0)+(x))))-(((2)+(3))+((9)+((7)+(3)))))*((((7)*(4))*((3)*((8)+(2))))+(((6)+(7))+((0)+((6)+(2))))))+(((((7)*(7))*((4)*((2)*(x))))*(((7)*(7))+((0)*((0)+(2)))))*((((5)+(9))+((9)*((3)*(6))))*(((7)-((8)*(x)))*((3)*((4)*(5)))))))+((((((8)*(2))-((8)-(4)))+(((1)*(5))-((4)-((9)+(4)))))*((((9)*(3))*((x)+((5)-(0))))-(((0)+(9))-((3)-((0)+(3))))))+(((((x)-(4))+((4)*((8)-(6))))-(((2)*(5))+((7)*((8)-(x)))))+((((0)+(0))+((4)+((2)+(8))))+(((9)+(7))*((6)*((8)+((1)+(0))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithMult|DeleteMaliciousR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|DivXD|DivXD|DivXD|SubXD|AddXD|SkipD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|AddXD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,DivXD,17,16,20,20,4
20,(x),20,-10,0.016695632078114506,-0.01,0.01999999993880501,-0.01,24904267.10408,0.2,1634120650.88,0.2,1,1,0.5541704204286388,0,289448928770503700000,0,7135176996782260000000,0,(((((((x)-(5))*((4)+((6)*(x))))*(((5)*((x)*(4)))-((9)*((8)+(6)))))+((((1)*(x))+((2)+((x)*(x))))-(((2)-((7)*(4)))+((0)+((1)+(3))))))+(((((9)+(4))+((x)+((9)+(1))))+(((2)+((8)+(4)))+((4)*((3)+(0)))))-((((1)-((4)*(6)))+((9)-((7)*(9))))*(((4)-((6)+(9)))*((6)+((2)*(x)))))))*((((((1)*(7))+((8)+((7)*(0))))-(((6)+((5)-(0)))*((7)*((x)*(3)))))+((((0)+(3))+((8)*((x)+(1))))+(((6)*((2)*(9)))*((8)-((8)-(8))))))-(((((3)-(0))+((8)*((4)+(0))))*(((3)+((5)*(1)))+((5)-((1)*(6)))))*((((8)*(5))*((5)*((x)*(3))))*(((7)-((6)-(6)))-((1)-((0)-((x)-(6))))))))),((0)+(x)),AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddRandomSubTreeR|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|SkipD|SubXD|SubXD|MultXD|AddTreeWithDiv|MultXD|SkipD|FellTreeD|AddXD,AddToLeafR,AddTreeWithDiv,19,18,21,21,4
21,(x),20,-10,0.017898243824723433,0.011498553241090457,0.019999999999776186,0.02,7525004664.63851,484989922786447.25,446802560103.424,0,1,1,0.250458098963461,0,299069688457521320000000,0,29906967721396505000000000,0,(((((((x)+(7))+((4)*((4)+(x))))*(((4)*((8)-(x)))*((8)*((7)*(4)))))*((((7)*(1))+((4)*((x)+(8))))*(((x)*((9)-(5)))+((4)-((3)-(4))))))*(((((3)-(2))+((5)-((0)+(9))))*(((7)*((9)*(2)))-((3)+((0)+(9)))))*((((0)-((7)*(4)))+((5)*((4)-(0))))-(((2)-((x)-(8)))-((2)-((7)*(4)))))))*((((((9)*(5))*((6)*((5)*(7))))-(((4)-(2))-((1)-((1)-(x)))))+((((9)+(4))*((6)+((7)+(0))))+(((3)+((0)+(7)))+((0)+((0)-(7))))))-(((((5)*(3))+((8)+((7)*(5))))*(((3)*((5)*(7)))-((8)+((x)*(5)))))*((((2)*(9))*((2)-((9)*(9))))*(((5)*((6)+(6)))+((4)+((5)+((7)+(6))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddXD|FellTreeD|MultXD|AddXD|FellTreeD|AddXD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,FellTreeD,17,19,22,22,4
22,(x),20,-10,0.017854274152161446,-0.019951999231987715,0.019999999997748194,-0.019951999231987712,1236317043.2764502,41.666,44408770831.32,41.666000000000004,1,1,0.4230992267482441,0,7166039242744202000000,0,716603880556328600000000,0,(((((((x)*(4))+((8)+((6)-(9))))-(((3)*((5)*(5)))*((7)*((9)*(x)))))*((((1)*((6)*(7)))+((5)*((2)*(6))))+(((3)+((5)+(1)))+((7)+((8)+(9))))))+(((((3)*(9))*((8)*((0)+(7))))+(((5)+((5)*(5)))*((9)*((6)+(0)))))*((((6)+((7)*(5)))+((8)*((1)-(9))))+(((0)-((9)-(6)))+((3)-((0)-(3)))))))*((((((6)+(5))*((6)+((6)+(9))))*(((3)*((0)*(2)))+((1)+((2)*(5)))))+((((8)+(1))+((4)+((6)+(5))))+(((6)*((x)*(2)))*((8)-((8)*(8))))))+(((((3)-(1))*((3)+((3)-(6))))*(((9)+((x)-(x)))-((0)+((2)+(7)))))-((((3)*(8))*((7)+((9)*(2))))+(((6)*((8)-(3)))*((9)*((3)-((x)-(9))))))))),((0)+(x)),AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddXD|FellTreeD|AddXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|DivXD|MultXD|AddTreeWithDiv|DivXD|AddXD,AddToLeafR,DivXD,22,18,23,23,4
23,(x),20,-10,0.018070177611115026,0.012181660399774688,0.01999999999244191,0.02,158594512.34927005,0.19449141018499017,13230859671.866001,0,1,1,0.34774237535778557,0,446402334224032300000,0,44639688578861260000000,0,(((((((0)+(8))+((3)+((7)+(4))))+(((0)+(4))+((4)+((9)+(7)))))+((((9)*(6))*((4)*((8)-(5))))*(((3)-(9))*((8)+((2)-(2))))))-(((((9)-(7))+((x)+((6)+(7))))*(((6)+(6))+((2)+((9)*(5)))))+((((8)-(0))+((3)-((2)-(7))))*(((3)-(8))+((x)-((2)+(6)))))))+((((((1)+(7))*((6)*(5)))*(((1)*(5))*((x)*((1)*(9)))))*((((3)-(6))+((3)*((5)+(1))))+(((7)*(4))+((8)*((5)*(2))))))+(((((2)*(9))*((8)*(7)))+(((6)*(7))*((6)*((5)*(5)))))*((((9)*(2))+((5)+((3)+(9))))+(((9)*(4))-((0)-((x)-((8)-(6))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddXD|FellTreeD|AddXD|AddXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|DivXD|MultXD|AddTreeWithDiv|DivXD|AddXD,AddToLeafR,DivXD,23,18,24,24,4
24,(x),20,-10,0.017786310530248844,0.014855958099755479,0.01999999998334472,0.02,87450486.87407002,3.078721316528132,6004102318.528001,0,1,1,0.24942310230981882,0,8974252837128580000000,0,897425283572582300000000,0,(((((((1)-((2)-(0)))+((5)+((4)+(6))))+(((1)*((4)+(1)))*((9)*((0)*(6)))))+((((x)+((7)+(4)))+((5)+((3)*(3))))*(((6)-((4)*(4)))-(((x)+(0))+((8)*(6))))))*(((((2)*((9)-(5)))-((1)*((x)*(5))))-(((3)-((x)+(2)))-((0)-((1)*(3)))))*((((5)*((7)+(4)))*((9)+((x)+(0))))*(((1)*((7)*(9)))*(((2)*(1))*((1)*(4)))))))*((((((x)*((4)+(7)))*((9)*((2)-(4))))+(((3)+((0)+(x)))+((2)+((9)*(3)))))-((((1)-((0)+(9)))-((x)*((4)*(x))))+(((0)-((8)*(8)))*((3)+((5)*(8))))))*(((((6)*((x)*(3)))*((8)-((3)+(7))))*(((2)-((5)+(x)))-((9)-((9)-(x)))))*((((0)+((9)+(4)))+((2)+((5)+(7))))+(((5)+((8)+(0)))+(((3)+(1))-((9)+((x)*(6))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|DivXD|DivXD|AddTreeWithDiv|AddTreeWithDiv|MultXD|AddXD|AddXD|SubXD|SubXD|SubXD|MultXD|MultXD|FellTreeD|AddXD,AddToLeafR,DivXD,24,23,25,25,4
25,(x),20,-10,0.01791519808541687,0.02,0.019999999950591155,0.02,26856976.39231,0,2023929177.64,0,1,1,0.24733730634580073,0,659017805859177600000,0,44751332161124220000,0,(((((((8)-((5)-(8)))-((9)-((2)+(5))))+(((6)+((3)+(1)))+((2)+((1)+(6)))))*((((3)*((x)*(2)))+((5)+((2)+(x))))+(((1)+((3)+(7)))+(((x)-(0))+((0)+(7))))))-(((((8)+((3)*(x)))*((6)+((2)-(6))))+(((0)+((3)-(2)))+(((6)-(1))*((6)*(4)))))+((((x)*((7)*(4)))*((6)-((4)-(3))))+(((x)+((3)*(9)))+(((1)+(0))*((1)-(9)))))))-((((((7)+((0)-(3)))*((7)+((0)*(8))))-(((x)+((9)-(7)))+((8)+((2)+(8)))))*((((7)*((2)-(7)))-((3)-((3)-(0))))-(((3)*((5)*(7)))*(((6)*(x))*((3)*(8))))))*(((((1)*((2)+(0)))*((0)+((5)*(9))))*(((8)-((4)-(2)))-((3)*((7)+(4)))))*((((6)+((x)-(3)))*((1)*((5)*(5))))*(((x)*((x)*(x)))*(((6)*(x))*((2)*((0)+(8))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|FellTreeD|DivXD|AddXD|SubXD|MultXD|AddXD|AddXD|FellTreeD|AddTreeWithDiv|DivXD|MultXD|AddTreeWithDiv|FellTreeD|AddXD,AddToLeafR,AddXD,25,23,26,26,4
26,(x),20,-10,0.018717571027572166,0,0.019999999995526388,0.02,359227819.63965,0.1,22353296496.518997,0,1,1,0.45180866740693393,0,4850185079242437000000,0,485016040715689960000000,0,(((((((6)-(8))*((4)+((2)+(x))))+(((5)-((4)-(8)))*((5)*((7)*(7)))))*((((7)*((x)*(6)))*((8)*((7)*(5))))*(((8)*((1)*(0)))*((x)-((5)-(6))))))*(((((8)*(0))-((6)*((8)*(8))))*(((1)+((9)*(0)))-((3)-((9)+(2)))))*((((0)*((x)*(x)))+((4)+((x)*(2))))*(((7)-((5)-(2)))+((x)-((9)*(x)))))))+((((((9)+(7))+((0)+((0)+(5))))*(((2)-((8)-(x)))*((2)+((2)+(6)))))-((((1)+(0))+((9)-((9)-(9))))*(((9)*((9)-(3)))-((9)*((4)-(2))))))+(((((9)*(8))*((9)*((1)*(4))))*(((3)+((9)+(3)))+((x)+((7)+(4)))))+((((9)+(x))*((x)*((4)-(3))))*(((6)*((5)+(0)))-((1)-((7)-((0)+(0))))))))),((0)+(x)),AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,AddXD|DivXD|DivXD|SubXD|AddTreeWithDiv|MultXD|AddXD|AddXD|AddXD|AddTreeWithDiv|DivXD|AddTreeWithDiv|MultXD|SubXD|AddXD,AddToLeafR,AddXD,25,25,27,27,4
27,(x),20,-10,0.017954542926214206,0.014851597161741675,0.019999999977661134,0.02,65400534.92212,4994593571.049208,4476502802.288,0,1,1,0.3708757555492564,0,4689523999484914000000000,0,3755213835753872400,0,(((((((5)+(9))+((0)+((9)+(8))))+(((9)+((x)+(x)))-((4)-((3)-(7)))))-((((0)-((7)-(8)))*((5)*((8)*(1))))*(((7)*((9)*(x)))*((8)+((3)+(8))))))-(((((0)*(0))*((1)-((x)+(5))))-(((2)*((1)*(9)))-((6)*((0)-(9)))))-((((6)*((3)+(x)))*((1)-((4)*(9))))-(((7)-((0)-(8)))*((x)-((9)+(x)))))))*((((((4)-(5))-((x)+((x)+(8))))*(((x)+((9)+(2)))+((3)-((x)+(8)))))-((((7)+(0))*((7)*((7)*(8))))*(((5)*((1)*(4)))*((1)-((5)-(5))))))+(((((5)*(8))*((1)*((6)*(2))))*(((3)*((9)*(9)))+((9)-((7)*(9)))))-((((3)-(8))*((x)-((6)-(7))))+(((8)+((x)+(5)))+((6)+((9)+((4)+(1))))))))),((0)+(x)),AddTreeWithSub|AddTreeWithAdd|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|AddToLeafR|AddTreeWithAdd|AddTreeWithMult|AddTreeWithMult|AddToLeafR|AddToLeafR|AddToLeafR,DivXD|SkipD|SkipD|DivXD|AddTreeWithDiv|MultXD|AddXD|AddXD|AddXD|AddTreeWithDiv|FellTreeD|AddTreeWithDiv|MultXD|FellTreeD|AddXD,AddToLeafR,AddXD,24,26,28,28,4
